Sample File,C:\Users\VanceLab\Desktop\CASA_InLabTests\SMPS_20220902\FreshSmoke\CASA_INLAB_SMPS_20220902_Trial2.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Number
Sample #,1,2,3,4,5,6
Date,9/2/2022,9/2/2022,9/2/2022,9/2/2022,9/2/2022,9/2/2022
Start Time,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00
Sample Temp (C),25.6,25.3,25.2,25.1,25.1,24.9
Sample Pressure (kPa),81.5,81.5,81.4,81.4,81.4,81.4
Relative Humidity (%),36.5,36.6,36.4,36.5,36.5,36.5
Mean Free Path (m),8.45845e-008,8.44766e-008,8.45444e-008,8.45084e-008,8.45084e-008,8.44365e-008
Gas Viscosity (Pa*s),1.84484e-005,1.84341e-005,1.84293e-005,1.84246e-005,1.84246e-005,1.84151e-005
Diameter Midpoint (nm)
 15.7,0.000,206.564,334.478,664.213,443.052,620.144
 16.3,0.273,88.890,143.969,314.754,200.859,287.040
 16.8,0.220,35.938,62.597,121.736,81.590,111.439
 17.5,0.000,13.900,23.190,41.754,30.395,46.624
 18.1,0.623,4.255,13.616,18.249,12.834,17.709
 18.8,0.975,4.123,8.205,11.669,3.063,9.844
 19.5,0.735,2.732,5.860,5.465,3.246,3.578
 20.2,2.249,1.544,6.900,4.805,2.039,2.191
 20.9,1.265,1.881,4.807,4.595,2.854,3.181
 21.7,1.683,1.414,7.692,4.687,1.142,2.233
 22.5,1.973,1.409,6.208,4.887,1.453,1.404
 23.3,2.607,0.997,4.741,4.211,0.400,1.857
 24.1,3.575,1.231,10.590,3.152,0.840,1.095
 25.0,4.543,0.757,6.902,2.824,2.419,0.790
 25.9,6.609,1.038,12.221,4.533,0.938,1.073
 26.9,6.417,0.833,15.231,4.115,1.802,0.957
 27.9,8.495,3.019,18.489,8.437,2.148,0.765
 28.9,10.696,3.265,37.946,8.704,2.155,0.713
 30.0,14.879,4.842,49.953,8.116,2.851,0.687
 31.1,18.636,6.674,74.221,11.816,3.994,1.034
 32.2,18.627,9.701,109.849,17.303,6.630,0.992
 33.4,26.445,10.829,148.590,21.522,6.519,1.118
 34.6,26.225,14.035,188.412,19.813,2.491,2.535
 35.9,32.296,13.552,245.203,24.258,1.922,2.552
 37.2,39.000,12.875,312.636,39.872,0.000,3.121
 38.5,45.941,9.193,373.373,55.682,0.000,0.896
 40.0,54.736,3.544,456.422,65.266,0.000,0.000
 41.4,61.392,0.000,533.285,106.535,0.000,0.000
 42.9,76.927,0.000,639.445,151.915,0.000,0.000
 44.5,89.085,0.000,774.674,198.396,0.000,0.000
 46.1,99.058,0.000,888.856,276.370,0.000,0.000
 47.8,126.989,0.000,1112.123,393.144,0.390,0.000
 49.6,191.719,29.784,1424.470,580.914,82.750,0.000
 51.4,246.866,91.745,1703.473,756.575,167.229,0.000
 53.3,298.880,172.318,1991.587,878.537,274.157,6.917
 55.2,372.304,257.039,2236.049,1058.677,412.927,56.753
 57.3,485.697,435.898,2496.658,1219.678,555.229,129.977
 59.4,595.943,665.993,2736.385,1357.081,689.638,233.998
 61.5,730.990,831.216,2908.982,1495.648,866.885,320.445
 63.8,874.117,1055.474,3071.071,1576.370,1063.889,412.507
 66.1,1072.102,1279.493,3261.845,1611.777,1266.603,540.241
 68.5,1364.118,1560.881,3492.095,1704.599,1429.819,692.152
 71.0,1289.011,1522.139,2715.315,1176.690,1104.627,674.310
 73.7,1259.246,1335.883,2342.039,785.570,731.167,633.342
 76.4,1491.891,1228.839,2574.456,992.612,615.815,771.415
 79.1,1732.851,1177.196,2826.023,1271.358,371.019,707.313
 82.0,1940.528,1068.893,3810.752,1643.068,5.404,506.740
 85.1,2055.978,391.699,4722.193,2363.938,0.000,284.440
 88.2,2408.914,0.000,5913.093,3083.755,0.000,0.000
 91.4,2702.720,0.000,8194.641,4323.537,0.000,0.000
 94.7,3053.223,0.000,10596.773,5648.722,0.000,0.000
 98.2,3501.320,0.000,13176.555,7490.594,222.216,0.000
101.8,3536.017,0.000,16022.934,9348.765,904.403,0.000
105.5,4488.384,0.000,19162.193,11387.616,1739.129,0.000
109.4,4880.427,0.000,21767.785,13567.268,2758.689,0.000
113.4,5677.697,0.000,24777.511,15235.653,4028.237,28.828
117.6,6278.493,0.000,28175.289,16898.273,5879.917,797.810
121.9,6997.721,0.000,30132.252,18398.423,8153.567,1977.046
126.3,8092.669,2159.662,33787.818,19375.043,10822.753,3510.533
131.0,9122.821,5502.504,36005.989,20385.645,13363.601,5423.386
135.8,10397.447,10218.295,37784.525,20849.465,15963.448,6837.807
140.7,11670.476,16934.421,38956.204,20829.941,17938.593,8906.801
145.9,12889.408,25404.722,40020.211,20551.134,19629.334,10818.789
151.2,14022.135,31112.826,40790.240,20136.856,21652.129,13515.494
156.8,15432.724,35018.082,40893.924,19837.184,23201.959,16107.182
162.5,17197.129,38927.870,41047.057,19211.056,24807.235,17747.042
168.5,18617.307,42191.378,41443.020,19692.006,25889.658,20043.755
174.7,19932.113,44525.817,42388.652,19573.349,26474.009,21943.063
181.1,21345.471,46919.266,42691.857,19792.180,26472.379,23536.947
187.7,23329.515,50109.737,43910.522,21059.075,26689.871,25299.161
194.6,24635.833,52829.648,45330.441,21674.674,26706.391,25871.245
201.7,25969.808,56749.756,46511.066,23195.322,27538.713,27557.870
209.1,27099.517,60922.270,48996.529,24424.460,28262.991,29886.882
216.7,28261.678,65831.873,51582.597,26381.882,30065.777,32093.635
224.7,29284.930,70315.030,54421.058,28536.849,31800.167,33655.733
232.9,30225.867,74512.685,57055.226,31269.749,34111.408,35788.629
241.4,30946.113,78893.811,59898.530,35118.981,36145.530,37251.165
250.3,31242.128,82157.148,62670.776,38635.111,38333.677,38335.201
259.5,30915.942,84716.918,65354.299,42246.536,40664.273,39854.127
269.0,30900.726,85885.377,67112.744,45264.950,43177.145,41772.409
278.8,30408.195,86041.051,67999.441,47936.464,46140.780,44076.071
289.0,29914.432,84848.346,69586.653,50148.744,49417.878,45731.451
299.6,29013.502,81624.902,69944.071,51341.196,52201.572,47170.579
310.6,28202.833,78318.077,70316.461,52569.474,55008.945,48693.885
322.0,27110.591,74496.241,70637.418,53034.555,57162.851,50557.805
333.8,25710.536,69570.304,69472.021,52326.792,58396.280,50470.629
346.0,24129.283,64228.135,67623.287,51620.093,58970.307,50172.939
358.7,22512.562,58377.493,64907.973,49936.245,58862.361,50158.103
371.8,20955.833,52617.138,61460.428,47857.354,58509.629,49473.725
385.4,19199.447,46772.814,57567.113,45597.546,56809.347,48310.171
399.5,17347.301,40512.318,53038.628,42598.778,54777.707,46942.789
414.2,15628.884,34426.954,48351.199,39357.612,52149.299,45422.045
429.4,14323.927,29435.268,44269.568,36626.128,50665.412,45601.923
445.1,12604.416,24573.256,39393.862,33090.974,47140.111,42718.337
461.4,11130.232,20513.494,34540.235,29614.920,42617.815,38868.783
478.3,9637.759,17009.956,30069.948,26144.860,38011.003,35160.607
495.8,8304.200,14009.585,25648.760,22747.817,33407.495,31488.484
514.0,7169.652,11492.728,21774.640,19388.196,29036.180,28274.136
532.8,6137.925,9425.679,18425.479,16370.440,25169.875,25125.236
552.3,5175.739,7622.494,15402.643,13615.166,21563.330,22218.229
572.5,4286.612,6160.275,12570.280,11103.620,18281.277,19295.920
593.5,3470.769,4913.295,10203.935,8888.910,15204.013,16467.860
615.3,2802.405,3817.432,8122.435,7037.273,12489.616,13967.837
637.8,2191.660,2989.826,6451.101,5557.576,10114.475,11691.389
661.2,1689.281,2273.752,4999.224,4239.882,7980.016,9541.045
685.4,1300.467,1721.118,3830.363,3181.074,6337.048,7725.579
710.5,969.024,1279.363,2872.655,2311.596,4871.399,6077.281
736.5,719.365,940.119,2142.039,1685.642,3707.121,4786.021
Scan Time (s),155,155,155,155,155,155
Retrace Time (s),4,4,4,4,4,4
Scan Resolution (Hz),50,50,50,50,50,50
Scans Per Sample,1,1,1,1,1,1
Sheath Flow (L/min),3.000,3.000,3.000,3.000,3.000,3.000
Aerosol Flow (L/min),0.912,0.915,0.913,0.915,0.919,0.922
Bypass Flow (L/min),0.00,0.00,0.00,0.00,0.00,0.00
Low Voltage (V),10.28,10.29,10.28,10.28,10.28,10.29
High Voltage (V),9780.05,9774.61,9769.49,9768.49,9767.79,9763.00
Lower Size (nm), 15.4, 15.4, 15.4, 15.4, 15.4, 15.4
Upper Size (nm),749.9,749.9,749.9,749.9,749.9,749.9
Density (g/cm³),1.0,1.0,1.0,1.0,1.0,1.0
td + 0.5 (s),1.54,1.54,1.54,1.54,1.54,1.54
tf (s),6.34,6.34,6.34,6.34,6.33,6.33
D50 (nm),765.3,763.7,764.5,763.5,761.6,760.1
Neutralizer Status,ON,ON,ON,ON,ON,ON
Median (nm),251.100,265.694,258.374,288.434,315.833,320.769
Mean (nm),268.635,278.855,271.551,294.349,324.945,336.912
Geo. Mean (nm),245.282,263.214,242.700,264.373,298.086,311.880
Mode (nm),250.287,278.813,321.968,321.968,345.989,321.968
Geo. Std. Dev.,1.550,1.411,1.639,1.632,1.542,1.501
Total Conc. (#/cm³),9.138889e+005,2.005414e+006,2.319138e+006,1.512449e+006,1.648856e+006,1.461846e+006
Title,,,,,,
User Name,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab,VanceLab
Sample ID,,,,,,
Instrument ID,,,,,,
Lab ID,,,,,,
Leak Test and Leakage Rate,,,,,,
Instrument Errors,Normal Scan,Detector concentration error,Detector concentration error,Normal Scan,Normal Scan,Normal Scan
Comment,,,,,,
