Sample File,C:\Users\VanceLab\Desktop\CASA_InLabTests\SMPS_20220902\FreshSmoke\CASA_INLAB_SMPS_20220902_Trial3.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9
Date,9/2/2022,9/2/2022,9/2/2022,9/2/2022,9/2/2022,9/2/2022,9/2/2022,9/2/2022,9/2/2022
Start Time,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:00,15:40:00,15:43:00,15:46:00
Sample Temp (C),24.8,24.9,24.9,24.9,24.9,24.8,25.0,25.0,24.9
Sample Pressure (kPa),81.4,81.4,81.4,81.4,81.3,81.3,81.3,81.3,81.3
Relative Humidity (%),35.0,35.2,35.3,35.4,35.6,35.6,35.6,35.6,35.6
Mean Free Path (m),8.44005e-008,8.44365e-008,8.44365e-008,8.44365e-008,8.45403e-008,8.45043e-008,8.45763e-008,8.45763e-008,8.45403e-008
Gas Viscosity (Pa*s),1.84103e-005,1.84151e-005,1.84151e-005,1.84151e-005,1.84151e-005,1.84103e-005,1.84198e-005,1.84198e-005,1.84151e-005
Diameter Midpoint (nm)
 15.7,0.000,285.736,298.153,429.089,771.279,359.099,461.530,395.456,383.451
 16.3,0.000,132.873,134.651,220.968,387.218,174.173,232.078,200.020,205.741
 16.8,0.000,61.614,66.351,97.889,166.015,84.545,120.052,98.676,98.020
 17.5,0.000,63.985,23.599,36.757,74.318,34.655,48.985,40.823,43.603
 18.1,0.000,24.220,9.207,16.787,28.542,11.946,19.471,15.937,19.368
 18.8,0.000,3.996,4.489,12.169,8.046,7.156,9.650,8.356,7.030
 19.5,0.000,1.586,0.705,5.728,4.872,3.291,3.495,3.423,3.737
 20.2,0.166,1.661,1.162,4.272,4.621,1.469,2.275,2.259,1.093
 20.9,0.000,0.942,0.784,3.872,2.576,1.069,0.913,1.369,0.782
 21.7,0.000,1.476,0.590,3.730,1.237,0.853,1.510,0.559,1.136
 22.5,0.000,1.119,0.669,7.608,1.981,0.519,1.016,0.529,0.660
 23.3,0.132,0.660,0.017,6.401,1.647,1.274,0.888,0.625,1.526
 24.1,0.000,0.628,0.505,9.771,1.946,0.455,0.821,0.835,0.468
 25.0,0.116,0.721,0.108,11.530,2.776,0.645,0.904,0.295,0.333
 25.9,0.000,0.104,0.559,12.970,2.014,0.686,0.502,0.157,0.515
 26.9,0.085,0.303,0.000,17.992,1.854,0.210,0.575,0.305,0.261
 27.9,0.000,0.180,0.073,25.523,3.206,0.130,0.313,0.152,0.437
 28.9,0.000,0.163,0.000,27.560,2.797,0.502,0.826,0.687,0.569
 30.0,0.196,0.044,0.097,37.865,5.070,0.940,0.746,0.358,0.129
 31.1,0.000,0.128,0.093,50.012,4.641,1.122,0.471,0.928,0.236
 32.2,0.000,0.178,0.267,65.808,5.358,1.731,0.956,0.839,0.912
 33.4,0.000,0.086,0.430,85.801,9.001,1.285,0.712,0.837,0.253
 34.6,0.330,0.166,0.000,95.260,7.520,1.769,1.924,1.047,0.851
 35.9,0.178,0.159,0.478,116.129,12.746,2.579,1.567,2.173,0.626
 37.2,0.522,0.387,0.502,126.493,20.445,3.546,2.025,2.221,1.337
 38.5,0.745,0.822,1.160,148.635,23.140,3.479,4.054,3.737,1.771
 40.0,0.767,0.839,0.867,175.552,29.047,4.964,3.942,4.313,1.918
 41.4,1.745,0.941,1.296,202.465,36.646,4.796,3.931,2.352,2.718
 42.9,2.148,1.199,0.000,215.420,46.982,3.999,4.413,2.669,3.370
 44.5,1.766,1.327,0.000,233.163,62.060,4.749,6.966,1.410,4.454
 46.1,0.000,0.000,0.000,252.117,73.346,4.539,9.649,0.570,4.021
 47.8,0.000,0.000,0.000,290.897,80.555,4.272,13.124,0.000,3.224
 49.6,0.000,0.000,0.000,391.554,106.021,12.179,15.431,0.000,0.570
 51.4,0.000,0.000,0.000,490.040,122.190,21.857,22.940,0.000,0.000
