Sample File,C:\Users\VanceLab\Desktop\CASA_InLabTests\SMPS_20220902\FreshSmoke\CASA_INLAB_SMPS_20220902.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Number
Sample #,1,2,3,4
Date,9/2/2022,9/2/2022,9/2/2022,9/2/2022
Start Time,14:20:00,14:23:00,14:26:00,14:29:00
Sample Temp (C),24.4,24.5,24.7,24.9
Sample Pressure (kPa),81.5,81.5,81.5,81.5
Relative Humidity (%),38.1,38.6,38.7,38.9
Mean Free Path (m),8.41532e-008,8.41891e-008,8.42610e-008,8.43328e-008
Gas Viscosity (Pa*s),1.83913e-005,1.83960e-005,1.84055e-005,1.84151e-005
Diameter Midpoint (nm)
 15.7,0.000,0.555,168.012,93.802
 16.3,0.000,0.000,70.845,45.849
 16.8,0.000,0.000,33.455,16.279
 17.5,0.000,0.000,18.008,9.407
 18.1,0.000,0.000,11.302,5.248
 18.8,0.000,0.000,8.402,2.803
 19.5,0.000,0.186,10.840,3.489
 20.2,0.000,0.000,10.479,4.024
 20.9,0.000,0.000,14.782,4.357
 21.7,0.000,0.000,16.351,4.094
 22.5,0.000,0.000,23.879,3.082
 23.3,0.138,0.139,23.034,4.799
 24.1,0.000,0.133,25.839,6.901
 25.0,0.000,0.000,30.531,10.934
 25.9,0.000,0.119,34.106,8.807
 26.9,0.000,0.000,36.495,12.969
 27.9,0.000,0.000,48.695,14.856
 28.9,0.000,0.103,64.466,16.865
 30.0,0.091,0.196,75.774,19.843
 31.1,0.095,0.188,93.220,24.626
 32.2,0.178,0.185,118.925,31.765
 33.4,0.084,0.000,150.301,36.075
 34.6,0.078,0.000,180.037,39.176
 35.9,0.000,0.073,231.571,42.836
 37.2,0.156,0.059,273.299,57.525
 38.5,0.061,0.052,325.706,56.054
 40.0,0.000,0.000,379.651,78.184
 41.4,0.136,0.050,416.135,81.324
 42.9,0.274,0.181,472.828,99.624
 44.5,0.048,0.159,548.277,113.218
 46.1,0.188,0.030,611.342,131.346
 47.8,0.108,0.107,677.189,166.623
 49.6,0.156,0.321,774.711,214.720
 51.4,0.110,0.125,896.611,269.348
 53.3,0.075,0.305,1002.946,307.624
 55.2,0.212,0.298,1091.918,382.047
 57.3,0.273,0.467,1281.568,481.259
 59.4,0.151,0.271,1441.122,552.977
 61.5,0.083,0.239,1630.475,676.340
 63.8,0.227,0.550,1732.474,792.481
 66.1,0.160,0.323,1875.075,877.790
 68.5,0.093,0.355,2007.366,991.320
 71.0,0.332,0.000,2040.875,937.031
 73.7,0.235,0.000,2078.881,827.032
 76.4,0.000,0.000,2208.399,875.576
 79.1,0.615,0.000,2447.625,910.589
 82.0,0.541,0.000,2654.743,829.287
 85.1,0.452,0.000,2897.588,847.131
 88.2,0.465,0.000,3182.078,893.979
 91.4,0.456,0.000,3587.659,932.554
 94.7,0.602,0.000,4057.563,1122.087
 98.2,0.887,0.000,4583.006,1309.054
101.8,0.767,0.000,5067.888,1507.035
105.5,0.086,0.000,5495.835,1738.628
109.4,0.000,0.000,5823.915,2094.311
113.4,0.612,0.000,6038.423,2470.722
117.6,0.000,0.000,6299.996,3077.620
121.9,0.504,0.000,6391.722,3846.517
126.3,0.000,0.000,6436.822,4732.216
131.0,0.696,0.000,6410.952,5689.989
135.8,0.027,895.149,6156.863,6592.698
140.7,0.375,12387.976,5670.284,7611.924
145.9,0.000,20600.697,5200.530,8571.566
151.2,0.000,25811.205,4630.653,9414.389
156.8,0.000,29282.893,4109.251,10392.964
162.5,0.583,31474.799,3520.240,11279.052
168.5,1.141,33843.922,2966.162,12126.999
174.7,0.000,37756.538,2373.803,12914.006
181.1,1.636,42968.409,1695.307,13385.405
187.7,1.838,48380.503,1136.175,13856.387
194.6,0.903,52374.391,656.748,14378.705
201.7,2.506,56633.926,252.753,14956.550
209.1,4.934,61388.061,0.000,15146.527
216.7,4.187,66650.133,0.000,15755.444
224.7,5.265,71835.777,0.000,16056.531
232.9,8.403,76726.804,0.000,16259.159
241.4,8.971,81062.522,0.000,16768.264
250.3,7.700,82597.901,0.000,16809.915
259.5,11.315,83411.258,0.000,16884.215
269.0,10.691,82755.268,0.000,17041.041
278.8,11.634,80461.610,292.828,17016.213
289.0,12.306,77505.718,819.633,17134.404
299.6,13.190,74812.122,1298.762,16937.948
310.6,15.100,71921.297,1770.110,16589.498
322.0,14.197,68040.234,2301.367,15987.679
333.8,14.980,62415.939,2835.998,14996.472
346.0,13.977,55818.191,3439.635,13926.829
358.7,15.002,48433.888,3967.990,12719.319
371.8,13.913,40625.863,4294.202,11467.554
385.4,11.025,33028.399,4264.798,10167.461
399.5,11.029,26029.784,4097.411,8765.247
414.2,11.121,20863.853,3799.977,7547.504
429.4,8.670,16999.928,3461.169,6444.928
445.1,7.448,13737.136,3040.305,5469.860
461.4,6.883,10755.372,2566.028,4516.551
478.3,6.111,8080.675,2212.773,3706.311
495.8,3.543,5738.971,1813.128,2987.077
514.0,3.735,3906.211,1486.579,2355.271
532.8,2.972,2572.919,1219.627,1838.606
552.3,2.162,1625.717,978.458,1423.772
572.5,2.211,1012.399,774.187,1093.322
593.5,1.765,606.288,613.877,792.753
615.3,0.692,382.645,488.841,575.453
637.8,1.060,239.895,384.584,422.697
661.2,0.502,155.253,281.062,297.266
685.4,0.732,105.736,217.779,212.857
710.5,0.520,75.506,157.370,153.136
736.5,0.380,52.729,117.208,102.268
Scan Time (s),155,155,155,155
Retrace Time (s),4,4,4,4
Scan Resolution (Hz),50,50,50,50
Scans Per Sample,1,1,1,1
Sheath Flow (L/min),3.000,3.000,3.000,3.000
Aerosol Flow (L/min),0.905,0.906,0.906,0.907
Bypass Flow (L/min),0.00,0.00,0.00,0.00
Low Voltage (V),10.30,10.30,10.30,10.29
High Voltage (V),9761.73,9763.43,9766.49,9769.90
Lower Size (nm), 15.4, 15.4, 15.4, 15.4
Upper Size (nm),749.9,749.9,749.9,749.9
Density (g/cm³),1.0,1.0,1.0,1.0
td + 0.5 (s),1.54,1.54,1.54,1.54
tf (s),6.36,6.35,6.35,6.35
D50 (nm),767.8,767.4,767.5,767.2
Neutralizer Status,ON,ON,ON,ON
Median (nm),325.052,258.201,131.434,243.139
Mean (nm),332.434,267.578,196.508,255.679
Geo. Mean (nm),312.595,257.115,153.974,235.135
Mode (nm),310.590,259.455,126.346,289.026
Geo. Std. Dev.,1.473,1.326,1.991,1.532
Total Conc. (#/cm³),2.877607e+002,1.724848e+006,1.880065e+005,5.032840e+005
Title,,,,
User Name,VanceLab,VanceLab,VanceLab,VanceLab
Sample ID,,,,
Instrument ID,,,,
Lab ID,,,,
Leak Test and Leakage Rate,,,,
Instrument Errors,Normal Scan,Detector concentration error,Normal Scan,Normal Scan
Comment,,,,
