Sample File,C:\Users\VanceLab\Desktop\CASA_InLabTests\SMPS_20220909\FreshSmoke\CASA_INLAB_SMPS_20220909.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4
Date,9/9/2022,9/9/2022,9/9/2022,9/9/2022
Start Time,14:55:00,14:58:00,15:01:00,15:04:00
Sample Temp (C),22.1,22.1,22.2,22.3
Sample Pressure (kPa),81.3,81.3,81.3,81.3
Relative Humidity (%),41.5,41.5,41.5,41.4
Mean Free Path (m),8.35320e-008,8.35320e-008,8.35680e-008,8.36040e-008
Gas Viscosity (Pa*s),1.82815e-005,1.82815e-005,1.82863e-005,1.82911e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,26822.786,13916.319
 16.3,0.000,0.000,28577.009,8449.638
 16.8,0.000,0.000,32114.124,6475.158
 17.5,0.000,0.000,36501.433,5651.687
 18.1,0.000,0.000,43577.258,5417.484
 18.8,12.823,0.000,48063.212,6351.907
 19.5,0.000,0.000,54338.028,7193.412
 20.2,11.378,0.000,59575.963,7251.152
 20.9,0.000,10.684,62332.595,8440.514
 21.7,0.000,0.000,63450.664,9642.928
 22.5,9.607,0.000,65700.807,11505.863
 23.3,8.948,0.000,64576.875,12780.816
 24.1,0.000,0.000,65530.256,13913.850
 25.0,7.991,0.000,66237.990,15067.411
 25.9,7.701,0.000,65852.080,16648.778
 26.9,0.000,0.000,70606.541,17844.734
 27.9,0.000,0.000,77020.043,19827.122
 28.9,6.618,0.000,85284.612,21587.006
 30.0,6.479,0.000,95923.750,24056.126
 31.1,0.000,6.289,112482.490,27161.963
 32.2,0.000,6.034,126953.510,28794.079
 33.4,5.728,5.839,138903.010,32817.967
 34.6,0.000,11.233,152855.783,37220.851
 35.9,10.810,5.410,167745.163,40148.799
 37.2,5.178,5.251,180200.580,43217.483
 38.5,0.000,0.000,187737.450,46174.970
 40.0,1.128,0.000,190118.151,47954.783
 41.4,6.343,0.000,194211.800,50835.504
 42.9,3.423,0.000,185985.677,53864.595
 44.5,0.000,0.000,177527.566,55830.217
 46.1,12.563,0.000,171933.073,59059.525
 47.8,0.000,0.000,166601.994,62883.613
 49.6,18.936,0.000,165344.280,67377.358
 51.4,1.600,0.000,170724.885,74209.937
 53.3,0.000,0.000,177531.944,80260.780
 55.2,6.956,0.000,187836.221,88810.225
 57.3,7.535,64403.265,198359.824,98289.308
 59.4,15.669,457811.067,217560.018,109353.846
 61.5,13.114,970146.310,241301.552,123716.105
 63.8,11.479,1454675.090,269068.658,143637.088
 66.1,6.674,1991707.203,301365.985,163304.488
 68.5,3.721,2473893.892,327207.666,187631.352
 71.0,8.635,2771432.179,328180.108,196875.382
 73.7,22.117,2714370.127,333325.152,202926.322
 76.4,14.181,2380843.788,353255.751,209814.591
 79.1,44.555,1959774.142,370996.252,219505.488
 82.0,20.348,1675624.913,384736.923,225292.281
 85.1,12.341,1475480.253,408048.250,232179.890
 88.2,31.586,1346736.595,429564.204,241378.835
 91.4,26.885,1375120.161,465665.366,251688.002
 94.7,36.120,1569034.114,494801.135,254228.678
 98.2,26.335,1770627.471,530345.103,255069.138
101.8,42.104,1901564.625,579454.995,257312.791
105.5,46.978,1924370.799,623992.974,270514.922
109.4,55.723,1870356.778,661763.418,300512.001
113.4,45.041,1989964.150,736371.321,342976.633
117.6,43.474,2176482.966,824862.998,398320.220
121.9,31.196,2264957.067,924718.121,444655.001
126.3,51.194,2252413.375,1034887.115,496689.436
131.0,12.136,2315140.901,1110218.085,557258.454
135.8,49.394,2350142.068,1181044.363,624240.109
140.7,21.253,2318964.450,1229624.021,720942.118
145.9,8.014,2304291.450,1280855.983,819114.303
151.2,44.264,2320360.011,1387756.292,912855.042
156.8,80.718,2454324.053,1488676.453,997147.885
162.5,98.578,2848482.742,1601602.193,1061553.382
168.5,49.809,3303344.413,1695036.682,1106622.152
174.7,62.329,3612151.810,1746351.086,1144935.876
181.1,75.206,3751369.479,1765556.906,1157236.294
187.7,45.783,3714356.611,1768516.880,1173030.743
194.6,54.740,3530157.161,1740682.393,1162197.677
201.7,95.384,3272389.577,1710889.976,1156993.416
209.1,70.060,2988072.857,1686684.933,1132752.698
216.7,103.526,2680808.558,1684563.888,1116639.128
224.7,90.591,2327325.906,1649473.519,1078413.691
232.9,85.084,1980930.478,1576138.268,1051959.873
241.4,68.734,1687738.718,1484857.117,1022793.086
