Sample File,C:\Users\VanceLab\Desktop\CASA_InLabTests\SMPS_20220909\FreshSmoke\CASA_INLAB_SMPS_20220909_Trial2.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4
Date,9/9/2022,9/9/2022,9/9/2022,9/9/2022
Start Time,16:27:00,16:30:00,16:33:00,16:36:00
Sample Temp (C),23.3,23.3,23.2,23.2
Sample Pressure (kPa),81.3,81.3,81.3,81.3
Relative Humidity (%),19.7,18.5,17.6,17.0
Mean Free Path (m),8.39640e-008,8.39640e-008,8.39280e-008,8.39280e-008
Gas Viscosity (Pa*s),1.83388e-005,1.83388e-005,1.83340e-005,1.83340e-005
Diameter Midpoint (nm)
 15.7,18376.675,6241.200,96345.960,27102.339
 16.3,17797.855,6990.341,98382.221,25358.322
 16.8,19254.217,6695.082,105258.570,26094.100
 17.5,18455.167,7058.386,107639.387,26217.069
 18.1,20080.454,7252.074,112592.621,27427.672
 18.8,19137.453,7727.804,118219.026,28063.555
 19.5,20972.822,8168.560,118987.585,31127.488
 20.2,20060.441,8518.006,120422.260,33842.652
 20.9,19609.597,10009.879,117592.740,35266.600
 21.7,20745.419,9748.220,118512.925,38053.269
 22.5,21778.894,11655.326,114932.657,40380.676
 23.3,21698.735,11177.847,111711.164,43593.434
 24.1,21540.688,11750.644,110025.419,44789.066
 25.0,21959.736,12558.340,110090.969,48953.640
 25.9,22391.091,12246.929,108193.337,51085.862
 26.9,21879.216,9435.252,108470.763,55123.107
 27.9,21608.329,359.408,110345.589,58518.432
 28.9,20556.730,0.000,110608.311,62938.111
 30.0,20246.904,0.000,115405.270,71751.708
 31.1,20098.510,0.000,115844.253,80535.496
 32.2,20439.809,0.000,116354.087,88816.217
 33.4,21120.282,0.000,117892.949,99615.558
 34.6,22502.777,0.000,116067.125,108677.717
 35.9,22916.583,0.000,111884.637,117547.114
 37.2,24116.390,0.000,106957.447,127104.193
 38.5,24559.491,101709.336,106130.808,135202.200
 40.0,25148.613,359056.208,111215.210,141339.954
 41.4,26275.943,947038.364,113582.023,150619.973
 42.9,26574.712,1565321.973,110250.830,158471.824
 44.5,26430.195,1866311.627,100664.635,168967.808
 46.1,27651.588,1951478.903,85519.809,182715.097
 47.8,27060.948,1950526.127,68462.714,191975.987
 49.6,27084.433,1872097.131,55881.131,208860.364
 51.4,28225.985,1660930.527,41733.988,228921.176
 53.3,28084.109,1258704.666,29238.870,244320.918
 55.2,27567.581,877539.887,28358.335,261975.550
 57.3,27352.361,585393.691,43517.867,281289.217
 59.4,27299.428,349162.555,83501.826,300181.790
 61.5,26831.621,168037.917,156401.465,323222.059
 63.8,25635.504,39026.710,250906.073,348037.742
 66.1,24738.599,0.000,362721.477,372386.215
 68.5,23604.312,0.000,485349.825,400770.193
 71.0,21981.509,0.000,585508.500,397973.118
 73.7,20530.101,0.000,666120.288,401464.469
 76.4,18811.125,0.000,747583.432,417196.337
 79.1,17228.969,0.000,780641.976,431016.468
 82.0,16054.478,0.000,793196.459,443855.101
 85.1,13928.233,91359.304,785608.285,450818.529
 88.2,12782.739,369781.020,783355.036,468869.018
 91.4,11794.911,633381.727,777296.190,496737.181
 94.7,10743.403,830251.166,779046.716,513332.935
 98.2,9237.613,879650.076,782082.605,539718.580
101.8,8116.105,880339.122,773545.210,575206.252
105.5,7431.170,892900.935,757877.624,610089.388
109.4,6810.835,909232.307,740359.660,662103.277
113.4,6834.294,1003166.871,720520.878,727869.059
117.6,6166.206,1143464.729,722167.205,806486.617
121.9,5643.495,1266711.188,717301.434,900753.667
126.3,5695.675,1404600.691,726489.926,987121.931
131.0,5562.302,1549609.318,748154.952,1084152.769
