Sample File,C:\Users\VanceLab\Desktop\CASA_InLabTests\SMPS_20220912\FreshSmoke\CASA_INLAB_SMPS_20220912.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Date,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022,9/12/2022
Start Time,15:00:00,15:03:00,15:06:00,15:09:00,15:12:00,15:15:00,15:18:00,15:21:00,15:24:00,15:27:00,15:30:00,15:33:00,15:36:00,15:39:00,15:42:00,15:45:00,15:48:00,15:51:00,15:54:00,15:57:00,16:00:00,16:03:00,16:06:00,16:09:00,16:12:00,16:15:00,16:18:00,16:21:00,16:24:00,16:27:00
Sample Temp (C),22.7,22.7,22.8,22.8,22.9,22.9,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.1,23.0,23.1,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
Sample Pressure (kPa),81.3,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.1,81.2,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1
Relative Humidity (%),22.4,21.3,20.4,19.7,19.1,18.6,18.2,17.9,17.6,17.3,17.1,17.0,16.8,16.7,16.6,16.5,16.4,16.4,16.3,16.3,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2,16.2
Mean Free Path (m),8.37480e-008,8.38511e-008,8.38871e-008,8.38871e-008,8.39232e-008,8.39232e-008,8.39592e-008,8.39592e-008,8.39592e-008,8.39592e-008,8.39592e-008,8.40628e-008,8.39592e-008,8.40628e-008,8.40628e-008,8.40989e-008,8.40628e-008,8.40989e-008,8.40628e-008,8.40628e-008,8.40628e-008,8.40628e-008,8.40628e-008,8.40628e-008,8.40628e-008,8.40628e-008,8.40628e-008,8.40628e-008,8.40628e-008,8.40628e-008
Gas Viscosity (Pa*s),1.83102e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83245e-005,1.83293e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005
Diameter Midpoint (nm)
 15.7,0.000,72.343,49870.998,12464.245,4038.635,3007.635,2912.993,2278.199,2433.548,1947.791,1444.616,905.013,1401.011,1228.069,1405.337,1241.614,1171.660,1374.561,1410.752,1118.382,1313.590,1346.249,1092.070,980.236,1130.682,906.504,1167.970,939.603,1396.894,1270.982
 16.3,0.000,16.813,44613.289,12196.721,3544.517,2469.631,2242.575,1542.480,1718.677,1459.982,739.073,850.059,776.969,868.727,595.324,545.576,517.504,619.832,692.160,690.688,655.829,415.619,595.112,399.416,813.350,438.819,593.024,604.916,572.396,622.957
