Relative Humidity and Temperature Data
TSI Model RHT3000
Date, Time, RH, Temp
11/18/2022, 14:15:47, 40.5, 23.4, 
11/18/2022, 14:15:48, 40.6, 23.4, 
11/18/2022, 14:15:49, 40.6, 23.4, 
11/18/2022, 14:15:50, 40.6, 23.4, 
11/18/2022, 14:15:51, 40.6, 23.4, 
11/18/2022, 14:15:52, 40.6, 23.4, 
11/18/2022, 14:15:53, 40.6, 23.4, 
11/18/2022, 14:15:54, 40.6, 23.4, 
11/18/2022, 14:15:55, 40.6, 23.4, 
11/18/2022, 14:15:56, 40.5, 23.4, 
11/18/2022, 14:15:57, 40.5, 23.4, 
11/18/2022, 14:15:58, 40.5, 23.4, 
11/18/2022, 14:15:59, 40.5, 23.4, 
11/18/2022, 14:16:01, 40.5, 23.4, 
11/18/2022, 14:16:02, 40.5, 23.4, 
11/18/2022, 14:16:03, 40.5, 23.4, 
11/18/2022, 14:16:04, 40.5, 23.4, 
11/18/2022, 14:16:05, 40.5, 23.4, 
11/18/2022, 14:16:06, 40.5, 23.4, 
11/18/2022, 14:16:07, 40.5, 23.4, 
11/18/2022, 14:16:08, 40.5, 23.4, 
11/18/2022, 14:16:09, 40.5, 23.4, 
11/18/2022, 14:16:10, 40.5, 23.4, 
11/18/2022, 14:16:11, 40.5, 23.4, 
11/18/2022, 14:16:12, 40.5, 23.4, 
11/18/2022, 14:16:13, 40.5, 23.4, 
11/18/2022, 14:16:14, 40.5, 23.4, 
11/18/2022, 14:16:15, 40.5, 23.4, 
11/18/2022, 14:16:16, 40.5, 23.4, 
11/18/2022, 14:16:17, 40.5, 23.4, 
11/18/2022, 14:16:18, 40.5, 23.4, 
11/18/2022, 14:16:19, 40.5, 23.4, 
11/18/2022, 14:16:20, 40.5, 23.4, 
11/18/2022, 14:16:21, 40.5, 23.4, 
11/18/2022, 14:16:22, 40.5, 23.4, 
11/18/2022, 14:16:23, 40.5, 23.4, 
11/18/2022, 14:16:24, 40.5, 23.4, 
11/18/2022, 14:16:25, 40.5, 23.4, 
11/18/2022, 14:16:26, 40.5, 23.4, 
11/18/2022, 14:16:27, 40.5, 23.4, 
11/18/2022, 14:16:28, 40.5, 23.4, 
11/18/2022, 14:16:29, 40.5, 23.4, 
11/18/2022, 14:16:30, 40.5, 23.4, 
11/18/2022, 14:16:31, 40.5, 23.4, 
11/18/2022, 14:16:32, 40.5, 23.4, 
11/18/2022, 14:16:33, 40.5, 23.4, 
11/18/2022, 14:16:34, 40.5, 23.4, 
11/18/2022, 14:16:35, 40.5, 23.4, 
11/18/2022, 14:16:36, 40.5, 23.4, 
11/18/2022, 14:16:37, 40.5, 23.4, 
11/18/2022, 14:16:38, 40.5, 23.4, 
11/18/2022, 14:16:39, 40.5, 23.4, 
11/18/2022, 14:16:40, 40.5, 23.4, 
11/18/2022, 14:16:41, 40.5, 23.4, 
11/18/2022, 14:16:42, 40.5, 23.4, 
11/18/2022, 14:16:43, 40.5, 23.4, 
11/18/2022, 14:16:44, 40.5, 23.4, 
11/18/2022, 14:16:45, 40.5, 23.4, 
11/18/2022, 14:16:46, 40.5, 23.4, 
11/18/2022, 14:16:47, 40.5, 23.4, 
11/18/2022, 14:16:48, 40.5, 23.4, 
11/18/2022, 14:16:49, 40.5, 23.4, 
11/18/2022, 14:16:50, 40.5, 23.4, 
11/18/2022, 14:16:51, 40.4, 23.4, 
11/18/2022, 14:16:52, 40.4, 23.4, 
11/18/2022, 14:16:53, 40.3, 23.4, 
11/18/2022, 14:16:54, 40.2, 23.4, 
11/18/2022, 14:16:55, 40.1, 23.4, 
11/18/2022, 14:16:56, 39.9, 23.4, 
11/18/2022, 14:16:57, 39.8, 23.4, 
11/18/2022, 14:16:58, 39.7, 23.4, 
11/18/2022, 14:16:59, 39.5, 23.4, 
11/18/2022, 14:17:00, 39.4, 23.4, 
11/18/2022, 14:17:01, 39.3, 23.4, 
11/18/2022, 14:17:02, 39.2, 23.4, 
11/18/2022, 14:17:03, 39.1, 23.4, 
11/18/2022, 14:17:04, 39.0, 23.4, 
11/18/2022, 14:17:05, 38.9, 23.4, 
11/18/2022, 14:17:06, 38.8, 23.4, 
11/18/2022, 14:17:07, 38.7, 23.4, 
11/18/2022, 14:17:08, 38.7, 23.4, 
11/18/2022, 14:17:09, 38.6, 23.4, 
11/18/2022, 14:17:10, 38.5, 23.4, 
11/18/2022, 14:17:11, 38.4, 23.4, 
11/18/2022, 14:17:12, 38.3, 23.4, 
11/18/2022, 14:17:13, 38.2, 23.4, 
11/18/2022, 14:17:14, 38.1, 23.4, 
11/18/2022, 14:17:15, 38.0, 23.4, 
11/18/2022, 14:17:16, 37.9, 23.4, 
11/18/2022, 14:17:17, 37.8, 23.4, 
11/18/2022, 14:17:18, 37.8, 23.4, 
11/18/2022, 14:17:19, 37.7, 23.4, 
11/18/2022, 14:17:20, 37.6, 23.4, 
11/18/2022, 14:17:21, 37.5, 23.4, 
11/18/2022, 14:17:22, 37.4, 23.4, 
11/18/2022, 14:17:23, 37.3, 23.4, 
11/18/2022, 14:17:24, 37.2, 23.4, 
11/18/2022, 14:17:25, 37.1, 23.4, 
11/18/2022, 14:17:26, 37.0, 23.4, 
11/18/2022, 14:17:27, 36.9, 23.4, 
11/18/2022, 14:17:28, 36.9, 23.4, 
11/18/2022, 14:17:29, 36.8, 23.4, 
11/18/2022, 14:17:30, 36.8, 23.4, 
11/18/2022, 14:17:31, 36.8, 23.4, 
11/18/2022, 14:17:32, 36.7, 23.4, 
11/18/2022, 14:17:33, 36.7, 23.4, 
11/18/2022, 14:17:34, 36.6, 23.4, 
11/18/2022, 14:17:35, 36.4, 23.4, 
11/18/2022, 14:17:36, 36.3, 23.4, 
11/18/2022, 14:17:37, 36.1, 23.4, 
11/18/2022, 14:17:38, 36.0, 23.4, 
11/18/2022, 14:17:39, 35.8, 23.4, 
11/18/2022, 14:17:40, 35.7, 23.4, 
11/18/2022, 14:17:41, 35.6, 23.4, 
11/18/2022, 14:17:42, 35.4, 23.4, 
11/18/2022, 14:17:43, 35.3, 23.4, 
11/18/2022, 14:17:44, 35.0, 23.4, 
11/18/2022, 14:17:45, 34.5, 23.4, 
11/18/2022, 14:17:46, 33.9, 23.4, 
11/18/2022, 14:17:47, 33.2, 23.3, 
11/18/2022, 14:17:48, 32.3, 23.3, 
11/18/2022, 14:17:49, 31.6, 23.4, 
11/18/2022, 14:17:50, 30.9, 23.3, 
11/18/2022, 14:17:51, 30.3, 23.4, 
11/18/2022, 14:17:52, 29.9, 23.4, 
11/18/2022, 14:17:53, 29.5, 23.4, 
11/18/2022, 14:17:54, 29.1, 23.3, 
11/18/2022, 14:17:55, 28.9, 23.4, 
11/18/2022, 14:17:56, 28.7, 23.4, 
11/18/2022, 14:17:57, 28.6, 23.4, 
11/18/2022, 14:17:58, 28.6, 23.4, 
11/18/2022, 14:17:59, 28.5, 23.4, 
11/18/2022, 14:18:00, 28.4, 23.4, 
11/18/2022, 14:18:01, 28.2, 23.4, 
11/18/2022, 14:18:02, 28.0, 23.4, 
11/18/2022, 14:18:03, 27.7, 23.4, 
11/18/2022, 14:18:04, 27.3, 23.4, 
11/18/2022, 14:18:05, 27.0, 23.4, 
11/18/2022, 14:18:06, 26.5, 23.4, 
11/18/2022, 14:18:07, 26.0, 23.4, 
11/18/2022, 14:18:08, 25.4, 23.4, 
11/18/2022, 14:18:09, 24.6, 23.4, 
11/18/2022, 14:18:10, 23.8, 23.4, 
11/18/2022, 14:18:11, 23.0, 23.4, 
11/18/2022, 14:18:12, 22.2, 23.4, 
11/18/2022, 14:18:13, 21.5, 23.4, 
11/18/2022, 14:18:14, 20.8, 23.4, 
11/18/2022, 14:18:15, 20.2, 23.4, 
11/18/2022, 14:18:16, 19.7, 23.4, 
11/18/2022, 14:18:17, 19.2, 23.4, 
11/18/2022, 14:18:18, 19.0, 23.4, 
11/18/2022, 14:18:19, 18.9, 23.4, 
11/18/2022, 14:18:20, 18.9, 23.4, 
11/18/2022, 14:18:21, 19.0, 23.4, 
11/18/2022, 14:18:22, 19.1, 23.4, 
11/18/2022, 14:18:23, 19.0, 23.4, 
11/18/2022, 14:18:24, 18.7, 23.4, 
11/18/2022, 14:18:25, 18.4, 23.4, 
11/18/2022, 14:18:26, 18.1, 23.4, 
11/18/2022, 14:18:27, 17.8, 23.4, 
11/18/2022, 14:18:29, 17.5, 23.4, 
11/18/2022, 14:18:30, 17.2, 23.4, 
11/18/2022, 14:18:31, 16.9, 23.4, 
11/18/2022, 14:18:32, 16.7, 23.4, 
11/18/2022, 14:18:33, 16.5, 23.4, 
11/18/2022, 14:18:34, 16.3, 23.4, 
11/18/2022, 14:18:35, 16.1, 23.4, 
