Sample File,C:\Users\VanceLab\Desktop\CASA_InLabTests\DecayWithRH\SMPS_20221003_FreshSmoke_Wet.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
Date,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022,10/3/2022
Start Time,13:56:00,13:59:00,14:02:00,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00,14:29:00,14:32:00,14:35:00,14:38:00,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:00,15:05:00,15:08:00,15:11:00,15:14:00,15:17:00,15:20:00,15:23:00,15:26:00,15:29:00,15:32:00,15:35:00,15:38:00,15:41:00,15:44:00,15:47:00,15:50:00,15:53:00,15:56:00,15:59:00,16:02:00,16:05:00,16:08:00,16:11:00,16:14:00,16:17:00,16:20:00,16:23:00,16:26:00,16:29:00,16:32:00,16:35:00,16:38:00,16:41:00,16:44:00,16:47:00,16:50:00,16:53:00,16:56:00,16:59:00,17:02:00,17:05:00,17:08:00,17:11:00,17:14:00,17:17:00,17:20:00,17:23:00,17:26:00
Sample Temp (C),23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.1,23.1,23.1,23.1,23.1,23.1,23.2,23.2,23.2,23.2,23.2,23.2,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.3,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.3,23.2,23.2,23.2,23.3,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2,23.2
Sample Pressure (kPa),80.7,81.1,81.0,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.8,80.8,80.8,80.8,80.8,80.9,80.9,80.9,80.9,80.9,80.8,81.0,81.0,81.0,81.1,81.1,81.0,81.0,81.2,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.2,81.1,81.1,81.2,81.2,81.2,81.2,81.2,81.3,81.3,81.3,81.3,81.3
Relative Humidity (%),45.2,52.0,56.8,60.4,63.5,66.0,68.1,69.8,71.2,72.5,73.6,74.5,75.3,76.0,76.7,77.3,77.9,78.4,78.8,79.2,79.6,79.8,80.1,80.3,80.6,80.7,80.9,81.0,81.2,81.3,81.4,81.5,81.5,81.6,81.6,81.6,81.7,81.7,81.7,81.7,81.7,81.8,81.8,81.8,81.9,81.9,81.9,81.9,82.0,82.0,82.0,82.1,82.1,82.1,82.1,82.1,82.2,82.2,82.2,82.2,82.2,82.2,82.3,82.2,82.3,82.3,82.3,82.3,82.3,82.4,82.3
Mean Free Path (m),8.44794e-008,8.40628e-008,8.41665e-008,8.42706e-008,8.42706e-008,8.42706e-008,8.42706e-008,8.42706e-008,8.42706e-008,8.42706e-008,8.42706e-008,8.42706e-008,8.42706e-008,8.42706e-008,8.42706e-008,8.42706e-008,8.42706e-008,8.42706e-008,8.42706e-008,8.43068e-008,8.43068e-008,8.43068e-008,8.43068e-008,8.43068e-008,8.43068e-008,8.43430e-008,8.43430e-008,8.43430e-008,8.43430e-008,8.43430e-008,8.44473e-008,8.44836e-008,8.44836e-008,8.44836e-008,8.44836e-008,8.43791e-008,8.43791e-008,8.43791e-008,8.43791e-008,8.43791e-008,8.44836e-008,8.42750e-008,8.42750e-008,8.42750e-008,8.41350e-008,8.41350e-008,8.42388e-008,8.42388e-008,8.40313e-008,8.41350e-008,8.41350e-008,8.41350e-008,8.41350e-008,8.41711e-008,8.41350e-008,8.41350e-008,8.41350e-008,8.41711e-008,8.40313e-008,8.41350e-008,8.41350e-008,8.40313e-008,8.40313e-008,8.40313e-008,8.40313e-008,8.40313e-008,8.39280e-008,8.39280e-008,8.39280e-008,8.39280e-008,8.39280e-008
Gas Viscosity (Pa*s),1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83293e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83388e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83388e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83388e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005,1.83340e-005
Diameter Midpoint (nm)
 15.7,123179.534,91168.433,48705.841,23082.425,16804.200,15993.497,21034.584,17856.747,23831.420,19420.826,23534.536,26561.040,27601.427,28624.470,42112.401,28551.224,40907.309,33020.259,36600.249,39667.723,39916.658,41270.836,43056.714,46154.697,45501.568,46312.947,46539.566,54436.822,54397.577,54391.734,55298.978,55259.213,62490.526,58278.689,55707.128,62657.642,62432.808,62132.111,63493.888,67249.326,70916.036,72541.325,76960.657,75232.965,79959.159,81001.047,78584.561,82052.720,137273.762,166630.572,160797.412,301144.541,117898.314,207797.404,131630.890,214748.876,234297.500,148663.084,186261.852,169031.950,201968.824,179054.202,245927.649,160623.895,168101.875,199947.681,202021.177,247841.978,208990.698,290152.452,182556.465
 16.3,122518.761,91481.444,49518.599,24419.320,17490.004,16354.446,22023.990,17190.509,23297.676,18936.337,24119.700,26473.773,29786.194,27974.526,43365.355,28410.493,39756.228,33469.450,38246.994,41254.631,40870.499,42635.077,44376.105,46361.482,44773.645,47940.236,49308.089,52882.176,56091.109,57338.138,54585.764,56429.048,63630.896,58648.957,57629.807,63480.172,63151.864,63690.517,62724.690,66973.340,71319.842,74050.873,75250.343,75643.343,80417.517,78844.896,81907.366,82272.402,199229.114,187144.262,125344.617,212055.704,143236.720,148058.405,127732.941,329623.115,186565.417,158420.483,181980.977,119224.350,158184.390,179752.838,200173.983,234763.557,187258.423,163503.345,196826.722,177890.969,186724.892,244474.900,182967.266
