Sample File,C:\Users\VanceLab\Desktop\CASA_InLabTests\DryDecay\SMPS_20221010_FreshSmoke_Dry.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,Date,Start Time,Sample Temp (C),Sample Pressure (kPa),Relative Humidity (%),Mean Free Path (m),Gas Viscosity (Pa*s),Diameter Midpoint (nm), 15.7, 16.3, 16.8, 17.5, 18.1, 18.8, 19.5, 20.2, 20.9, 21.7, 22.5, 23.3, 24.1, 25.0, 25.9, 26.9, 27.9, 28.9, 30.0, 31.1, 32.2, 33.4, 34.6, 35.9, 37.2, 38.5, 40.0, 41.4, 42.9, 44.5, 46.1, 47.8, 49.6, 51.4, 53.3, 55.2, 57.3, 59.4, 61.5, 63.8, 66.1, 68.5, 71.0, 73.7, 76.4, 79.1, 82.0, 85.1, 88.2, 91.4, 94.7, 98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269.0,278.8,289.0,299.6,310.6,322.0,333.8,346.0,358.7,371.8,385.4,399.5,414.2,429.4,445.1,461.4,478.3,495.8,514.0,532.8,552.3,572.5,593.5,615.3,637.8,661.2,685.4,710.5,736.5,Scan Time (s),Retrace Time (s),Scan Resolution (Hz),Scans Per Sample,Sheath Flow (L/min),Aerosol Flow (L/min),Bypass Flow (L/min),Low Voltage (V),High Voltage (V),Lower Size (nm),Upper Size (nm),Density (g/cm³),td + 0.5 (s),tf (s),D50 (nm),Neutralizer Status ,Median (nm),Mean (nm),Geo. Mean (nm),Mode (nm),Geo. Std. Dev.,Total Conc. (#/cm³),Title,User Name,Sample ID,Instrument ID,Lab ID,Leak Test and Leakage Rate,Instrument Errors,Comment
1,10/10/2022,16:28:00,22.9,80.5,28.6,8.46530e-008,1.83197e-005,,26.890,25.066,23.402,32.887,0.000,48.474,27.449,17.152,39.619,21.748,35.226,25.531,51.035,60.037,45.254,77.672,57.975,47.513,70.831,78.380,68.308,100.395,74.023,121.268,96.597,97.540,72.515,132.041,127.044,113.189,110.096,119.686,94.905,141.255,122.288,173.148,146.070,142.487,118.042,179.717,203.117,242.594,225.142,216.515,220.545,209.184,235.731,264.199,286.313,244.899,223.409,313.434,305.662,242.420,272.354,277.369,219.570,266.018,296.489,299.906,278.185,353.924,249.157,196.712,275.138,217.841,224.828,247.098,235.460,207.506,203.915,237.078,173.857,171.156,217.592,170.738,169.169,162.501,133.821,148.485,91.260,91.915,87.961,72.321,73.328,41.491,48.242,47.940,54.407,11.230,19.140,31.821,35.166,45.262,18.419,24.502,16.306,12.877,13.118,23.397,20.446,10.356,17.610,10.785,10.935,14.893,7.554,0.000,155,4,50,1,3.000,1.03,0.00,10.25,9670.39, 15.4,749.9,1.000,1.53,6.16,712.4,ON,109.376,132.984,104.836,140.746,2.033,2.102260e+002,,VanceLab,,,,,Normal Scan,
2,10/10/2022,16:31:00,22.9,80.4,28.7,8.47582e-008,1.83197e-005,,0.000,37.621,0.000,10.968,30.908,19.399,9.154,8.580,15.754,29.991,20.324,40.598,50.774,35.409,27.440,31.200,35.133,53.830,35.677,47.467,86.873,38.007,89.694,95.457,89.585,105.668,122.062,82.962,114.519,129.569,132.452,120.714,181.457,139.192,177.874,160.245,175.684,204.241,150.471,180.453,231.739,200.530,192.347,241.137,228.186,204.277,235.851,283.628,275.621,249.327,288.548,246.035,320.501,304.143,250.908,212.191,275.537,263.387,274.288,226.471,260.094,262.341,276.491,227.248,224.842,218.514,211.372,166.006,202.613,250.918,224.275,213.584,171.438,141.878,186.741,127.753,158.971,168.270,146.195,141.204,134.200,112.564,87.658,49.424,78.706,55.028,51.014,48.890,42.192,57.549,41.363,13.940,35.608,27.161,9.211,9.375,22.133,3.220,16.400,13.371,13.633,20.716,14.090,7.191,0.000,3.724,3.778,0.000,155,4,50,1,3.000,1.03,0.00,10.24,9668.32, 15.4,749.9,1.000,1.53,6.16,712.3,ON,106.457,131.728,105.497,101.815,1.972,2.042960e+002,,VanceLab,,,,,Normal Scan,
3,10/10/2022,16:34:00,22.9,80.5,28.7,8.46530e-008,1.83197e-005,,26.927,0.000,46.865,10.976,20.621,29.121,18.322,25.761,31.859,22.222,27.640,39.386,27.084,46.268,20.516,54.457,39.923,85.340,47.697,52.143,87.756,99.864,66.060,83.636,121.915,102.392,117.733,110.723,120.594,94.779,109.005,164.416,132.189,141.672,109.810,158.317,200.475,137.387,149.596,188.113,217.706,244.784,195.106,169.869,217.362,206.670,282.033,264.196,273.015,268.228,212.785,264.668,296.582,320.506,257.916,265.479,343.073,215.633,258.984,246.959,265.080,299.010,265.287,236.148,253.175,238.272,183.785,230.668,194.700,207.481,220.684,177.717,180.732,208.039,154.206,144.550,137.135,122.006,142.426,142.497,79.132,66.431,107.740,64.401,56.498,92.246,59.561,44.918,57.477,31.298,39.407,22.060,17.382,18.708,42.427,18.765,15.822,3.223,22.980,20.074,6.822,3.456,21.153,7.197,14.594,3.727,3.781,0.000,155,4,50,1,3.000,1.03,0.00,10.25,9670.71, 15.4,749.9,1.000,1.53,6.16,712.8,ON,107.063,130.970,103.988,117.574,2.004,2.052499e+002,,VanceLab,,,,,Normal Scan,
4,10/10/2022,16:37:00,22.9,80.4,28.7,8.47582e-008,1.83197e-005,,13.454,12.540,35.123,10.968,10.303,19.399,9.154,42.901,47.466,44.886,28.202,25.947,37.998,67.997,26.873,37.494,57.421,36.158,92.314,73.998,53.312,81.270,68.121,58.890,110.063,89.826,88.275,155.241,102.532,80.485,125.704,107.831,96.428,113.698,182.565,141.267,236.913,174.764,165.604,153.195,160.232,193.576,185.300,167.940,209.758,249.682,277.868,268.632,256.263,269.295,280.742,296.431,299.148,279.961,287.758,329.326,297.061,248.486,243.204,300.239,250.345,219.669,256.171,221.408,204.884,224.840,188.077,250.935,166.743,237.019,244.581,196.608,185.930,198.037,192.028,117.168,143.880,151.177,164.098,130.705,99.573,127.833,89.328,77.830,65.615,63.414,48.441,41.342,41.076,59.761,12.702,21.487,16.932,24.143,7.122,27.126,15.809,22.539,9.840,20.057,14.338,9.643,7.045,10.786,0.000,14.896,22.665,0.000,155,4,50,1,3.000,1.03,0.00,10.24,9668.65, 15.4,749.9,1.000,1.53,6.16,712.3,ON,108.233,132.563,105.291,113.419,2.004,2.052051e+002,,VanceLab,,,,,Normal Scan,
5,10/10/2022,16:40:00,22.9,80.4,28.7,8.47582e-008,1.83197e-005,,26.980,12.575,11.738,10.997,20.658,9.725,9.177,25.806,55.804,37.680,12.790,26.393,25.381,22.510,22.461,49.813,41.232,38.661,86.908,49.273,100.937,59.308,45.790,109.119,44.481,79.804,82.886,90.724,112.535,119.493,113.951,114.330,138.558,168.208,156.267,127.161,195.218,204.781,160.029,220.164,202.783,248.424,231.383,216.108,205.438,215.196,261.616,233.055,268.954,242.292,253.171,239.121,245.323,254.680,255.554,267.572,291.063,188.094,256.384,256.662,206.755,267.399,206.060,260.469,221.319,218.658,227.014,226.928,243.389,256.295,172.379,197.064,199.824,191.251,168.691,125.337,167.074,157.733,123.090,121.139,88.261,85.237,80.609,108.074,79.698,57.977,47.100,55.662,39.709,36.430,54.904,31.513,29.732,21.168,24.612,18.786,12.672,0.000,19.720,6.699,20.489,10.378,10.589,14.410,0.000,7.462,3.785,0.000,155,4,50,1,3.000,1.03,0.00,10.24,9668.32, 15.4,749.9,1.000,1.53,6.16,713.0,ON,108.102,132.803,105.982,117.574,1.987,1.999488e+002,,VanceLab,,,,,Normal Scan,
6,10/10/2022,16:43:00,22.9,80.4,28.8,8.47582e-008,1.83197e-005,,26.943,25.115,23.446,0.000,10.316,19.424,9.166,25.773,31.294,34.920,52.108,19.273,31.511,41.635,15.597,54.176,66.370,64.055,92.482,53.309,87.375,68.401,65.237,102.313,83.464,112.615,64.629,91.368,93.939,86.591,118.960,156.954,141.363,179.009,141.072,168.994,193.623,176.601,197.728,157.233,210.808,232.939,228.363,218.032,232.071,264.533,215.063,281.321,251.136,206.092,287.405,265.359,343.811,235.045,314.407,228.551,309.836,253.544,230.012,200.978,271.455,256.730,254.804,260.489,205.951,245.148,232.859,265.640,215.192,232.859,185.534,222.050,192.698,209.593,141.644,145.466,157.597,174.557,139.994,117.368,81.204,83.160,91.250,85.490,78.528,53.073,67.170,29.918,56.649,19.531,30.272,20.172,14.415,15.105,18.441,36.902,32.291,19.338,19.700,10.038,6.823,17.280,3.526,7.198,3.649,7.455,7.563,0.000,155,4,50,1,3.000,1.03,0.00,10.24,9668.97, 15.4,749.9,1.000,1.53,6.16,712.6,ON,106.870,130.898,104.369,101.815,1.991,2.068352e+002,,VanceLab,,,,,Normal Scan,
7,10/10/2022,16:46:00,22.9,80.7,28.7,8.44432e-008,1.83197e-005,,3157.712,3384.989,3490.529,4215.418,5618.402,6645.933,7867.235,7955.228,7502.767,6807.739,5874.002,5643.110,4587.912,4391.719,4348.412,4538.493,4500.209,5025.504,6219.885,8273.862,9691.808,11200.808,13720.400,16103.426,18144.965,19144.271,19311.687,20267.185,20262.380,20033.928,19778.199,20286.106,22210.523,22715.620,23732.986,26096.671,27704.897,28141.543,29802.222,33370.608,38830.051,44618.324,47110.112,53359.024,65197.612,74532.887,81335.679,89846.750,93247.676,92440.293,89673.669,84752.474,74636.320,74825.603,90187.725,107900.564,121233.696,133584.741,146175.674,158191.097,170909.484,180954.439,194837.425,211222.094,226411.122,235365.984,236472.075,239482.905,242113.281,232010.684,215125.691,195225.680,172569.181,153007.066,133092.700,114000.745,99846.725,85697.892,72121.343,59531.427,47456.313,38846.405,31710.148,25220.166,20174.366,14961.913,11253.537,8216.610,5874.109,4162.235,2933.521,1826.850,1106.083,715.319,521.665,383.688,246.018,153.217,78.921,28.669,77.684,26.684,21.189,21.628,7.309,18.666,3.787,0.000,155,4,50,1,3.000,1.03,0.00,10.27,9675.80, 15.4,749.9,1.000,1.53,6.16,713.8,ON,152.430,151.937,135.672,181.056,1.685,9.342959e+004,,VanceLab,,,,,Normal Scan,
8,10/10/2022,16:49:00,22.9,80.7,28.6,8.44432e-008,1.83197e-005,,6206.244,6097.826,6480.190,7157.081,6824.671,7921.796,8801.571,9198.435,9993.655,11030.533,11545.509,12708.731,14616.523,15838.828,16940.757,18081.175,20053.261,20268.721,22878.232,24733.027,25910.431,27894.695,28741.747,29665.663,30205.339,30214.618,30401.570,30813.117,31668.436,31855.143,32914.197,32488.410,34539.215,35865.943,35962.942,38890.026,42879.678,44652.370,50724.987,57824.199,63256.813,73789.907,70622.089,69005.622,73440.275,77984.914,85066.743,88607.758,98874.360,102929.637,103654.524,117286.963,127249.069,148694.546,174369.982,195014.554,221715.632,245927.643,271970.334,297064.231,323981.268,351575.356,379712.217,403092.495,422324.821,435577.890,435409.158,430032.165,423007.905,409995.319,388421.772,370529.171,344391.827,321029.181,294481.185,267330.188,241912.216,215192.255,185589.023,161287.832,139051.353,115434.068,95019.508,76959.573,60007.731,44575.797,32826.366,23859.387,16670.716,11672.184,7886.248,4888.730,3214.467,1929.901,1274.271,782.939,508.971,305.432,196.217,167.274,102.098,41.373,31.658,28.723,14.561,26.029,11.316,0.000,155,4,50,1,3.000,1.03,0.00,10.27,9676.45, 15.4,749.9,1.000,1.53,6.16,712.2,ON,159.747,161.652,143.944,162.531,1.707,1.735996e+005,,VanceLab,,,,,Normal Scan,
9,10/10/2022,16:52:00,22.9,80.7,28.4,8.44432e-008,1.83197e-005,,5123.198,4680.447,4207.163,4054.158,4335.504,4779.200,4763.138,5460.887,6233.554,7090.154,7592.839,8481.225,9349.777,11156.199,12286.533,13408.008,15268.150,15878.282,17940.170,19469.368,21916.765,23847.915,26576.880,28414.449,30650.480,32186.765,34719.444,36346.395,38119.493,41287.128,42344.613,44883.573,49103.111,55285.850,58829.873,63883.632,71509.042,76239.287,82552.371,92969.211,99539.305,108121.272,103011.873,102012.422,103657.853,107156.547,113511.206,117607.726,128918.090,134928.187,140638.902,155091.122,168846.562,184043.860,206565.376,226687.351,257138.731,280939.524,313376.144,341228.906,369594.335,402488.381,421895.033,445180.296,459968.544,474438.974,473894.074,477199.137,471208.268,464585.079,443485.764,419539.925,398210.507,371181.552,338870.629,306654.349,273943.234,243190.677,211290.437,180409.194,150776.259,125066.060,99849.741,80152.352,62976.707,46812.023,34577.862,25453.744,17793.618,12679.408,8470.801,5362.149,3731.361,2402.806,1443.269,925.545,534.529,367.246,227.513,125.362,47.645,60.923,53.923,59.123,52.904,29.748,26.405,0.000,155,4,50,1,3.000,1.03,0.00,10.28,9675.15, 15.4,749.9,1.000,1.53,6.16,712.2,ON,157.224,159.316,142.440,174.658,1.674,2.008364e+005,,VanceLab,,,,,Normal Scan,
