Sample File,C:\Users\VanceLab\Desktop\CASA_InLabTests\Wall_Losses\SMPS_20221118_Wall_Loss_Dry.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,Concentration (DW)
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
Date,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022,11/18/2022
Start Time,14:34:00,14:37:00,14:40:00,14:43:00,14:46:00,14:49:00,14:52:00,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:00,15:16:00,15:19:00,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:00,15:40:00,15:43:00,15:46:00,15:49:00,15:52:00,15:55:00,15:58:01,16:01:01,16:04:01,16:07:01,16:10:01,16:13:00,16:16:00,16:19:00,16:22:00,16:25:00,16:28:00,16:31:00,16:34:00,16:37:00,16:40:00,16:43:00,16:46:00,16:49:00,16:52:00,16:55:00,16:58:00,17:01:00,17:04:00,17:07:00,17:10:00,17:13:00,17:16:00,17:19:00,17:22:00,17:25:00,17:28:00,17:31:00,17:34:00,17:37:00,17:40:00,17:43:00,17:46:00,17:49:00,17:52:00,17:55:00,17:58:00,18:01:00,18:04:00,18:07:00,18:10:00,18:13:00,18:16:00,18:19:00
Sample Temp (C),22.5,22.5,22.5,22.5,22.5,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.3,22.4,22.3,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.3,22.3,22.3,22.3,22.4,22.3,22.4,22.3,22.3,22.3,22.4,22.4,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.4,22.4,22.5,22.7,22.8,22.9,23.0,23.1,23.3,23.3,23.4,23.3,23.3,23.2,23.1,23.1,23.0,23.0,23.0,22.9,22.9
Sample Pressure (kPa),81.4,81.4,81.4,81.4,81.4,81.4,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.3,81.2,81.1,81.1,81.1,81.1,81.0,81.0,81.0,81.0,80.9,80.9,80.9,80.8,80.7,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.5,80.5,80.4,80.4,80.3,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.1,80.2,80.2,80.2,80.2,80.1,80.1,80.1,80.1,80.1,80.2,80.3,80.1,80.3,80.2,80.2,80.1
Relative Humidity (%),32.9,32.3,31.8,31.3,30.9,30.6,30.3,30.1,30.0,29.8,29.7,29.6,29.5,29.4,29.3,29.3,29.2,29.1,29.1,29.0,29.0,28.9,28.9,28.8,28.8,28.7,28.6,28.6,28.5,28.4,28.4,28.3,28.2,28.2,28.1,28.0,28.0,27.9,27.8,27.7,27.7,27.6,27.5,27.5,27.4,27.3,27.3,27.2,27.1,27.0,27.0,26.9,26.8,26.8,26.7,26.6,26.6,26.5,26.4,26.4,26.3,26.1,26.0,25.8,25.7,25.5,25.3,25.2,25.0,24.9,24.9,24.8,24.7,24.7,24.7,24.7
Mean Free Path (m),8.35732e-008,8.35732e-008,8.35732e-008,8.35732e-008,8.35732e-008,8.35372e-008,8.36400e-008,8.36400e-008,8.36400e-008,8.36400e-008,8.36400e-008,8.36400e-008,8.36040e-008,8.36400e-008,8.36040e-008,8.36400e-008,8.36400e-008,8.36400e-008,8.36400e-008,8.36400e-008,8.36400e-008,8.36400e-008,8.37430e-008,8.38462e-008,8.38462e-008,8.38462e-008,8.38462e-008,8.39497e-008,8.39497e-008,8.39497e-008,8.39497e-008,8.40535e-008,8.40535e-008,8.40535e-008,8.41213e-008,8.42256e-008,8.43301e-008,8.43301e-008,8.43664e-008,8.43301e-008,8.43664e-008,8.43301e-008,8.43301e-008,8.43301e-008,8.44712e-008,8.44712e-008,8.45398e-008,8.45398e-008,8.46451e-008,8.47507e-008,8.47507e-008,8.47507e-008,8.47507e-008,8.47507e-008,8.47507e-008,8.47872e-008,8.47872e-008,8.48236e-008,8.48966e-008,8.50392e-008,8.49696e-008,8.50061e-008,8.50426e-008,8.51156e-008,8.52219e-008,8.52584e-008,8.52219e-008,8.52219e-008,8.51853e-008,8.50426e-008,8.49367e-008,8.51122e-008,8.49003e-008,8.50061e-008,8.49696e-008,8.50757e-008
Gas Viscosity (Pa*s),1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82958e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.82911e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.83006e-005,1.83102e-005,1.83149e-005,1.83197e-005,1.83245e-005,1.83293e-005,1.83388e-005,1.83388e-005,1.83436e-005,1.83388e-005,1.83388e-005,1.83340e-005,1.83293e-005,1.83293e-005,1.83245e-005,1.83245e-005,1.83245e-005,1.83197e-005,1.83197e-005
Diameter Midpoint (nm)
 15.7,8.650,9.480,376.446,181.893,93.842,62.788,50.991,60.554,58.150,65.177,54.430,57.616,46.568,52.360,53.734,56.276,57.429,49.615,47.064,50.251,44.832,40.113,47.861,39.477,42.574,33.898,34.599,34.683,33.815,29.726,29.588,26.175,32.497,27.947,24.311,22.543,24.832,23.783,24.170,25.482,23.277,21.918,19.905,20.562,20.258,27.272,22.203,20.568,21.430,19.967,20.434,24.487,20.265,21.058,18.590,15.019,20.213,16.406,13.276,12.721,13.782,13.719,11.653,12.543,12.030,11.249,10.693,11.008,9.210,12.564,12.026,10.795,12.708,11.277,9.561,11.635
 16.3,8.066,8.049,385.915,158.449,75.057,54.124,29.536,31.937,25.489,41.256,28.380,30.117,26.248,33.668,30.401,26.334,25.517,25.173,28.937,25.247,27.261,22.448,26.188,24.097,19.914,19.354,19.581,22.663,21.217,18.723,19.260,19.651,16.649,15.286,17.338,12.402,16.526,14.237,14.792,9.816,14.865,9.491,13.533,12.366,13.684,11.640,12.762,12.969,9.831,13.580,11.414,12.841,11.571,9.751,9.624,9.623,10.837,10.472,9.075,9.219,7.166,9.923,7.791,6.020,4.807,4.246,5.434,6.220,6.467,7.884,7.217,7.077,7.410,7.990,6.005,5.610
