Sample File,C:\Users\VanceLab\Desktop\CASA_InLabTests\SMPS_8_29_2022\FreshSmoke\SMPS_freshSmoke_08292022.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4
Date,8/29/2022,8/29/2022,8/29/2022,8/29/2022
Start Time,14:35:00,14:38:00,14:41:00,14:44:00
Sample Temp (C),24.1,24.3,24.5,24.6
Sample Pressure (kPa),81.6,81.5,81.6,81.6
Relative Humidity (%),42.9,42.6,42.3,41.9
Mean Free Path (m),8.39424e-008,8.41172e-008,8.40859e-008,8.41218e-008
Gas Viscosity (Pa*s),1.83770e-005,1.83865e-005,1.83960e-005,1.84008e-005
Diameter Midpoint (nm)
 15.7,0.000,0.000,24883.121,10706.678
 16.3,0.000,0.000,22555.838,12457.060
 16.8,0.000,15.116,18427.636,14947.788
 17.5,0.000,0.000,16653.418,17355.216
 18.1,13.266,0.000,15494.272,20934.556
 18.8,0.000,0.000,16022.104,23502.926
 19.5,11.741,0.000,17936.367,27317.508
 20.2,11.062,11.044,19103.907,29073.446
 20.9,20.768,10.450,21814.976,31793.159
 21.7,0.000,0.000,25778.545,33091.376
 22.5,0.000,0.000,26897.991,33942.151
 23.3,0.000,0.000,28308.386,36635.807
 24.1,0.000,0.000,28087.593,36750.003
 25.0,0.000,0.000,29092.104,39629.168
 25.9,7.050,0.000,28557.527,40693.112
 26.9,13.905,0.000,28591.877,44751.881
 27.9,6.340,0.000,27247.889,48245.654
 28.9,0.000,0.000,27367.834,50519.235
 30.0,11.952,0.000,26974.534,54370.689
 31.1,11.747,88713.560,25582.715,61323.228
 32.2,5.052,358910.767,24441.478,70619.092
 33.4,15.629,600117.096,24184.966,83578.905
 34.6,20.660,765253.836,21999.903,99516.296
 35.9,41.474,894609.579,21568.600,116226.939
 37.2,19.459,1194255.603,21022.429,131341.781
