Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_AgedSmoke_LRH_20230518_dryerNodryer.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023,5/18/2023
Start Time,14:00:00,14:03:00,14:06:00,14:09:00,14:12:00,14:15:00,14:18:00,14:21:00,14:24:00,14:27:00,14:30:00,14:33:00,14:36:00,14:39:00,14:42:00,14:45:00,14:48:00,14:51:00,14:54:00,14:57:00,15:00:00,15:03:00,15:06:00,15:09:00,15:12:00,15:15:00
Sample Temp (C),22.4,22.4,22.4,22.4,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.1,22.2,22.2,22.2
Sample Pressure (kPa),80.1,80.1,80.1,80.1,80.1,80.1,80.2,80.2,80.2,80.2,80.2,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.1,80.0,80.0,80.0,80.0,80.0
Relative Humidity (%),25.6,23.2,21.2,19.6,18.2,17.0,16.0,15.1,14.3,13.6,13.1,12.6,12.1,11.7,11.4,11.0,10.7,10.5,10.2,10.0,9.8,9.7,9.5,9.6,9.4,9.2
Mean Free Path (m),8.48930e-008,8.48930e-008,8.48930e-008,8.48930e-008,8.48565e-008,8.48565e-008,8.47507e-008,8.47507e-008,8.47507e-008,8.47507e-008,8.47507e-008,8.48565e-008,8.48565e-008,8.48565e-008,8.48565e-008,8.48199e-008,8.48199e-008,8.48199e-008,8.48199e-008,8.48199e-008,8.48199e-008,8.49260e-008,8.48894e-008,8.49260e-008,8.49260e-008,8.49260e-008
Gas Viscosity (Pa*s),1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82815e-005,1.82863e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
 16.3,0.000,0.000,0.000,25175.084,12363.533,7555.863,4844.087,3277.253,2079.078,1702.489,1324.670,984.950,1084.044,757.366,707.928,651.573,440.891,541.707,581.109,422.559,444.919,494.394,458.329,390.409,505.385,377.342
 16.8,0.000,0.000,0.000,26690.929,13319.972,7126.906,4669.669,3310.709,2221.282,1473.939,1052.821,895.197,743.202,486.969,460.903,489.000,251.879,405.496,326.774,263.785,219.069,170.008,289.186,318.641,240.469,324.644
