Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_HRH_20230412.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023,4/12/2023
Start Time,10:55:00,10:58:00,11:01:00,11:04:00,11:07:00,11:10:00,11:13:00,11:16:00,11:19:00,11:22:00,11:25:00,11:28:00,11:31:00,11:34:00,11:37:00,11:40:00,11:43:00,11:46:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00
Sample Temp (C),22.4,22.4,22.5,22.5,22.5,22.5,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.7,22.6,22.7,22.6,22.7,22.6,22.6,22.6,22.6,22.6
Sample Pressure (kPa),79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.5,79.4,79.4,79.4,79.4,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.2,79.2,79.2
Relative Humidity (%),19.9,19.9,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.8,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9,19.9
Mean Free Path (m),8.55337e-008,8.55337e-008,8.55705e-008,8.55705e-008,8.55705e-008,8.55705e-008,8.56073e-008,8.56073e-008,8.56073e-008,8.56073e-008,8.56073e-008,8.57151e-008,8.57151e-008,8.57151e-008,8.57151e-008,8.58601e-008,8.58232e-008,8.58601e-008,8.58232e-008,8.58601e-008,8.58232e-008,8.58232e-008,8.59316e-008,8.59316e-008,8.59316e-008
Gas Viscosity (Pa*s),1.82958e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83102e-005,1.83054e-005,1.83102e-005,1.83054e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005
Diameter Midpoint (nm)
 16.3,20.830,0.000,20.835,0.000,17145.052,7282.289,4399.321,2552.536,1804.593,1445.996,1045.189,1061.681,950.043,693.902,791.731,732.574,535.986,629.615,499.177,448.665,418.955,483.986,282.002,378.006,367.514
 16.8,0.000,0.000,0.000,19.495,16919.656,8058.802,3950.066,2172.181,1419.938,1075.670,730.943,527.790,446.863,454.639,337.377,333.083,177.887,368.772,278.414,233.338,186.428,171.642,209.433,193.362,244.545
 17.5,0.000,18.297,0.000,0.000,17546.584,7760.154,3804.509,2056.597,1164.165,828.448,613.356,348.952,236.279,323.190,115.912,130.370,158.288,104.861,122.051,105.204,131.337,103.715,68.347,82.695,85.102
 18.1,24.161,8.610,0.000,0.000,18334.808,8513.017,4312.957,2236.739,1395.569,916.423,513.796,276.017,267.109,216.576,208.925,81.848,85.980,65.828,32.838,57.786,74.204,65.119,40.384,80.332,40.084
 18.8,34.066,0.000,16.248,24.371,19494.156,9473.842,4662.716,2759.300,1366.199,926.006,621.541,452.521,258.683,241.985,101.809,92.035,105.652,53.976,30.771,61.885,69.532,38.137,45.306,22.582,45.069
 19.5,15.238,7.620,0.000,0.000,21267.435,10206.891,5242.015,3050.304,1826.284,1026.507,757.214,570.038,299.402,284.784,151.709,109.542,80.619,94.689,72.670,43.841,29.191,36.030,14.269,35.561,7.097
 20.2,7.195,0.000,7.195,7.195,21648.107,10852.812,6163.767,3565.464,2204.378,1214.430,695.431,586.777,374.623,308.989,199.013,168.486,138.447,158.239,89.235,69.016,82.718,34.035,80.881,26.877,26.823
 20.9,0.000,13.477,0.000,6.763,22894.850,11854.084,6605.856,3951.064,2361.698,1367.431,988.369,572.893,457.850,408.339,223.072,166.124,133.582,173.861,80.163,50.791,51.322,49.866,43.733,19.251,26.708
 21.7,0.000,18.909,0.000,0.000,23753.760,12857.273,7264.287,4403.498,2593.397,1692.635,1176.293,842.602,548.417,420.207,290.431,186.446,130.591,191.980,106.040,77.431,51.175,67.270,96.735,33.380,47.770
 22.5,12.176,5.851,0.000,12.039,26334.698,14099.638,7902.552,5019.765,3253.162,1884.835,1414.602,985.483,581.711,493.808,291.687,269.579,214.480,176.115,195.984,93.631,107.443,101.059,80.136,72.670,45.977
 23.3,17.108,5.530,0.000,0.000,26946.778,15834.409,8675.014,5668.840,3364.607,2226.625,1764.319,1186.465,925.377,578.544,529.609,352.103,329.886,180.007,182.279,137.411,143.941,142.105,93.384,102.872,73.568
 24.1,21.981,16.420,10.576,10.544,29005.309,16845.268,10199.510,5917.069,4686.515,3021.061,2018.186,1522.653,1152.776,741.580,492.103,440.036,389.225,236.705,282.097,252.479,187.166,188.584,132.090,91.944,72.255
 25.0,14.551,4.840,10.160,10.488,31898.641,18218.341,11733.922,7022.081,5102.389,3186.947,2315.366,1686.524,1299.026,805.679,792.210,462.632,354.360,338.567,301.249,247.835,258.834,170.734,139.041,86.342,107.659
 25.9,0.814,9.631,4.740,19.470,34081.092,19962.054,13098.205,8335.229,5490.313,3586.298,2702.180,1987.992,1454.284,981.614,986.691,714.366,516.142,505.259,424.220,338.724,313.097,231.296,191.029,149.535,129.137
