Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_LRH_20230518_dryerNodryer.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23,05/18/23
Start Time,14:00:00,14:03:00,14:06:00,14:09:00,14:12:00,14:15:00,14:18:00,14:21:00,14:24:00,14:27:00,14:30:00,14:33:00,14:36:00,14:39:01,14:42:00,14:45:00,14:48:00,14:51:00,14:54:00,14:57:00,15:00:00,15:03:00,15:06:00,15:09:00,15:12:00,15:15:00
Diameter Midpoint
 16.3,0,0,0,55653.4,27199.8,16897.4,9996.67,6916.04,4101.78,3075.81,1959.14,1908.04,1203.63,925.289,559.904,427.596,528.799,124.423,150.78,152.901,124.423,90.689,62.2116,62.2116,31.1058,90.689
 16.8,0,0,0,61686.9,30889.2,19468,12161,9093.92,5639.97,3724.34,2850.53,1757.55,1509.05,1273.13,584.081,669.477,593.865,262.901,253.116,226.373,253.116,226.373,58.4224,116.845,116.845,90.1018
 17.5,0,0,0,71534.9,34966.8,21734.4,14209.6,7842.15,6596.85,5043.71,3549.52,2346.86,1472.35,1343.93,1342.13,801.223,881.911,329.988,504.193,251.243,267.722,174.205,164.994,93.517,176.014,82.4969
 18.1,0,0,0,76067.2,39900,25240.2,15738.4,11491.8,8265.94,5265.07,3221.01,3572.13,2676.45,1630.44,1054.32,1102.98,689.267,576.414,495.511,500.655,332.812,391.859,265.458,151.421,145.094,155.478
 18.8,0,0,0,79597.4,42882.5,26418,18189.9,12515.5,8750.38,6701.01,5053.74,3703,3189.95,2174.37,1457.51,1334.85,1003.64,900.54,790.373,684.868,531.977,405.85,451.47,188.413,214.471,97.1723
 19.5,0,0,0,87526.7,45208.8,31207.1,20613.9,15074.5,10897,8326.86,6046.51,4551.68,4012.39,2521.16,2251.88,1496.32,1403.69,923.855,1052.7,773.45,686.535,612.133,601.111,367.836,313.989,183.473
 20.2,0,0,0,91844.5,47329.3,33118,21892.3,16622.7,11495,8826.84,7139.7,5212.81,3792.24,3068.69,2719.44,2071.85,1656.74,1269.2,1200.82,817.797,743.532,512.408,549.337,501.789,469.703,220.912
 20.9,0,0,0,92748.1,53546.3,36169.7,26598,18989.3,13715.5,10080.1,7910.54,6896.45,4587.5,3829.15,2777.63,2347.49,2299.25,1581.06,1187.76,812.978,1053.94,928.046,667.156,426.987,602.545,548.132
