Sample File	C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_MRH_20230418.S80
Classifier Model	3080
DMA Model	3081
DMA Inner Radius(cm)	0.00937
DMA Outer Radius(cm)	0.01961
DMA Characteristic Length(cm)	0.44369
CPC Model	3788 High Flow
Reference Gas Viscosity (Pa*s)	1.83245e-005
Reference Mean Free Path (m)	6.73e-008
Reference Gas Temperature (K)	296.15
Reference Gas Pressure (kPa)	101.3
Channels/Decade	64
Multiple Charge Correction	TRUE
Nanoparticle Aggregate Mobility Analysis	FALSE
Diffusion Correction	TRUE
Gas Density	0.0012
Units	dw/dlogDp
Weight	Number
Sample #	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
Date	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23	04/18/23
Start Time	16:09:00	16:12:00	16:15:01	16:18:00	16:21:01	16:24:00	16:27:01	16:30:00	16:33:00	16:36:00	16:39:00	16:42:00	16:45:00	16:48:00	16:51:00	16:54:00	16:57:00	17:00:00	17:03:00	17:06:00	17:09:00	17:12:00	17:15:00	17:18:00	17:21:00	17:24:00	17:27:00	17:30:00	17:33:00	17:36:00	17:39:00	17:42:00	17:45:00	17:48:00	17:51:00	17:54:00	17:57:00	18:00:00	18:03:00	18:06:00	18:09:00	18:12:00	18:15:00	18:18:00	18:21:00	18:24:00	18:27:00	18:30:00	18:33:00	18:36:00	18:39:00	18:42:00	18:45:00	18:48:00	18:51:00	18:54:00	18:57:00	19:00:00	19:03:00	19:06:00	19:09:00	19:12:00	19:15:00	19:18:00	19:21:00	19:24:00	19:27:00	19:30:00	19:33:00	19:36:00	19:39:00	19:42:00	19:45:00	19:48:00
Diameter Midpoint
 16.3	0	0	9239.41	2351.76	1076.15	247.64	106.148	96.2408	35.3885	35.3677	0	0	0	0	34.9439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 16.8	0	0	9486.43	3489.25	948.292	453.077	343.877	164.687	155.421	33.0698	0	33.0782	0	0	0	33.0868	33.0937	0	0	0	0	0	0	0	33.0765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 17.5	0	0	11086.8	3485.54	1238.24	536.564	266.904	257.536	102.452	93.0077	62.0417	62.0204	93.0764	62.0052	31.0224	31.0178	31.024	0	31.0011	0	0	0	30.9995	0	0	0	0	0	31.0148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 18.1	0	0	12369.9	3932.34	1388.51	912.192	436.648	213.703	116.456	9.90986	58.2307	39.018	29.1195	87.2969	87.3502	0	58.2362	29.1044	0	29.0949	0	0	0	0	0	0	0	29.1058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 18.8	0	0	12499.7	4053.8	1850.72	921.761	510.684	307.953	281.913	127.57	109.574	100.213	109.589	54.7575	109.579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 19.5	0	0	13321.5	4784.86	2041.42	1156.04	547.758	320.34	276.278	154.729	51.6028	25.7937	51.6094	25.7881	51.605	103.197	0	0	0	0	25.7992	0	0	0	25.7926	0	0	0	0	25.798	25.7903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
 20.2	0	0	14755.4	5098.39	1935.63	1622.98	908.318	399.991	443.275	253.929	175.683	108.054	97.3242	78.3319	24.329	97.3042	24.33	24.32	0	0	0	72.9544	24.3142	0	24.3201	0	0	0	0	0	0	48.6281	0	0	0	0	0	0	0	0	0	0	24.319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
