Relative Humidity and Temperature Data
TSI Model RHT3000
Date, Time, RH, Temp
04/12/2023, 10:45:49, 79.4, 22.7, 
04/12/2023, 10:45:51, 79.4, 22.7, 
04/12/2023, 10:45:52, 79.4, 22.7, 
04/12/2023, 10:45:53, 79.4, 22.7, 
04/12/2023, 10:45:54, 79.4, 22.7, 
04/12/2023, 10:45:55, 79.4, 22.7, 
04/12/2023, 10:45:56, 79.4, 22.7, 
04/12/2023, 10:45:57, 79.4, 22.7, 
04/12/2023, 10:45:58, 79.4, 22.7, 
04/12/2023, 10:45:59, 79.4, 22.7, 
04/12/2023, 10:46:00, 79.4, 22.7, 
04/12/2023, 10:46:01, 79.4, 22.7, 
04/12/2023, 10:46:02, 79.4, 22.7, 
04/12/2023, 10:46:03, 79.4, 22.7, 
04/12/2023, 10:46:04, 79.4, 22.7, 
04/12/2023, 10:46:05, 79.4, 22.7, 
04/12/2023, 10:46:06, 79.4, 22.7, 
04/12/2023, 10:46:07, 79.4, 22.7, 
04/12/2023, 10:46:08, 79.4, 22.7, 
04/12/2023, 10:46:09, 79.4, 22.7, 
04/12/2023, 10:46:10, 79.4, 22.7, 
04/12/2023, 10:46:11, 79.4, 22.7, 
04/12/2023, 10:46:12, 79.4, 22.7, 
04/12/2023, 10:46:13, 79.4, 22.7, 
04/12/2023, 10:46:14, 79.4, 22.7, 
04/12/2023, 10:46:15, 79.4, 22.7, 
04/12/2023, 10:46:16, 79.4, 22.7, 
04/12/2023, 10:46:17, 79.4, 22.7, 
04/12/2023, 10:46:18, 79.4, 22.7, 
04/12/2023, 10:46:19, 79.4, 22.7, 
04/12/2023, 10:46:20, 79.4, 22.7, 
04/12/2023, 10:46:21, 79.4, 22.7, 
04/12/2023, 10:46:22, 79.4, 22.7, 
04/12/2023, 10:46:23, 79.5, 22.7, 
04/12/2023, 10:46:24, 79.5, 22.7, 
04/12/2023, 10:46:25, 79.5, 22.7, 
04/12/2023, 10:46:26, 79.5, 22.7, 
04/12/2023, 10:46:27, 79.5, 22.7, 
04/12/2023, 10:46:28, 79.5, 22.7, 
04/12/2023, 10:46:29, 79.5, 22.7, 
04/12/2023, 10:46:30, 79.5, 22.7, 
04/12/2023, 10:46:31, 79.5, 22.7, 
04/12/2023, 10:46:32, 79.5, 22.7, 
04/12/2023, 10:46:33, 79.5, 22.7, 
04/12/2023, 10:46:34, 79.5, 22.7, 
04/12/2023, 10:46:35, 79.5, 22.7, 
04/12/2023, 10:46:36, 79.5, 22.7, 
04/12/2023, 10:46:37, 79.5, 22.7, 
04/12/2023, 10:46:38, 79.5, 22.7, 
04/12/2023, 10:46:39, 79.5, 22.7, 
04/12/2023, 10:46:40, 79.5, 22.7, 
04/12/2023, 10:46:41, 79.5, 22.7, 
04/12/2023, 10:46:42, 79.5, 22.7, 
04/12/2023, 10:46:43, 79.6, 22.7, 
04/12/2023, 10:46:44, 79.6, 22.7, 
04/12/2023, 10:46:45, 79.6, 22.7, 
04/12/2023, 10:46:46, 79.6, 22.7, 
04/12/2023, 10:46:47, 79.6, 22.7, 
04/12/2023, 10:46:48, 79.6, 22.7, 
04/12/2023, 10:46:49, 79.6, 22.7, 
04/12/2023, 10:46:50, 79.6, 22.7, 
04/12/2023, 10:46:51, 79.6, 22.7, 
04/12/2023, 10:46:52, 79.6, 22.7, 
04/12/2023, 10:46:53, 79.6, 22.7, 
04/12/2023, 10:46:54, 79.6, 22.7, 
04/12/2023, 10:46:55, 79.6, 22.7, 
04/12/2023, 10:46:56, 79.6, 22.7, 
04/12/2023, 10:46:57, 79.6, 22.7, 
04/12/2023, 10:46:58, 79.6, 22.7, 
04/12/2023, 10:46:59, 79.6, 22.7, 
04/12/2023, 10:47:00, 79.7, 22.7, 
04/12/2023, 10:47:01, 79.7, 22.7, 
04/12/2023, 10:47:02, 79.7, 22.7, 
04/12/2023, 10:47:03, 79.7, 22.7, 
04/12/2023, 10:47:04, 79.7, 22.7, 
04/12/2023, 10:47:05, 79.7, 22.7, 
04/12/2023, 10:47:06, 79.7, 22.7, 
