Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\COMP_Water_SMPS_50nm300nm_20230523.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5
Date,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23
Start Time,13:20:00,13:23:00,13:26:00,13:29:00,13:32:00
Diameter Midpoint
 16.3,196047,148586,143315,146272,141578
 16.8,185728,143799,142635,142054,143215
 17.5,177099,143237,136465,135688,140589
 18.1,168772,139051,137352,136691,138650
 18.8,160744,136951,135774,135337,136522
 19.5,160419,136859,135925,135623,139087
 20.2,162970,143913,144340,144009,142168
 20.9,159816,143535,142284,141856,142703
 21.7,165448,151878,150669,151510,151482
 22.5,173354,160033,160403,161384,158214
 23.3,187496,174755,176342,180149,174131
 24.1,202307,189102,195040,193162,189525
 25.0,218179,208790,215605,218161,210039
 25.9,244640,237636,239953,237589,236395
 26.9,277538,267092,267453,269283,262764
 27.9,312704,296817,300251,298395,297749
 28.9,348612,342871,343841,338487,343244
 30.0,402395,391190,392321,394152,388176
 31.1,466982,459341,450478,449436,451448
 32.2,542197,537422,530578,533416,525997
 33.4,626455,621396,623374,618640,607733
 34.6,747950,728133,724369,733787,713978
 35.9,867191,829772,839682,839594,818662
 37.2,982323,943852,966342,965503,956087
 38.5,1.10015e+006,1.07644e+006,1.08881e+006,1.08033e+006,1.08702e+006
 40.0,1.23325e+006,1.2057e+006,1.20895e+006,1.2177e+006,1.21336e+006
 41.4,1.34168e+006,1.33001e+006,1.31834e+006,1.32762e+006,1.32403e+006
 42.9,1.47095e+006,1.43284e+006,1.43451e+006,1.43981e+006,1.43177e+006
 44.5,1.53614e+006,1.51901e+006,1.51403e+006,1.5163e+006,1.51387e+006
 46.1,1.61231e+006,1.58615e+006,1.57274e+006,1.58293e+006,1.5691e+006
 47.8,1.62977e+006,1.60607e+006,1.58612e+006,1.60549e+006,1.59313e+006
 49.6,1.61875e+006,1.60903e+006,1.58625e+006,1.59287e+006,1.57326e+006
 51.4,1.57054e+006,1.56094e+006,1.54792e+006,1.55773e+006,1.52958e+006
 53.3,1.49453e+006,1.50052e+006,1.47236e+006,1.48222e+006,1.46025e+006
 55.2,1.4061e+006,1.3928e+006,1.39484e+006,1.39407e+006,1.37108e+006
 57.3,1.32846e+006,1.33459e+006,1.32123e+006,1.31906e+006,1.30359e+006
 59.4,1.26749e+006,1.27141e+006,1.25067e+006,1.24974e+006,1.24092e+006
 61.5,1.2161e+006,1.21545e+006,1.1962e+006,1.21217e+006,1.18857e+006
 63.8,1.17302e+006,1.17715e+006,1.15174e+006,1.16645e+006,1.14763e+006
 66.1,1.12981e+006,1.13997e+006,1.12135e+006,1.12666e+006,1.11035e+006
 68.5,1.08558e+006,1.09221e+006,1.08826e+006,1.09084e+006,1.0844e+006
 71.0,1.03677e+006,1.03709e+006,1.03652e+006,1.03614e+006,1.03178e+006
 73.7,990210,982307,982097,975658,976092
 76.4,931758,925165,927902,928877,924668
 79.1,872359,857944,873242,864857,872130
 82.0,815718,802350,809671,805220,809789
 85.1,751160,742422,751509,748875,752483
 88.2,700917,694386,696962,697866,703663
 91.4,637707,638431,637363,646874,649852
 94.7,585641,583354,588557,595619,592995
 98.2,533337,528873,533835,553468,537629
101.8,481500,476136,481288,504140,488585
105.5,432978,432182,432445,450160,445487
109.4,382414,385099,388454,403983,398112
113.4,345559,342845,345540,360667,355379
117.6,307487,306938,303799,320238,312972
121.9,268667,268013,269294,282083,275915
126.3,233965,235888,234960,247434,242133
131.0,201604,205422,206709,217706,211966
135.8,173299,178000,181445,185247,183382
140.7,146365,153784,156272,160733,159021
145.9,122886,130621,132283,134733,136401
151.2,103033,110192,107515,113490,113369
156.8,86552.2,91774.4,86722.6,96094.9,95839.9
162.5,71420.9,78161.8,71504.2,79940.9,80182.7
168.5,59700.8,65118.7,60469.1,66166.8,66127.9
174.7,49077.5,53288.6,49656.2,54727.8,54787
181.1,39585.9,42598.7,40625.6,44584.6,44524.5
187.7,32615.4,34824.1,33655.9,36323.9,35407.5
194.6,25998.9,27585.3,26805.9,29094.8,27879.2
201.7,20891.5,22114.9,20861.8,23886.3,22626.5
209.1,16620.2,16906.9,16382.3,19310.7,18051.5
216.7,13393.1,14015.3,13114.7,15405,14136.2
224.7,11054.8,11477.5,10869.9,12666.5,11895.7
232.9,9189.14,10066.7,9393.28,10605.4,10076.1
241.4,7626,8454.71,7943.62,9022.4,8559
250.3,6874.13,7360.82,6817.28,8012.98,7453.26
259.5,6487.12,6580.78,6182.52,7031.22,6160.18
269.0,6120.61,6178.2,6413.43,6933.21,6112.42
278.8,5698.79,5590.78,6102.95,6072.7,6072.38
289.0,5514.09,5117.7,5748.36,5762.97,5423.43
299.6,4861.14,5039.06,5025.47,5182.06,4899.78
310.6,4712.49,5148.2,4578.98,5139.7,4667.4
322.0,4138.69,4288.09,4282.86,4326.95,4119.07
333.8,3505.35,3710.8,3401.2,3716.35,3660.89
346.0,3058.21,3293.13,2936.92,3029.24,2945.19
358.7,1913.22,2487.56,2251.76,2507.3,2092.43
371.8,1461.04,1345.81,1604.25,1654.36,1492.03
385.4,978.757,1018.85,1110.35,1080.09,1358.47
399.5,842.22,783.298,678.611,865.514,867.969
414.2,1227.31,1079.47,1353.51,1505.66,1318.78
429.4,1277.88,1435.51,1339.32,1588.27,1444.51
445.1,1399.62,1605.63,1612.46,1524.58,1612.48
461.4,1211.07,1363.7,1375.49,1782.74,1603.23
478.3,1268.67,1555.37,1447.32,1506.1,1576.39
495.8,1231.29,1352.08,1571.89,1428.07,1765.62
514.0,1538.21,1441.36,1516.2,1556.72,1730.14
532.8,1515.02,1251.87,1688.28,1359.31,1767.32
552.3,1504.83,1429.16,1341.81,1294.5,1673.41
572.5,1506.29,1369.12,1609.57,1521.5,1579.15
593.5,1440.75,1566.4,1759.16,1612.01,1794.11
615.3,0,0,0,0,0
637.8,0,0,0,0,0
661.2,0,0,0,0,0
685.4,0,0,0,0,0
710.5,0,0,0,0,0
Scan Up Time(s),155,155,155,155,155
Retrace Time(s),10,10,10,10,10
Down Scan First,FALSE,FALSE,FALSE,FALSE,FALSE
Scans Per Sample,1,1,1,1,1
Impactor Type(cm),0.071,0.071,0.071,0.071,0.071
Sheath Flow(lpm),3,3,3,3,3
Aerosol Flow(lpm),1.5,1.5,1.5,1.5,1.5
CPC Inlet Flow(lpm),1.5,1.5,1.5,1.5,1.5
CPC Sample Flow(lpm),0.3,0.3,0.3,0.3,0.3
Low Voltage,14.0228,14.0228,14.0228,14.0228,14.0228
High Voltage,9507.79,9507.79,9507.79,9507.79,9507.79
Lower Size(nm),15.9634,15.9634,15.9634,15.9634,15.9634
Upper Size(nm),723.394,723.394,723.394,723.394,723.394
Density(g/cc),1,1,1,1,1
Title,,,,,
Status Flag,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error 
td(s),1.1,1.1,1.1,1.1,1.1
tf(s),5.51527,5.51527,5.51527,5.51527,5.51527
D50(nm),593.091,593.091,593.091,593.091,593.091
Median(nm),52.6081,53.0342,53.0179,53.134,53.1266
Mean(nm),59.7627,60.3509,60.3384,60.6896,60.6639
Geo. Mean(nm),53.8103,54.4215,54.4128,54.6431,54.6243
Mode(nm),47.8286,49.5807,49.5807,47.8286,47.8286
Geo. Std. Dev.,1.57328,1.56551,1.56543,1.57017,1.57006
Total Concentration(#/cm³),670662,660836,658571,663626,657674
Comment,,,,,
