Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_LRH_20230514_ozonecheck_nodryercomp.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8
Date,5/14/2023,5/14/2023,5/14/2023,5/14/2023,5/14/2023,5/14/2023,5/14/2023,5/14/2023
Start Time,13:51:00,13:54:00,13:57:00,14:00:00,14:03:00,14:06:00,14:09:00,14:12:00
Sample Temp (C),22.1,22.1,22.0,22.0,22.0,22.0,22.0,22.1
Sample Pressure (kPa),81.5,81.5,81.5,81.5,81.4,81.4,81.4,81.4
Relative Humidity (%),8.3,8.7,8.8,8.8,8.7,8.7,8.6,8.5
Mean Free Path (m),8.33270e-008,8.33270e-008,8.32911e-008,8.32911e-008,8.33934e-008,8.33934e-008,8.33934e-008,8.34294e-008
Gas Viscosity (Pa*s),1.82815e-005,1.82815e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82815e-005
Diameter Midpoint (nm)
 16.3,0.000,614.179,530.578,661.753,682.746,665.072,730.836,623.028
 16.8,0.000,543.594,396.563,374.719,335.142,403.758,295.088,297.383
 17.5,0.000,176.545,186.870,146.384,164.995,231.111,233.196,144.061
 18.1,0.000,119.936,156.809,99.689,118.697,81.982,81.502,18.072
 18.8,0.000,34.791,34.784,53.152,25.826,34.355,59.774,45.477
 19.5,0.000,8.878,65.272,55.485,0.000,16.116,24.034,21.289
 20.2,7.701,14.725,0.000,16.610,22.869,22.816,22.685,22.637
 20.9,5.823,5.703,20.352,0.000,13.449,13.415,0.000,17.095
 21.7,24.632,32.570,0.000,18.666,0.000,12.359,5.361,2.114
 22.5,21.742,1.745,0.000,35.609,2.869,0.000,0.000,10.253
 23.3,12.079,0.712,19.238,26.499,2.403,13.202,2.493,9.443
 24.1,47.963,0.000,9.957,34.858,6.242,0.000,0.276,21.294
 25.0,46.178,51.443,11.510,18.393,20.871,27.249,10.521,16.766
 25.9,29.804,54.871,11.111,31.702,14.118,15.212,22.560,5.599
 26.9,81.610,5.929,82.419,56.474,45.653,48.220,38.341,9.080
 27.9,57.275,90.373,136.178,28.960,16.970,33.721,21.811,36.376
 28.9,108.411,76.710,107.011,45.599,64.574,62.934,88.203,68.281
 30.0,108.253,117.064,112.876,112.648,73.460,73.549,77.571,64.893
 31.1,186.786,120.644,153.831,118.534,113.938,77.988,85.505,70.424
 32.2,244.439,263.090,194.612,200.491,196.814,123.636,141.047,144.495
 33.4,315.050,259.101,271.618,212.622,175.814,255.783,172.663,129.663
 34.6,498.617,453.582,336.364,284.265,237.128,336.720,238.242,85.658
 35.9,408.734,427.857,430.624,381.859,281.046,246.096,238.418,217.634
 37.2,657.488,584.861,550.312,395.611,440.250,400.918,326.247,358.014
 38.5,698.438,743.061,676.278,662.136,503.660,461.499,399.231,349.059
 40.0,1041.156,772.012,755.049,710.705,622.237,531.922,479.057,483.347
 41.4,1230.648,1108.109,1056.888,905.552,876.497,744.161,739.538,646.083
 42.9,1617.148,1301.538,1304.496,1076.000,1029.136,856.978,801.973,673.380
 44.5,1848.016,1623.894,1402.559,1282.897,1239.594,1051.090,1128.073,977.010
 46.1,2226.236,2084.865,1751.822,1556.947,1467.341,1343.658,1188.231,1095.661
 47.8,2867.408,2321.374,2142.173,1984.580,1868.948,1721.185,1589.733,1218.873
 49.6,3527.074,2919.182,3058.138,2503.777,2642.946,2358.847,2062.375,1973.531
