Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_MRH_20230519_dryerNodryer.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Date,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23,05/19/23
Start Time,11:50:00,11:53:00,11:56:00,11:59:00,12:02:00,12:05:00,12:08:00,12:11:00,12:14:00,12:17:00,12:20:00,12:23:00,12:26:00,12:29:00,12:32:00,12:35:00,12:38:00,12:41:00,12:44:00,12:47:00,12:50:00,12:53:00,12:56:00,12:59:00,13:02:00,13:05:00,13:08:00,13:11:00,13:14:00,13:17:00,13:20:00,13:23:00,13:26:00
Diameter Midpoint
 16.3,0,0,31.1058,0,31.1058,63155.3,17375.7,7771.81,4199.85,2090.43,983.259,829.343,609.482,365.892,217.741,186.635,124.423,119.674,31.1058,155.529,31.1058,31.1058,0,31.1058,0,31.1058,31.1058,0,0,0,0,0,0
 16.8,0,0,29.2112,0,0,63018.5,21052.6,9225.75,4286.47,1986.31,1677,1041.91,718.115,148.524,399.172,165.482,126.486,175.267,87.6335,58.4224,0,68.064,29.2112,0,58.4224,58.4224,29.2112,58.4224,0,0,29.2112,0,0
 17.5,0,27.499,0,0,0,66798.9,23012.7,10665.6,6320.05,3958.38,2257.1,1371.43,694.979,654.517,542.712,284.201,260.454,164.994,82.4969,109.996,27.499,73.4204,0,27.499,54.998,0,0,0,0,0,27.499,0,0
 18.1,0,25.913,0,0,0,72779,25612.5,12074.4,7006.58,3925.62,2418.41,1620.35,1257.28,759.785,718.343,336.869,316.1,155.478,155.478,103.652,0,54.9897,155.478,181.391,25.913,25.913,25.913,25.913,0,25.913,0,0,3.16373
 18.8,0,0,0,0,0,74949.4,29410.2,13483.7,7771.03,5012.36,2936.92,2285.18,1316.49,931.965,640.448,457.402,340.103,412.982,145.758,97.1723,97.1723,65.747,48.5861,24.2931,20.1268,97.1723,44.4199,0,24.2931,48.5861,24.2931,0,21.3271
 19.5,45.8683,0,0,0,0,79357.4,31611.5,17024,8804.43,5740.98,4188.77,2953.86,1978.83,1768.49,952.99,773.562,677.003,333.879,252.276,183.473,172.451,187.407,103.648,80.7142,95.6699,22.9342,72.7357,68.8025,91.7367,68.8025,0,0,0
 20.2,4.20689,0,0,0,0,81781.1,34475.8,17435.7,11278.5,5701.55,4876.5,3080.47,2373.76,2019.25,977.905,1023.25,452.24,494.741,368.399,220.912,365.558,134.23,118.768,144.645,65.0116,86.6822,43.3411,65.0116,108.353,0,0,0,21.6705
 20.9,16.5161,0,0,0,0,88113.2,38894.8,19506.4,12484.5,8046.83,5290.06,3061.95,2882.92,1874.86,1382.97,1096.28,771.023,571.238,392.058,450.599,338.126,296.336,209.568,184.171,154.267,18.1744,81.8911,23.8315,41.8898,46.8085,25.6682,0,10.8075
 21.7,0,0,0,0,0,89270.7,37688.3,21261.6,12973.6,9144.84,6468.71,4212.97,3296.61,2519.57,2056.16,1145.42,884.578,842.513,657.333,392.531,237.835,393.979,208.892,150.026,194.754,188.627,68.3368,52.1372,47.9918,76.7254,75.8462,20.998,43.6171
 22.5,0,0,0,0,18.4385,93983.7,40491.8,22844.1,15320.8,10223.3,7178.91,4863.68,4315.89,3086.8,1893.06,1578.03,1225.56,981.371,785.196,602.69,318.065,431.765,249.355,198.277,190.613,168.751,123.354,113.605,106.391,92.0547,26.1262,178.497,109.375
 23.3,0,0,0,0,0,91905.8,42908.4,24937,17724.3,11058.3,8360.64,5746.86,4310.32,3417.61,2395.47,2073.91,1906.7,1327.81,928.258,832.389,645.013,648.67,319.592,491.921,224.603,351.69,147.244,239.229,172.692,175.111,129.959,51.6079,88.1501
 24.1,0,0,0,0,0,92818.8,45501.1,27441.2,18915.5,14127.2,9724.18,7710.2,5417.96,3663.39,3133.3,2588.42,2425.44,1790.51,1295.07,940.094,598.606,823.957,527.521,522.677,436.735,229.578,264.658,412.955,253.702,216.376,96.0733,82.0829,141.9
 25.0,0,0,0,0,0,90621.4,51238.1,30240.4,21277.9,15147.1,10515.7,8652,6785.65,4671.17,3890.74,2756.57,2212.42,1636.52,1446,1590.4,934.217,872.122,716.884,543.07,513.017,376.564,370.691,458.406,268.671,292.137,278.554,175.905,228.972
 25.9,30.2691,0,0,0,0,92760.9,54418.5,34721.7,23100.5,16626.7,12959.9,9338.63,7903.68,5967.6,4758.43,3601.53,2615.49,2527.56,1826.45,1724.13,1158.11,1217.5,923.067,669.094,629.392,764.667,449.566,594.259,417.263,384.316,367.986,323.946,282.047
 26.9,0,0,0,0,0,97346.8,58059.9,37459,24638.4,18655,14785.1,12041.2,8484.41,7270.01,5643.48,4943.05,3455.89,3280.21,2372.2,2149.63,1909.7,1727.62,1363.78,949.882,796.293,732.934,716.154,579.351,604.829,539.234,344.848,406.952,268.84
 27.9,0,0,0,0,0,102494,57373.7,38681.5,27807.2,20860.4,16447.2,12715.5,10215,8298.47,6910.64,6003.49,4512.35,3714.08,2883.8,2599.57,2301.47,1725.52,1861.16,1368.85,1167.62,1033.54,800.181,954.89,758.386,572.389,494.488,350.817,408.488
 28.9,0,0,0,0,0,106441,62606.6,41613.5,30568.3,22715.1,19251.8,15315.4,12410.2,9784.47,7903.92,6051.48,5620.95,4712.05,4011.72,3514.48,2816.99,2467.58,2020.95,2158.91,1765.32,1405.13,1232.67,1100.72,897.676,798.844,650.554,900.004,643.592
 30.0,0,12.3592,12.3114,0,0,107148,65928.3,46754.4,34768.4,26763.3,21306.5,17105,13892,11306.5,9506.71,7317.1,6338.23,5434.93,4733.6,4162.46,3485.56,3138.37,2682.6,2512.97,2185.02,1835.85,1656.22,1380.64,1576.7,1180.9,1232.85,956.109,779.497
 31.1,0,0,0,0,0,110907,70882.7,51643.4,37150,30726.7,23829.1,19186.2,16600.5,12773.1,10851.2,9027.31,8099.25,6699.95,6194.51,5445,4302.05,4212.32,3854.02,3430.93,2825.46,2372.57,1970.05,1752.37,2037.62,1395.37,1455.53,1224.25,1005.03
 32.2,11.6359,0,0,0,0,119105,76920.3,55662.2,41785.3,33827.5,26519.5,23042,18745.2,16027.2,13136.9,11602.1,9601.65,8346.7,7097.44,6162.83,5007.59,4229.86,3297.92,3864.64,3345.86,2617.17,2574.25,2175.45,2482.24,2243.74,1892.19,1468.24,1188.34
 33.4,0,0,10.626,0,0,123403,79784,61428.9,46291.6,36887.9,29747.4,24860.9,21388.3,17409.3,14813.3,11819.2,10325.6,9088.2,8162.08,7623.6,5989.2,5799.1,5408.47,3863.57,3325.68,3683.75,3372.68,2911.92,2680.01,2551.74,2047.09,1927.12,1848.51
 34.6,0,0,0,0,0,127027,86135.8,64870.3,50336.4,40570.6,35551.5,28126.5,25139.5,20645.1,17977.7,15249.2,12489.2,11102.8,9525.42,8947.1,7625.65,6622.7,5906.1,5488.66,4608.54,4790.35,3957.93,3819.07,3373.5,2772.17,2745.75,2393.21,2160.21
 35.9,9.74312,19.9675,9.87546,10.2959,0,137186,93134.3,69539.1,54400.5,46418.7,37127,31569.6,27277.5,23910.6,20447,17464.1,15367,13032,12518.2,10678,9163.81,7755.25,7089.3,6245.4,5806.81,5080.25,5379.71,4091.43,4215.36,3998.76,3329.4,3260.63,2734.76
 37.2,0,9.47548,19.1494,0,0,151725,100176,76531.2,59988.9,50894.9,43311.6,36049.9,31899.2,26402.9,22817.1,19197.1,17203,15195,13359.6,12538.2,10812.8,9076.67,8473.94,8111.85,6858.04,6600.85,6345.23,5702.62,5268.64,4610.45,4300.72,4009.85,3378.99
 38.5,0,0,0,0,947404,158379,107115,83777.1,66124.6,54289,47870.3,40581.2,34256.4,31780.2,27003.5,22361.3,20012.3,17674.8,16418.2,15196.6,13251.1,11538.9,10442.8,9732.84,8358.96,7628.63,6836.38,6804.27,6271.03,5628.89,4653.96,4488.85,3826.02
 40.0,0,0,0,0,2.91778e+006,168135,114284,89103.2,71781,62395.6,52503,47529.1,39877.2,36554,30216.7,26490,24048.5,20342.5,19340.4,16597.6,14748.9,13362.5,11916.2,11947.3,10530.3,9339.6,8608.19,8235.59,5733.41,6500.35,6354.96,6026.19,4983.47
 41.4,0,9.54864,0,0,4.33865e+006,176904,122214,97314.8,78151,68391.3,57686.4,51549.7,44751.4,40484.1,33881.5,30740.1,27204.9,24154.8,22053.7,19451.1,17469,16781,14091.3,13115.8,11707.9,10888.5,9633.07,9203.39,3670.16,7962.68,7543.64,6544.5,6828.38
 42.9,7.55492,7.00566,8.43252,0,4.81235e+006,183796,133145,106320,87183.2,75172.6,65069.7,57986.4,50224.3,44694.4,38934.8,35128.5,31952.1,27839.5,25137.8,23240.6,20278.3,18626.1,17697.5,15858.5,15014.7,13031,12834.3,11337.5,1408.22,9782.26,8980.92,7754.53,7440.88
 44.5,0,0,0,15.6456,4.6811e+006,197484,143669,115871,95006,81849.8,71720.2,64297.5,56468.1,50070.1,44290.1,39278.7,36699.2,32100.4,28365.8,26047,23975.5,22703.1,19162.4,18003.1,17253.5,15702,14226.7,13538.1,841.702,11140.3,10914.9,9802.05,8861.87
 46.1,0,0,0,5.26571,4.55004e+006,213177,156417,124200,103967,91867.6,81234.6,72261.2,62186.5,56312.8,50476.6,43256.5,39032.6,35705.9,34133.6,29476.4,27664,25802.6,23427.9,21108.3,19813.1,18781.4,17584.2,15869.4,4452.03,13847.9,12612.3,12725.3,11431.7
 47.8,5.00562,3.43847,13.6561,0,4.04433e+006,230002,169383,136420,112000,100939,88152.1,78799,70565.6,64699.8,56621.9,49880.8,46477.5,41631,38356.4,35326.6,32571.7,28455.5,27730.8,26362.9,23727.7,21663.6,19460.6,18920.1,11353.9,16546.8,16189.5,14229.6,13661.5
 49.6,0,0,0,0,3.50611e+006,251447,184460,148180,124499,111831,97034.8,88719.3,81227,73647.6,63523.3,58555.2,54607.1,47056.3,44450.4,41856.1,36970,34980.9,32992.3,29062.9,28697.9,25480.9,24377.8,22159.6,16389.2,19622.8,18803.6,17402.1,17094.7
 51.4,13.7573,12.8422,6.16778,0,2.83857e+006,263294,197147,162434,137973,125838,111028,97637,87115.6,82275.6,73526,66302.7,60634.5,55913.8,51153.8,47973.8,43622.5,41074.6,37473.9,35051.3,32676.6,29979,29358,26551.4,20803.4,23406,22202.9,20026.9,19752.7
 53.3,0,11.6632,13.8265,4.14718,2.14979e+006,277674,213552,175045,149134,135223,122424,107892,97126.2,91680,81355.1,75327.2,69001.4,63057.4,56893.1,52062.4,49395.8,46828.1,43394.1,39407.8,38174.6,34252.3,33072.5,30735,27205.3,26229.9,25208,22843.2,21833.2
 55.2,11.5809,0,13.8347,0,1.71335e+006,279770,227647,192018,162890,147510,133418,120144,110993,102471,89892.1,83725.3,76907.5,70086.6,65226.6,62137,56672.6,52551.1,49478.6,44790.8,43543.6,40356.3,37828.6,36926.6,31105.8,32954.4,29863.2,27858.9,27078.4
 57.3,9.97821,26.7679,0,0,1.41266e+006,293753,246467,208949,181818,162201,145012,134025,122250,111721,100389,94550.9,86460.2,79931.9,74215.2,70310.3,64444.5,60619.4,57554.4,51535.5,49705,45350.8,44446.9,41341.6,38174,38636,35614.8,32716.6,32113.2
 59.4,17.1942,3.74713,2.28045,10.4587,1.24769e+006,317960,262819,224648,199497,177426,160449,146493,134420,125230,112785,105518,97991.2,89882.8,84994.5,79953.7,71452.9,68550.7,64396.1,59074.3,56458.9,52955.8,50591.6,47532.7,44254.2,42731.4,41094.4,36767.7,35890.8
 61.5,15.8313,7.57518,1.47342,14.5881,1.14371e+006,339433,282858,244243,215319,193824,173504,160055,148595,135966,124363,118163,109603,100511,95274.5,87797.8,82805.4,77128.9,72343.8,67649,64685.7,59681.4,56429.2,54914.4,50057.1,47585.6,46338.2,45480.6,40986.9
 63.8,10.5205,12.4576,7.11638,7.10647,937191,362172,296919,263750,230629,210585,190989,176296,162443,150712,139521,128639,118523,111452,105540,98813.4,91807.1,85603.3,81929.7,75703.4,74338.8,67477.2,65266.6,62403.5,57502.6,55716.1,53837.3,51368.5,48621.6
 66.1,9.92023,32.0709,25.3755,22.7192,779323,377221,321447,281902,250294,228889,205514,193042,181569,166351,153822,142666,132916,124416,118963,107676,104035,96054.1,91836.8,86484.5,82297.8,77146.7,71310.9,71334.6,65297,64118.2,61226.1,56969.1,55093.8
 68.5,24.5936,37.333,26.4554,39.0254,855772,405867,340898,303174,268272,245913,227157,211222,198406,182052,168793,156230,149319,137956,134416,121380,113794,110045,104215,98113.3,92550.6,87474,83459,79916,76472.4,72496.7,67765,66132.7,61975.8
 71.0,32.0991,49.5792,15.9703,7.66618,1.00685e+006,422919,348302,303390,277927,254998,235207,219679,197865,188392,176903,161982,154798,140354,135102,128128,118089,111848,107712,102563,97707.7,89945.4,88308.1,83622,78596.7,76861,72335.9,69423.8,66261.2
 73.7,22.0021,8.20592,25.5756,55.6029,1.15996e+006,447050,366332,316206,292536,265616,244744,228663,211804,198221,188597,173622,163288,152292,145149,134958,129316,121048,114053,110714,104262,98276.7,92855.5,90863.9,86212.9,82532.5,79528.2,75084.1,71921.5
 76.4,2.31883,28.0436,0,28.7118,1.0489e+006,483836,385328,333365,309852,282351,263828,246564,227541,213843,200104,183471,180915,166227,156845,147072,139295,131310,124892,119013,113568,108315,102707,98533,94442.4,90989.2,88845.1,83334.3,78023
 79.1,14.7688,21.629,39.002,23.2909,784663,501323,400627,355877,324830,300521,279350,264413,246681,231259,217426,204767,190161,183395,170705,162207,151851,143643,136189,130167,126308,118677,115257,108739,106531,100041,97607.2,93777.4,89081.3
 82.0,24.8948,11.2904,46.8505,14.3665,477326,507114,425159,378127,344905,317739,298239,273306,260612,242363,233226,214982,204252,193711,182664,171082,163482,157541,146969,139465,136458,128329,126190,118440,113380,109222,103116,100131,96151.7
 85.1,30.9758,7.98377,12.7226,19.1608,217880,527544,439539,397809,354661,332412,314059,296018,276184,256297,245391,227075,218829,208079,199999,179714,175673,168521,157779,152026,146791,140029,136865,130064,122605,117147,114370,107866,103176
 88.2,19.0137,26.7812,39.0108,23.1566,39566.3,545622,464671,417110,373919,349452,331559,311995,289956,274998,263021,242718,233515,223303,209003,198107,187871,180948,171405,163921,157814,148264,144143,141086,133441,127605,124742,118726,113297
 91.4,30.2727,41.0919,31.4388,39.6353,0,561636,482963,423553,391709,366000,345663,324209,308100,284300,275374,257190,246837,234436,221782,210787,203646,192346,184562,178481,167484,161474,156378,148873,142417,135577,134833,125717,123940
 94.7,63.0197,44.6235,37.9261,87.1612,0,577446,497545,442511,405277,379474,360373,341038,320034,299113,285540,268662,259132,246747,235414,221433,214282,203806,198343,186855,180389,170747,168363,158371,152312,145539,141812,135684,130001
 98.2,34.0029,35.6372,21.0151,1.48956,0,600614,507369,458642,420543,390373,373333,350579,335139,312482,302900,285087,271158,258158,244938,237922,225706,217254,207914,199267,190960,180265,178900,168108,162278,156074,153360,145795,141300
101.8,55.4401,44.0077,56.6195,33.1618,79979.7,597784,521424,472441,434827,405513,385468,364143,346303,327624,313626,293776,282274,271237,254368,250316,236476,229233,215999,206937,201432,188537,186938,179280,170889,169359,160338,154297,146440
105.5,38.8125,55.3346,49.0765,52.3337,106856,601230,530364,487333,448851,417863,398846,378757,358651,336187,327320,307099,292308,280629,266976,257702,244981,239435,227894,217532,209611,201588,194730,187354,181723,173394,167473,164079,156963
109.4,39.9825,67.9564,55.8976,46.3845,117022,603446,533917,492997,453259,430074,407809,382186,370797,347896,329993,313628,303130,292865,275035,267477,255524,246906,238737,226983,216996,208747,203093,196320,190599,180959,176379,171255,162743
113.4,57.1837,75.411,110.055,74.7301,275639,602450,533687,502466,465359,438610,413171,394778,374613,358412,341560,324571,314062,298738,286730,279357,265865,258007,246023,233728,227629,219029,212758,206377,197169,191889,183840,176335,171808
