Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_MRH_20230524_dryerNodryer.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23,05/24/23
Start Time,11:50:00,11:53:00,11:56:00,11:59:00,12:02:00,12:05:00,12:08:00,12:11:00,12:14:00,12:17:00,12:20:00,12:23:00,12:26:00,12:29:00,12:32:00,12:35:00,12:38:00,12:41:00,12:44:00,12:47:00,12:50:00,12:53:00,12:56:00,12:59:00,13:02:00,13:05:00,13:08:00
Diameter Midpoint
 16.3,0,0,0,48648.3,17031.3,8046.52,5133.62,3128.53,1702.93,1597.49,739.162,524.049,337.415,277.324,62.2116,93.3174,59.5832,93.3174,93.3174,62.2116,119.674,59.5832,155.529,31.1058,0,31.1058,0
 16.8,0,0,0,52492.2,20181.5,10493.8,5666.75,3821.48,2353.8,1509.29,1414.25,477.021,438.168,362.644,223.905,29.2112,119.313,116.845,116.845,0,0,31.6795,107.06,58.4224,29.2112,19.4264,29.2112
 17.5,0,0,0,56082.5,22825.2,12075.6,7039.12,4143.88,2961.05,1893.91,1607.9,881.911,780.992,606.921,174.205,192.493,121.016,164.994,164.994,164.994,27.499,27.499,174.205,27.499,0,9.21123,0
 18.1,0,0,0,61304,25282.9,13636.5,9573.16,4542.87,3497.56,2429.98,1595.33,1029.3,821.995,459.213,310.956,129.565,326.485,132.729,181.391,233.217,103.652,181.391,51.826,25.913,51.826,51.826,51.826
 18.8,0,0,0,62660.6,28206.6,15695.9,11023.6,6820.64,4510.04,2963.62,2112.23,1656.59,956.258,652.947,550.408,485.861,214.471,308.678,267.224,170.051,145.758,214.471,24.2931,68.713,72.8792,24.2931,48.5861
 19.5,0,0,0,70359.7,31237.5,18196.7,12255.8,7322.06,5185.97,3709.42,2704.37,2025.58,1492.39,1102.62,857.32,781.54,601.111,291.055,241.253,332.99,368.725,107.582,172.451,118.604,160.539,91.7367,0
 20.2,0,0,21.6705,73825.1,34495.9,21319.6,13941.2,9663.37,5889.44,4330,3911.85,2282.67,2167.58,1467.07,856.295,760.995,709.445,586.47,430.569,365.558,284.244,335.473,252.998,108.353,90.8891,177.571,90.8891
