Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_AgedSmoke_LRH_20230509.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Date,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023,5/9/2023
Start Time,13:06:00,13:09:00,13:12:00,13:15:00,13:18:00,13:21:00,13:24:00,13:27:00,13:30:00,13:33:01,13:36:01,13:39:01,13:42:01,13:45:00,13:48:00,13:51:00,13:54:00,13:57:00,14:00:00,14:03:00,14:06:00,14:09:00,14:12:00,14:15:00,14:18:00,14:21:00,14:24:00,14:27:00,14:30:00,14:33:00,14:36:00,14:39:00,14:42:00,14:45:00,14:48:00,14:51:00,14:54:00,14:57:00,15:00:00,15:03:00,15:06:00,15:09:00,15:12:00,15:15:00,15:18:00,15:21:00,15:24:00,15:27:00,15:30:00,15:33:00,15:36:00,15:39:00,15:42:00
Sample Temp (C),22.6,22.6,22.5,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.8,22.7,22.8,22.8,22.8,22.8,22.7,22.7,22.7,22.7,22.7,22.6,22.6,22.6,22.6,22.5,22.5,22.5,22.5,22.5,22.5,22.4,22.4,22.4,22.4,22.4,22.4,22.3,22.3,22.3
Sample Pressure (kPa),80.5,80.5,80.5,80.5,80.4,80.5,80.5,80.5,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.4,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.2,80.2,80.1,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.1
Relative Humidity (%),17.6,16.2,15.0,14.0,13.2,12.5,11.9,11.4,11.0,10.6,10.2,9.9,9.7,9.4,9.2,9.0,8.8,8.7,8.5,8.4,8.3,8.2,8.1,8.0,7.9,7.9,7.8,7.7,7.7,7.6,7.6,7.5,7.5,7.4,7.4,7.4,7.3,7.3,7.3,7.3,7.2,7.2,7.2,7.2,7.1,7.1,7.1,7.1,7.1,7.0,7.0,7.0,7.0
Mean Free Path (m),8.45439e-008,8.45439e-008,8.45075e-008,8.45439e-008,8.46490e-008,8.45439e-008,8.45439e-008,8.45439e-008,8.46490e-008,8.46490e-008,8.46490e-008,8.46854e-008,8.46854e-008,8.46854e-008,8.46854e-008,8.46854e-008,8.46854e-008,8.46854e-008,8.46854e-008,8.46854e-008,8.46854e-008,8.46854e-008,8.46854e-008,8.47218e-008,8.46854e-008,8.47218e-008,8.47218e-008,8.47218e-008,8.47218e-008,8.46854e-008,8.46854e-008,8.46854e-008,8.46854e-008,8.46854e-008,8.47545e-008,8.47545e-008,8.47545e-008,8.47545e-008,8.47180e-008,8.47180e-008,8.47180e-008,8.48236e-008,8.48236e-008,8.49295e-008,8.47872e-008,8.47872e-008,8.47872e-008,8.47872e-008,8.47872e-008,8.47872e-008,8.47507e-008,8.47507e-008,8.48565e-008
Gas Viscosity (Pa*s),1.83054e-005,1.83054e-005,1.83006e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83149e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005
Diameter Midpoint (nm)
 16.3,209.696,337.622,243.029,148.556,196.312,148.553,155.677,161.827,202.697,175.671,121.617,107.866,191.855,80.900,54.066,94.383,135.163,121.350,148.316,40.450,67.417,67.416,67.417,48.631,102.553,94.406,53.946,37.816,136573.371,33731.619,11849.984,5576.521,3080.557,2597.473,2499.874,2094.123,2226.322,1995.174,2012.986,2043.876,1932.658,1782.757,1324.548,1539.248,1543.610,1534.059,1450.828,1491.672,1354.888,1425.038,1357.017,1098.330,1258.690
 16.8,188.932,264.506,188.889,125.954,176.441,151.146,138.551,189.149,169.167,88.220,113.425,62.876,74.426,163.478,50.423,75.451,75.635,37.726,75.451,50.301,100.602,25.150,50.301,37.734,12.575,75.469,25.156,40.016,138129.590,35439.453,10966.881,4837.020,2265.984,1539.981,1309.222,1111.888,1063.375,1012.996,1079.920,1143.995,969.013,1003.290,759.132,714.998,823.340,733.180,978.978,963.678,836.424,734.402,701.881,775.948,718.344
 17.5,129.683,129.683,70.720,153.262,94.368,200.421,176.840,153.262,112.972,165.144,106.164,105.931,94.846,94.162,70.792,70.621,153.382,153.012,47.081,43.955,58.851,70.621,82.391,79.162,23.540,94.182,58.864,35.233,148553.604,37687.119,12219.902,4541.012,2083.665,1384.510,820.554,742.142,813.389,465.206,558.532,552.989,477.646,557.944,486.360,549.284,447.596,442.435,451.939,499.816,306.384,431.106,397.639,342.124,400.198
 18.1,267.797,177.028,68.777,165.964,88.562,77.450,165.964,99.578,88.562,55.351,154.983,110.461,103.474,77.323,88.581,77.323,68.100,67.109,33.138,80.256,33.971,22.092,99.415,47.241,33.138,44.194,88.388,33.066,151528.233,40269.949,13810.459,4661.111,2228.809,1080.658,493.089,571.357,268.367,300.460,263.713,234.884,234.882,251.492,253.788,276.928,260.745,180.171,226.726,221.287,293.961,253.081,131.238,170.738,245.239
 18.8,143.596,93.675,164.237,104.083,166.620,124.900,114.492,135.308,114.551,145.794,83.310,72.738,28.253,10.391,41.663,62.347,50.513,51.173,62.347,41.565,40.781,72.738,10.391,20.787,31.173,72.753,34.742,62.212,158867.173,44599.364,14937.273,6198.423,2323.934,1037.094,683.658,480.168,184.596,195.465,152.257,192.277,96.136,124.721,162.471,86.994,112.093,130.929,122.653,78.537,114.519,114.373,38.021,134.645,73.914
 19.5,147.227,157.042,147.198,88.335,78.560,78.521,68.706,117.782,117.840,137.480,42.800,88.189,57.291,58.793,19.644,39.195,58.933,35.135,88.189,19.598,19.598,29.396,39.195,39.203,19.598,19.601,55.445,29.333,162452.752,49540.387,17581.767,6900.560,2790.915,1267.654,735.145,512.716,201.674,162.506,134.714,72.577,81.648,81.481,63.134,69.977,61.491,70.624,35.620,51.016,9.006,80.953,26.912,33.581,26.168
 20.2,101.826,45.497,147.515,74.055,64.829,138.853,92.569,120.340,111.136,64.829,42.987,110.897,57.650,83.173,27.789,46.207,37.052,31.554,46.207,18.483,36.966,9.241,36.966,18.486,9.241,46.216,36.973,27.665,166739.211,54551.177,19545.721,8474.236,3603.144,1974.253,839.173,386.965,276.802,186.167,68.055,51.370,77.054,42.720,50.723,8.198,0.000,16.549,50.079,25.133,33.766,16.862,33.632,33.464,32.700
 20.9,95.673,79.247,61.302,78.266,95.645,26.038,95.918,52.472,26.126,43.468,69.518,60.828,87.512,17.380,69.606,60.756,42.808,34.684,78.058,25.770,25.847,34.685,43.374,26.074,0.000,34.766,26.074,0.000,167659.402,55662.201,21153.979,8604.479,4372.568,1889.359,1082.517,563.642,378.040,144.362,157.659,114.759,39.030,40.935,10.695,18.642,11.539,28.711,29.540,14.528,30.250,38.422,15.033,7.039,13.346
 21.7,90.589,98.352,131.682,49.286,57.531,49.370,98.513,73.708,82.467,41.062,49.464,16.377,16.574,24.687,65.978,57.271,33.618,32.826,8.213,24.655,24.584,16.373,32.745,8.231,24.605,49.301,16.379,0.000,169461.358,58252.130,24417.164,10746.447,4800.928,2637.807,1355.855,673.325,258.573,248.657,88.278,107.716,79.554,57.814,12.103,15.016,23.617,32.267,27.279,11.797,4.908,28.560,0.000,6.379,5.704
 22.5,78.288,70.436,23.469,54.791,62.750,23.392,39.133,23.287,31.245,23.067,23.499,46.890,54.890,38.992,62.675,31.235,62.675,46.890,23.362,38.992,39.074,15.536,7.712,15.635,7.809,0.000,7.721,0.000,175254.134,63099.300,26634.787,11923.027,5848.627,2857.337,1704.121,781.308,337.255,278.931,255.690,167.562,58.555,54.391,28.665,47.254,68.229,37.326,10.265,24.523,17.709,3.842,11.866,5.304,4.915
