Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_AgedSmoke_LRH_20230512.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Date,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023,5/12/2023
Start Time,10:20:01,10:23:01,10:26:01,10:29:01,10:32:00,10:35:00,10:38:00,10:41:00,10:44:00,10:47:00,10:50:00,10:53:00,10:56:00,10:59:00,11:02:00,11:05:00,11:08:00,11:11:00,11:14:00,11:17:00,11:20:00,11:23:00,11:26:00,11:29:00,11:32:00,11:35:00,11:38:00,11:41:00,11:44:00,11:47:00,11:50:00
Sample Temp (C),22.4,22.4,22.3,22.3,22.3,22.2,22.2,22.1,22.1,22.1,22.0,22.0,22.0,21.9,21.9,21.9,22.0,22.1,22.2,22.3,22.4,22.5,22.5,22.5,22.4,22.4,22.3,22.2,22.2,22.1,22.1
Sample Pressure (kPa),80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.7,80.7,80.7,80.6,80.6,80.4,80.5,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.2,80.2,80.3,80.2,80.2,80.2,80.2
Relative Humidity (%),10.6,10.3,9.9,9.7,9.4,9.2,9.1,8.9,8.7,8.6,8.5,8.4,8.3,8.2,8.1,8.0,8.0,7.9,7.9,7.8,7.8,7.7,7.7,7.6,7.6,7.5,7.5,7.4,7.4,7.4,7.3
Mean Free Path (m),8.41575e-008,8.41575e-008,8.41213e-008,8.41213e-008,8.41213e-008,8.40851e-008,8.40851e-008,8.40489e-008,8.40489e-008,8.41530e-008,8.41168e-008,8.41168e-008,8.42211e-008,8.41848e-008,8.43943e-008,8.42894e-008,8.45358e-008,8.45722e-008,8.46087e-008,8.46451e-008,8.46816e-008,8.47180e-008,8.47180e-008,8.47180e-008,8.47872e-008,8.47872e-008,8.46451e-008,8.47142e-008,8.47142e-008,8.46777e-008,8.46777e-008
Gas Viscosity (Pa*s),1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82719e-005,1.82719e-005,1.82719e-005,1.82767e-005,1.82815e-005,1.82863e-005,1.82911e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82863e-005,1.82863e-005,1.82815e-005,1.82815e-005
Diameter Midpoint (nm)
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,52356.929,15234.662,6383.627,3579.343,2738.987,2622.172,2140.632,1908.868,1822.021,2174.909,1627.435,1991.031,1436.453,1434.522,1402.698,1182.414,1111.942,1042.633,1062.985,818.686,970.894,1028.162,877.764,944.957,837.125
 16.8,0.000,0.000,0.000,0.000,0.000,0.000,51344.180,15460.554,5348.837,2629.067,1833.182,1485.348,1269.277,1227.614,1312.576,1130.424,975.784,820.658,1131.632,623.535,718.307,594.999,525.025,502.056,642.797,587.842,539.898,544.947,445.337,539.186,453.644
 17.5,0.000,0.000,0.000,0.000,0.000,0.000,53149.174,15423.259,5346.602,2489.050,1558.360,987.013,796.498,683.082,565.081,506.262,412.812,339.518,433.905,481.937,272.379,353.827,241.200,234.631,250.643,319.459,225.217,306.931,278.705,273.549,250.782
 18.1,0.000,0.000,0.000,0.000,0.000,0.000,57139.058,16518.869,5433.619,1962.678,1098.870,557.837,566.021,359.920,467.357,371.430,263.600,344.395,232.464,160.997,207.048,76.714,129.666,124.126,75.563,69.733,114.795,94.659,104.915,71.720,148.605
 18.8,0.000,0.000,0.000,0.000,0.000,0.000,58670.467,18758.215,5810.247,2464.740,1082.107,690.345,265.686,174.109,129.583,164.100,93.775,132.011,126.464,58.098,42.363,58.779,75.660,33.361,85.290,65.773,41.640,84.087,65.970,57.202,41.225
 19.5,0.000,0.000,0.000,0.000,0.000,0.000,60441.135,19395.838,7005.532,3056.506,1644.037,591.751,328.196,217.738,126.178,117.475,63.986,103.160,31.639,46.717,47.693,39.390,31.548,7.824,46.380,61.703,39.064,23.234,30.944,30.662,61.876
 20.2,0.000,0.000,0.000,0.000,0.000,0.000,63566.398,22275.654,7898.252,3177.953,1737.298,868.665,340.864,266.287,79.792,55.043,67.937,37.449,37.329,22.051,7.502,14.128,7.444,7.386,7.298,7.282,22.124,7.312,21.911,7.237,21.907
 20.9,0.000,0.000,0.000,0.000,0.000,8.446,64958.280,23720.573,9366.692,3576.633,1675.735,790.597,395.409,206.085,140.218,120.667,112.983,33.347,22.499,17.613,3.895,26.245,33.964,12.969,12.444,0.000,13.135,6.375,12.841,27.057,6.923
 21.7,0.000,0.000,0.000,0.000,0.000,0.000,69120.384,24955.917,9791.812,4205.506,2003.983,923.802,574.167,245.596,162.169,99.069,80.570,44.611,25.004,53.089,15.068,9.687,9.636,17.827,17.784,4.752,0.000,18.934,5.556,0.000,6.046
 22.5,0.000,0.000,0.000,0.000,0.000,0.000,72864.679,26571.483,11257.851,4770.543,2546.662,1259.949,574.781,451.168,154.868,144.620,86.332,48.719,44.939,29.516,36.974,0.000,20.587,3.167,3.357,3.313,4.432,4.441,4.477,0.000,1.165
 23.3,0.000,0.000,0.000,0.000,0.000,0.000,75336.016,29188.830,12156.659,5456.194,2811.722,1516.184,756.460,498.888,259.749,240.649,163.508,49.613,58.201,41.779,42.235,21.766,29.930,14.326,14.425,7.990,3.584,0.000,3.909,9.574,7.819
 24.1,0.000,6.863,0.000,0.000,0.000,0.000,81353.823,31763.369,14029.529,6749.590,3086.532,1907.508,1051.978,452.370,280.363,263.185,194.719,73.999,81.509,39.755,31.566,8.882,25.581,15.879,0.000,29.414,0.000,7.541,2.045,2.827,0.000
 25.0,0.000,0.000,0.000,0.000,0.000,0.000,85408.313,34478.305,16404.780,7256.947,4133.324,2195.625,1151.735,647.393,431.377,262.749,230.489,140.983,131.066,47.534,102.588,12.230,35.899,22.701,19.283,2.761,13.146,7.420,11.143,1.303,8.076
 25.9,0.000,0.000,0.000,0.000,6.123,0.000,86613.739,35766.558,17455.201,8550.177,4885.262,2613.976,1599.409,962.094,496.476,338.739,289.474,151.639,174.318,75.624,64.432,30.896,62.448,33.004,12.695,41.456,18.084,12.744,14.361,4.848,2.334
 26.9,0.000,0.000,0.000,0.000,0.000,0.000,90657.330,40950.870,19175.232,10062.343,5743.861,3204.355,1814.535,1145.188,682.916,538.962,361.511,189.447,209.057,102.155,81.110,14.383,52.259,73.889,44.022,51.174,19.960,26.506,9.200,8.081,0.000
 27.9,0.000,0.000,0.000,0.000,0.000,0.000,94235.760,43581.057,22043.511,12007.409,6540.532,3695.305,2251.720,1557.043,888.000,700.843,481.541,276.088,319.480,180.043,124.038,111.931,70.298,65.268,37.832,36.854,41.396,16.773,18.774,29.256,12.795
 28.9,0.000,0.000,0.000,0.000,0.000,0.000,95442.760,45964.099,24712.071,13358.715,7553.762,4459.956,3017.339,1912.238,1317.397,837.551,544.538,375.593,345.337,239.952,194.808,141.317,73.641,98.391,86.706,32.302,34.028,18.553,22.887,9.967,37.252
 30.0,0.000,0.000,0.000,0.000,0.000,0.000,100471.987,48885.353,25578.882,14747.465,8578.405,5889.085,3314.277,2336.999,1410.998,982.508,634.149,522.126,426.560,242.066,236.132,194.989,96.842,75.995,102.541,78.056,62.378,40.906,74.135,28.961,0.000
 31.1,0.000,0.000,0.000,0.000,0.000,0.000,103703.463,52288.334,28926.038,15996.638,10357.262,6281.751,4129.219,2706.345,1614.591,1258.060,1026.847,678.965,511.917,391.394,310.828,219.407,232.801,128.476,113.808,108.853,91.767,47.729,58.479,57.672,33.791
 32.2,0.000,0.000,0.000,0.000,0.000,0.000,104242.399,54878.698,31380.522,18342.195,10100.741,7272.211,4862.780,3215.254,2137.669,1607.289,1109.213,812.216,667.323,433.846,423.755,287.460,257.489,167.803,154.217,156.346,98.804,98.923,95.649,60.532,66.942
 33.4,0.000,0.000,0.000,0.000,0.000,0.000,108242.390,59254.621,33767.408,20247.240,11089.066,8723.991,5577.875,3884.977,2473.218,1825.479,1222.602,1106.670,674.385,563.999,594.328,405.203,295.525,170.447,156.152,181.020,113.370,153.573,94.499,104.431,83.171
 34.6,0.000,0.000,0.000,0.000,0.000,6387.943,110758.555,61315.345,36123.938,22097.601,12828.011,10459.910,6263.961,4424.860,3153.223,2239.415,1517.137,1289.353,965.135,734.051,629.307,504.790,384.138,302.011,273.339,188.512,198.670,160.322,155.581,118.230,96.775
 35.9,0.000,0.000,0.000,0.000,0.000,39867.962,112693.925,64700.279,39292.359,24267.477,14601.423,11835.674,7326.122,5248.254,3530.763,2809.275,2071.713,1613.542,1252.308,891.484,701.092,583.076,527.396,388.627,296.755,309.100,121.281,129.047,195.592,155.529,105.190
 37.2,0.000,0.000,0.000,4.233,4.233,63247.457,116144.508,66788.378,41961.219,26260.234,16728.270,13993.346,8373.584,5843.710,4027.069,3206.618,2631.183,1689.219,1512.874,970.274,924.925,742.732,562.980,479.958,451.774,345.064,276.490,274.786,215.989,185.211,96.572
 38.5,0.000,0.000,0.000,0.000,0.000,85698.905,116286.360,68714.307,44914.278,28207.257,19278.195,13768.970,9244.195,6841.457,4737.494,3933.846,2705.155,2357.745,1673.003,1469.140,1105.146,952.589,723.304,503.749,475.773,405.191,309.583,253.084,329.143,205.642,183.010
 40.0,0.000,0.000,3.952,0.000,0.000,188336.822,119637.083,72191.803,48214.765,30265.907,21416.985,15487.456,10876.486,7730.332,5322.942,4460.969,3229.290,2402.679,2127.189,1631.838,1279.949,1228.465,919.024,709.683,665.037,557.181,446.719,442.710,265.855,232.438,168.426
 41.4,0.000,0.000,0.000,0.000,3.848,313263.182,122523.726,74524.982,51080.626,33915.481,23645.424,16959.746,11884.549,9051.015,6469.774,5137.893,4003.447,3023.760,2332.530,1899.418,1659.460,1285.827,1002.019,822.613,678.883,553.784,525.054,460.533,445.115,313.538,321.164
 42.9,0.000,0.000,0.000,3.727,0.000,404313.202,125600.117,78857.758,53312.862,36555.681,25595.322,18451.061,12712.239,9978.889,7243.036,5957.354,4225.637,3395.391,2979.654,2295.467,2025.570,1604.153,1393.175,1032.200,740.794,712.199,703.553,571.592,517.515,440.833,373.393
 44.5,0.000,0.000,0.000,3.507,0.000,491999.282,125568.757,81923.255,56683.017,37818.299,27994.949,18590.305,14736.531,11341.499,8179.256,6512.669,4964.338,3957.417,3433.431,2671.287,1955.624,1992.563,1571.695,1401.707,1152.415,864.907,733.495,670.420,626.335,380.188,537.606
 46.1,0.000,0.000,0.000,0.000,0.000,540561.558,130237.503,83230.699,59766.867,41448.286,30271.136,16374.875,16386.004,12556.542,9251.208,7335.093,5779.332,4938.753,3777.527,2886.291,2397.329,2073.289,1845.634,1575.544,1203.302,1164.447,939.534,806.686,688.909,567.170,469.592
 47.8,0.000,0.000,0.000,0.000,0.000,524475.956,134650.183,89042.119,63047.572,44502.694,32794.066,15574.926,18430.387,14088.815,10780.110,9207.581,7338.817,5698.159,4795.225,3970.976,3274.233,2698.735,2416.334,1958.232,1481.925,1401.914,1283.230,1019.817,1070.984,770.719,778.376
 49.6,0.000,0.000,0.000,0.000,0.000,511495.087,140504.393,95031.350,69475.653,49951.220,37730.685,16294.436,22604.484,16777.060,13017.070,10704.216,8950.285,7200.683,5908.936,5046.218,4287.587,3748.767,3264.312,2843.909,2303.102,1916.939,1971.796,1584.470,1293.025,1230.992,1138.408
 51.4,0.000,0.000,0.000,0.000,0.000,504183.530,149111.975,101286.719,74165.079,55441.134,42149.226,16695.271,24817.594,19789.600,15784.916,12773.488,10628.758,8299.085,7352.815,6209.165,5797.640,4774.868,4086.974,3536.373,3134.873,2604.445,2696.770,2379.043,1716.186,1723.234,1412.914
 53.3,0.000,3.183,0.000,0.000,0.000,475902.179,154890.729,109238.554,80014.456,59878.988,46800.894,21585.354,27985.147,22511.474,17483.221,14961.770,12282.504,10108.060,8975.848,7260.308,6583.172,5891.333,4728.691,4244.094,3646.872,3175.340,3057.833,2745.618,2227.891,2111.362,1856.726
 55.2,0.000,0.000,0.000,0.000,0.000,411350.899,163361.754,117971.640,85718.746,67271.566,50323.166,27499.340,31545.360,26821.145,20455.444,17516.567,14632.691,12141.967,10044.362,9067.360,7727.255,6784.324,5926.840,4994.377,4227.645,4096.116,3872.977,3278.753,2783.033,2771.951,2698.300
