Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_AgedSmoke_LRH_20230516_dryerNodryer.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Date,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023,5/16/2023
Start Time,10:00:00,10:03:00,10:06:00,10:09:00,10:12:00,10:15:00,10:18:00,10:21:00,10:24:00,10:27:00,10:30:00,10:33:00,10:36:00,10:39:00,10:42:00,10:45:00,10:48:00,10:51:00,10:54:00,10:57:00,11:00:00,11:03:00,11:06:00,11:09:00,11:12:00,11:15:00,11:18:00,11:21:00,11:24:00,11:27:00,11:30:00,11:33:00,11:36:00,11:39:00,11:42:00,11:45:00,11:48:00,11:51:00
Sample Temp (C),22.5,22.5,22.5,22.5,22.5,22.5,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.3,22.3,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.5,22.5,22.5,22.5,22.5,22.4,22.4,22.4,22.4,22.3,22.3,22.2
Sample Pressure (kPa),80.9,80.9,80.9,80.9,80.9,80.9,80.8,80.8,80.7,80.6,80.5,80.4,80.2,80.1,80.0,80.0,80.0,80.0,80.0,79.9,80.0,79.9,79.9,79.9,79.8,79.8,79.8,79.8,79.8,79.7,79.7,79.7,79.7,79.7,79.7,80.2,80.2,80.2
Relative Humidity (%),6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.9,7.0,6.9
Mean Free Path (m),8.40897e-008,8.40897e-008,8.40897e-008,8.40897e-008,8.40897e-008,8.40897e-008,8.41575e-008,8.41575e-008,8.42618e-008,8.43664e-008,8.44712e-008,8.45762e-008,8.47872e-008,8.48565e-008,8.49625e-008,8.49991e-008,8.49991e-008,8.49991e-008,8.49991e-008,8.51055e-008,8.49991e-008,8.51055e-008,8.51055e-008,8.51055e-008,8.52121e-008,8.52121e-008,8.52488e-008,8.52488e-008,8.52488e-008,8.53558e-008,8.53558e-008,8.53191e-008,8.53191e-008,8.53191e-008,8.53191e-008,8.47507e-008,8.47507e-008,8.47142e-008
Gas Viscosity (Pa*s),1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82863e-005
Diameter Midpoint (nm)
 16.3,0.000,0.000,0.000,19583.804,6177.296,2996.819,2148.136,2318.205,1739.082,1583.667,1751.851,1409.664,1399.792,1379.653,1320.012,949.443,990.885,952.486,1016.410,1098.649,1074.501,857.235,864.686,817.763,773.710,721.276,662.012,679.741,533.983,600.643,660.747,535.887,574.044,518.197,556.050,773.964,612.489,593.444
 16.8,0.000,0.000,0.000,18306.562,5125.510,1965.538,1408.891,1335.578,903.025,767.648,858.685,706.125,740.366,773.693,567.965,549.629,575.646,459.686,543.159,584.477,537.549,576.450,438.127,475.671,414.351,453.905,323.850,391.195,308.150,255.957,386.402,273.913,319.953,374.989,272.568,290.591,362.599,319.328
 17.5,0.000,0.000,0.000,19817.823,5071.054,1889.370,937.049,598.153,539.881,495.360,430.117,408.570,273.440,320.582,346.300,220.094,217.004,259.494,342.666,245.365,241.191,249.398,277.389,214.805,151.749,273.483,216.416,161.473,139.586,109.218,191.052,163.426,137.156,150.659,109.196,219.362,174.590,300.175
 18.1,0.000,0.000,0.000,20417.444,5304.831,1748.486,753.455,399.751,250.236,227.473,143.429,185.272,115.550,202.222,123.507,101.960,123.311,149.439,131.204,114.877,138.358,128.721,104.802,138.089,99.411,63.360,62.715,103.745,110.764,82.341,82.188,68.161,74.839,40.671,54.885,105.055,94.018,62.858
 18.8,0.000,0.000,0.000,21617.284,6139.552,1980.413,679.345,413.783,151.698,173.299,86.968,131.571,87.748,49.467,76.177,34.598,27.385,61.449,61.913,60.994,48.108,54.688,53.958,66.195,53.626,46.525,26.318,52.246,19.610,25.919,6.469,19.312,19.276,6.402,142.531,29.210,36.700,36.807
 19.5,0.000,0.000,0.000,24022.477,6766.586,2321.169,660.337,397.374,205.567,108.382,82.142,95.054,74.512,40.093,58.946,32.722,12.951,19.445,19.520,32.054,26.001,19.398,0.000,19.233,12.684,6.288,31.128,24.720,6.186,24.528,24.484,12.184,18.244,6.060,252.072,20.709,0.000,6.958
