Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_AgedSmoke_LRH_20230517_dryerNodryer.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Date,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023,5/17/2023
Start Time,13:50:00,13:53:00,13:56:00,13:59:00,14:02:01,14:05:01,14:08:00,14:11:00,14:13:59,14:17:00,14:20:00,14:23:00,14:26:00,14:29:00,14:32:00,14:35:00,14:38:00,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:00,15:05:00,15:08:00,15:11:00,15:14:00
Sample Temp (C),22.6,22.6,22.6,22.6,22.7,22.6,22.7,22.7,22.7,22.7,22.7,22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5,22.5
Sample Pressure (kPa),80.1,80.1,80.1,80.1,80.1,80.1,80.2,80.1,80.1,80.0,80.0,79.9,79.9,79.8,79.8,79.7,79.6,79.5,79.5,79.4,79.4,79.4,79.3,79.3,79.3,79.2,79.2,79.2,79.2
Relative Humidity (%),18.3,16.9,15.7,14.7,13.9,13.2,12.5,12.0,11.5,11.1,10.7,10.4,10.1,9.8,9.6,9.4,9.2,9.0,8.9,8.7,8.6,8.5,8.4,8.3,8.2,8.1,8.0,7.9,7.7
Mean Free Path (m),8.49661e-008,8.49661e-008,8.49661e-008,8.49661e-008,8.50026e-008,8.49661e-008,8.48966e-008,8.50026e-008,8.50026e-008,8.51089e-008,8.51089e-008,8.51788e-008,8.51788e-008,8.52855e-008,8.52855e-008,8.53925e-008,8.54998e-008,8.56073e-008,8.55705e-008,8.56783e-008,8.56783e-008,8.56783e-008,8.57863e-008,8.57863e-008,8.57863e-008,8.58946e-008,8.58946e-008,8.58946e-008,8.58946e-008
Gas Viscosity (Pa*s),1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83102e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005
Diameter Midpoint (nm)
 16.3,0.000,0.000,0.000,9267.289,3795.881,2397.178,1417.888,1086.166,925.435,790.898,1065.192,913.890,875.993,860.059,722.723,745.932,881.261,553.276,612.826,651.980,545.252,569.767,581.936,518.896,469.944,473.713,649.725,576.914,512.090
 16.8,0.000,0.000,0.000,9954.997,3806.615,1734.769,1099.057,853.053,654.168,518.114,479.431,515.626,320.813,299.802,366.825,508.448,260.424,318.527,240.020,371.669,243.009,233.693,345.042,249.307,291.823,291.750,311.822,196.929,216.287
 17.5,0.000,0.000,0.000,10554.645,3762.645,1724.576,1168.640,667.985,415.579,390.988,349.736,346.130,161.491,184.801,159.130,270.921,135.852,186.177,193.450,119.163,102.459,219.814,77.626,152.460,275.936,97.630,158.009,96.305,127.442
 18.1,0.000,0.000,0.000,11594.015,4359.038,2201.605,1040.054,629.981,355.467,245.285,199.223,94.461,117.941,132.588,59.130,116.728,70.031,53.040,82.998,66.924,59.017,58.784,50.859,57.954,427.280,49.199,21.125,77.457,38.973
 18.8,0.000,0.000,0.000,12577.292,5418.259,2387.918,1087.513,755.794,407.003,239.599,179.748,113.412,48.104,77.652,121.228,51.908,29.161,42.885,56.941,42.096,20.883,27.735,27.426,20.511,489.676,19.905,26.590,39.884,17.115
 19.5,0.000,0.000,0.000,14218.789,5460.586,2777.440,1559.005,853.720,575.660,310.034,260.602,136.785,97.179,58.680,35.793,21.024,34.455,27.029,20.188,33.170,0.000,26.229,25.939,25.865,342.985,6.277,25.156,18.867,6.301
 20.2,0.000,0.000,0.000,15319.295,6381.244,3471.402,1761.936,905.708,626.091,418.723,296.694,165.031,127.070,83.141,81.161,52.979,65.126,25.550,51.942,0.000,6.224,37.201,6.132,0.000,312.209,29.690,17.847,0.000,15.850
 20.9,0.000,0.000,0.000,16494.379,7133.684,3672.113,2039.503,1312.629,766.320,460.427,367.408,165.190,182.309,82.548,102.256,39.074,79.124,36.445,29.907,30.735,25.835,0.000,14.469,21.094,208.363,20.666,3.855,4.141,6.036
 21.7,0.000,0.000,0.000,18633.583,7998.991,3912.135,2489.376,1544.197,982.316,494.383,360.080,220.973,168.942,84.552,133.332,55.516,41.586,35.330,32.626,20.876,15.823,12.055,1.760,0.000,89.420,0.000,12.287,8.701,14.027
 22.5,0.000,0.000,0.000,19987.622,8818.187,4800.191,2848.630,1638.363,1018.829,724.325,412.631,323.873,247.923,157.644,99.773,85.804,102.073,41.777,57.908,33.023,29.193,19.880,9.026,5.231,69.758,26.115,0.856,17.158,11.770
 23.3,0.000,0.000,0.000,22900.431,10259.493,5714.360,3654.413,2258.520,1459.576,999.119,618.824,353.992,156.178,212.429,153.694,122.567,68.650,81.623,46.859,32.054,49.452,29.749,49.760,12.307,24.574,12.476,17.982,18.748,9.614
 24.1,0.000,0.000,0.000,24342.089,11589.452,6774.489,4058.111,2643.764,1780.468,1076.619,684.344,486.296,356.226,190.844,178.955,125.780,185.118,46.287,59.162,59.997,37.827,34.510,6.405,23.017,29.154,31.980,5.608,15.669,4.899
 25.0,0.000,0.000,0.000,27153.304,13156.413,8046.257,5099.162,3021.102,2057.594,1274.369,1111.234,709.985,595.173,332.487,241.479,194.626,256.316,91.706,122.217,108.834,29.351,78.704,13.247,44.008,60.482,26.574,35.364,31.846,16.406
 25.9,0.000,0.000,0.000,30818.297,15079.047,9000.209,6077.037,3649.409,2450.717,1708.782,1137.586,1040.462,551.556,443.407,365.006,258.707,152.709,183.584,109.688,116.076,78.103,64.057,61.222,39.153,73.175,25.875,32.214,67.684,23.818
 26.9,0.000,0.000,0.000,33815.942,17413.220,10548.817,6960.093,4783.441,2954.420,1982.931,1559.257,1088.236,916.375,651.849,421.903,271.971,260.661,181.461,167.554,141.276,84.851,54.072,45.936,44.819,35.996,29.490,21.959,41.492,62.090
 27.9,0.000,0.000,0.000,37099.705,19418.834,12190.623,8054.430,5392.922,3813.390,2927.625,1909.207,1543.352,1017.659,811.645,603.862,337.211,405.994,278.294,283.738,189.775,175.127,98.909,114.074,118.806,79.678,116.817,50.701,56.171,28.934
 28.9,0.000,0.000,0.000,39438.977,21646.209,14005.660,9096.330,6193.912,4593.980,2986.460,2615.959,1670.274,1134.836,1078.031,833.360,560.136,465.148,348.129,281.565,221.723,196.267,189.574,160.104,137.945,117.666,121.283,76.569,95.513,111.447
