Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_AgedSmoke_MRH_20230519_dryerNodryer.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
Date,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023,5/19/2023
Start Time,11:50:00,11:53:00,11:56:00,11:59:00,12:02:00,12:05:00,12:08:00,12:11:00,12:14:00,12:17:00,12:20:00,12:23:00,12:26:00,12:29:00,12:32:00,12:35:00,12:38:00,12:41:00,12:44:00,12:47:00,12:50:00,12:53:00,12:56:00,12:59:00,13:02:00,13:05:00,13:08:00,13:11:01,13:14:01,13:17:00,13:20:00,13:23:00,13:26:00
Sample Temp (C),22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.2,22.2,22.3,22.3,22.3,22.2,22.2,22.2,22.1,22.1,22.1,22.1,22.1,22.0,22.0,22.1,22.1,22.2,22.2,22.3
Sample Pressure (kPa),81.1,81.1,81.1,81.1,81.1,81.1,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.1,81.2,81.2,81.2,81.1,81.0,81.1,81.0,81.0,81.0,81.0
Relative Humidity (%),36.7,32.4,29.0,26.1,23.7,21.8,20.1,18.7,17.5,16.4,15.5,14.7,14.0,13.4,12.9,12.4,12.0,11.6,11.3,11.0,10.7,10.5,10.3,10.1,9.9,9.8,9.7,9.5,9.4,10.4,17.1,23.7,29.4
Mean Free Path (m),8.37380e-008,8.37380e-008,8.37380e-008,8.37380e-008,8.37380e-008,8.37380e-008,8.36349e-008,8.36349e-008,8.36349e-008,8.36349e-008,8.36349e-008,8.36349e-008,8.36349e-008,8.36709e-008,8.36709e-008,8.37069e-008,8.37069e-008,8.37069e-008,8.36709e-008,8.36709e-008,8.36709e-008,8.36349e-008,8.37380e-008,8.36349e-008,8.36349e-008,8.36349e-008,8.37019e-008,8.38052e-008,8.37380e-008,8.38414e-008,8.38775e-008,8.38775e-008,8.39136e-008
Gas Viscosity (Pa*s),1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82863e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82767e-005,1.82767e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82863e-005,1.82911e-005
Diameter Midpoint (nm)
 16.3,0.000,0.000,0.000,0.000,0.000,31994.990,9234.169,4430.232,3015.752,2061.603,1551.639,1186.631,1117.144,1043.696,1013.796,1024.901,829.681,1010.500,810.694,873.731,924.765,765.202,608.987,778.275,791.554,823.128,816.323,742.181,765.384,984.367,810.113,807.116,847.699
 16.8,0.000,0.000,0.000,0.000,0.000,30138.249,9850.121,4362.567,2192.350,1575.172,1163.263,812.762,741.993,549.630,501.212,500.035,514.054,359.373,413.652,480.466,407.648,435.938,417.933,384.221,393.866,422.162,455.138,342.379,364.092,548.847,545.891,424.152,453.258
 17.5,0.000,9.203,0.000,0.000,0.000,30933.062,9922.465,5168.686,2572.946,1401.421,955.912,687.178,446.172,445.559,377.040,251.180,208.142,218.365,166.814,209.074,182.235,183.947,149.467,180.318,161.145,207.570,147.396,183.713,200.481,235.120,234.537,181.306,507.187
 18.1,0.000,0.000,0.000,0.000,0.000,32255.446,10604.116,4888.453,2449.002,1640.088,782.182,627.567,484.740,292.460,266.116,150.960,151.352,80.403,110.369,71.538,97.461,141.086,79.128,80.373,35.680,79.912,95.389,69.174,43.317,93.658,136.256,102.417,76.743
 18.8,0.000,0.000,0.000,0.000,0.000,31396.144,11253.808,5756.537,2894.283,1707.556,1258.059,798.043,426.610,377.481,209.156,157.648,75.568,90.974,50.425,50.599,83.566,33.269,49.759,42.110,67.299,58.619,49.085,65.260,32.693,23.937,55.862,88.585,87.898
 19.5,0.000,7.667,7.667,0.000,0.000,31819.208,12010.096,6033.330,3625.365,1886.021,1453.330,881.453,545.210,392.224,304.909,158.286,126.032,112.253,55.192,44.695,54.877,7.803,0.000,47.407,47.353,31.424,19.033,7.652,15.335,37.679,30.149,30.215,15.093
 20.2,0.000,0.000,7.240,0.000,0.000,33862.012,13367.216,6784.518,3782.874,2311.887,1590.745,830.289,642.901,393.768,399.010,260.028,174.084,74.612,89.315,54.897,74.011,29.466,58.761,7.458,37.250,44.498,25.507,7.227,7.239,14.235,7.118,7.135,21.383
 20.9,0.000,0.000,0.000,0.000,0.000,35495.754,13705.926,7122.981,3809.793,2524.773,1679.995,889.169,801.886,489.541,455.719,274.853,124.640,130.711,113.628,53.218,50.258,40.283,40.901,36.109,30.302,31.459,10.220,10.603,18.889,4.374,24.808,0.000,17.561
 21.7,0.000,0.000,0.000,0.000,6.444,36133.802,14548.293,7979.320,4455.338,3061.342,1892.180,1286.792,960.351,595.911,385.197,298.859,244.185,117.367,180.899,136.058,81.387,39.524,35.813,25.055,39.529,33.806,1.657,20.335,3.328,27.128,15.239,28.228,16.173
 22.5,0.000,0.000,0.000,0.000,0.000,36240.733,14934.352,8748.259,5311.784,3087.631,2204.345,1388.405,1018.369,735.794,609.431,412.868,265.873,136.905,172.006,150.547,126.030,74.997,42.942,51.560,29.456,35.807,16.186,17.802,26.920,23.786,24.761,0.000,18.887
 23.3,0.000,0.000,0.000,3.712,0.000,37173.092,16435.388,8951.996,5945.201,3615.211,2640.341,2042.117,1178.845,918.776,723.800,443.806,337.036,324.782,205.564,153.271,138.073,74.087,81.945,63.735,33.560,59.880,35.057,36.268,10.677,46.275,31.865,21.854,15.249
 24.1,0.000,0.000,0.000,2.059,0.000,36981.553,17091.529,9923.530,6260.360,4177.566,2728.657,2094.995,1522.344,944.051,869.382,708.219,393.517,381.669,326.802,249.461,172.352,144.895,116.204,95.445,85.043,44.581,23.475,42.043,46.175,55.837,33.003,27.741,0.168
 25.0,0.000,0.000,0.000,0.000,0.000,39546.037,18559.193,11273.862,6703.463,4624.001,3383.110,2588.131,1560.966,1161.402,996.431,776.315,601.062,341.546,398.088,336.517,177.946,138.086,118.714,112.905,130.578,98.063,99.439,39.971,45.826,66.187,39.898,40.360,28.604
 25.9,0.000,3.067,0.000,0.000,0.000,42142.619,19365.921,11259.004,7702.116,5331.808,3912.300,2806.148,1989.090,1638.560,1178.294,715.039,629.958,552.044,340.038,311.994,177.191,187.683,212.143,208.128,157.813,95.284,67.479,52.870,28.952,113.120,77.915,59.789,76.459
 26.9,0.000,6.805,0.000,0.000,0.000,42542.817,20271.816,12732.699,8252.168,5978.718,4500.379,3253.064,2233.768,1649.206,1354.320,1085.012,981.868,820.915,484.118,401.883,270.962,266.970,231.258,250.659,168.722,129.125,119.603,77.982,40.861,104.117,112.179,71.088,85.768
 27.9,4.714,4.712,0.000,0.000,0.000,44613.573,21860.351,13693.568,9376.050,6403.980,4918.931,3675.125,2639.180,2174.559,1674.854,1238.049,1095.327,824.466,695.722,540.043,417.126,348.158,327.530,289.829,201.982,99.211,129.863,98.192,121.349,134.209,123.217,40.206,77.898
 28.9,0.000,0.000,4.406,0.000,0.000,45583.863,24131.924,14210.360,10555.079,7354.129,5667.699,4179.663,3095.381,2672.423,1914.879,1628.277,1185.605,995.440,869.898,556.968,545.898,471.064,355.873,347.750,308.074,234.141,211.443,176.768,148.550,194.366,136.567,86.630,109.896
 30.0,0.000,0.000,0.000,0.000,0.000,45851.779,24940.552,15570.187,11585.620,8384.757,6114.885,4528.452,3911.804,2910.209,2286.854,2009.570,1507.433,1310.006,983.584,771.733,683.223,633.297,563.764,464.125,368.487,271.860,259.474,228.458,125.711,175.249,162.103,154.542,200.396
 31.1,0.000,0.000,8.264,4.070,4.174,45106.815,25898.748,16432.697,12110.798,9264.697,6985.540,5382.506,4253.392,3578.268,2803.494,2176.518,1797.685,1470.068,1194.674,1117.035,919.500,811.832,633.030,504.021,441.432,376.035,290.077,345.520,194.203,301.186,242.635,236.621,180.192
 32.2,0.000,4.017,0.000,0.000,4.013,46260.548,27704.816,18551.530,13782.913,10004.056,8404.996,6152.360,4917.911,3553.286,3399.317,2604.125,2095.797,1826.693,1433.486,1154.977,1039.449,936.356,721.531,653.001,461.899,457.699,465.717,365.994,417.513,355.956,305.743,244.094,299.509
 33.4,3.673,0.000,0.000,0.000,0.000,48555.421,29194.310,20056.063,14568.746,11287.333,8795.118,7332.495,5719.898,4605.337,3882.119,2947.023,2594.547,2213.273,1918.075,1640.849,1427.877,1103.718,775.472,857.225,707.886,582.954,569.710,508.860,446.535,553.367,410.433,340.106,376.607
 34.6,3.755,0.000,0.000,0.000,0.000,50562.334,30768.793,21369.860,15659.671,12007.049,9779.037,7576.279,6514.053,5476.819,4564.969,3538.924,3115.009,2586.465,2034.626,1763.492,1479.077,1334.670,1130.811,971.620,800.405,797.000,637.033,482.837,670.418,592.436,477.139,472.642,464.804
 35.9,3.608,0.000,0.000,0.000,0.000,52204.194,32900.443,23115.492,17866.849,13131.831,10911.864,9113.484,6949.209,6253.923,4947.697,4035.101,3487.781,3237.938,2527.754,2109.150,1788.895,1649.433,1397.998,1076.697,924.375,963.412,759.905,619.115,923.994,784.361,704.665,691.264,526.180
 37.2,0.000,0.000,0.000,0.000,0.000,54960.949,33806.308,25406.345,18987.775,15161.997,11597.071,10254.692,8331.205,6931.130,5942.844,5153.421,4036.229,3343.965,3177.288,2667.544,2172.559,1966.515,1522.942,1455.352,1270.989,1172.808,854.242,822.508,1118.682,879.703,790.253,900.985,672.467
 38.5,0.000,3.400,0.000,0.000,0.000,57198.276,36562.702,26455.406,20788.489,16403.318,13402.369,11201.203,8948.591,7979.433,6484.238,5486.603,4801.870,3940.697,3588.799,3207.896,2762.038,2422.609,1949.739,1798.577,1369.817,1581.491,1255.747,928.556,1320.177,1201.857,1026.774,1104.704,797.817
 40.0,0.000,0.000,2.450,0.000,0.000,60454.935,40310.624,29610.682,23179.107,18000.577,14669.579,12481.244,10274.448,8849.329,7710.680,6366.181,5338.416,5136.071,4192.097,3644.638,3205.316,2654.368,2375.994,2157.888,1767.378,1531.502,1563.936,1307.039,1522.679,1430.512,1344.526,1207.645,1055.698
 41.4,3.209,0.000,2.701,0.000,0.000,63150.076,42228.157,33006.577,25647.392,20733.841,17239.197,13956.068,11981.023,10143.344,8875.102,7542.134,6425.989,5406.950,4930.010,4455.004,3724.314,3162.304,2956.410,2591.156,2065.766,2264.245,1980.589,1679.531,1672.106,1764.326,1667.471,1470.711,1373.091
 42.9,3.057,0.000,2.013,2.852,0.000,65546.225,45575.449,35327.156,26801.421,22521.104,19166.490,15752.756,13776.323,11682.648,10031.279,8512.994,7902.250,6073.452,5644.557,5112.243,4347.842,3911.498,3811.537,2903.465,2976.146,2592.970,1859.022,2137.323,2067.681,2319.793,1914.723,2088.222,1801.400
 44.5,0.000,2.896,2.176,2.184,0.000,68709.698,49777.963,37539.877,29984.045,24922.590,20574.041,17152.661,15060.689,13292.938,11579.248,10429.402,8526.142,7608.611,6490.023,5770.251,5107.857,4718.875,4415.711,3299.481,3241.242,2961.766,2456.265,2403.935,2246.601,2686.212,2328.315,2511.722,2221.680
 46.1,2.516,0.000,0.000,2.391,0.000,75279.054,52747.791,40717.942,32309.458,27665.080,22714.876,19627.684,17956.412,14474.162,12766.177,11645.075,10079.507,8893.295,7661.253,6915.286,6040.924,5580.725,5011.498,4221.101,4091.253,3548.916,3537.820,2793.356,2237.180,3415.339,3132.551,2981.364,2840.121
 47.8,4.618,0.000,1.945,0.000,0.000,83025.645,56978.651,44332.591,35796.321,30757.147,26557.676,22250.381,19892.730,16985.812,14632.636,13577.124,12154.874,10549.066,9035.364,8116.741,7499.468,6893.413,6069.151,5462.956,4844.468,4724.913,3677.787,3429.457,2923.179,4287.554,3960.726,3642.752,3044.076
 49.6,0.000,0.000,0.000,5.055,320167.765,89718.287,62469.179,49219.147,40605.251,34813.924,30387.049,26747.725,22441.070,19419.410,17297.418,15930.061,15009.934,12368.348,11282.114,10242.958,9260.508,8655.685,7352.075,7347.544,6481.521,6295.126,5313.384,4740.293,2485.166,5300.594,5116.719,4584.546,4650.028
 51.4,0.000,3.866,0.000,0.000,1163011.068,98864.753,68560.374,55354.427,45411.875,39052.304,33928.461,29907.412,26685.241,22649.333,20500.529,18739.333,16880.622,14847.949,13165.588,12806.163,11618.636,10720.610,9345.666,9010.289,7705.127,7233.731,6564.348,6154.402,1707.178,6652.799,7011.216,6120.234,5442.584
 53.3,1.100,0.000,7.133,4.100,2102543.318,103872.865,71942.949,61428.562,50560.022,41735.807,38060.751,33559.007,29942.932,26342.206,23180.665,21862.204,19546.225,16980.011,15351.698,14548.510,13410.113,12321.018,11081.884,10629.054,9271.039,8894.116,7869.462,7856.216,1257.653,8073.087,8151.724,7246.156,6655.901
 55.2,4.911,0.000,7.302,6.587,2752064.734,110604.139,79740.126,65766.242,54047.632,49054.204,42787.425,37658.656,32962.730,30077.194,27152.364,24833.254,22541.226,19558.924,18283.270,16849.097,15380.836,14503.257,12882.556,12355.482,11489.532,10480.971,9332.312,8714.718,3232.621,9793.606,9777.667,9009.694,8299.740
