Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_AgedSmoke_MRH_20230522_dryerNodryer.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Date,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023,5/22/2023
Start Time,17:30:00,17:33:00,17:36:00,17:39:00,17:42:00,17:45:00,17:48:00,17:51:00,17:54:00,17:57:00,18:00:00,18:03:00,18:06:00,18:09:00,18:12:00,18:15:01,18:18:01,18:21:00,18:24:00,18:27:00,18:30:00,18:33:00,18:36:00
Sample Temp (C),22.3,22.2,22.2,22.2,22.1,22.1,22.1,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.1,22.1,22.1,22.1,22.1
Sample Pressure (kPa),80.1,80.1,80.1,80.1,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.1,80.1,80.1,80.1,80.1,80.0,80.1,80.0,79.9,80.0,80.0
Relative Humidity (%),28.8,26.0,23.7,21.8,20.2,18.9,17.7,16.7,15.9,15.2,14.6,14.0,13.6,13.2,12.8,12.5,12.3,12.0,11.8,11.6,11.5,14.6,20.7
Mean Free Path (m),8.48565e-008,8.48199e-008,8.48199e-008,8.48199e-008,8.46777e-008,8.46777e-008,8.46777e-008,8.46412e-008,8.46412e-008,8.46412e-008,8.46412e-008,8.46412e-008,8.47469e-008,8.47469e-008,8.47469e-008,8.47469e-008,8.47469e-008,8.48528e-008,8.47834e-008,8.48894e-008,8.49956e-008,8.48894e-008,8.48894e-008
Gas Viscosity (Pa*s),1.82911e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005
Diameter Midpoint (nm)
 16.3,0.000,0.000,0.000,10169.171,3682.263,2755.015,1973.295,2050.683,1648.833,1645.637,1664.817,1778.009,1824.898,1706.674,1356.681,1009.115,1395.221,1374.592,1293.606,1227.073,1133.438,1234.967,1204.974
 16.8,0.000,0.000,0.000,9592.767,2961.548,2091.331,1306.504,1855.413,1089.280,993.206,955.981,897.131,815.546,658.674,798.838,737.752,809.146,1013.005,728.580,775.216,578.199,487.772,778.024
 17.5,0.000,9.707,0.000,9306.801,3008.230,1511.294,1109.702,852.719,645.318,582.803,414.219,519.501,402.164,388.831,382.155,515.921,350.919,291.179,318.101,325.916,241.586,469.175,293.119
 18.1,0.000,0.000,0.000,9955.522,2572.472,1567.715,896.166,504.805,356.518,249.490,256.805,258.118,223.670,307.966,152.795,161.781,190.280,182.977,115.259,149.089,151.890,211.333,182.290
 18.8,0.000,0.000,0.000,10649.339,2978.201,1667.305,776.966,572.847,405.469,174.198,158.594,95.583,120.299,102.163,93.219,101.696,62.365,82.883,47.052,74.441,71.658,74.190,116.317
 19.5,0.000,0.000,0.000,11344.890,3669.788,1778.911,805.559,472.437,406.846,159.702,138.923,130.449,80.619,95.849,55.655,31.803,39.436,23.327,73.517,62.076,37.342,30.933,15.589
 20.2,0.000,0.000,0.000,13350.918,4315.359,1872.939,1098.460,581.025,394.640,173.169,161.928,123.084,91.293,75.384,45.023,45.024,37.224,29.361,14.808,7.325,35.266,7.301,14.716
 20.9,0.000,0.000,0.000,13271.783,4471.902,2213.695,1184.763,752.809,505.791,264.282,216.089,127.632,69.586,16.707,41.672,43.371,23.065,0.000,23.482,24.413,0.000,4.168,19.825
 21.7,0.000,0.000,0.000,14443.764,5042.937,2756.055,1288.661,954.929,529.378,262.200,203.607,186.157,102.839,45.609,53.099,29.339,3.474,0.173,14.482,1.422,7.869,28.506,22.555
 22.5,0.000,0.000,0.000,15594.980,5514.249,2843.431,1637.880,873.811,606.248,390.554,273.990,141.641,145.077,84.134,60.617,37.130,53.381,45.638,15.655,17.093,0.000,24.303,13.746
 23.3,0.000,0.000,0.000,17935.110,6677.272,3411.375,2048.705,1238.420,789.646,572.753,317.597,228.727,215.197,133.146,66.872,81.802,30.231,45.934,22.709,21.629,4.111,44.428,0.000
 24.1,0.000,0.000,0.000,19869.863,7581.099,4184.689,2555.623,1442.242,925.965,697.083,461.180,311.102,162.844,169.447,178.388,106.100,55.595,51.844,64.356,7.318,35.338,53.400,11.566
 25.0,0.000,0.000,0.000,22156.857,8776.318,4927.557,2891.410,1885.475,1232.084,727.994,608.393,378.767,289.073,225.502,209.036,177.575,133.693,60.999,75.299,73.340,48.442,69.488,38.541
