Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_AgedSmoke_MRH_20230524_dryerNodryer.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023,5/24/2023
Start Time,11:50:00,11:53:00,11:56:00,11:59:00,12:02:00,12:05:00,12:08:00,12:11:00,12:14:00,12:17:00,12:20:00,12:23:00,12:26:01,12:29:00,12:32:00,12:35:00,12:38:00,12:41:00,12:44:00,12:47:00,12:50:00,12:53:00,12:56:00,12:59:00,13:02:00,13:05:00,13:08:00
Sample Temp (C),22.0,22.0,22.0,22.0,22.0,22.0,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.2,22.1,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2
Sample Pressure (kPa),80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.2,80.3,80.2,80.2,80.2,80.2
Relative Humidity (%),28.1,25.3,23.1,21.1,19.5,18.1,17.0,15.9,15.1,14.3,13.7,13.1,12.6,12.2,11.8,11.4,11.1,10.9,10.6,10.4,10.2,10.1,9.9,12.4,18.7,24.7,30.1
Mean Free Path (m),8.45358e-008,8.45358e-008,8.45358e-008,8.45358e-008,8.45358e-008,8.45358e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.45722e-008,8.46087e-008,8.45722e-008,8.46087e-008,8.46087e-008,8.46087e-008,8.46087e-008,8.47142e-008,8.46087e-008,8.47142e-008,8.47142e-008,8.47142e-008,8.47142e-008
Gas Viscosity (Pa*s),1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82767e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82815e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
 16.3,0.000,0.000,0.000,22170.110,7730.767,4195.631,2612.180,1817.989,1201.115,846.895,917.563,721.606,702.444,740.824,719.255,499.459,631.936,558.992,503.062,498.656,825.643,386.596,980.381,675.539,627.823,535.079,618.818
 16.8,0.000,0.000,0.000,22666.643,7912.694,4231.106,2067.227,1449.694,1245.622,622.089,555.253,429.997,344.391,244.425,327.065,261.130,193.266,270.979,282.286,281.894,160.679,240.302,731.282,337.551,328.494,286.772,267.238
