Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_MRH_20230417.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Date,4/17/2023,4/17/2023,4/17/2023,4/17/2023,4/17/2023,4/17/2023,4/17/2023,4/17/2023,4/17/2023,4/17/2023,4/17/2023,4/17/2023,4/17/2023,4/17/2023,4/17/2023,4/17/2023,4/17/2023,4/17/2023
Start Time,11:50:00,11:53:00,11:56:00,11:59:00,12:02:00,12:05:00,12:08:00,12:11:00,12:14:00,12:17:00,12:20:00,12:23:00,12:26:00,12:29:00,12:32:00,12:35:00,12:38:00,12:41:00
Sample Temp (C),21.5,21.5,21.5,21.6,21.6,21.7,21.8,22.0,22.2,22.4,22.6,22.7,22.7,22.6,22.6,22.5,22.4,22.4
Sample Pressure (kPa),80.4,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.2
Relative Humidity (%),32.1,38.0,42.7,46.4,49.5,52.2,54.7,56.7,58.5,60.0,61.3,62.3,63.2,63.9,64.5,65.0,65.6,66.1
Mean Free Path (m),8.42487e-008,8.43536e-008,8.43536e-008,8.43901e-008,8.43901e-008,8.44265e-008,8.44629e-008,8.45358e-008,8.46087e-008,8.46816e-008,8.47545e-008,8.47909e-008,8.47909e-008,8.47545e-008,8.47545e-008,8.47180e-008,8.46816e-008,8.47872e-008
Gas Viscosity (Pa*s),1.82528e-005,1.82528e-005,1.82528e-005,1.82576e-005,1.82576e-005,1.82624e-005,1.82672e-005,1.82767e-005,1.82863e-005,1.82958e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.82958e-005,1.82958e-005
Diameter Midpoint (nm)
 16.3,0.000,0.000,0.000,0.000,0.000,15844.347,5333.019,3016.594,1986.708,1709.054,1771.379,1361.357,1078.007,1129.816,730.623,770.577,939.275,1041.559
 16.8,0.000,0.000,0.000,0.000,0.000,14107.908,4598.888,1980.087,954.060,905.340,731.645,546.560,529.721,440.293,529.626,378.409,345.958,390.975
 17.5,0.000,0.000,11.802,0.000,0.000,15347.628,4301.842,1992.142,991.180,470.770,330.475,313.994,223.760,176.610,129.829,188.798,89.240,162.899
 18.1,0.000,0.000,11.077,0.000,0.000,17030.494,5939.665,1916.574,817.014,519.122,221.523,176.835,198.938,55.248,77.532,88.590,66.427,90.832
