Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_20230418.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
Date,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023,4/18/2023
Start Time,16:09:00,16:12:00,16:15:00,16:18:00,16:21:00,16:24:00,16:27:00,16:30:00,16:33:00,16:36:00,16:39:00,16:42:01,16:45:00,16:48:00,16:51:00,16:54:00,16:57:00,17:00:00,17:03:00,17:06:00,17:09:00,17:12:00,17:15:00,17:18:00,17:21:00,17:24:00,17:27:00,17:30:01,17:33:01,17:36:00,17:39:00,17:42:00,17:45:00,17:48:00,17:51:00,17:54:00,17:57:00,18:00:00,18:03:00,18:06:00,18:09:00,18:12:00,18:15:00,18:18:00,18:21:00,18:24:00,18:27:00,18:30:00,18:33:00,18:36:00,18:39:00,18:42:00,18:45:00,18:48:00,18:51:00,18:54:00,18:57:00,19:00:00,19:03:00,19:06:00,19:09:00,19:12:00,19:15:00,19:18:00,19:21:00,19:24:00,19:27:00,19:30:00,19:33:00,19:36:00,19:39:00,19:42:00,19:45:00,19:48:00
Sample Temp (C),22.3,22.3,22.3,22.3,22.2,22.3,22.3,22.3,22.3,22.3,22.3,22.3,22.4,22.4,22.4,22.4,22.4,22.5,22.5,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.3,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.3,22.4,22.3,22.3,22.3,22.4,22.3,22.3,22.3,22.3,22.3,22.2,22.2,22.2,22.2,22.2,22.2,22.1,22.1,22.2,22.2,22.2,22.2,22.1,22.1,22.1,22.1,22.0
Sample Pressure (kPa),79.1,79.1,79.1,79.1,79.1,79.1,79.0,79.1,79.1,79.1,79.1,79.1,79.0,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.1,79.2,79.1,79.2,79.1,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.2,79.3,79.2,79.3,79.3,79.2,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3,79.3
Relative Humidity (%),24.6,29.5,33.3,36.3,38.8,40.8,42.5,43.9,45.2,46.2,47.0,47.7,48.3,48.8,49.2,49.6,49.8,50.1,50.3,50.4,50.5,50.6,50.7,50.8,51.0,51.0,51.1,51.2,51.3,51.3,51.4,51.4,51.5,51.5,51.6,51.6,51.6,51.6,51.7,51.7,51.7,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.8,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.9,51.8,51.8,51.8,51.8
Mean Free Path (m),8.59292e-008,8.59292e-008,8.59292e-008,8.59292e-008,8.58922e-008,8.59292e-008,8.60380e-008,8.59292e-008,8.59292e-008,8.59292e-008,8.59292e-008,8.59292e-008,8.60751e-008,8.59662e-008,8.59662e-008,8.59662e-008,8.59662e-008,8.60032e-008,8.60032e-008,8.59662e-008,8.59662e-008,8.59662e-008,8.59662e-008,8.59662e-008,8.59662e-008,8.59662e-008,8.59662e-008,8.58577e-008,8.59662e-008,8.58577e-008,8.59662e-008,8.58577e-008,8.58577e-008,8.58577e-008,8.58577e-008,8.58577e-008,8.58207e-008,8.58577e-008,8.58577e-008,8.58577e-008,8.58577e-008,8.58577e-008,8.58577e-008,8.57494e-008,8.58577e-008,8.57494e-008,8.57125e-008,8.58577e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57494e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.57125e-008,8.56756e-008,8.56756e-008,8.56756e-008,8.56756e-008,8.56756e-008,8.56756e-008,8.56387e-008,8.56387e-008,8.56756e-008,8.56756e-008,8.56756e-008,8.56756e-008,8.56387e-008,8.56387e-008,8.56387e-008,8.56387e-008,8.56018e-008
Gas Viscosity (Pa*s),1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82767e-005
Diameter Midpoint (nm)
 16.3,0.000,0.000,114055.471,32113.716,12723.342,5225.293,2594.707,1941.171,1725.140,1435.932,910.557,931.478,1269.823,817.983,694.177,699.554,768.752,713.608,654.774,585.614,484.091,456.319,399.362,298.244,382.509,389.560,356.881,314.079,356.877,284.580,312.450,328.269,156.126,244.743,186.332,228.912,212.847,198.706,184.513,218.174,113.546,156.126,127.740,170.208,156.124,56.736,143.622,99.351,70.903,85.083,99.264,85.104,85.297,70.903,85.083,71.777,42.649,42.638,42.638,14.213,85.279,42.637,0.000,14.209,14.209,42.637,42.531,42.531,42.531,14.174,0.000,85.469,28.418,0.000
 16.8,0.000,0.000,120082.646,34507.034,13101.698,5125.291,3023.410,1720.539,1115.831,735.170,555.814,377.507,573.520,430.637,521.127,291.201,225.023,235.727,257.024,301.353,371.551,225.582,119.425,172.076,211.261,141.831,198.550,132.284,105.894,145.877,66.183,105.829,79.372,62.923,52.915,132.287,92.579,79.372,66.143,49.694,92.601,100.083,105.829,52.881,79.370,66.102,52.869,39.685,26.434,39.652,26.434,0.000,53.000,118.956,52.870,26.500,66.251,35.461,26.494,0.000,0.000,52.989,52.988,0.000,26.488,26.495,26.428,39.643,26.428,26.422,0.000,13.277,13.244,0.000
