Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_MRH_20230602_comparison_nodryer.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4
Date,6/2/2023,6/2/2023,6/2/2023,6/2/2023
Start Time,12:08:00,12:11:00,12:14:00,12:17:00
Sample Temp (C),22.2,22.3,22.3,22.3
Sample Pressure (kPa),79.5,79.5,79.5,79.5
Relative Humidity (%),13.6,17.0,19.9,22.2
Mean Free Path (m),8.54601e-008,8.54969e-008,8.54969e-008,8.54969e-008
Gas Viscosity (Pa*s),1.82863e-005,1.82911e-005,1.82911e-005,1.82911e-005
Diameter Midpoint (nm)
 16.3,0.000,404.349,405.602,396.401
 16.8,0.000,295.210,286.564,166.381
 17.5,0.000,124.978,130.629,138.650
 18.1,0.000,69.671,65.772,65.205
 18.8,0.000,43.517,46.513,32.531
 19.5,0.000,47.990,13.629,6.807
 20.2,6.454,12.959,6.441,25.740
 20.9,9.415,0.000,4.555,10.369
 21.7,19.024,2.895,14.488,2.892
 22.5,22.961,16.820,1.598,14.181
 23.3,24.604,19.710,11.797,16.680
 24.1,19.968,41.920,13.056,23.740
 25.0,51.640,45.586,42.613,43.411
 25.9,73.083,57.872,42.908,59.568
 26.9,40.851,68.465,62.969,54.594
 27.9,111.379,107.928,108.458,66.346
 28.9,137.935,101.444,159.892,83.223
 30.0,210.266,262.858,115.697,136.986
 31.1,256.722,167.043,180.079,176.545
 32.2,250.028,296.253,209.645,122.544
 33.4,332.244,316.451,278.271,207.526
 34.6,438.413,365.975,444.341,272.835
 35.9,420.263,480.411,438.963,364.954
 37.2,653.694,550.426,551.520,479.895
 38.5,785.439,766.563,634.137,627.369
 40.0,910.257,776.298,863.705,739.474
 41.4,963.386,1044.975,975.156,857.905
 42.9,1179.083,1061.121,1054.534,1081.704
 44.5,1522.089,1494.485,1436.586,1045.304
 46.1,1915.973,1652.474,1731.083,1466.415
 47.8,2182.406,2210.754,1929.212,1693.887
 49.6,3115.327,2671.429,2451.036,2286.050
 51.4,3485.981,3126.889,3135.918,3041.003
 53.3,4098.792,4016.917,3709.329,3512.001
 55.2,4957.406,4886.521,4379.565,4428.727
 57.3,6127.554,5654.516,5411.525,4680.398
 59.4,7171.480,6488.497,6376.749,5467.617
 61.5,8430.094,7542.299,7223.305,6424.458
 63.8,9691.338,8893.103,8484.113,7523.912
 66.1,11205.418,10170.930,9708.039,8549.428
 68.5,13153.472,11628.518,10817.805,10400.566
 71.0,12355.704,11816.939,11077.571,10506.939
 73.7,12765.884,12071.139,11160.020,10436.796
 76.4,14472.831,13592.333,12454.236,11516.389
 79.1,15771.141,15085.692,13816.282,13023.263
 82.0,17826.410,16335.641,15618.512,14278.534
 85.1,18859.689,18208.326,17300.389,16294.499
 88.2,21140.367,20225.042,19234.871,18059.511
 91.4,23517.051,22751.599,21093.735,19925.411
 94.7,25775.633,24939.257,22914.934,21956.539
 98.2,28635.950,27642.057,25786.640,24269.233
101.8,30457.866,31529.375,28758.100,26789.857
105.5,36394.049,33799.659,30916.122,30076.119
109.4,39148.497,37172.817,34553.305,32855.200
113.4,42983.735,39801.383,38372.988,36470.120
117.6,47328.896,45026.718,41830.191,38810.371
121.9,49692.184,48629.103,44812.621,43081.328
126.3,55528.148,51481.311,48732.045,45807.922
131.0,60276.629,55227.743,51467.970,49552.768
135.8,64649.876,60500.836,55682.757,53363.895
140.7,68131.223,63359.271,60266.227,56021.584
145.9,71583.947,66996.413,62238.697,59047.178
151.2,73740.271,69939.985,63856.144,61594.946
156.8,77177.411,71326.069,67912.650,62635.277
162.5,77573.069,73527.927,68545.598,65026.357
168.5,78219.163,74789.852,69172.858,64895.647
174.7,79758.089,75352.619,69662.069,65566.168
181.1,78623.980,73289.465,68264.455,65599.667
187.7,77611.057,73131.328,68585.965,63336.225
194.6,75397.737,70001.354,65658.490,61872.305
201.7,72233.389,67848.549,62880.542,58850.161
209.1,66870.002,64336.007,59292.315,54943.679
216.7,62521.690,58575.403,54663.788,51024.550
224.7,57156.976,53751.722,49924.023,47362.306
232.9,51544.869,48728.365,45246.252,42504.317
241.4,46204.932,43200.021,40015.181,38232.962
250.3,40281.840,37898.095,34761.597,32872.125
259.5,35132.153,32280.398,30204.948,28316.719
269.0,29508.132,26702.217,25508.285,23642.522
278.8,23934.164,21688.460,20659.695,19458.935
289.0,19079.898,17537.303,16740.630,15580.223
299.6,15502.891,13681.376,12974.619,12418.276
310.6,11639.894,11019.835,10161.029,9188.141
322.0,8721.367,8399.202,7454.701,7068.453
333.8,6386.718,6098.124,5388.043,5145.802
346.0,4560.972,4345.609,3804.154,3732.897
358.7,3081.101,2820.974,2663.984,2482.156
371.8,2268.496,2017.551,1865.797,1709.776
385.4,1407.342,1268.301,1144.896,1147.391
399.5,883.334,830.751,751.872,646.194
414.2,601.631,542.718,512.563,445.827
429.4,362.414,344.101,336.172,355.818
445.1,234.367,232.192,236.777,145.929
461.4,142.025,187.850,189.423,115.290
478.3,90.946,91.233,96.619,102.509
495.8,70.231,31.240,40.945,47.545
514.0,41.792,22.002,27.071,28.032
532.8,48.504,26.108,20.786,17.922
552.3,21.217,13.304,10.592,16.132
572.5,10.816,8.139,8.100,10.791
593.5,10.958,5.497,21.882,5.466
615.3,5.590,16.825,5.582,8.366
637.8,2.853,5.725,11.394,14.232
661.2,0.000,0.000,0.000,0.000
685.4,0.000,0.000,0.000,0.000
710.5,0.000,0.000,0.000,0.000
Scan Time (s),155,155,155,155
Retrace Time (s),4,4,4,4
Scan Resolution (Hz),50,50,50,50
Scans Per Sample,1,1,1,1
Sheath Flow (L/min),3.000,3.000,3.000,3.000
Aerosol Flow (L/min),1.27,1.27,1.27,1.27
Bypass Flow (L/min),0.00,0.00,0.00,0.00
Low Voltage (V),11.00,11.00,10.99,11.00
High Voltage (V),9130.86,9132.96,9134.03,9132.42
Lower Size (nm), 16.0, 16.0, 16.0, 16.0
Upper Size (nm),723.4,723.4,723.4,723.4
Density (g/cm³),1.0,1.0,1.0,1.0
td + 0.5 (s),1.52,1.52,1.52,1.52
tf (s),5.81,5.82,5.81,5.81
D50 (nm),630.5,631.7,630.0,629.7
Neutralizer Status,ON,ON,ON,ON
Median (nm),161.000,160.821,160.671,160.594
Mean (nm),165.882,165.503,165.392,165.441
Geo. Mean (nm),154.322,153.907,153.769,153.942
Mode (nm),174.658,174.658,174.658,181.056
Geo. Std. Dev.,1.484,1.487,1.488,1.484
Total Conc. (#/cm³),3.156148e+004,2.968896e+004,2.767701e+004,2.604853e+004
Title,,,,
User Name,VanceLab,VanceLab,VanceLab,VanceLab
Sample ID,,,,
Instrument ID,,,,
Lab ID,,,,
Leak Test and Leakage Rate,,,,
Instrument Errors,Normal Scan,Normal Scan,Normal Scan,Normal Scan
Comment,,,,
