Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_LRH_20230509.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Date,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23,05/09/23
Start Time,13:06:00,13:09:00,13:12:00,13:15:00,13:18:00,13:21:00,13:24:00,13:27:00,13:30:00,13:33:00,13:36:00,13:39:00,13:42:00,13:45:00,13:48:00,13:51:00,13:54:00,13:57:01,14:00:00,14:03:00,14:06:00,14:09:00,14:12:00,14:15:00,14:18:00,14:21:00,14:24:00,14:27:00,14:30:00,14:33:00,14:36:00,14:39:00,14:42:00,14:45:00,14:48:00,14:51:00,14:54:00,14:57:00,15:00:00,15:03:00,15:06:00,15:09:00,15:12:00,15:15:00,15:18:00,15:21:00,15:24:00,15:27:00,15:30:00,15:33:00,15:36:00,15:39:00
Diameter Midpoint
 16.3,279.558,217.346,372.875,265.592,335.181,373.27,248.846,497.298,279.558,715.433,248.846,186.635,178.863,310.664,372.875,179.652,265.592,124.423,248.452,209.969,279.952,117.44,62.2116,155.529,217.741,93.3174,210.757,31.1058,271110,65815,21986.6,7640.61,3048.93,1150.52,794.39,342.164,217.741,93.3174,62.2116,62.2116,31.1058,0,31.1058,0,0,31.1058,31.1058,0,0,0,0,0
 16.8,350.534,527.264,278.238,203.72,343.218,278.238,161.393,233.689,204.478,292.112,161.393,321.323,211.036,116.845,219.815,181.825,129.96,175.267,58.4224,64.9802,307.449,51.1059,116.845,204.478,87.6335,87.6335,123.403,204.478,278353,74456.8,25321.7,9551.08,4294.59,1858.57,1038.43,278.238,175.267,146.056,29.2112,29.2112,116.845,29.2112,0,29.2112,29.2112,0,0,0,0,29.2112,0,29.2112
 17.5,309.659,390.779,178.055,480.544,343.049,370.548,350.219,164.994,289.33,412.485,178.055,247.491,164.994,164.994,205.554,192.493,274.99,54.998,302.489,192.493,178.055,123.057,82.4969,164.994,54.998,164.994,117.166,109.996,297317,85981.3,29941.3,11344.9,5224.42,2369.23,946.552,515.213,227.162,302.489,54.998,109.996,27.499,0,27.499,27.499,54.998,0,27.499,0,0,27.499,0,0
 18.1,330.112,251.445,258.666,310.492,233.217,180.927,252.373,207.304,271.066,155.014,233.217,129.565,206.84,207.304,155.478,181.391,129.565,103.652,259.13,155.478,25.913,103.652,181.391,51.826,77.739,0,148.257,103.652,308314,94411.6,33779.6,16165.7,5667.15,2826.91,1513.03,510.575,485.59,258.666,155.014,25.4489,77.739,51.3619,25.913,25.913,25.913,0,0,0,51.826,51.826,0,0
 18.8,242.931,292.387,243.366,187.212,121.465,260.092,97.1723,145.758,138.626,114.333,145.758,72.8792,138.626,162.484,145.758,194.345,24.2931,89.605,162.484,65.3119,57.7447,24.2931,121.465,24.2931,41.0189,24.2931,24.7281,145.758,323762,98975.4,38601,16622.7,7208.7,4016.18,2281.34,1517.79,803.262,594.218,203.938,203.938,170.051,97.6073,65.3119,48.5861,0,48.5861,24.2931,24.2931,0,16.7258,0,0
 19.5,160.539,283.911,183.473,245.187,298.144,167.683,68.8025,183.473,98.8807,144.749,206.408,22.9342,75.9465,121.815,91.7367,68.8025,77.5034,144.749,84.6474,84.6474,106.025,0,45.8683,137.605,167.683,54.5692,137.605,4982.4,337804,110587,45279.7,19049.3,9502.54,5194.46,2172.63,1721.78,987.836,686.577,398.636,367.001,160.539,68.8025,144.749,68.8025,0,68.8025,0,22.9342,0,30.0781,0,0
 20.2,21.6705,251.825,86.6822,186.813,86.6822,173.364,195.035,65.0116,108.353,109.526,151.694,86.6822,86.6822,130.023,44.5141,65.0116,36.2926,86.6822,78.4607,144.645,65.0116,65.0116,43.3411,130.023,66.1846,36.2926,65.0116,84168.5,350003,120297,48310.2,22254.1,11436.8,6443.47,3552.55,1922.15,1238.09,712.771,462.655,318.01,303.388,131.196,86.6822,65.0116,44.5141,43.3411,0,65.0116,0,43.3411,21.6705,0
 20.9,122.969,81.9791,204.792,55.5837,81.9791,76.0785,96.5733,61.1718,81.6697,101.051,20.3383,40.7579,81.9791,20.4948,142.354,96.5733,80.7132,184.453,14.5942,101.364,61.4843,61.4507,20.3383,61.4843,60.3749,19.3854,19.8731,219960,344872,123575,56544.3,25873.2,12843.6,7045.47,4143.45,2693.69,1667.91,972.334,772.395,349.882,208.394,181.714,222.652,141.152,37.0621,26.9487,30.523,2.89543,11.9476,0,0,15.9423
 21.7,116.528,77.3453,135.779,180.211,77.6851,70.5352,83.2766,45.6791,64.929,97.0947,38.8367,97.0977,19.4213,194.213,19.4213,44.091,26.2637,58.0931,25.0128,38.8425,77.6851,19.42,38.8367,58.1557,0,19.4213,19.2337,532623,350643,130645,60157.3,28060.1,15104.6,8409.42,5223.33,3112.54,1633.6,995.315,716.683,596.688,429.669,154.618,204.078,182.598,79.1968,118.088,16.8314,74.3078,15.4119,0,67.054,10.7877
 22.5,110.441,55.3074,110.166,110.442,55.1253,104.125,55.1253,84.9311,48.8097,18.2483,54.8545,36.877,0,36.6879,18.4385,18.2511,48.8138,73.289,36.416,36.877,18.2494,36.6879,55.3155,0,36.877,36.6868,36.8731,616743,350014,142651,66304.6,33268.8,17547.6,10357.5,5939.26,4056.96,2247.93,1460.9,1116.2,592.886,558.155,431.388,197.868,191.579,109.677,98.459,88.6489,116.459,102.66,17.3686,112.698,7.30411
 23.3,105.109,132.765,140.586,80.2071,115.038,52.1409,35.035,35.0291,115.246,70.072,52.9934,70.074,34.7501,52.5535,35.037,0,17.5185,17.9564,35.4749,35.037,0,27.6516,17.5185,17.5178,17.3112,35.035,35.037,744500,351850,148213,69175,36619.4,21301.1,12151.8,7695.81,4634.03,2828.73,1795.31,1316.86,1170.44,532.579,441.094,448.163,304.562,152.595,278.625,61.1442,178.518,45.9958,47.8481,32.5007,95.1472
 24.1,16.5908,40.1694,52.4633,23.375,23.1466,35.8772,16.5908,32.9579,23.5833,32.9601,16.5863,16.5908,66.0213,55.1588,16.5861,16.5908,0,16.3692,0,33.1721,0,56.765,0,0,0,0,16.5908,976027,350170,152490,76364,39562.2,24145,13441,8555.09,5332.69,3561.21,2604.1,1659.36,1199.81,815.414,696.097,509.907,407.251,348.303,225.599,153.572,204.407,95.1164,123.781,68.3893,32.7486
 25.0,47.493,31.4341,13.0088,47.5023,31.6588,76.5979,0,47.2635,0,31.6682,31.4377,15.8341,31.6682,105.459,15.6,0,0,0,63.3364,31.2,47.2384,0,11.4961,0,0,0,11.4961,1.53927e+006,346826,162840,83001.7,43659.7,28329.1,15931.2,10518.5,6409.06,4541.13,3400.74,2246.7,1618.64,1351.14,872.236,901.759,659.702,515.008,385.769,154.893,234.938,220.968,142.072,133.255,108.445
 25.9,14.8898,60.5381,29.7625,45.4036,34.0835,30.2691,60.5381,14.8722,30.0211,30.2691,14.8813,0,0,30.2691,15.1345,0,0,15.1345,0,15.1345,0,15.1345,19.2669,0,0,0,34.3571,1.98305e+006,347933,166333,91000.9,49948.4,30676.2,18655.7,12034.5,8364.86,5505.06,4102,3135.96,1971.18,1682.64,1154.16,883.881,769.625,480.438,507.574,172.513,433.074,277.769,275.148,133.032,165.667
