Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_LRH_20230512.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Date,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23,05/12/23
Start Time,10:20:00,10:23:00,10:26:01,10:29:00,10:32:00,10:35:00,10:38:00,10:41:00,10:44:00,10:47:00,10:50:01,10:53:00,10:56:00,10:59:00,11:02:01,11:05:00,11:08:00,11:11:00,11:14:00,11:17:00,11:20:01,11:23:00,11:26:00,11:29:00,11:32:00,11:35:00,11:38:01,11:41:00,11:44:01,11:47:00,11:50:01
Diameter Midpoint
 16.3,0,0,0,0,0,0,69466.2,13871.2,3656.3,1048.38,258.046,104.947,70.0304,35.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0491,35.0229
 16.8,0,0,0,0,0,0,71739.2,15067.6,4212.83,1439.34,437.468,253.556,65.5042,0,32.7309,32.7344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 17.5,0,0,0,0,0,0,73613,18475.8,5325.7,1534.35,529.658,222.54,95.2514,122.821,30.6965,30.6995,30.7011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 18.1,0,0,0,0,0,0,78577.8,18967.7,5282.14,2381.36,848.754,345.787,343.154,156.913,115.288,0,0,0,28.8408,0,0,0,0,0,0,0,0,0,0,0,0
 18.8,0,0,0,0,27.1241,0,85507.6,23768.3,7745.38,2650.82,1271.86,448.756,292.411,96.5261,75.225,54.2599,27.1312,48.1185,54.2885,0,0,0,0,0,0,27.1703,0,0,0,0,0
 19.5,0,0,0,0,0,0,92315.1,24242.3,9230.58,3559.73,1583.85,685.384,312.69,106.948,133.602,102.248,25.5632,31.3749,25.5749,0,25.5749,0,0,0,0,0,0,25.5919,0,0,0
 20.2,0,0,0,0,0,0,96326.6,28572.7,10506.9,4574.86,1651.96,1152.83,458.299,284.955,163.839,96.4419,33.7063,24.1181,24.1219,48.263,24.1219,0,0,0,0,0,0,0,0,0,0
 20.9,0,0,0,0,0,0,102554,32879.2,12026.1,5515.06,2471.98,1375.61,619.172,370.343,246.239,180.811,119.649,67.8261,67.8372,60.8883,45.2249,22.6252,0,0,38.2807,0,0,0,0,22.6159,0
 21.7,0,0,0,0,0,0,106488,34757,14617,6378.14,3342.48,1256.98,887.429,695.536,220.147,106.789,113.38,85.4575,84.8745,6.59203,42.7354,21.3792,21.3834,21.3809,27.9777,0,0,21.3809,0,0,0
 22.5,0,0,0,0,0,0,116467,42458.4,16754.7,7304.28,4368.27,1844.87,1391.91,577.116,484.414,308.174,161.789,105.976,41.0281,60.7179,60.6955,20.2423,20.246,0,20.2461,0,4.83594,0,0,0,0
 23.3,0,0,0,0,0,0,122754,45376.5,20286.3,9338.34,4613.13,2419.53,1653.59,948.229,651.75,292.311,306.647,215.713,134.21,143.682,143.631,57.217,38.3715,57.5512,19.1858,19.1879,62.398,0,0,47.7742,9.42255
 24.1,0,0,0,0,0,0,126358,49701.7,22510.8,11047.3,5629.56,3408.02,2299.38,1186.26,886.224,773.034,316.101,221.63,181.129,131.14,149.208,104.131,31.3392,72.4908,72.4983,18.1265,27.341,36.2457,18.1123,45.4444,9.21321
