Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_LRH_20230516_dryerNodryer.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Date,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23,05/16/23
Start Time,10:00:00,10:03:00,10:06:00,10:09:00,10:12:00,10:15:00,10:18:00,10:21:00,10:24:00,10:27:00,10:30:00,10:33:00,10:36:00,10:39:00,10:42:00,10:45:00,10:48:00,10:51:00,10:54:00,10:57:00,11:00:00,11:03:00,11:06:00,11:09:00,11:12:00,11:15:00,11:18:00,11:21:00,11:24:00,11:27:00,11:30:00,11:33:00,11:36:00,11:39:00,11:42:00,11:45:00,11:48:00,11:51:00
Diameter Midpoint
 16.3,0,0,0,48764.7,11547.2,3541.88,1347.03,772.388,272.575,88.5683,31.1058,0,31.1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.1058,0,0,0,0,0,0,0,0,0,0
 16.8,0,0,0,52971.8,13443.8,3819.38,1345.9,910.483,236.158,194.694,87.6335,58.4224,58.4224,29.2112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2112,0,0,0
 17.5,0,0,0,56813.9,15216.6,5340.74,1677.71,880.07,561,201.704,38.5191,148.515,82.4969,27.499,27.499,54.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.499,0,0,219.992,0,0,0
 18.1,0,0,0,63192,16353.1,6186.67,2457.97,1324.63,715.18,259.13,196.92,122.344,25.913,25.913,0,29.0767,0,51.826,25.913,51.826,0,0,0,0,0,25.913,0,0,0,0,0,25.913,0,0,498.675,0,0,0
 18.8,0,0,0,68137.4,20224.2,7723.51,3027.67,1340.78,773.212,485.861,315.81,239.965,165.885,93.006,48.5861,69.9132,0,0,0,24.2931,0,0,0,0,48.5861,0,0,0,0,0,0,0,0,0,625.688,24.2931,0,0
 19.5,0,0,0,71625.2,20649.5,9234.64,3904.92,1899,922.189,562.332,355.924,195.385,84.6474,210.341,45.8683,45.8683,68.8025,45.8683,0,0,0,0,0,0,0,0,22.9342,0,0,0,22.9342,0,0,0,551.309,0,0,0
 20.2,0,0,0,74931.5,24093.7,10438,4710.82,2453.39,1416.16,651.482,556.386,227.121,205.45,65.0116,65.0116,108.353,43.3411,43.3411,65.0116,0,86.6822,43.3411,0,21.6705,4.20689,0,0,0,0,0,0,0,0,0,679.36,0,0,0
 20.9,0,0,0,78264.8,27008.4,11579.9,5183.26,2952.14,1602.04,784.329,481.833,204.948,286.927,81.9791,81.9791,20.4948,78.9478,61.4843,58.453,20.4948,20.4948,0,20.4948,20.4948,16.5161,0,20.4948,0,20.4948,0,0,0,0,0,676.74,0,0,0
