Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_LRH_20230517_dryerNodryer.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Date,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23,05/17/23
Start Time,13:50:00,13:53:00,13:56:00,13:59:00,14:02:00,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00,14:29:00,14:32:00,14:35:00,14:38:00,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:00,15:05:00,15:08:00,15:11:00,15:14:00
Diameter Midpoint
 16.3,0,0,0,21284.4,8543.62,4145.01,2239.09,829.851,671.693,404.375,373.27,93.3174,31.1058,152.901,62.2116,31.1058,31.1058,0,0,62.2116,0,31.1058,31.1058,31.1058,737.041,31.1058,0,0,0
 16.8,0,0,0,27678.1,10106.7,4897.3,2947.66,1416.57,688.904,662.072,175.267,204.478,58.4224,119.313,107.06,87.6335,29.2112,58.4224,58.4224,58.4224,38.8529,0,0,0,408.957,0,29.2112,0,58.4224
 17.5,0,0,0,30973.9,11961.7,5891.43,3133.55,2130.62,1409.95,592.251,478.503,308.05,324.529,274.99,119.207,176.014,109.996,109.996,0,82.4969,45.9214,0,0,82.4969,192.493,0,0,0,0
 18.1,0,0,0,34632.7,13465.7,7401.12,3840.95,2806.82,1493.66,923.861,925.647,487.107,290.187,184.555,77.739,145.094,80.9028,103.652,25.913,103.652,25.913,51.826,51.826,29.0767,51.826,25.913,29.0767,0,25.913
 18.8,0,0,0,38936.7,16284.2,8795.37,4825.21,2701.19,1912.52,1298.69,644.614,364.396,400.483,381.557,121.465,194.345,118.499,72.8792,93.006,117.299,97.1723,0,44.4199,45.6202,72.8792,0,21.3271,24.2931,0
 19.5,0,0,0,41330.9,19286.1,10693.2,6202.56,3473.1,2216.92,1554.1,1214.13,1170.53,666.757,359.857,252.276,229.342,91.7367,103.648,187.407,141.538,137.605,22.9342,72.7357,45.8683,138.494,34.8458,22.9342,45.8683,22.9342
 20.2,0,0,0,48407.4,21213.2,13498.1,7311.49,4592.78,2736.47,2220.7,1199.34,1129.6,641.591,751.42,615.189,359.349,203.449,192.193,134.23,108.353,112.56,47.548,86.6822,134.23,111.719,53.7563,21.6705,43.3411,43.3411
 20.9,0,0,0,51284.6,24760.5,14223.6,8693.84,5286.86,3883.11,2135.24,1485.18,1260.82,1116.82,544.534,624.707,488.406,276.563,227.052,138.414,227.207,209.189,188.401,141.122,175.477,117.213,4.96656,47.0132,4.48162,111.468
 21.7,0,0,0,55611.3,27384.6,16399.1,11011.6,6255.49,5250.73,3649.92,2025.95,1573.74,1294.28,1136.94,884.54,701.183,557.573,421.724,272.379,264.904,192.579,135.077,258.589,70.0742,58.9821,72.8196,70.5214,56.8254,74.6428
 22.5,0,0,0,63201.8,33259.1,19927.3,13200.7,8512.18,5916.82,4148.66,3357.88,2195.08,1914.46,1459.72,835.742,921.548,684.422,630.879,283.211,158.213,426.177,356.207,232.011,99.6557,171.698,185.962,160.184,99.612,157.167
 23.3,0,0,0,72263.2,37430.3,22244.4,15629.8,8896.56,6820.17,4847.87,4072.73,2896.98,2170.36,1811.07,1241.15,1033.3,1004.27,585.785,737.751,423.366,502.317,398.251,265.868,231.648,175.22,177.803,88.5655,35.626,68.9976
 24.1,0,0,0,78713.1,42045.7,26631.4,17197.3,11102.7,8302.72,5800.16,4475.99,3267.99,2840.76,2458.31,1446.26,1295.21,1188.34,674.792,814.724,612.446,684.468,394.488,431.33,266.217,230.693,184.325,352.656,183.758,162.016
 25.0,0,0,0,85955.4,46744.4,29521.6,19640.3,14087.1,10113,7893.42,5382.98,4415.74,3242.17,2623.83,2270.15,1515,1557.61,938.987,1012.41,906.733,367.842,486.259,278.716,283.851,393.761,298.473,305.239,276.427,335.84
 25.9,0,0,0,94732.9,53223.1,34249.3,24388.3,16599.5,12650.4,9318.07,6972.57,5104.34,4244.41,3712.33,2444.46,1728.39,1747.28,1603.81,1346.29,1223.52,1063.8,865.945,739.882,364.743,617.977,506.859,510.489,352.031,523.07
 26.9,0,0,0,103170,59820.6,38116.1,29107.6,19200.4,15707.2,11281.7,8276.84,6091.52,5335.06,4348.14,3672.15,2642.88,2563.99,2307.65,1943.28,1533.4,1293.31,1215.57,844.642,796.655,802.553,676.782,478.366,575.723,391.883
 27.9,0,0,0,117255,65330.3,45214.5,32400.4,23146.5,17640,13501.2,9698.83,8212.81,6385.96,5373.83,4467.74,3144.33,3111.29,2917.43,2070.74,1970.37,1611.38,1349.36,885.055,1040.83,766.046,877.682,754.323,566.729,647.321
 28.9,0,0,0,126763,73923.7,51584.6,37118,26500.6,21281.1,15959.8,12789.2,10381.7,8470.52,6894.11,4987.64,4041.17,3496.28,3133.74,2355.6,2290.03,1907.86,1756.72,1696.1,1324.59,1105.13,1129.92,887.183,587.09,532.741
