Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_MRH_20230522_dryerNodryer.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Date,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23,05/22/23
Start Time,17:30:00,17:33:00,17:36:00,17:39:00,17:42:00,17:45:00,17:48:00,17:51:00,17:54:00,17:57:00,18:00:00,18:03:00,18:06:00,18:09:00,18:12:00,18:15:00,18:18:00,18:21:00,18:24:00,18:27:00,18:30:00,18:33:00,18:36:00
Diameter Midpoint
 16.3,0,0,0,15979.6,3920.91,1420.86,921.047,279.952,368.013,124.423,146.031,62.2116,88.5683,31.1058,0,31.1058,0,0,0,31.1058,0,26.3567,0
 16.8,0,0,0,17611,5231.07,1757.46,907.872,681.356,355.471,262.901,29.2112,107.06,19.4264,19.4264,29.2112,29.2112,0,0,0,0,0,29.2112,0
 17.5,0,0,0,19770.8,5311.43,3212.26,1727.11,1146.12,242.032,148.515,274.99,119.207,9.21123,64.2092,0,0,27.499,0,11.0201,0,0,27.499,0
 18.1,0,0,0,23217.3,7045.25,3700.42,1676.23,1399.21,1005.66,514.203,310.956,187.719,310.956,80.9028,0,103.652,25.913,25.913,15.5285,3.16373,0,0,0
 18.8,0,0,0,24705.9,8340.79,4049.04,2165.48,1384,997.147,471.597,258.891,164.12,117.299,118.499,72.8792,48.5861,24.2931,97.1723,48.5861,21.3271,0,0,0
 19.5,0,0,22.9342,27463.9,9586.41,5799.37,2890.77,1698.68,1028.88,673.846,524.33,195.385,302.967,114.671,126.583,149.517,22.9342,114.671,0,22.9342,22.9342,22.9342,0
 20.2,0,0,0,32077,10856.8,6044.38,3498.95,2338.31,1630.86,1077.84,1019.88,556.386,345.888,272.667,231.327,170.523,108.353,69.2185,108.353,108.353,43.3411,25.8774,21.6705
