Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_HRH_20230608_comparison_nodryer.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3
Date,06/08/23,06/08/23,06/08/23
Start Time,11:22:00,11:25:00,11:28:00
Diameter Midpoint
 16.3,7463.35,10140.5,11779.9
 16.8,16420.8,7036.86,4098.13
 17.5,6521.05,4248.79,5230.21
 18.1,7993.25,9076.48,4548.46
 18.8,11561.1,4492.88,4502.43
 19.5,13562.5,5977.33,4376.36
 20.2,4207.21,5190.63,3101.65
 20.9,10542.5,20987.3,3922.51
 21.7,5763.74,7650.81,4120.83
 22.5,7576.13,3244.96,3424.85
 23.3,5318.85,2086.69,4405.31
 24.1,3358.99,4662.03,5479.05
 25.0,2212.18,2363.73,2724.44
 25.9,5126.7,3856.31,4659.13
 26.9,5163.17,4611.12,4001.42
 27.9,5181.23,3440.63,2518.23
 28.9,7282.05,7069.91,4388.79
 30.0,7572.62,2814.88,4484.25
 31.1,4995.52,3346.23,3972.4
 32.2,5689.99,6376.68,2874.62
 33.4,4148.88,5145.27,3423.07
 34.6,5414.86,4209.91,6194.94
 35.9,14933.3,4707.97,4334.03
 37.2,7088.98,5952.41,5277.29
 38.5,8388.64,6451.72,6753.64
 40.0,9162.18,7267.68,6451.72
 41.4,15475,8681.21,6981.6
 42.9,10185.4,8328.28,7917.86
 44.5,11066.8,12190.6,9265.92
 46.1,11885,12932.6,11487.7
 47.8,12603.1,13312.2,13322.4
 49.6,13571.6,14522.4,15385.7
 51.4,17610.8,16778,16153.9
 53.3,18716.7,18372.3,18445.6
 55.2,21537.2,21584.7,20986.7
 57.3,25297.6,24247.8,25152.7
 59.4,29299.1,27726.1,26390.2
 61.5,35793.6,30928.8,30200.3
 63.8,39773.4,34000.6,33404.2
 66.1,42757.1,37775.9,37124.2
 68.5,46743.3,42978,40261.9
 71.0,52797.6,43591.6,41978.3
 73.7,54144.9,48262.1,43229.6
 76.4,54577.7,54281.5,46754.1
 79.1,59587.4,55380.8,51892.7
 82.0,65214.1,59452.9,54414
 85.1,69000.4,61648.8,58648.1
 88.2,73493,67951.4,61623.2
 91.4,75099.8,69881.6,67597.5
 94.7,77275,74086.9,70160.5
 98.2,79232.1,80508.7,74300.3
101.8,82954.5,79579.9,76904.5
105.5,88769.2,81335.5,81313.7
109.4,90313,81572.7,87357.7
113.4,89901.4,85149.9,84234.8
117.6,93756.8,87208.4,84369.7
121.9,92395.8,88260.5,84287.8
126.3,93117.9,89315,88692.5
131.0,92476.8,89994.3,86261
135.8,94068.3,89708.6,85634.5
140.7,90771.4,86137.8,83171.5
145.9,93319.3,84827.5,83729.7
151.2,86584.6,80656.3,80109
156.8,82589.2,80424.1,72559.7
162.5,80932.3,76655,74842.1
168.5,75823.6,73563.6,69021.4
174.7,69126.9,64869,66170.9
181.1,66757.9,58680,59864.6
187.7,60819.6,54394.1,54461.1
194.6,52122.6,47999.1,50051.4
201.7,47477,43043.2,43271.9
209.1,40896.4,37859.4,37283.5
216.7,36012.3,32381,31747.1
224.7,29854.9,25519.8,27532
232.9,24319.6,25132.6,23155.1
241.4,19973.8,19780,18670.3
250.3,17211,14241.6,14812.4
259.5,14637.3,13384.6,11403.6
269.0,9705.22,8710.2,8715.35
278.8,7990.21,6907.07,6927.9
289.0,6429.42,4746.43,5241.4
299.6,3407.77,5038.91,3419.27
310.6,3072.42,2666.25,2279.1
322.0,2358.44,1829.46,1892.71
333.8,1303.42,757.888,1677.69
346.0,804.574,935.489,853.53
358.7,872.086,147.961,710.306
371.8,1359.61,1499.3,720.798
385.4,953.394,0,112.022
399.5,538.25,1411.86,0
414.2,304.406,907.361,436.692
429.4,658.54,1708.72,744.632
445.1,1284.15,464.489,757.927
461.4,823.346,559.19,918.075
478.3,771.566,444.895,1308.76
495.8,699.683,985.576,847.322
514.0,1125.04,1119.05,1019.96
532.8,803.804,875.631,848.515
552.3,1019.58,1053.23,701.017
572.5,985.478,1761.7,905.529
593.5,704.661,995.207,956.469
615.3,0,0,0
637.8,0,0,0
661.2,0,0,0
685.4,0,0,0
710.5,0,0,0
Scan Up Time(s),155,155,155
Retrace Time(s),10,10,10
Down Scan First,FALSE,FALSE,FALSE
Scans Per Sample,1,1,1
Impactor Type(cm),0.071,0.071,0.071
Sheath Flow(lpm),3,3,3
Aerosol Flow(lpm),1.5,1.5,1.5
CPC Inlet Flow(lpm),1.5,1.5,1.5
CPC Sample Flow(lpm),0.3,0.3,0.3
Low Voltage,14.0228,14.0228,14.0228
High Voltage,9507.79,9507.79,9507.79
Lower Size(nm),15.9634,15.9634,15.9634
Upper Size(nm),723.394,723.394,723.394
Density(g/cc),1,1,1
Title,,,
Status Flag,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error 
td(s),0.286,0.286,0.286
tf(s),5.51527,5.51527,5.51527
D50(nm),593.091,593.091,593.091
Median(nm),114.264,115.26,116.479
Mean(nm),120.918,122.063,123.411
Geo. Mean(nm),105.77,107.379,109.57
Mode(nm),135.773,130.975,126.346
Geo. Std. Dev.,1.74856,1.72223,1.68299
Total Concentration(#/cm³),47817.9,44203.4,42297.4
Comment,,,
