Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_LRH_20230514_ozonecheck_nodryercomp.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8
Date,05/14/23,05/14/23,05/14/23,05/14/23,05/14/23,05/14/23,05/14/23,05/14/23
Start Time,13:51:00,13:54:00,13:57:00,14:00:00,14:03:00,14:06:00,14:09:00,14:12:00
Diameter Midpoint
 16.3,0,0,0,0,0,0,0,0
 16.8,0,0,0,0,0,0,0,0
 17.5,0,27.499,0,0,0,0,0,0
 18.1,25.913,29.0767,0,0,25.913,0,0,0
 18.8,0,21.3271,0,0,0,0,0,0
 19.5,45.8683,22.9342,45.8683,0,0,0,0,0
 20.2,21.6705,65.0116,21.6705,0,21.6705,25.8774,0,65.0116
 20.9,0,28.0333,12.9498,13.433,35.1523,30.6522,14.5415,36.2505
 21.7,104.646,89.319,34.4271,10.8189,0,11.9365,72.0661,91.3539
 22.5,15.1295,78.3153,66.1767,78.1832,0,2.45251,45.6202,6.84131
 23.3,55.6052,59.2729,43.4849,0,98.2298,122.615,54.606,55.5804
 24.1,116.569,53.6057,20.8581,106.215,93.2998,73.6774,11.2552,94.2654
 25.0,156.264,112.391,126.801,174.223,56.2245,42.0072,88.8487,95.3158
 25.9,119.908,157.229,313.716,242.925,93.0356,109.902,65.4813,74.7087
 26.9,391.503,481.409,253.679,242.761,263.178,114.097,108.466,163.136
 27.9,437.553,326.096,366.279,190.863,282.719,226.663,223.193,159.085
 28.9,633.17,641.979,499.577,409.017,238.437,241.616,221.302,201.74
 30.0,919.979,798.624,607.111,568.231,469.698,511.657,479.038,381.334
 31.1,805.959,723.931,963.926,586.684,478.962,509.907,379.702,392.276
 32.2,1318.56,967.223,1019.64,847.987,551.2,970.955,587.41,703.924
 33.4,1712.93,1409.71,1424.55,1117.83,1044.85,936.645,828.771,775.165
 34.6,1781.97,1619.51,1850.21,1252.33,1303.11,1224.53,1034.41,1037.69
 35.9,2552.26,2413.22,2083.01,1730.25,1624.1,1570.49,1488.75,1222.15
 37.2,3146.8,2626.76,2471.43,2124.49,2218.86,1786.09,2199.03,1726.76
 38.5,3414.14,3171.24,3160.71,2861.95,2255.21,2268.77,2125.4,1916.82
 40.0,4156.77,3763.87,3725.42,3284.3,3189.21,2729.53,2681.79,2293.71
 41.4,5176.64,4231.35,4631.75,4124.74,3961.74,3822.96,3156.21,2737.02
 42.9,6594.05,5727.46,5495.97,4635.54,4324.57,3968.03,3628.01,3313.67
 44.5,7547.9,6464.2,5916,5621.58,5856,4588.39,4455.4,4429.15
 46.1,8740.33,8052.21,7240.58,6148.67,6687.32,5881.39,5775.45,5545.35
 47.8,10725.1,9979.17,8448.23,8607.86,7484.48,6836.43,6704.15,5846.1
 49.6,11920.5,10593.9,10363.6,9894.27,8943.36,7815.16,7936.41,7257.56
 51.4,13838.2,13561.4,11809.4,10884.5,10153.6,9581.94,8700.81,8341.32
 53.3,15919.7,14530.2,13438.1,12235.2,11381.7,10750,10709.1,9603
 55.2,18576.5,17054.4,15805.6,14729.6,13672,13068.4,11692.4,10912.4
 57.3,20868.4,19507.3,18137,16956.7,15394.8,15545.1,13776.3,12755.5
 59.4,24017.6,22545.3,20956,18611.4,18732.4,16605.1,15945,15095.2
 61.5,28575.8,25861.1,23251.7,21477.7,20730.6,19035.8,17871.7,16296.7
 63.8,29866.4,29921.9,26181.8,25871.7,22138.8,22424.2,20521.4,18499.4
 66.1,34503.6,32527.6,30665.9,29470.1,25561.6,24900.8,23882.9,21729.1
 68.5,38512.6,35517.9,32539.2,32066.3,30076.9,27595.5,26703.1,25647.8
 71.0,41218,37293.2,34291.2,34061.8,30950.4,29393.2,27957.5,25939.8
 73.7,44456.2,40242,37142.8,35830.9,33015.7,31782.9,29030.1,27169.1
 76.4,47614.9,43124.4,41334.5,38132.1,35949.9,34836.9,32997.3,30441
 79.1,52338.3,47818.2,45296.5,43403.2,39162.5,37423.1,35902.8,33423.7
 82.0,56506.1,52310.4,50303.2,47032.2,42658.3,41288,39150.3,36281.1
 85.1,61060.8,56569.3,52717.3,50457.5,47105.8,43925,42401.6,38286.6
 88.2,66080.5,62849.4,58698.5,53247.9,50562.4,48470,44855.3,42414.2
 91.4,69040.4,63752,60277.1,57159,53876.8,51049.1,49603.6,44824.6
 94.7,74443.2,69113.3,66204.3,61364.4,58884.6,55418,52618.4,49746.8
 98.2,77798.4,72950.5,69855,65242.9,61916.1,57961.6,54889.2,51689.9
101.8,81940.3,78087.8,72856,70275.2,63043.4,62975.4,57455,54690.3
105.5,85883.9,81671.5,76432.7,71337.4,67591,64383,61203.7,57486.8
109.4,88364.1,81544.7,80053.1,74145.7,71461.1,66941.4,61504,60322.2
113.4,93261.5,87449.2,81339.7,79430.3,74959.3,72026.8,65915.2,61277.9
117.6,92388.5,87815.8,83681.3,78955.9,76050,72940.2,68640.7,64220.2
121.9,96118.4,91675.1,84852.8,82170.6,79527.9,75430.1,69917.3,65459.1
