Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_LRH_20230531_comparison_nodryer.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3
Date,05/31/23,05/31/23,05/31/23
Start Time,14:47:00,14:50:00,14:53:00
Diameter Midpoint
 16.3,0,0,0
 16.8,0,0,0
 17.5,27.499,0,0
 18.1,0,0,25.913
 18.8,24.2931,24.2931,0
 19.5,45.8683,22.9342,45.8683
 20.2,21.6705,21.6705,21.6705
 20.9,61.4843,0,0
 21.7,26.2695,45.6908,38.8425
 22.5,48.8138,48.8138,36.877
 23.3,132.765,105.111,52.5555
 24.1,139.719,69.0589,21.9819
 25.0,110.839,226.263,180.526
 25.9,246.215,174.773,133.347
 26.9,297.269,393.385,281.954
 27.9,488.564,314.421,336.258
 28.9,746.133,522.14,407.572
 30.0,786.446,761.649,767.304
 31.1,859.97,700.482,617.563
 32.2,1485.61,1184.59,969.416
 33.4,1533.51,1515.18,1252.01
 34.6,1995.36,2122.04,1780.3
 35.9,2632.95,2533.36,2379.21
 37.2,3296.3,3236.63,2877.25
 38.5,4404.18,4266.78,3597.51
 40.0,5353.41,5023.1,4380.85
 41.4,6898.04,5661.21,5283.6
 42.9,7867.34,7369.73,7006.96
 44.5,9552.28,8900.53,8257.68
 46.1,11990.9,10677.4,10581.3
 47.8,14395.5,12807.2,12205.4
 49.6,17404.4,15821.3,15373.4
 51.4,20863.8,19345.4,17682.6
 53.3,24800.8,22672.2,20524
 55.2,27910,26336.3,24503.6
 57.3,32727.8,31212.5,29042.8
 59.4,37601.6,35997.3,32511.9
 61.5,43770.6,40510.8,37437.3
 63.8,50853,45924.1,43129
 66.1,56516,52882.6,49497.4
 68.5,63999.7,59425.2,56081.2
 71.0,70973.8,67587.5,61989.7
 73.7,80357.8,75254.2,68714
 76.4,88957.9,82400.3,77297.3
 79.1,96386.2,90492,84261.8
 82.0,103507,99560.6,93370.6
 85.1,113006,106653,101249
 88.2,122477,113792,107170
 91.4,131569,122468,113530
 94.7,138214,130163,123220
 98.2,146451,139758,129787
101.8,153006,143208,135795
105.5,159852,149490,141207
109.4,164413,153982,144384
113.4,167984,157201,148630
117.6,171266,160340,152189
121.9,173522,162178,155000
126.3,173587,163307,154618
131.0,173838,163300,154808
135.8,171844,162048,152415
140.7,171964,159838,150267
145.9,166705,156805,149596
151.2,162166,150023,146021
156.8,157970,146437,141902
162.5,150213,142597,135231
168.5,143521,134286,127872
174.7,136334,128537,124348
181.1,128001,120644,117798
187.7,120339,113253,109807
194.6,111137,105735,102369
201.7,101973,97068.7,91970.7
209.1,91814.4,87475.9,85482.3
216.7,84555.5,78374.1,77785.6
224.7,76525.7,71110.7,68809.2
232.9,66610.8,62394,61750.7
241.4,58635.8,56362.9,54421
250.3,50214,47790.2,47527.3
259.5,43224.3,41302.3,41257.1
269.0,37308.3,34661.7,34030.6
278.8,30764.2,28789.9,28558.2
289.0,25557.2,24423.6,23562.5
299.6,20212.5,19187.8,19107.9
310.6,15609.3,15483.3,15327.2
322.0,12346.9,12144.7,11973.3
333.8,9805.16,9707.29,9187.69
346.0,7255.29,7388.45,7126.86
358.7,5582.19,5219.26,5140.32
371.8,4213.71,3828.1,3624.59
385.4,2762.45,2698.63,2748.44
399.5,1987.81,1877.4,1953.39
414.2,1509.83,1295.21,1422.96
429.4,983.943,942.798,1120.65
445.1,673.383,554.978,777.836
461.4,467.874,455.346,465.628
478.3,335.99,283.708,289.458
495.8,194.662,107.757,106.77
514.0,77.3991,70.8408,117.515
532.8,86.1263,76.4867,63.1815
552.3,21.5771,38.1073,53.8017
572.5,8.45177,8.45177,26.2099
593.5,8.58027,17.1605,8.58027
615.3,0,0,0
637.8,0,0,0
661.2,0,0,0
685.4,0,0,0
710.5,0,0,0
Scan Up Time(s),155,155,155
Retrace Time(s),10,10,10
Down Scan First,FALSE,FALSE,FALSE
Scans Per Sample,1,1,1
Impactor Type(cm),0.071,0.071,0.071
Sheath Flow(lpm),3,3,3
Aerosol Flow(lpm),1.5,1.5,1.5
CPC Inlet Flow(lpm),1.5,1.5,1.5
CPC Sample Flow(lpm),0.3,0.3,0.3
Low Voltage,14.0228,14.0228,14.0228
High Voltage,9507.79,9507.79,9507.79
Lower Size(nm),15.9634,15.9634,15.9634
Upper Size(nm),723.394,723.394,723.394
Density(g/cc),1,1,1
Title,,,
Status Flag,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error 
td(s),0.286,0.286,0.286
tf(s),5.51527,5.51527,5.51527
D50(nm),593.091,593.091,593.091
Median(nm),126.538,126.683,127.58
Mean(nm),136.899,137.144,138.138
Geo. Mean(nm),125.467,125.687,126.587
Mode(nm),130.975,126.346,121.881
Geo. Std. Dev.,1.5251,1.52497,1.52537
Total Concentration(#/cm³),82075,77052.1,73280.7
Comment,,,
