Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_MRH_20230602_comparison_nodryer.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4
Date,06/02/23,06/02/23,06/02/23,06/02/23
Start Time,12:08:00,12:11:00,12:14:00,12:17:00
Diameter Midpoint
 16.3,0,0,0,0
 16.8,0,0,0,29.2112
 17.5,0,0,0,0
 18.1,0,25.913,25.913,51.3619
 18.8,0,48.5861,0,0.435075
 19.5,22.9342,22.9342,8.70089,22.9342
 20.2,43.3411,0,56.7901,65.0116
 20.9,64.0512,91.2404,31.7122,0
 21.7,126.233,42.095,42.9382,10.4369
 22.5,162.903,34.0123,16.3189,75.6805
 23.3,151.623,109.185,121.53,130.489
 24.1,303.811,168.236,139.157,96.2471
 25.0,273.29,292.385,252.195,185.331
 25.9,399.724,369.399,171.906,277.635
 26.9,414.314,437.588,287.19,350.164
 27.9,606.303,397.472,349.385,300.163
 28.9,563.305,671.693,589.601,396.471
 30.0,967.789,903.911,746.515,543.192
 31.1,1045.42,1108.06,1053.86,614.378
 32.2,1268.97,1285,1240.38,972.778
 33.4,1829.22,1658.02,1539.26,1480.31
 34.6,1775.21,1721.39,1597.65,1731.49
 35.9,2694.93,1951.5,2035.7,2010.06
 37.2,3108,2542.8,2828.84,2582.3
 38.5,3242.15,3199.18,2854.88,2450.1
 40.0,4366.21,3851.58,3839.33,3364.25
 41.4,4637.42,4812.93,4306.19,3987.11
