Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_MRH_20230605_comparison_nodryer.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3
Date,06/05/23,06/05/23,06/05/23
Start Time,15:35:00,15:38:00,15:41:00
Diameter Midpoint
 16.3,0,0,0
 16.8,0,0,0
 17.5,0,0,0
 18.1,0,25.913,51.826
 18.8,0,24.2931,24.2931
 19.5,0,0,0
 20.2,0,21.6705,21.6705
 20.9,35.6535,35.8954,0
 21.7,32.7452,32.8305,52.4177
 22.5,116.717,11.8714,62.7131
 23.3,135.045,38.6084,100.933
 24.1,18.0958,164.851,107.612
 25.0,74.5149,104.5,116.275
 25.9,225.671,159.68,92.063
 26.9,217.631,108.249,125.537
 27.9,214.644,157.621,203.447
 28.9,309.512,453.982,287.357
 30.0,429.374,409.902,251.362
 31.1,414.976,409.605,403.095
 32.2,749.843,394.712,669.543
 33.4,814.919,748.511,765.747
 34.6,1044.87,835.863,864.437
 35.9,1352.76,1052.79,1002.27
 37.2,1511.69,1282.83,1078.59
 38.5,1601.81,1740.4,1537.42
 40.0,1973.48,1868.08,1694.35
 41.4,2373.72,2117.54,1943.84
 42.9,2693.03,2543.63,2640.38
 44.5,3352.2,2552.22,2623.78
 46.1,3966.32,3340.41,3649.28
 47.8,4248.04,3689.85,3909.58
 49.6,5271.2,4824.08,4500.81
 51.4,5649.08,5697.16,5823.29
 53.3,7046.43,6412.27,6313.54
 55.2,7593.37,8135.24,7488.83
 57.3,9234.1,8790.7,9038.85
 59.4,10818.9,10335.2,9566.93
 61.5,11989.6,11492.9,11334.6
 63.8,13383.5,13252.3,12228.7
 66.1,15577.6,14823.4,13792.2
 68.5,17773.8,16468.8,16131.3
 71.0,18798.9,18000.8,17394.9
 73.7,19749.3,18651.7,18210.7
 76.4,21436.8,20151.9,19590.6
 79.1,23709.1,23011.8,21705.2
 82.0,25040.2,25274.3,24082.3
 85.1,28574.8,26985.4,25345.9
 88.2,30148.9,28003.2,27803.5
 91.4,33069,31351.3,29638
 94.7,34358.2,32220.6,32404.8
 98.2,36995.1,34642.8,34953.5
101.8,37674.5,36769.2,36526.3
105.5,41543.7,38442.7,37723.7
109.4,42500.5,40541.3,39412.7
113.4,44216.3,43326,41567.7
117.6,45991.9,43054.7,42308.9
121.9,46575.5,45477.9,43109.5
126.3,47973.6,46308.2,44425.9
131.0,48387.9,47434.4,44802.2
135.8,49005.6,47757.5,45425.7
140.7,48652.1,47562.8,44672.6
145.9,49949.6,46554.9,44741
151.2,48157.5,45983.6,43505.8
156.8,47212.2,44161.7,43082.4
162.5,46340.9,43112.6,41911.9
168.5,43746.6,40780.3,39791.1
174.7,41513.8,39090,37360.3
181.1,38916.5,37126.3,34837.9
187.7,35341.9,33450.6,31616.8
194.6,32328.4,30526.9,29644
201.7,29812.3,28107,26595.1
209.1,25861.3,24216.8,23611.4
216.7,22620.3,20977.8,20257.3
224.7,18907.2,18174.5,18050.3
232.9,16263.5,15156.7,14560
241.4,13971.6,12564,12236.6
250.3,10752.9,10328.4,9690.54
259.5,8542.36,8307.26,7577.58
269.0,6980.42,6201.73,5710.74
278.8,5281.14,4956.56,4867.01
289.0,3739.01,3545.71,3366.05
299.6,2754.84,2516.57,2411.98
310.6,1883.04,1816.86,1620.36
322.0,1272.73,1153.16,1099.2
333.8,944.555,752.299,749.805
346.0,523.466,578.032,457.311
358.7,303.464,342.172,280.483
371.8,216.623,161.704,224.091
385.4,55.9308,61.271,143.141
399.5,63.6964,25.1153,64.9047
414.2,14.4245,50.4858,39.0588
429.4,29.4104,14.7052,14.7052
445.1,7.44841,7.44841,7.44841
461.4,15.1972,0,0
478.3,0,0,15.5104
495.8,7.86247,0,0
514.0,0,0,0
532.8,0,0,0
552.3,0,0,0
572.5,0,0,0
593.5,0,0,0
615.3,0,0,0
637.8,0,0,0
661.2,0,0,0
685.4,0,0,0
710.5,0,0,0
Scan Up Time(s),155,155,155
Retrace Time(s),10,10,10
Down Scan First,FALSE,FALSE,FALSE
Scans Per Sample,1,1,1
Impactor Type(cm),0.071,0.071,0.071
Sheath Flow(lpm),3,3,3
Aerosol Flow(lpm),1.5,1.5,1.5
CPC Inlet Flow(lpm),1.5,1.5,1.5
CPC Sample Flow(lpm),0.3,0.3,0.3
Low Voltage,14.0228,14.0228,14.0228
High Voltage,9507.79,9507.79,9507.79
Lower Size(nm),15.9634,15.9634,15.9634
Upper Size(nm),723.394,723.394,723.394
Density(g/cc),1,1,1
Title,,,
Status Flag,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error 
td(s),0.286,0.286,0.286
tf(s),5.51527,5.51527,5.51527
D50(nm),593.091,593.091,593.091
Median(nm),128.176,128.012,127.552
Mean(nm),134.29,134.079,133.833
Geo. Mean(nm),123.928,123.843,123.594
Mode(nm),145.902,135.773,135.773
Geo. Std. Dev.,1.51043,1.50635,1.50693
Total Concentration(#/cm³),22046.5,20942.7,20183.5
Comment,,,
