Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\COMP_Butanol_SMPS_100nm700nm_20230523.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12
Date,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023,5/23/2023
Start Time,12:34:02,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00,12:55:00,12:58:00,13:01:00,13:04:00,13:07:00
Sample Temp (C),22.7,22.6,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7
Sample Pressure (kPa),74.7,80.5,80.5,80.5,80.5,80.6,80.3,80.3,80.5,80.5,80.6,80.5
Relative Humidity (%),24.9,25.2,26.5,27.5,27.0,26.4,26.4,27.8,28.8,27.1,25.5,24.3
Mean Free Path (m),9.11474e-008,8.45439e-008,8.45802e-008,8.45802e-008,8.45802e-008,8.44753e-008,8.47909e-008,8.47909e-008,8.45802e-008,8.45802e-008,8.44753e-008,8.45802e-008
Gas Viscosity (Pa*s),1.83102e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005
Diameter Midpoint (nm)
 16.3,272.509,754435.462,882007.431,752336.190,740401.115,809877.909,261.070,174.046,621151.853,585535.625,705427.607,727038.387
 16.8,116.490,736634.164,855152.165,724239.769,715205.071,800909.578,203.456,185.758,605174.024,581670.354,689623.859,706818.377
 17.5,119.919,721134.210,848872.272,721661.001,707185.129,776515.540,224.674,255.263,601248.543,571433.193,675157.574,692796.063
 18.1,122.756,711973.504,828103.087,702642.259,692586.614,783480.059,291.553,244.463,585182.611,569338.699,663405.244,680950.769
 18.8,1135.495,696223.339,796849.992,689035.126,690068.170,770168.640,211.693,294.497,587939.317,560363.695,653782.495,665070.137
 19.5,362.889,685710.815,752684.073,677525.612,666086.849,764662.656,222.441,182.718,576436.106,556753.012,636331.486,640866.446
 20.2,700.203,674797.643,751570.339,654972.800,660956.609,739452.489,284.925,254.931,566203.197,555717.137,619105.704,636231.209
 20.9,325.792,644446.470,745886.136,637931.690,641137.534,721773.061,285.928,339.791,550067.101,538532.233,600445.958,617794.943
 21.7,67.514,628564.910,730354.765,625445.857,635410.132,699066.358,296.970,234.641,537099.842,520603.023,582239.284,602800.690
 22.5,157.138,621878.130,639616.074,613082.519,616962.084,660040.576,273.352,262.928,528303.979,504130.623,564990.269,587098.116
 23.3,241.410,601344.433,444933.197,589493.403,601512.961,652199.253,249.718,324.600,503380.081,483964.951,549197.114,574585.421
 24.1,152.061,580913.870,287074.365,568821.227,584633.446,638202.477,258.369,268.524,497044.369,468851.624,538124.222,559827.062
 25.0,277.416,560717.314,172526.516,552837.837,560081.668,608319.134,310.500,269.877,481512.469,460285.480,521697.083,544853.422
 25.9,368.932,542875.493,103139.497,526690.548,541241.974,538633.449,254.531,245.227,465515.922,449308.834,500343.647,518932.223
 26.9,295.500,523354.080,62855.183,503048.461,523761.048,369896.849,304.462,336.689,450384.030,437979.418,487054.494,506384.844
 27.9,375.379,504029.883,40928.359,479103.874,499095.553,239515.214,318.090,239.913,434551.411,427356.108,463897.821,482994.355
 28.9,418.585,482299.953,27949.750,455310.165,473804.774,139855.599,322.969,340.637,417316.824,411669.236,447271.213,460221.745
 30.0,385.366,462641.123,19343.143,431015.961,451772.000,80033.212,399.649,331.139,404630.035,396777.184,427836.161,445492.641
 31.1,513.523,434551.149,12778.860,406259.200,421787.105,47905.968,375.991,294.333,384170.476,374586.771,409376.328,419840.890
 32.2,510.616,406858.541,7363.432,382113.422,399275.535,28377.890,354.232,342.677,363145.896,355984.259,385926.942,392941.582
 33.4,497.788,382482.537,4625.121,358875.588,375733.042,16983.704,333.708,339.887,342373.037,336250.943,364743.472,366634.531
 34.6,458.921,361181.959,33520.418,328328.467,354342.515,9978.559,269.740,415.163,320136.064,319915.334,342050.984,342495.411
 35.9,401.956,338494.825,70253.291,303347.639,329477.427,5009.346,331.469,391.874,298947.869,300274.783,319171.445,319659.762
 37.2,453.160,313263.403,64191.402,279549.156,306321.151,2693.906,399.421,352.942,281060.138,279654.132,296200.695,294328.946
 38.5,426.353,285527.717,43869.190,255507.826,282655.865,9072.234,293.262,391.357,255719.610,259224.168,271650.256,268279.283
