Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\COMP_Water_SMPS_100nm700nm_20230523.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12
Date,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23,05/23/23
Start Time,12:34:00,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00,12:55:00,12:58:00,13:01:01,13:04:00,13:07:00
Diameter Midpoint
 16.3,31.1058,1.28321e+006,1.44454e+006,1.27873e+006,1.23679e+006,1.1566e+006,274.695,306.309,1.11974e+006,1.03958e+006,1.19157e+006,1.20434e+006
 16.8,146.056,1.24783e+006,1.41965e+006,1.23737e+006,1.20963e+006,1.14751e+006,306.69,408.957,1.10513e+006,1.03671e+006,1.17312e+006,1.18575e+006
 17.5,329.988,1.23761e+006,1.38416e+006,1.22822e+006,1.206e+006,1.11288e+006,304.432,451.004,1.08366e+006,1.02395e+006,1.17474e+006,1.17922e+006
 18.1,181.391,1.21298e+006,1.34384e+006,1.21178e+006,1.1865e+006,1.0973e+006,407.387,536.952,1.06402e+006,1.00762e+006,1.13014e+006,1.16607e+006
 18.8,214.471,1.16982e+006,1.30594e+006,1.16411e+006,1.14905e+006,1.05539e+006,381.557,478.729,1.02341e+006,981406,1.1007e+006,1.12465e+006
 19.5,256.209,1.1467e+006,1.13695e+006,1.13825e+006,1.11747e+006,1.04782e+006,497.462,566.265,989705,941557,1.06158e+006,1.08374e+006
 20.2,199.242,1.12144e+006,673458,1.09527e+006,1.07034e+006,983168,538.922,400.485,968260,912795,1.02698e+006,1.05891e+006
 20.9,332.317,1.06874e+006,326710,1.05233e+006,1.0364e+006,950903,516.568,360.049,927341,864845,985531,1.01904e+006
 21.7,146.835,1.02098e+006,157453,1.0111e+006,996729,926486,363.543,449.676,906966,842579,944494,984994
 22.5,172.22,987604,84311.1,968106,946278,714427,547.07,541.877,861832,832741,915943,946167
 23.3,153.641,948010,45839.4,911208,908160,388845,491.389,559.227,837869,809814,887394,909918
 24.1,428.458,902222,28751,859714,855360,186675,608.604,421.975,802179,769177,843988,862124
 25.0,267.839,850833,18055.3,817552,811163,92831.7,474.047,298.937,767468,736468,812557,830599
 25.9,628.066,808234,9990.82,770500,758582,46603.9,521.114,514.27,735719,710653,766349,783735
 26.9,934.067,763119,3998.38,723289,731900,23752.3,515.617,537.915,699839,672676,726263,734813
 27.9,683.907,712129,214.276,670453,685909,11336.7,531.208,521.551,656054,633175,681093,687249
 28.9,742.688,666143,3376.98,627698,641404,4509.74,625.698,525.643,615158,591398,640650,632603
 30.0,730.932,619537,91331.2,574142,589215,405.057,427.03,468.765,571520,555160,593302,591878
 31.1,778.767,575347,164693,531996,550264,0,572.396,649.786,524707,521829,550990,546983
 32.2,730.759,528392,111014,486064,513404,199.107,491.937,511.853,494019,482804,508674,499730
 33.4,623.305,479687,51899.9,441959,474936,62559.4,518.713,568.84,461434,440817,457213,461862
 34.6,579.804,439827,19929.2,403038,434155,206672,471.528,545.935,418454,405819,414853,415106
 35.9,732.89,392577,9317.48,363640,387674,287338,530.611,575.598,374041,361758,377728,377686
