Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_AgedSmoke_LRH_20230512_nodryer_02.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3
Date,05/12/23,05/12/23,05/12/23
Start Time,12:07:00,12:10:00,12:13:01
Diameter Midpoint
 16.3,0,0,35.0985
 16.8,0,32.8284,0
 17.5,0,0,0
 18.1,0,0,0
 18.8,0,0,0
 19.5,0,0,0
 20.2,0,0,0
 20.9,0,0,0
 21.7,0,0,21.4065
 22.5,0,40.5366,20.2675
 23.3,0,0,0
 24.1,18.1418,18.1437,0
 25.0,17.2727,17.2744,0
 25.9,16.4716,0,0
 26.9,0,19.6469,15.7323
 27.9,44.7436,26.1208,6.19204
 28.9,57.1522,0,51.2228
 30.0,27.185,90.9882,0
 31.1,104.46,69.2947,78.3478
 32.2,145.397,50.2368,48.9091
 33.4,149.063,142.707,132.402
 34.6,254.778,244.341,139.796
 35.9,322.797,266.707,265.879
 37.2,512.836,459.697,333.212
 38.5,596.594,597.354,461.781
 40.0,754.919,854.206,477.111
 41.4,973.626,999.37,797.473
 42.9,1212.46,1211.61,909.093
 44.5,1595.61,1489.06,1255.14
 46.1,2104.17,1867.44,1859.86
 47.8,2504.19,2257.13,2146.6
 49.6,3192.73,3245.54,2861.86
 51.4,4183.72,3961.39,3425.73
 53.3,4976.19,4952.89,4339.39
 55.2,6083.97,6036.39,5401.71
 57.3,7591.56,7490.31,6652.35
 59.4,9251.25,8210.65,8468.83
 61.5,10939.4,10308.3,9818.09
 63.8,12959.4,12365.3,11297.2
 66.1,15912.6,14835.9,14228.9
 68.5,18402.3,17975.6,16763.4
 71.0,21475.2,20569.9,19919.8
 73.7,25632.2,24563.4,22675.2
 76.4,30131.7,28306.8,26670.5
 79.1,34325.8,32054.9,30506.2
 82.0,38439.9,37163.4,35210.1
 85.1,44264.7,42408,39115.8
 88.2,50568.7,48018.4,44512.7
 91.4,54128.6,52974.7,50500
 94.7,62453.3,59128.5,54518.9
 98.2,68636.7,64821.6,62435
101.8,75373.1,70377.9,66563.7
105.5,80725.9,77329.4,73058.2
109.4,87615.5,82750.4,79123.3
113.4,95100.6,89973,85312.4
117.6,99666.9,94296.2,89943.8
121.9,104669,99726.7,94705.6
126.3,110033,104678,101195
131.0,113823,107975,103313
135.8,117926,113504,108380
140.7,121681,116002,112028
145.9,122756,119565,113613
151.2,125508,119281,113808
156.8,126139,119956,113507
162.5,125685,121212,115777
168.5,124683,119776,114732
174.7,122867,118140,113737
181.1,121716,115004,112662
187.7,119180,114219,108496
194.6,116202,110171,103966
201.7,109710,107723,103133
209.1,105365,101547,97030.6
216.7,100956,96084.7,92800.1
224.7,94399.5,89214,88468.5
232.9,88428.9,84331.3,82136.6
241.4,83060.8,78328,77119.2
250.3,75912.1,73196.4,71600.6
259.5,68814.8,64962,64713.1
269.0,61898.7,59836.3,57662.6
278.8,55447.4,52743.1,52504.2
289.0,48429.5,46274.7,46437.1
299.6,43152,40836.6,40110.8
310.6,37129.4,36025.2,34779.1
322.0,31336.1,30930.2,29903.1
333.8,26374.5,25670.5,25033
346.0,21514,20921.1,20811.2
358.7,18192.2,17034.8,16692.5
371.8,13928,13643.4,13626
385.4,11674.6,10639,10521.6
399.5,8935.37,8176.49,8196.43
414.2,6311.02,6081.13,6474.43
429.4,4602.88,4915.43,4504.64
445.1,3513.66,3739.15,3381.62
461.4,2710.26,2636.22,2702.34
478.3,1729.1,1808.8,1819.65
495.8,1416.6,1435.78,1315.41
514.0,825.302,874.703,1050.76
532.8,697.643,619.484,544.436
552.3,400.695,396.637,367.036
572.5,252.836,272.849,276.919
593.5,0,0,0
615.3,0,0,0
637.8,0,0,0
661.2,0,0,0
685.4,0,0,0
710.5,0,0,0
Scan Up Time(s),155,155,155
Retrace Time(s),10,10,10
Down Scan First,FALSE,FALSE,FALSE
Scans Per Sample,1,1,1
Impactor Type(cm),0.071,0.071,0.071
Sheath Flow(lpm),3,3,3
Aerosol Flow(lpm),1.5,1.5,1.5
CPC Inlet Flow(lpm),1.5,1.5,1.5
CPC Sample Flow(lpm),0.3,0.3,0.3
Low Voltage,11.111,11.1092,11.1152
High Voltage,9091.01,9092.57,9097.34
Lower Size(nm),15.9634,15.9634,15.9634
Upper Size(nm),723.394,723.394,723.394
Density(g/cc),1,1,1
Title,,,
Status Flag,Conditioner Temperature Error ,Conditioner Temperature Error ,Conditioner Temperature Error 
td(s),0.286,0.286,0.286
tf(s),5.51527,5.51527,5.51527
D50(nm),574.049,574.049,574.049
Median(nm),158.351,158.575,159.465
Mean(nm),170.871,171.094,172.073
Geo. Mean(nm),157.056,157.241,158.178
Mode(nm),156.788,162.531,162.531
Geo. Std. Dev.,1.51445,1.51494,1.51392
Total Concentration(#/cm³),58959.9,56327.8,54031.5
Comment,,,
