Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_HRH_20230328.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023,3/28/2023
Start Time,14:25:00,14:28:00,14:31:00,14:34:00,14:37:00,14:40:00,14:43:00,14:46:00,14:49:00,14:52:00,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:00,15:16:00,15:19:00,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:00,15:40:00,15:43:00,15:46:01
Sample Temp (C),22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.5,22.4,22.5,22.4,22.4,22.4,22.4,22.4,22.4,22.3,22.3,22.3,22.3,22.3,22.3,22.2,22.2
Sample Pressure (kPa),80.4,80.4,80.4,80.4,80.4,80.4,80.3,80.3,80.3,80.3,80.3,80.3,80.2,80.0,80.1,80.1,80.0,80.1,80.0,80.0,79.9,79.7,79.7,79.9,79.8,79.8,79.8,79.8
Relative Humidity (%),14.2,15.9,17.2,18.3,19.2,19.9,20.5,21.1,21.5,21.8,22.1,22.4,22.6,22.8,22.9,23.1,23.2,23.3,23.4,23.5,23.5,23.6,23.7,23.7,23.8,23.8,23.9,23.9
Mean Free Path (m),8.45762e-008,8.45762e-008,8.45762e-008,8.45762e-008,8.45762e-008,8.45762e-008,8.46816e-008,8.46816e-008,8.46816e-008,8.46816e-008,8.46816e-008,8.47180e-008,8.47872e-008,8.50357e-008,8.48930e-008,8.48930e-008,8.49991e-008,8.48930e-008,8.49991e-008,8.49991e-008,8.50689e-008,8.52823e-008,8.52823e-008,8.50689e-008,8.51755e-008,8.51755e-008,8.51388e-008,8.51388e-008
Gas Viscosity (Pa*s),1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.83006e-005,1.82958e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
 16.3,0.000,0.000,1152.279,120444.160,19754.108,6110.186,2828.369,1986.001,1791.257,1218.644,1511.489,1523.508,1526.310,1279.466,1016.464,1092.496,1239.884,1102.533,1239.612,1258.117,1219.687,989.956,1007.010,1173.454,1204.362,1064.732,1225.858,932.801
 16.8,0.000,0.000,15073.648,131388.531,20957.838,5950.249,2268.252,1220.705,806.251,724.926,732.615,719.872,707.049,545.223,555.613,615.281,602.422,649.306,629.194,686.667,470.318,520.536,411.439,585.594,584.360,623.431,546.589,520.934
 17.5,0.000,0.000,45382.737,144559.746,24136.531,6370.824,2005.199,985.181,584.649,374.141,344.697,298.103,394.738,252.418,293.119,274.078,221.440,187.555,278.173,232.701,220.367,206.740,153.249,203.202,255.426,242.833,277.437,192.347
 18.1,0.000,0.000,72629.113,157704.264,27866.147,7550.212,2769.389,1015.078,434.761,255.253,187.184,169.000,121.894,90.172,147.931,124.882,99.305,143.393,49.124,81.872,135.743,99.153,77.470,159.533,78.576,110.458,63.368,146.686
 18.8,0.000,0.000,155095.278,176436.497,30956.655,9827.136,3043.596,1347.823,596.016,298.849,151.296,134.204,131.402,76.813,76.445,46.807,46.528,0.000,23.015,53.702,52.371,64.752,48.000,37.369,22.086,66.530,29.687,29.290
 19.5,0.000,0.000,351180.298,191352.747,34815.733,10968.333,4108.749,1636.202,831.055,386.477,236.569,168.637,115.563,29.027,29.634,44.216,29.302,0.000,28.992,21.744,28.280,13.603,6.734,14.126,13.916,41.921,21.042,13.843
 20.2,0.000,0.000,1248366.907,214437.907,41146.293,12999.134,4623.104,2015.480,1150.752,523.661,287.781,145.360,130.927,75.409,41.236,48.724,0.000,7.051,6.847,6.847,20.042,12.858,19.099,6.674,13.152,13.205,33.141,0.000
 20.9,0.000,0.000,3316673.631,233449.182,46404.730,14290.499,5901.665,2500.470,951.679,677.650,371.966,178.752,44.032,45.882,27.772,70.678,34.098,8.279,28.505,22.706,0.000,10.278,16.712,4.957,4.819,11.769,11.770,0.000
 21.7,0.000,0.000,5746183.782,253766.192,51754.435,17301.686,6645.386,2655.461,1611.599,662.483,380.933,204.176,150.877,67.957,47.101,62.468,33.248,14.947,5.617,50.775,9.243,8.059,14.764,16.291,16.366,4.398,4.726,16.188
 22.5,0.000,0.000,7908050.941,277336.814,62722.058,19665.656,8192.229,3100.274,1788.919,891.178,498.150,375.006,155.344,118.247,74.116,26.162,28.588,29.031,27.412,38.682,21.373,6.146,6.729,0.000,7.998,2.957,8.830,3.756
 23.3,0.000,0.000,9634540.907,297259.031,69721.865,23445.414,9505.175,4314.817,2361.883,1338.714,636.439,433.358,266.837,130.531,141.089,79.331,16.932,26.175,53.030,21.932,29.075,0.000,5.569,1.217,6.762,0.000,2.646,7.793
 24.1,0.000,0.000,10707986.755,324909.291,80196.443,27681.570,11826.662,5420.067,2837.894,1708.743,1018.147,514.878,314.818,182.627,164.301,66.101,81.494,27.927,37.232,13.701,7.363,22.049,11.975,14.956,9.487,7.004,0.000,11.902
 25.0,0.000,0.000,10739309.676,356155.082,91876.786,33189.231,14661.231,6866.075,3553.409,1809.268,1125.617,709.009,456.074,315.296,217.995,90.897,141.568,72.904,81.464,38.224,47.721,0.000,4.348,2.262,3.345,31.380,12.957,14.763
 25.9,0.000,0.000,10039969.889,380703.374,104429.532,38632.912,17121.227,8437.098,4099.461,2493.033,1769.202,851.000,605.884,296.773,248.293,136.402,90.196,125.034,76.793,120.046,53.440,25.734,6.908,39.182,20.206,3.656,4.424,0.000
 26.9,0.000,0.000,8693517.531,414699.722,117220.275,43751.357,20755.681,10857.840,5424.548,2999.383,2166.049,1134.979,736.005,479.101,274.686,273.049,223.525,162.316,95.785,72.750,48.167,64.034,33.710,31.757,27.375,7.289,26.463,29.937
 27.9,0.000,0.000,6863519.390,441089.956,129837.481,51062.832,24482.053,11732.271,7504.449,3938.805,2678.215,1547.312,1085.025,892.529,562.675,327.325,237.874,205.414,154.773,92.983,35.395,96.682,45.904,73.208,44.664,29.497,7.135,20.910
 28.9,0.000,0.000,5227337.753,481392.455,146166.008,57893.147,28998.670,14562.644,8366.215,5170.360,3615.831,2177.552,1340.925,752.657,628.785,508.278,366.147,296.672,188.007,196.873,145.844,116.339,97.349,58.040,52.739,35.106,23.703,28.945
 30.0,0.000,0.000,4104826.078,509981.448,161580.372,67417.789,34747.913,17987.743,11226.160,6361.813,4466.003,2764.635,1834.525,1415.118,838.422,631.002,390.207,375.660,293.501,242.047,178.641,143.014,105.276,101.893,105.341,56.413,59.895,23.464
