Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_HRH_20230407_03.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023,4/7/2023
Start Time,13:24:00,13:27:00,13:30:00,13:33:00,13:36:00,13:39:00,13:42:00,13:45:00,13:48:00,13:51:00,13:54:00,13:57:00,14:00:00,14:03:00,14:06:00,14:09:00,14:12:00,14:15:00,14:18:00,14:21:00,14:24:00,14:27:00,14:30:00,14:33:00,14:36:00,14:39:00
Sample Temp (C),22.7,22.7,22.7,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.7,22.7,22.7,22.7,22.6,22.6,22.6,22.6,22.5,22.5,22.5,22.5,22.5
Sample Pressure (kPa),80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.3,80.2,80.3,80.2,80.2,80.2,80.2,80.2
Relative Humidity (%),14.0,13.9,13.8,13.7,13.6,13.6,13.6,13.5,13.5,13.4,13.4,13.4,13.4,13.4,13.4,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3
Mean Free Path (m),8.47909e-008,8.47909e-008,8.47909e-008,8.48274e-008,8.48274e-008,8.48274e-008,8.48274e-008,8.48274e-008,8.48274e-008,8.48274e-008,8.48274e-008,8.48274e-008,8.48274e-008,8.47909e-008,8.47909e-008,8.47909e-008,8.47909e-008,8.47545e-008,8.47545e-008,8.48601e-008,8.47545e-008,8.48236e-008,8.48236e-008,8.48236e-008,8.48236e-008,8.48236e-008
Gas Viscosity (Pa*s),1.83102e-005,1.83102e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005
Diameter Midpoint (nm)
 16.3,0.000,105.715,158.947,211.727,177.896,144.873,120.860,147.157,140.262,126.117,150.181,96.756,171.806,107.483,128.826,53.613,89.678,96.482,64.244,96.536,32.122,85.790,100.126,84.881,95.377,42.390
 16.8,0.000,89.010,88.907,39.615,109.194,79.599,59.331,80.919,70.637,12.916,40.222,50.277,30.131,40.213,80.331,80.235,50.088,60.164,90.140,60.196,50.077,20.061,36.435,39.702,29.742,39.656
 17.5,0.000,9.284,46.367,37.187,18.636,18.679,76.117,18.985,0.000,0.000,28.312,28.312,0.000,9.435,28.273,37.653,9.402,9.411,56.402,28.249,18.801,9.414,9.393,18.634,8.226,55.837
 18.1,0.000,17.475,26.182,26.247,0.000,8.789,8.951,0.000,17.820,17.779,8.880,0.000,17.739,8.878,8.868,0.000,17.694,17.711,8.846,0.000,0.000,0.000,8.838,0.000,1.016,26.274
 18.8,0.000,0.000,0.000,0.000,0.000,8.289,8.440,0.000,0.000,16.766,0.000,0.000,8.364,0.000,25.087,0.000,0.000,0.000,0.000,0.000,0.000,8.353,0.000,16.539,0.000,0.000
 19.5,0.000,0.000,0.000,15.482,0.000,7.776,0.000,7.901,23.648,7.865,0.000,0.000,0.000,0.000,0.000,7.836,7.827,7.835,0.000,0.000,15.651,0.000,0.000,15.515,15.498,0.000
 20.2,7.291,7.299,0.000,7.308,14.649,0.000,14.948,7.457,0.000,0.000,0.000,0.000,7.407,0.000,0.000,0.000,0.000,7.395,0.000,0.000,0.000,0.000,7.381,0.000,0.000,7.315
 20.9,6.116,0.000,0.000,6.718,5.850,0.000,0.000,0.000,0.000,6.582,0.000,0.000,0.000,0.000,34.488,0.000,0.000,6.735,0.000,6.775,0.000,0.000,0.000,0.000,0.000,0.000
 21.7,0.000,0.000,0.000,4.845,11.658,0.000,0.000,5.397,0.000,5.743,25.995,6.105,8.860,6.487,72.533,12.945,6.268,0.000,0.000,0.000,0.000,0.000,6.576,5.880,6.336,6.185
