Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_20230413.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Date,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023,4/13/2023
Start Time,15:38:00,15:41:00,15:44:00,15:47:00,15:50:00,15:53:00,15:56:00,15:59:00,16:02:00,16:05:00,16:08:00,16:11:00,16:14:00,16:17:00,16:20:00,16:23:00,16:26:00,16:29:00,16:32:00,16:35:00,16:38:00,16:41:00,16:44:00,16:47:00,16:50:00,16:53:00,16:56:00
Sample Temp (C),22.1,22.1,22.1,22.1,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2
Sample Pressure (kPa),78.9,78.9,78.9,78.9,79.0,78.9,78.9,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0
Relative Humidity (%),70.4,71.3,72.2,72.9,73.7,74.3,74.9,75.5,76.0,76.5,77.0,77.4,77.8,78.1,78.5,78.8,79.1,79.4,79.6,79.8,80.1,80.3,80.5,80.6,80.8,81.0,81.2
Mean Free Path (m),8.60729e-008,8.60729e-008,8.60729e-008,8.60729e-008,8.60010e-008,8.61100e-008,8.61100e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008,8.60010e-008
Gas Viscosity (Pa*s),1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
 16.3,51.229,0.000,77380.226,32212.574,14985.297,8277.316,4951.334,3203.323,2674.419,1939.570,1562.524,1493.228,1380.735,1283.511,1207.640,1006.215,889.553,960.305,726.946,827.644,706.297,686.821,642.407,574.812,593.206,501.388,482.407
 16.8,23.894,35.941,76641.327,32764.803,15766.412,7973.804,4345.413,2638.729,1972.128,1533.657,1163.340,987.257,844.749,683.211,633.966,499.302,634.522,271.338,435.177,346.465,447.063,402.356,308.525,346.332,252.694,227.425,205.311
