Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_HRH_20230608.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Date,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023,6/8/2023
Start Time,09:44:00,09:47:00,09:50:00,09:53:00,09:56:00,09:59:00,10:02:00,10:05:00,10:08:00,10:11:00,10:14:00,10:17:00,10:20:00,10:23:00,10:26:00,10:29:00,10:32:00,10:35:00,10:38:00,10:41:00,10:44:00,10:47:00,10:50:00,10:53:00,10:56:00,10:59:00,11:02:00,11:05:00,11:08:00,11:11:00,11:14:00
Sample Temp (C),22.6,22.6,22.7,22.7,22.7,22.7,22.7,22.7,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.9,22.9,22.9,22.9,22.9,22.9,22.9,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.8
Sample Pressure (kPa),78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.4,78.3,78.3,78.2,78.3,78.3,78.2,78.3,78.3,78.3,78.3,78.3,78.3,78.2,78.2,78.1
Relative Humidity (%),25.3,22.6,20.3,18.5,17.0,15.7,14.7,13.8,13.0,12.4,11.8,11.4,10.9,10.6,10.3,10.0,9.7,9.5,9.3,9.2,9.0,8.9,8.8,8.7,8.6,8.5,8.4,8.4,8.3,8.3,8.3
Mean Free Path (m),8.68085e-008,8.68085e-008,8.68458e-008,8.68458e-008,8.68458e-008,8.68458e-008,8.68458e-008,8.68458e-008,8.68831e-008,8.68831e-008,8.68831e-008,8.68831e-008,8.68831e-008,8.68831e-008,8.68831e-008,8.68831e-008,8.70315e-008,8.70315e-008,8.71428e-008,8.70315e-008,8.70315e-008,8.71428e-008,8.70315e-008,8.69941e-008,8.69941e-008,8.69941e-008,8.69941e-008,8.69941e-008,8.71053e-008,8.71053e-008,8.72169e-008
Gas Viscosity (Pa*s),1.83054e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83197e-005,1.83197e-005,1.83197e-005,1.83197e-005,1.83197e-005,1.83197e-005,1.83197e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005
Diameter Midpoint (nm)
 16.3,0.000,0.000,0.000,0.000,0.000,0.000,96221.953,41351.632,21158.755,11271.277,6242.900,3813.691,2520.735,1827.710,1050.981,817.363,741.907,591.285,458.881,446.784,401.232,404.107,423.341,279.388,389.997,322.103,305.179,336.722,270.297,186.474,288.551
 16.8,0.000,0.000,0.000,0.000,0.000,0.000,95100.309,43079.195,21523.286,11185.209,6856.036,4056.169,2719.940,1605.263,1165.178,900.281,654.226,359.799,362.070,331.630,307.323,217.740,222.810,175.199,266.323,186.591,185.728,126.835,130.653,144.557,127.885
