Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_LRH_20230323.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Date,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023,3/23/2023
Start Time,11:00:00,11:03:00,11:06:00,11:09:00,11:12:00,11:15:00,11:18:00,11:21:00,11:24:00,11:27:00,11:30:00,11:33:00,11:36:00,11:39:00,11:42:00,11:45:00,11:48:00,11:51:00,11:54:00,11:57:00,12:00:00,12:03:00,12:06:00,12:09:00,12:12:00,12:15:00,12:18:00,12:21:00,12:24:00,12:27:00,12:30:00,12:33:00,12:36:00,12:39:00,12:42:00,12:45:00,12:48:00,12:51:00,12:54:00,12:57:00,13:00:00
Sample Temp (C),22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.2,22.1,22.1,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2,22.2
Sample Pressure (kPa),80.8,80.8,80.8,80.8,80.8,80.7,80.8,80.8,80.8,80.8,80.8,80.8,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.7,80.6,80.7,80.6,80.6,80.6,80.6,80.6,80.6,80.6,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5,80.5
Relative Humidity (%),11.0,13.0,14.7,16.2,17.4,18.4,19.3,20.1,20.7,21.2,21.7,22.1,22.4,22.7,22.9,23.1,23.2,23.4,23.5,23.6,23.6,23.7,22.1,19.4,17.3,15.5,14.1,13.0,12.0,11.2,10.5,9.9,9.4,9.0,8.6,8.2,8.0,7.7,7.5,7.2,7.1
Mean Free Path (m),8.40851e-008,8.40851e-008,8.40851e-008,8.40851e-008,8.40851e-008,8.41893e-008,8.40851e-008,8.40851e-008,8.40489e-008,8.40489e-008,8.40489e-008,8.40489e-008,8.41530e-008,8.41530e-008,8.41530e-008,8.41530e-008,8.41530e-008,8.41530e-008,8.41530e-008,8.41530e-008,8.41530e-008,8.41530e-008,8.42575e-008,8.41530e-008,8.42575e-008,8.42575e-008,8.42575e-008,8.42938e-008,8.42575e-008,8.42575e-008,8.42938e-008,8.43985e-008,8.43985e-008,8.43985e-008,8.43985e-008,8.43985e-008,8.43985e-008,8.43985e-008,8.43985e-008,8.43985e-008,8.43985e-008
Gas Viscosity (Pa*s),1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
 16.3,0.000,0.000,96999.687,25289.076,9326.814,4553.773,2835.404,2523.729,2428.482,2197.960,2108.786,2316.245,1850.322,1904.104,1814.483,1854.880,1327.293,1530.440,1858.852,1460.138,1926.348,1685.028,1737.093,1646.899,1656.629,1482.648,1460.319,1446.268,1449.003,1556.287,1411.168,1098.089,1176.932,1149.058,1242.810,1091.698,1136.108,1144.460,797.141,809.191,920.089
 16.8,0.000,0.000,101131.555,26562.325,8800.088,3990.813,2180.805,1441.802,945.590,1260.799,963.700,975.271,970.646,790.384,831.907,1000.739,919.791,1009.594,790.975,1044.706,936.907,1225.077,935.865,842.787,802.498,950.524,754.920,827.160,774.412,723.915,736.644,707.634,636.826,697.641,601.277,599.245,515.626,590.881,494.297,485.281,539.367
 17.5,0.000,0.000,104556.185,26960.165,9842.576,4320.405,2014.431,795.817,693.182,433.519,518.242,477.377,352.209,364.248,502.091,453.484,535.694,355.962,607.096,416.682,295.280,615.703,388.795,402.910,357.300,451.149,525.502,409.097,470.926,333.957,365.008,368.953,381.236,312.659,326.198,260.669,312.803,378.525,260.013,194.518,168.157
 18.1,0.000,0.000,108144.092,30622.788,10992.135,4447.853,2028.945,945.463,589.065,356.895,275.488,284.661,331.039,246.524,227.562,172.657,303.888,175.188,189.356,247.156,269.115,539.642,221.261,265.809,180.348,269.139,228.336,184.522,151.069,143.982,136.562,235.167,200.909,172.409,122.532,158.893,122.225,183.337,73.152,188.766,114.579
 18.8,0.000,0.000,112965.103,33448.902,11339.993,5069.512,2066.591,1236.612,476.080,345.595,268.095,203.729,177.428,104.855,75.448,124.775,99.305,86.395,147.429,61.114,48.642,659.375,134.522,54.252,108.947,84.304,47.688,71.185,94.654,76.573,129.196,93.072,69.977,46.303,69.108,34.469,34.469,91.917,68.767,85.499,108.968
 19.5,0.000,0.000,115415.065,35573.835,13798.253,5640.726,2362.554,1292.614,690.616,566.509,198.809,173.397,143.217,83.328,94.988,70.510,81.840,81.422,69.435,23.027,45.821,536.013,34.558,22.911,57.015,45.382,78.621,46.940,22.294,44.367,33.200,54.811,21.980,21.817,43.418,10.827,32.482,0.000,0.000,21.548,10.748
 20.2,0.000,0.000,120885.146,40250.342,15180.753,5785.245,3486.326,1542.521,832.031,363.276,299.634,141.610,112.414,67.276,100.165,99.631,33.042,21.916,32.707,32.542,21.585,360.943,10.853,21.585,10.743,0.000,31.751,29.498,10.506,20.906,10.428,0.000,20.714,20.562,40.920,10.205,0.000,0.000,10.180,10.155,20.261
 20.9,0.000,0.000,121092.837,40914.520,17078.853,7011.545,3330.990,1829.683,1057.769,527.751,306.137,250.405,169.974,98.802,103.489,73.461,22.759,34.266,27.291,21.516,6.707,278.906,0.000,60.004,18.939,18.388,19.264,8.880,0.000,29.327,0.000,8.989,0.000,0.000,18.986,9.327,0.000,9.248,0.000,0.000,9.497
 21.7,0.000,0.000,122659.836,42868.569,18532.799,7719.205,3920.698,2466.874,1171.743,718.743,427.842,257.653,157.573,139.537,112.190,64.941,47.422,1.194,68.917,29.535,41.306,192.131,16.574,7.751,27.015,0.000,18.044,8.324,8.031,0.000,17.529,35.928,18.072,8.139,17.441,0.000,8.622,8.650,0.000,0.000,0.000
 22.5,0.000,0.000,127120.966,45822.572,21490.827,9559.088,5371.237,2791.559,1599.092,916.082,467.742,363.436,250.793,166.967,87.351,108.142,27.274,50.926,24.982,37.629,1.795,64.158,58.400,26.436,15.028,6.108,0.000,7.363,33.991,7.972,0.000,0.000,0.000,15.671,15.848,0.000,15.879,0.000,16.409,0.000,0.000
 23.3,0.000,0.000,129773.357,50133.480,23631.008,11066.376,5890.809,3454.687,2072.750,1115.079,646.765,394.720,319.156,179.705,167.378,53.596,64.922,51.051,28.034,20.471,15.823,107.683,27.397,17.453,0.000,12.335,5.956,14.363,5.053,0.000,0.000,0.000,0.000,6.083,15.494,6.830,6.356,0.000,15.520,0.000,6.590
 24.1,0.000,0.000,133675.857,54650.071,24139.313,12819.774,6726.998,3625.366,2245.259,1260.042,933.277,667.323,422.087,304.795,218.723,126.412,58.190,127.378,78.695,60.101,2.662,45.870,6.310,26.367,8.337,26.988,11.451,11.171,5.018,28.292,5.932,4.826,6.380,20.835,5.982,0.000,0.000,0.000,15.251,0.000,0.000
 25.0,0.000,0.000,138532.271,57408.075,27731.661,14328.583,8069.833,4657.287,2685.779,1577.897,999.643,858.350,429.249,226.470,274.167,171.614,122.012,84.541,75.524,72.343,44.158,29.558,18.595,63.025,7.974,0.000,21.803,0.000,3.459,11.455,12.987,13.402,27.373,36.649,0.000,4.451,0.000,0.000,6.300,13.694,5.338
 25.9,0.000,0.000,141176.089,62752.419,30342.726,15709.978,9337.049,5282.582,2999.991,2243.580,1304.352,822.386,579.122,435.613,345.037,242.660,263.580,146.127,90.611,70.263,68.658,79.020,40.702,27.533,53.241,6.773,0.936,6.028,28.287,10.051,7.779,4.737,1.889,4.685,11.705,10.853,3.779,6.518,0.000,0.000,13.355
 26.9,0.000,0.000,145772.950,68312.357,33760.189,18162.526,10650.113,6375.421,4060.778,2522.241,1783.597,1106.951,731.819,529.309,459.576,289.875,153.487,228.556,118.750,90.585,50.699,9.158,63.132,25.982,37.946,14.911,18.615,9.805,18.761,5.167,0.000,5.950,8.120,18.439,8.055,8.575,0.000,11.085,24.691,3.878,0.000
 27.9,0.000,0.000,150865.002,73728.163,36902.863,21289.337,11467.582,7016.321,4471.765,2951.107,2016.612,1429.835,745.820,709.913,502.696,398.912,369.908,284.300,144.928,118.746,125.739,63.386,49.522,0.000,47.336,29.332,28.070,7.863,22.466,46.357,28.283,33.287,17.444,19.851,0.000,45.560,9.078,16.225,2.348,22.911,3.331
 28.9,0.000,0.000,154876.266,74747.584,40795.344,24172.861,13572.520,8875.302,6010.484,4131.694,2640.485,1901.371,1447.433,957.648,671.813,465.191,402.452,361.668,190.740,186.642,96.975,146.534,157.023,53.169,126.109,17.912,18.556,51.122,20.913,32.025,24.374,3.895,47.919,51.364,23.538,22.904,4.030,21.515,1.258,12.056,2.701
 30.0,0.000,0.000,163366.631,82222.367,46178.522,27790.196,15928.805,9595.504,6228.827,4899.418,3202.170,2254.283,1887.144,1275.566,899.360,737.235,607.011,514.557,261.225,245.574,250.465,195.080,105.614,91.301,99.796,131.831,55.061,77.845,90.556,25.348,23.879,56.491,21.565,51.271,27.317,23.888,34.456,29.542,24.612,0.000,6.649
 31.1,0.000,0.000,169178.698,88999.653,51011.722,30447.512,17908.910,12014.580,8107.699,5454.011,3854.762,2929.853,2201.261,1773.798,976.894,804.497,660.547,491.508,523.841,287.096,400.366,210.356,162.983,108.384,95.924,141.799,44.929,59.030,74.793,36.530,63.162,48.630,20.926,59.111,46.188,29.008,25.964,24.670,18.575,17.465,20.752
 32.2,0.000,0.000,177503.499,94126.656,54484.877,32815.095,20609.746,13969.030,9348.186,6553.643,4583.393,3385.920,2743.621,1799.321,1339.021,1190.343,1009.517,725.893,612.899,429.024,372.838,350.180,305.058,176.234,164.838,150.220,141.954,80.283,77.334,44.624,105.268,87.226,56.532,89.501,76.077,42.766,73.690,0.000,42.603,36.672,13.038
 33.4,0.000,0.000,192891.215,100704.994,60470.193,37172.866,23355.953,16378.662,11172.350,8280.225,5518.293,4048.447,3055.025,2306.284,1730.491,1622.777,1056.306,877.023,717.645,666.071,466.821,432.283,334.053,286.504,253.421,221.909,112.917,114.503,158.613,92.282,164.758,79.123,47.817,98.531,35.774,61.811,83.162,91.144,32.730,54.053,72.734
 34.6,0.000,0.000,196583.244,108459.943,65800.717,42313.732,27495.462,18979.566,12853.555,9188.704,6706.094,4906.004,3813.745,2932.179,2155.545,1738.885,1421.128,938.981,868.288,581.668,574.580,410.778,426.425,266.997,231.949,230.033,197.019,205.926,121.548,149.383,78.863,128.468,63.095,110.442,76.990,82.127,64.636,53.087,9.471,35.596,40.031
 35.9,0.000,366315.843,208801.881,116812.194,72314.716,46532.870,31137.062,21049.796,15417.655,11485.780,7904.136,6011.714,4307.670,3714.467,2572.772,2310.724,2030.578,1617.808,1027.845,838.025,696.654,608.837,483.582,283.945,373.888,307.149,339.711,295.352,156.841,139.469,81.746,58.529,105.261,26.050,63.348,111.984,61.484,41.081,42.690,41.173,77.334
 37.2,0.000,1198767.365,218967.002,126880.958,80493.405,52262.547,35362.255,24045.365,18081.954,13605.546,9787.441,7348.545,5759.866,4621.204,3440.332,2921.766,2318.593,2100.169,1262.285,1171.912,956.712,757.086,651.338,585.185,458.577,521.951,463.072,286.766,273.007,148.486,226.865,81.606,179.052,82.994,83.125,110.143,111.640,17.864,14.959,42.823,21.436
