Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_LRH_20230530_2.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Date,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023,5/30/2023
Start Time,13:44:00,13:47:00,13:50:00,13:53:00,13:56:00,13:59:00,14:02:00,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:01,14:26:01,14:29:01,14:32:00,14:35:00,14:38:00,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:00,15:05:00,15:08:00,15:11:00,15:14:00,15:17:00,15:20:00,15:23:00,15:26:00,15:29:00,15:32:00,15:35:00,15:38:00,15:41:00,15:44:00,15:47:00
Sample Temp (C),22.1,22.1,22.1,22.1,22.3,22.4,22.5,22.5,22.6,22.7,22.7,22.7,22.6,22.6,22.5,22.5,22.4,22.4,22.4,22.4,22.3,22.3,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4
Sample Pressure (kPa),80.0,80.0,80.0,80.0,80.0,79.9,79.9,79.9,79.8,79.7,79.7,79.7,79.5,79.4,79.3,79.3,79.3,79.2,79.1,79.1,79.1,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,78.9,78.9,78.9,78.8,78.8,78.8
Relative Humidity (%),6.4,6.4,6.4,6.4,6.3,6.3,6.3,6.3,6.3,6.2,6.2,6.2,6.1,6.1,6.0,6.0,6.0,6.0,5.9,5.9,5.9,5.9,5.8,5.8,5.8,5.8,5.8,5.8,5.7,5.7,5.7,5.7,5.7,5.7,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6
Mean Free Path (m),8.48894e-008,8.48894e-008,8.48894e-008,8.48894e-008,8.49625e-008,8.51055e-008,8.51421e-008,8.51421e-008,8.52855e-008,8.54292e-008,8.54292e-008,8.54292e-008,8.56073e-008,8.57151e-008,8.57863e-008,8.57863e-008,8.57494e-008,8.58577e-008,8.59662e-008,8.59662e-008,8.59292e-008,8.60380e-008,8.60751e-008,8.60751e-008,8.60751e-008,8.60751e-008,8.60751e-008,8.60751e-008,8.60751e-008,8.60751e-008,8.60751e-008,8.60751e-008,8.60751e-008,8.60751e-008,8.60751e-008,8.60751e-008,8.61842e-008,8.61842e-008,8.61842e-008,8.62935e-008,8.62935e-008,8.62935e-008
Gas Viscosity (Pa*s),1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82911e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83054e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005
Diameter Midpoint (nm)
 16.3,0.000,0.000,0.000,0.000,90300.991,29815.807,12865.774,6347.965,3487.496,2294.786,1673.864,1300.080,1160.282,1093.125,778.339,762.493,890.230,932.917,702.661,669.158,720.251,774.633,613.771,564.620,619.269,545.147,702.486,663.534,516.394,613.186,643.671,498.855,428.399,540.069,507.943,649.590,492.809,493.514,428.109,454.612,329.001,368.676
 16.8,0.000,0.000,0.000,0.000,90922.073,32269.002,14301.231,6529.438,3090.134,1885.156,1158.440,829.506,671.858,499.200,560.623,511.711,435.111,450.679,384.429,353.245,462.043,458.031,393.414,355.263,396.593,345.983,322.372,322.681,224.960,287.763,175.128,295.896,204.835,302.628,296.689,228.489,271.675,232.120,173.619,147.451,196.212,176.752
 17.5,0.000,0.000,0.000,0.000,96224.018,34377.670,15660.349,6926.231,3536.220,1810.032,1024.750,762.575,359.887,315.319,321.558,279.050,208.536,227.188,181.510,240.954,210.158,228.342,303.522,204.898,125.400,208.940,217.773,170.916,182.042,141.432,173.696,161.601,120.554,99.007,113.775,92.272,189.037,126.318,132.736,102.887,129.748,68.836
 18.1,0.000,0.000,0.000,0.000,101329.656,36678.097,16267.100,7497.730,3696.487,2120.391,1218.793,858.530,377.304,184.463,270.784,187.843,151.806,99.226,95.787,82.561,52.949,127.786,47.202,113.221,126.541,86.973,80.430,96.759,92.406,80.195,61.243,66.421,73.526,66.661,46.917,33.452,74.789,72.771,72.445,25.870,70.830,84.373
 18.8,0.000,0.000,0.000,0.000,103915.603,38940.180,18175.060,8706.756,4480.674,2347.087,1143.541,673.534,440.009,355.076,246.691,105.707,119.482,86.974,77.530,58.468,70.475,50.816,69.259,62.907,44.035,31.595,50.643,31.230,68.586,37.811,56.567,18.822,44.192,44.075,50.644,18.957,31.440,24.996,18.664,18.331,24.336,18.490
 19.5,0.000,0.000,0.000,0.000,110190.230,42395.589,19667.689,10201.950,5007.900,2963.716,1487.927,850.511,604.637,386.642,218.889,206.009,105.859,101.266,42.798,49.179,48.507,42.084,53.638,47.636,11.909,41.867,23.966,23.650,23.609,17.895,11.898,5.938,17.927,17.879,23.966,23.924,5.952,0.000,0.000,11.571,5.760,17.327
