Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_LRH_20230531_comparison_nodryer_2.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8
Date,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023
Start Time,15:54:00,15:57:00,16:00:00,16:03:00,16:06:00,16:09:00,16:12:00,16:15:00
Sample Temp (C),22.9,23.0,22.9,22.9,22.9,22.8,22.8,22.8
Sample Pressure (kPa),79.4,79.4,79.4,79.4,79.4,79.3,79.3,79.4
Relative Humidity (%),6.9,6.8,6.8,6.7,6.6,6.6,6.5,6.5
Mean Free Path (m),8.58257e-008,8.58626e-008,8.58257e-008,8.58257e-008,8.58257e-008,8.58971e-008,8.58971e-008,8.57889e-008
Gas Viscosity (Pa*s),1.83197e-005,1.83245e-005,1.83197e-005,1.83197e-005,1.83197e-005,1.83149e-005,1.83149e-005,1.83149e-005
Diameter Midpoint (nm)
 16.3,0.000,150.868,216.461,186.139,207.930,236.617,132.645,208.330
 16.8,0.000,123.074,114.620,114.859,115.100,62.061,112.684,88.707
 17.5,0.000,33.054,66.300,66.437,33.287,49.998,35.900,25.013
 18.1,0.000,31.147,23.427,0.000,15.682,31.406,7.859,0.000
 18.8,0.000,7.295,0.000,7.331,29.386,14.713,22.092,22.082
 19.5,0.000,0.000,6.915,6.929,13.886,6.952,0.000,0.000
 20.2,0.000,6.517,0.000,0.000,0.000,0.000,0.000,0.000
 20.9,0.000,0.000,0.000,6.126,0.000,0.000,0.000,0.000
 21.7,0.000,0.000,0.000,5.806,5.819,0.000,0.000,0.000
 22.5,0.000,0.000,16.552,0.000,5.292,0.000,0.000,5.636
 23.3,4.545,4.784,0.000,0.000,10.141,0.000,0.000,0.000
 24.1,0.000,0.000,0.000,0.000,0.000,4.836,0.000,0.000
 25.0,9.254,0.000,0.000,4.451,0.000,4.435,9.569,9.298
 25.9,3.332,0.000,0.000,2.725,0.000,8.092,0.000,7.668
 26.9,1.994,1.064,7.690,11.253,6.824,2.604,3.375,0.000
 27.9,8.477,1.038,14.713,2.145,7.187,1.889,15.124,10.177
 28.9,8.285,0.000,6.735,8.193,5.078,0.000,2.758,8.627
 30.0,14.682,1.407,10.096,6.504,3.002,15.716,8.347,9.999
 31.1,11.684,9.737,19.351,5.602,5.894,24.784,26.244,4.572
 32.2,28.332,26.516,14.392,20.813,18.886,0.000,21.338,0.000
 33.4,35.948,24.274,31.053,12.996,25.373,12.496,12.595,22.203
 34.6,29.899,6.213,45.633,16.226,41.833,11.775,14.446,0.000
 35.9,17.405,45.774,29.179,16.689,20.878,18.095,9.324,20.417
 37.2,45.348,61.850,62.344,67.584,42.405,43.737,0.000,58.768
 38.5,75.866,105.385,38.382,67.784,67.035,58.416,34.806,26.110
 40.0,121.544,89.827,65.044,58.713,37.081,67.579,59.351,76.923
 41.4,100.925,116.751,142.987,104.653,79.518,68.254,32.277,62.692
 42.9,108.205,146.827,124.854,119.110,114.970,95.615,83.201,68.554
 44.5,228.761,196.232,238.499,201.176,109.062,111.706,85.566,136.321
 46.1,286.746,189.407,195.733,234.768,201.316,222.754,151.265,241.584
 47.8,390.872,221.919,383.605,246.365,219.181,284.831,198.462,279.257
 49.6,648.408,485.125,444.612,437.447,393.877,277.022,344.695,435.527
 51.4,846.029,649.030,678.220,591.214,658.192,494.366,571.309,497.699
 53.3,826.267,915.858,820.183,765.615,708.830,668.673,778.843,692.336
 55.2,1220.314,1134.536,1050.751,1017.063,974.113,970.169,947.444,976.584
 57.3,1639.158,1396.543,1434.115,1325.655,1330.507,1157.222,1190.509,1206.221
 59.4,1751.082,1719.593,1761.973,1614.059,1534.045,1568.474,1480.967,1340.562
 61.5,2475.768,2287.113,2055.289,1845.868,1898.804,2006.284,1766.876,1631.643
 63.8,3003.586,2582.517,2429.829,2589.937,2427.395,2297.025,2147.077,2062.769
 66.1,3314.964,3304.147,3134.041,2935.025,2739.622,2869.064,2667.674,2262.462
 68.5,3862.137,3924.339,3748.236,3613.261,3521.812,3528.699,3354.597,2760.350
 71.0,3826.477,3801.999,3726.074,3661.134,3458.349,3340.430,3059.020,2893.075
 73.7,3993.226,4078.816,3719.532,3452.559,3514.396,3198.002,3339.400,2870.367
 76.4,4879.590,4088.807,4250.683,3952.781,3938.911,4003.789,3537.016,3360.967
 79.1,5442.298,4917.433,4925.083,4735.813,4480.526,4278.225,4013.477,3861.622
 82.0,6151.392,5864.676,5624.202,5236.276,5301.110,4820.925,4656.617,4438.119
 85.1,6990.881,7006.686,6683.083,6005.041,5996.473,5675.124,5556.290,4721.854
 88.2,8356.538,7959.259,7003.783,7070.147,6439.284,5718.827,5876.936,5557.181
 91.4,8466.131,8182.142,8547.476,8028.239,7686.078,6895.779,6529.108,6555.233
 94.7,9671.962,10164.723,9374.730,9102.327,8117.885,7677.845,7108.334,7416.723
 98.2,11913.536,10493.734,10411.424,10316.494,9076.204,8114.579,8008.005,8451.971
101.8,13020.587,11803.468,11721.766,11128.640,10707.594,9820.144,9113.384,9776.193
105.5,14777.203,13860.194,12733.076,12590.915,11621.644,10617.706,10994.065,10481.602
109.4,16151.159,14777.395,14497.826,14170.971,12997.054,12408.838,12222.891,11687.211
113.4,17434.842,17287.463,16357.058,15067.045,14413.887,13154.886,13347.620,12847.824
117.6,19675.497,19051.353,18221.329,17438.380,16498.448,15442.890,14632.750,14268.542
121.9,21271.224,21377.171,19767.617,18385.891,16986.076,17600.765,15701.810,15606.601
126.3,22760.018,21942.380,21382.729,20252.829,18472.079,17720.512,17267.733,17560.150
131.0,24709.842,23933.668,23412.339,21883.901,21283.821,19900.304,19037.634,18444.665
135.8,27598.113,26246.241,24118.467,23508.018,22283.826,21601.619,21185.360,19823.746
140.7,29347.864,27210.148,26062.092,25098.502,23608.590,22891.473,22225.949,21110.958
145.9,30372.988,28845.934,27857.991,26209.719,25615.639,24857.488,24595.978,22775.720
151.2,31749.871,31360.711,29499.935,28251.101,26796.402,26523.771,25092.151,23294.547
156.8,33338.544,31948.104,30618.179,29506.401,28215.997,26723.474,26494.600,24656.494
162.5,34862.516,33301.542,32262.063,29915.910,28454.628,27702.152,27192.100,25675.168
168.5,35191.875,34276.839,32795.147,30776.286,29205.112,29434.217,27553.554,26555.778
174.7,35761.373,34572.142,33213.865,32189.592,30767.727,29160.049,28316.172,26897.500
181.1,36563.481,34634.606,33040.262,32337.936,30455.151,29306.191,27839.995,26686.005
187.7,37094.765,34366.889,33490.680,32306.793,30055.091,28990.697,28737.892,27104.671
194.6,36596.768,34624.241,33246.335,31283.222,29969.341,29496.499,28173.357,26491.782
201.7,35004.378,33416.898,32403.704,30923.719,29072.230,28585.038,27114.406,26560.386
209.1,33799.912,31909.798,31107.640,30007.529,28701.161,27649.039,26633.647,25564.160
216.7,32905.979,31195.927,30300.059,28573.398,27677.547,26523.595,25411.891,23920.136
224.7,30326.876,29718.844,28673.883,26951.798,26239.457,25618.613,23730.257,23252.054
232.9,28946.159,27540.934,26686.705,25698.343,24417.456,23305.749,22504.170,21803.827
