Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_LRH_20230531_dryeronwatersmps.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Date,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023,5/31/2023
Start Time,15:03:00,15:06:00,15:09:00,15:12:00,15:15:00,15:18:00,15:21:00,15:24:00,15:27:00,15:30:00,15:33:00,15:36:00,15:39:00,15:42:00
Sample Temp (C),22.2,22.2,22.2,22.2,22.3,22.3,22.3,22.4,22.3,22.4,22.4,22.5,22.6,22.6
Sample Pressure (kPa),79.5,79.5,79.5,79.4,79.4,79.4,79.5,79.6,79.6,79.6,79.6,79.6,79.6,79.6
Relative Humidity (%),7.3,7.3,7.2,7.1,7.0,6.9,6.9,6.8,6.7,6.7,6.6,6.6,6.5,6.5
Mean Free Path (m),8.54601e-008,8.54601e-008,8.54601e-008,8.55677e-008,8.56046e-008,8.56046e-008,8.54969e-008,8.54262e-008,8.53895e-008,8.54262e-008,8.54262e-008,8.54630e-008,8.54998e-008,8.54998e-008
Gas Viscosity (Pa*s),1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82958e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.83006e-005,1.83054e-005,1.83054e-005
Diameter Midpoint (nm)
 16.3,0.000,664.057,436.501,446.543,539.612,337.312,469.493,396.352,402.332,440.862,461.614,461.121,372.366,346.660
 16.8,0.000,303.636,197.512,255.866,310.870,335.147,247.426,271.617,187.971,215.446,340.760,179.955,140.540,144.300
 17.5,0.000,92.326,160.311,207.790,173.302,171.838,188.780,102.096,94.100,151.861,67.423,118.382,101.812,25.426
 18.1,0.000,150.251,95.388,124.611,69.989,85.543,52.537,80.146,46.298,47.690,55.578,30.474,39.962,15.968
 18.8,0.000,14.819,37.240,29.287,43.714,43.714,32.633,22.529,37.189,22.342,14.879,8.766,22.467,14.963
 19.5,0.000,35.011,35.192,13.841,6.886,20.660,7.032,7.096,0.000,0.000,14.060,7.054,7.076,7.069
 20.2,0.000,13.234,13.302,6.540,13.018,13.018,13.291,0.000,13.284,0.000,6.644,6.665,0.000,6.679
 20.9,0.000,0.000,12.208,11.977,11.764,0.000,0.000,6.073,5.953,0.000,6.150,12.568,12.689,5.982
 21.7,0.000,11.274,17.591,5.250,0.000,0.000,0.000,5.481,0.000,11.873,0.000,5.627,5.716,0.000
 22.5,0.000,10.294,0.000,0.000,10.168,0.000,0.000,10.983,0.000,5.214,10.870,4.814,0.000,5.642
 23.3,3.402,8.726,3.740,19.738,0.000,3.925,4.186,10.491,12.070,0.000,4.720,0.000,4.142,10.206
 24.1,8.241,0.000,0.000,3.023,0.000,8.531,8.229,13.221,7.640,0.000,8.925,3.862,0.000,0.000
 25.0,6.673,29.709,21.723,2.425,0.000,7.269,2.016,12.522,2.863,0.000,1.794,7.154,9.206,0.000
 25.9,17.979,22.900,14.194,9.788,5.440,6.182,0.000,6.336,6.284,11.589,2.324,5.424,6.933,0.000
 26.9,1.241,10.748,0.000,12.236,20.463,4.712,9.089,0.000,9.065,0.124,9.031,5.655,11.488,6.179
 27.9,28.263,22.535,25.528,16.711,17.586,61.778,18.420,15.717,2.393,7.341,9.567,8.619,6.371,15.690
 28.9,28.422,28.469,31.017,34.757,26.416,15.165,20.595,14.793,17.523,13.651,20.359,31.977,8.936,0.000
 30.0,28.308,53.019,30.574,32.376,43.736,42.727,2.971,21.411,25.931,14.566,11.315,5.863,0.000,26.359
 31.1,51.031,37.399,22.381,38.873,57.584,30.533,64.465,34.337,34.536,5.860,26.991,24.033,20.003,34.339
 32.2,72.686,57.565,79.665,45.837,52.876,31.346,58.524,26.996,7.393,27.536,28.202,49.523,13.868,2.323
 33.4,93.968,98.773,78.777,74.517,80.940,67.097,57.433,18.554,34.661,52.408,32.398,15.450,64.206,32.553
 34.6,85.242,170.353,130.743,88.519,93.052,68.298,91.233,107.227,34.449,53.155,61.424,58.231,66.430,57.965
 35.9,121.745,185.529,117.076,93.707,104.995,94.295,112.615,93.820,81.273,112.828,122.441,107.885,27.904,57.523
 37.2,189.246,183.383,163.211,144.647,132.089,106.294,77.647,109.976,109.252,88.662,81.433,139.815,89.710,72.508
 38.5,239.982,226.479,214.943,174.787,194.253,129.501,140.121,160.025,140.780,136.657,142.882,106.285,67.872,91.724
 40.0,291.849,336.500,256.552,248.439,223.190,178.698,214.870,174.261,176.217,159.544,96.770,124.526,138.773,46.071
 41.4,434.923,433.022,371.576,371.372,260.191,236.697,208.519,153.279,188.283,176.248,113.677,137.904,243.516,174.695
 42.9,435.029,532.113,504.959,337.601,339.451,275.683,402.016,250.084,225.875,318.194,194.888,232.709,186.004,230.546
 44.5,695.649,573.576,486.275,535.939,542.512,475.220,328.438,322.744,387.233,274.334,315.192,302.193,227.672,247.086
 46.1,799.705,783.486,723.320,658.066,618.183,497.782,575.139,554.867,507.620,392.352,449.995,396.945,298.072,368.692
 47.8,1196.309,1114.084,1055.672,795.875,831.510,722.826,737.704,654.504,603.814,488.164,552.113,524.514,408.330,551.347
 49.6,1638.243,1534.126,1328.662,1397.215,1266.001,1266.457,983.922,980.140,1012.599,851.694,793.108,889.602,813.178,732.215
 51.4,2146.148,2054.336,2079.511,1792.039,1673.581,1426.577,1470.099,1397.054,1435.516,1092.017,921.035,1123.604,1057.825,913.927
 53.3,2764.524,2472.793,2368.990,2301.088,2028.952,1840.905,1785.071,1689.233,1524.249,1554.833,1440.092,1292.474,1302.139,1156.097
 55.2,3407.333,2959.662,3020.251,2701.739,2425.447,2420.650,2543.060,2224.147,2098.317,1857.121,1669.115,1592.281,1494.510,1510.013
 57.3,4289.125,3978.920,3882.699,3072.356,2937.168,3036.904,3009.940,2562.258,2695.164,2411.713,2193.712,2071.180,2102.212,1943.139
 59.4,5208.551,4709.106,4632.684,4042.867,3523.194,3750.913,3465.170,3507.389,3262.308,3009.523,2958.385,2549.141,2327.897,2121.529
 61.5,5926.981,5858.561,5434.461,5002.607,4552.846,4607.459,4155.862,3990.687,3792.009,3646.723,3461.572,3444.135,3093.790,2950.188
 63.8,7401.163,7221.091,6461.055,6044.506,5578.003,5481.670,5195.840,5200.477,4494.564,4451.790,4338.768,4207.233,3821.117,3264.354
 66.1,9148.823,8359.821,7736.678,7541.222,6167.217,6173.609,5755.119,5886.238,5071.404,5305.167,5130.580,4648.730,4861.413,4240.588
 68.5,10484.234,10069.374,8960.107,8897.843,8101.838,7695.608,7305.285,6838.126,6569.809,6106.912,6425.455,5247.516,5699.658,5232.446
 71.0,10002.605,9927.640,9050.767,9139.759,8038.358,7359.406,7409.661,6980.297,6502.198,6148.111,6147.945,5353.082,5528.993,5053.883
 73.7,10064.626,10275.151,9106.654,8579.954,7525.849,7968.767,7649.836,6529.270,6878.387,6377.130,6310.144,5794.539,5395.921,5305.346
 76.4,12476.454,11242.904,10407.797,9372.074,8928.312,8728.542,8704.866,7926.991,7861.922,7222.617,6983.113,6287.305,6330.886,5940.674
 79.1,13800.123,12662.701,12187.157,10961.313,10007.498,10230.864,9923.233,9083.408,9281.535,7953.315,8179.903,7650.482,7262.559,6832.551
 82.0,14568.708,14527.547,13436.807,12804.584,12047.549,11334.887,10996.416,10285.554,9357.742,9079.612,9335.489,9259.586,8332.223,7701.866
 85.1,17221.609,16431.313,14931.348,14994.621,13560.558,12215.232,12171.195,12121.817,11075.655,10583.773,10454.353,9749.867,9279.850,8620.426
 88.2,19619.492,17653.968,17032.245,16391.635,15289.767,14427.952,14101.423,13301.299,12000.558,11852.865,11532.999,11209.915,10371.854,9799.543
 91.4,22303.811,20588.131,19683.806,18553.373,17007.736,15601.920,16490.309,15249.086,14604.324,13680.402,13203.570,12283.684,11829.969,10991.022
 94.7,24174.076,21866.797,21519.883,20213.481,19036.054,18781.669,18333.741,17051.013,16214.331,15492.987,13999.213,13823.556,12714.055,12565.564
 98.2,26759.151,25069.415,24079.919,21954.929,20991.064,21077.879,21170.365,18853.286,18130.998,17169.043,16619.373,15260.228,14321.479,14001.369
101.8,29380.473,28027.508,28957.829,24913.801,22534.115,22835.443,22066.368,20707.675,20313.256,19083.342,17242.948,17158.431,16066.420,15395.412
105.5,33539.543,32239.108,30329.810,27451.592,26661.174,25173.649,25449.744,24484.657,22795.273,21247.265,19792.622,19154.846,17945.145,17164.837
109.4,36737.514,36218.708,33770.554,32125.337,29961.606,27371.638,27098.458,26752.735,24523.579,23491.517,21629.496,21399.953,20659.827,19402.510
113.4,39783.345,39418.230,38084.894,35529.395,32171.180,31398.012,31071.902,29455.442,26691.736,25674.362,24371.986,24094.354,22755.874,21807.697
117.6,44697.123,43379.869,40477.115,38301.075,36919.023,33797.423,33811.243,31907.617,29568.297,28903.641,27329.856,26833.924,25451.695,23735.123
121.9,49601.420,47148.039,43983.492,41505.091,39163.235,36771.820,36395.273,35038.758,32401.989,31082.128,29105.369,28521.251,27227.918,26482.586
126.3,53661.003,50644.025,47889.730,44562.978,42386.068,39847.373,39417.668,37886.587,35578.698,33678.377,32329.326,31535.168,29986.362,28202.028
131.0,56578.290,54648.366,52724.243,48940.214,45203.609,44016.439,43225.564,40487.255,38777.451,36373.205,34787.087,33227.368,32250.361,31011.847
135.8,59760.813,57488.208,55498.422,51385.069,48819.696,47243.962,45795.759,44522.204,41302.445,39513.550,37523.714,36168.106,34384.950,33226.208
140.7,64817.641,61189.230,58897.700,54935.022,51414.423,49701.960,47899.213,46974.266,43549.455,41717.699,40582.387,38300.809,37251.903,35706.782
145.9,67817.651,64361.669,61261.558,58060.485,54123.392,51690.571,51130.608,49238.748,46757.214,44875.875,42079.901,40471.930,39365.322,37430.948
151.2,69914.897,67227.571,63307.447,60658.821,57360.807,54460.935,52227.509,51355.050,47979.256,47056.256,43907.226,42363.164,41440.141,39989.516
156.8,74243.019,69662.020,66987.196,62374.127,58908.412,56574.428,54473.765,52895.007,49998.882,49132.815,46073.553,43753.190,42786.672,41100.959
162.5,74770.077,71244.888,69008.612,63808.827,59269.040,57320.538,57057.752,54729.892,52177.560,49767.606,47185.973,45495.839,44461.558,42920.456
168.5,75014.912,72635.016,70161.460,64316.767,61739.284,58847.314,58488.827,55964.122,53439.414,51090.435,48584.070,46731.746,44605.032,42674.116
174.7,76897.190,73915.322,69581.636,65706.034,62397.369,59944.809,58723.710,56874.488,53516.022,52517.022,49296.331,46548.618,44939.073,43579.212
181.1,76649.719,72746.265,70123.507,65776.154,61781.776,59890.269,58706.453,56942.007,54399.172,52045.008,48953.019,47135.099,45254.828,44901.777
187.7,75854.563,72885.208,70019.218,65669.872,62117.718,59381.571,58566.464,56860.481,54331.375,52365.084,49085.940,47420.346,45477.961,44144.900
194.6,74912.848,70509.804,68335.698,64277.820,60821.754,58115.826,57635.638,55190.369,52964.631,51119.091,48925.077,46317.494,45121.406,43470.350
201.7,72540.522,69897.210,66337.606,62740.884,59052.180,55643.335,56138.026,54036.461,51605.044,50103.539,47729.781,45299.970,43899.182,42010.233
209.1,69112.240,66910.256,64036.269,59497.478,56721.705,53253.708,53748.417,51472.597,49845.397,47506.972,45880.271,43506.577,42596.254,40215.920
216.7,66299.196,63449.100,59935.611,57118.491,53910.536,51680.335,51876.415,49269.879,47533.747,45371.552,43267.656,42244.210,40814.640,38924.425
224.7,62634.892,59475.257,57244.578,53621.231,50206.710,48545.308,48814.781,46118.757,44991.644,43029.326,40807.043,39854.793,38034.139,36896.162
232.9,57331.871,55050.756,52550.353,49664.203,46629.846,45615.314,45030.721,42897.748,41170.083,39742.678,38938.092,37424.720,35439.826,34588.684
241.4,52156.052,49927.030,49044.002,45247.307,43190.339,41971.768,41419.098,39982.643,38225.204,36607.662,35144.854,34015.687,32442.359,32312.133
250.3,46073.289,45187.517,43577.244,41113.016,39214.702,37644.793,37348.767,36276.716,34346.888,34035.287,32341.839,31227.610,30201.525,28582.256
259.5,41271.777,40841.073,39127.160,36848.973,35216.010,32724.291,33371.323,32408.490,30914.092,30480.696,29218.549,27951.629,26688.072,25580.331
269.0,36515.250,35062.785,34193.189,32330.567,30549.361,28724.796,29915.873,29214.150,27547.106,26731.447,25603.669,24627.713,23776.205,22836.035
278.8,31344.317,30424.118,29524.791,27871.412,25852.548,25024.781,25873.975,25229.271,23805.554,23011.397,22548.188,21920.582,20572.133,19791.067
289.0,26537.061,25761.129,25370.269,23900.652,22628.314,21725.384,22131.290,21032.217,20669.809,19898.303,18916.098,18871.679,18271.215,16782.963
299.6,21870.782,21706.717,20690.191,19899.970,18745.800,18321.576,18718.125,17742.557,17373.932,16688.704,16123.359,16195.033,15074.338,14044.146
310.6,18132.513,17608.678,16988.137,16134.798,15316.798,15176.705,15174.889,14521.522,14350.734,14010.700,13368.994,13264.626,12560.854,12081.898
322.0,14440.587,14149.681,13882.105,13129.638,12752.824,12220.052,12674.447,12036.844,11540.413,11150.962,11027.160,11081.464,10216.606,9702.016
333.8,11502.332,10942.181,10340.103,10357.728,9730.459,9750.016,10335.981,9798.363,9472.342,8901.668,8708.281,8441.508,8075.210,7592.631
346.0,8996.089,8771.816,8175.194,8024.282,7652.233,7537.410,8002.329,7494.773,7348.740,6928.016,6819.483,6603.201,6385.932,6259.283
358.7,6795.751,6511.784,6200.785,6109.708,5774.527,5772.296,5919.071,5543.483,5667.992,5449.896,5235.440,5226.021,5178.348,4722.953
371.8,4761.672,4634.498,4705.456,4553.124,4397.934,4503.595,4520.552,4422.399,4359.749,4137.511,4091.755,3826.155,3750.930,3608.172
385.4,3425.282,3362.202,3479.179,3440.715,3214.965,3063.545,3437.275,3220.244,3259.582,3092.831,2909.115,2938.529,2830.349,2613.721
399.5,2458.882,2621.233,2377.275,2343.179,2282.000,2288.015,2335.787,2342.289,2215.185,2116.450,2173.108,2105.861,2081.418,1876.667
414.2,1776.414,1694.337,1824.458,1680.515,1684.740,1726.650,1760.016,1612.727,1521.959,1514.274,1587.919,1468.790,1516.693,1490.645
429.4,1345.483,1091.464,1134.703,1191.030,1132.888,1097.703,1172.398,1137.609,1112.111,1126.538,1034.111,1010.105,951.572,936.368
445.1,840.000,842.363,781.279,734.049,732.472,799.308,786.013,693.013,720.257,743.561,688.921,686.119,713.101,727.709
461.4,521.212,580.238,546.025,581.180,540.872,537.448,563.000,446.346,553.767,503.195,470.137,440.364,458.278,491.538
478.3,396.868,390.884,326.456,272.519,306.225,305.928,335.606,303.930,264.033,375.033,310.815,294.132,301.534,308.374
495.8,211.295,247.182,221.210,185.636,202.315,239.305,206.184,193.115,236.431,217.736,218.416,214.156,205.576,196.154
514.0,142.642,158.844,146.404,113.466,133.597,102.857,108.562,141.498,128.954,128.242,116.106,95.781,155.066,152.141
532.8,76.990,96.909,73.249,72.497,88.069,62.608,81.569,64.732,78.456,69.558,61.274,86.705,32.130,70.811
552.3,34.833,48.714,60.471,32.219,37.378,37.646,49.187,29.761,48.869,51.388,48.871,38.107,43.660,43.624
572.5,11.001,19.315,43.628,30.062,27.140,43.553,29.787,47.671,16.608,36.409,30.450,39.043,25.040,25.019
593.5,27.863,33.545,11.227,24.918,19.386,2.758,19.633,27.987,16.826,15.112,14.022,30.733,19.730,14.081
615.3,14.214,2.852,14.319,2.825,8.441,5.627,14.308,11.530,8.584,9.948,14.306,5.737,5.752,14.367
637.8,5.803,8.734,11.693,8.650,5.744,2.872,14.604,0.000,18.744,8.770,17.524,2.928,8.806,2.933
661.2,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
685.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
710.5,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Scan Time (s),155,155,155,155,155,155,155,155,155,155,155,155,155,155
Retrace Time (s),4,4,4,4,4,4,4,4,4,4,4,4,4,4
Scan Resolution (Hz),50,50,50,50,50,50,50,50,50,50,50,50,50,50
Scans Per Sample,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sheath Flow (L/min),3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000,3.000
Aerosol Flow (L/min),1.25,1.25,1.24,1.26,1.26,1.26,1.24,1.23,1.24,1.24,1.24,1.24,1.24,1.24
Bypass Flow (L/min),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Low Voltage (V),10.99,10.99,10.99,10.97,10.98,10.98,10.99,11.00,11.00,11.00,11.00,11.00,10.99,10.99
High Voltage (V),9136.24,9137.05,9138.14,9137.10,9134.06,9132.71,9135.11,9144.76,9145.65,9144.76,9145.03,9146.33,9148.71,9149.53
Lower Size (nm), 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0
Upper Size (nm),723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4,723.4
Density (g/cm³),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
td + 0.5 (s),1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
tf (s),5.84,5.85,5.85,5.83,5.82,5.82,5.85,5.86,5.85,5.85,5.85,5.85,5.86,5.86
D50 (nm),636.5,637.7,639.1,634.1,632.7,632.7,638.9,641.7,639.0,639.4,639.1,640.0,641.0,640.7
Neutralizer Status,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON,ON
Median (nm),167.747,168.081,168.418,168.783,169.260,169.353,170.182,170.376,171.178,171.576,171.816,172.003,172.057,172.427
Mean (nm),174.901,175.231,175.686,176.097,176.587,176.801,177.696,177.910,178.623,179.020,179.268,179.700,179.793,179.990
