Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_MRH_20230410.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Date,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023,4/10/2023
Start Time,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:00,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00,12:55:00,12:58:00,13:01:01
Sample Temp (C),22.8,22.8,22.8,22.8,22.7,22.7,22.7,22.6,22.6,22.6,22.6,22.6,22.5,22.5,22.5,22.5,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.3
Sample Pressure (kPa),81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.1,81.0,81.0,81.0,80.9,80.9,80.9,80.8,80.8,80.8,80.7,80.7,80.7,80.7,80.6
Relative Humidity (%),16.9,16.4,16.1,15.8,15.6,15.4,15.2,15.1,15.0,14.9,14.8,14.8,14.7,14.7,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.6,14.5,14.6
Mean Free Path (m),8.39906e-008,8.39906e-008,8.39906e-008,8.39906e-008,8.39545e-008,8.39545e-008,8.39545e-008,8.39184e-008,8.39184e-008,8.39184e-008,8.40220e-008,8.40220e-008,8.39859e-008,8.40897e-008,8.40897e-008,8.40897e-008,8.41575e-008,8.41575e-008,8.41575e-008,8.42618e-008,8.42618e-008,8.42618e-008,8.42618e-008,8.43301e-008
Gas Viscosity (Pa*s),1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83102e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005
Diameter Midpoint (nm)
 16.3,0.000,0.000,0.000,0.000,11.028,41470.801,13021.490,5102.897,3408.500,2472.202,2051.298,1957.789,1764.941,1669.523,1534.773,1353.570,1318.955,1146.805,1057.600,1067.599,1050.074,875.743,760.080,798.820
 16.8,0.000,10.303,0.000,10.327,10.312,41091.165,13735.139,5088.046,2644.565,1711.301,1396.962,987.845,923.210,1108.824,677.813,851.813,776.744,723.826,529.265,557.203,426.564,556.935,638.921,494.570
 17.5,0.000,0.000,0.000,9.690,19.353,42891.676,13287.379,4732.195,2372.985,1082.973,773.872,555.798,576.162,495.480,388.218,378.154,358.690,338.868,279.169,197.957,396.892,217.268,234.901,271.868
 18.1,0.000,0.000,9.094,0.000,9.103,46233.476,13554.880,5069.944,2195.678,1479.160,693.407,486.092,362.907,217.457,173.767,180.022,140.533,75.161,106.822,129.727,45.911,139.160,98.336,72.076
 18.8,8.574,8.574,0.000,0.000,8.582,46330.229,15429.159,5606.215,2367.600,1276.524,641.836,508.893,274.008,287.185,188.510,121.320,129.404,136.728,69.297,83.567,61.693,23.011,38.392,60.028
 19.5,16.089,8.044,16.089,18.241,1.725,48525.307,16729.432,6941.452,3143.101,1214.045,714.002,535.885,342.730,269.405,84.573,113.802,44.840,70.443,43.648,21.536,29.144,21.742,21.765,21.274
 20.2,7.592,0.000,7.592,5.613,5.972,51989.392,18260.661,7373.275,3525.889,2044.052,1008.804,549.366,335.215,159.890,123.413,107.468,77.641,90.777,68.726,40.697,20.649,34.234,27.416,40.205
 20.9,0.000,0.000,7.195,0.000,7.202,53944.215,20584.610,8470.907,3736.826,2080.656,1088.221,706.838,500.412,214.935,131.902,125.700,92.140,60.973,50.353,48.988,26.375,1.199,35.509,15.093
 21.7,0.000,13.518,13.652,27.359,6.765,55900.033,21861.191,9060.990,4575.348,2520.575,1395.130,779.401,479.596,346.002,307.312,222.644,115.085,77.020,58.382,42.407,21.002,34.634,18.505,13.365
 22.5,0.000,0.000,6.420,0.000,6.494,60252.525,24257.014,11202.310,5341.912,2914.020,1762.892,984.735,583.339,508.336,274.792,214.798,167.788,71.038,74.073,41.496,34.536,10.981,7.124,15.308
 23.3,0.000,0.000,6.138,12.233,0.000,61595.598,26420.812,12794.861,5856.106,3444.178,1937.875,1307.423,842.752,649.727,340.212,257.377,164.188,147.120,122.026,74.666,89.331,23.797,54.251,75.995
 24.1,11.755,0.000,5.789,11.688,5.883,64919.694,28843.487,14338.160,7214.165,4106.366,2324.250,1861.001,1111.763,615.255,407.276,366.097,287.101,216.549,142.776,78.074,121.746,74.229,62.443,21.396
 25.0,0.000,5.632,5.531,5.543,5.637,69532.169,31770.359,15703.795,8922.245,4567.460,2964.553,2124.153,1109.574,744.938,661.160,413.474,415.664,163.668,174.681,134.337,182.006,71.406,75.529,43.615
 25.9,5.362,5.362,15.979,0.000,5.367,71449.741,34407.715,18357.550,9707.725,5968.576,3712.980,2336.761,1674.308,1006.052,705.595,626.387,425.498,337.545,377.632,151.792,154.306,129.700,107.579,73.245
 26.9,0.000,0.000,10.305,10.213,5.158,76473.644,37112.591,20119.849,11067.485,6659.422,4381.713,2883.341,1746.421,1186.840,1094.695,738.776,565.208,353.515,304.338,245.932,213.330,217.298,139.763,161.498
 27.9,4.920,4.923,4.923,4.934,0.000,79282.093,40958.670,22197.361,13083.643,8033.576,5147.905,3461.980,2167.664,1475.254,1300.504,888.911,562.908,463.662,370.567,302.280,240.281,180.676,189.557,92.085
 28.9,4.592,0.000,4.698,14.163,0.000,81811.668,44458.888,24629.665,14906.872,9406.296,6007.323,4374.439,2894.852,2265.705,1421.912,1161.483,810.021,551.074,555.302,384.630,361.759,278.081,238.758,201.242
 30.0,0.000,0.000,0.000,4.551,0.000,88564.693,49252.194,27321.304,17047.729,10265.880,7221.015,4892.550,3346.943,2440.439,1945.379,1251.373,1104.642,877.807,615.778,661.003,463.724,391.720,259.239,294.957
 31.1,0.000,8.595,0.000,0.000,4.366,90073.638,51987.728,30262.481,18758.478,12206.751,8071.682,5624.119,4224.971,3190.113,2331.858,1748.465,1496.387,1038.414,973.783,759.922,604.590,517.287,377.233,280.948
 32.2,0.000,0.000,4.192,4.025,0.000,94544.889,55865.690,33186.505,21686.616,13816.751,9800.252,6919.625,4963.863,3712.801,3052.088,2294.876,1685.323,1320.235,1071.166,883.989,671.858,668.757,566.503,415.015
 33.4,0.000,0.000,0.000,3.786,0.000,99075.083,60512.756,36901.039,24071.498,16310.667,11560.731,8049.759,5986.084,4290.537,3281.248,2683.578,1941.892,1686.254,1375.310,993.710,806.085,719.073,595.544,535.709
 34.6,0.000,0.000,3.912,3.920,0.000,102854.743,64730.202,39607.766,25908.760,18623.426,13579.172,9248.537,6945.168,5502.654,4376.429,3243.282,2253.215,2115.818,1491.947,1183.893,1081.804,925.281,746.049,646.173
 35.9,0.000,0.000,3.773,3.781,0.000,107830.783,68240.887,43358.732,29776.007,20824.279,14705.275,10845.026,8062.220,5854.835,4686.491,3627.730,2938.601,2102.042,1937.529,1435.554,1386.444,973.186,1024.924,841.718
 37.2,0.000,0.000,3.667,7.349,0.000,111404.772,72028.215,47431.378,32875.629,23305.098,16574.969,12453.765,9459.128,6992.301,5729.673,4499.820,3283.352,2669.998,2446.598,1898.083,1598.914,1400.739,1156.253,905.046
 38.5,3.396,3.443,0.000,3.551,0.000,115887.833,77914.689,52057.722,37228.632,25366.694,18211.397,14341.521,11259.659,8466.220,6239.837,5539.604,3965.223,3459.451,2602.426,2399.089,1943.443,1749.921,1212.265,1097.065
 40.0,0.000,0.000,0.000,0.000,0.000,122143.968,83789.383,56463.028,39789.124,28588.995,20682.585,16202.486,12057.680,10142.050,7543.309,6010.733,5235.650,4112.654,3519.833,2815.503,2333.740,1993.624,1713.178,1591.660
 41.4,3.191,0.000,0.000,0.000,0.000,128982.270,88876.389,60887.271,44953.004,32781.531,23414.109,18168.311,13913.031,11488.749,9053.500,7410.404,5831.624,5105.632,4150.078,3333.240,2909.492,2503.093,2053.602,1795.025
 42.9,0.000,0.000,6.474,0.000,0.000,133981.783,95654.573,65762.147,48012.882,36339.176,26334.762,21246.957,16519.524,12721.855,10494.240,8559.217,6797.020,5855.870,4812.019,3953.464,3480.383,2902.762,2483.846,2200.639
 44.5,2.494,2.989,0.000,2.815,0.000,141518.207,100478.115,72754.839,52096.247,39629.759,29398.776,23503.556,19106.945,15250.111,11906.258,9763.341,8376.901,6381.355,6138.380,4506.050,4163.046,3536.697,3144.470,2440.761
 46.1,0.000,0.000,0.000,3.072,0.000,149616.017,107112.268,78248.544,58296.741,45185.534,33696.187,26038.782,20574.337,17862.902,13868.141,11287.499,9555.806,7893.764,6521.286,5393.757,4782.225,4439.854,3577.227,3081.226
 47.8,0.000,0.000,0.000,5.853,59594.578,158005.968,114300.107,83658.772,63602.738,48700.427,38536.019,29760.186,23110.062,20441.190,16181.124,13614.460,11157.362,9076.629,7454.843,6841.190,6164.199,5121.166,4627.051,3695.785
