Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_MRH_20230508.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
Date,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023,5/8/2023
Start Time,10:13:01,10:16:00,10:19:00,10:22:00,10:25:00,10:28:00,10:31:00,10:34:00,10:37:00,10:40:00,10:43:00,10:46:00,10:49:00,10:52:00,10:55:00,10:58:00,11:01:00,11:04:00,11:07:00,11:10:00,11:13:00,11:16:00,11:19:00,11:22:00,11:25:00,11:28:00,11:31:00,11:34:00,11:37:00,11:40:00,11:43:00,11:46:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00
Sample Temp (C),22.1,22.2,22.3,22.4,22.4,22.5,22.5,22.4,22.4,22.4,22.3,22.3,22.3,22.2,22.2,22.2,22.2,22.1,22.1,22.1,22.1,22.1,22.2,22.2,22.3,22.4,22.4,22.5,22.5,22.5,22.5,22.4,22.4,22.4,22.4,22.3,22.3,22.3,22.3
Sample Pressure (kPa),80.9,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.7,80.8,80.8,80.8,80.7,80.7,80.7,80.7,80.7
Relative Humidity (%),38.2,34.7,29.7,25.8,22.8,20.5,18.6,17.0,15.7,14.7,13.8,13.1,12.4,11.9,11.5,11.1,10.8,10.5,10.3,10.0,9.9,9.7,9.6,9.5,9.3,9.3,9.2,9.1,9.0,9.0,8.9,8.9,8.8,8.8,8.8,8.8,8.7,8.7,8.7
Mean Free Path (m),8.39450e-008,8.40851e-008,8.41213e-008,8.41575e-008,8.41575e-008,8.41938e-008,8.41938e-008,8.41575e-008,8.41575e-008,8.41575e-008,8.41213e-008,8.41213e-008,8.41213e-008,8.40851e-008,8.40851e-008,8.40851e-008,8.40851e-008,8.40489e-008,8.40489e-008,8.40489e-008,8.40489e-008,8.40489e-008,8.40851e-008,8.40851e-008,8.41213e-008,8.41575e-008,8.41575e-008,8.41938e-008,8.41938e-008,8.41938e-008,8.42981e-008,8.41575e-008,8.41575e-008,8.41575e-008,8.42618e-008,8.42256e-008,8.42256e-008,8.42256e-008,8.42256e-008
Gas Viscosity (Pa*s),1.82815e-005,1.82863e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82863e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82863e-005,1.82911e-005,1.82958e-005,1.82958e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82911e-005
Diameter Midpoint (nm)
 16.3,422.263,0.000,0.000,0.000,0.000,189075.170,127480.580,52576.038,26589.582,15248.306,8378.118,5721.231,4003.348,2301.338,1653.167,1432.668,1044.609,939.282,784.756,849.182,620.164,452.675,715.541,579.708,609.147,438.490,385.057,451.554,418.711,411.711,279.366,358.621,305.380,265.452,346.268,266.943,419.240,237.992,295.078
 16.8,328.903,0.000,0.000,0.000,0.000,522989.654,125979.901,52080.453,26705.905,16267.480,9370.250,5463.804,3634.079,2407.751,1785.905,1178.246,815.374,750.817,622.004,457.982,471.036,419.839,271.067,182.122,210.013,273.161,247.729,247.786,167.234,185.841,148.757,161.409,186.243,186.241,124.234,174.307,140.957,137.287,104.158
