Sample File,C:\Users\VanceLab\Desktop\CASA_InLab_Sp23\Chamber\Chamber_Butanol_SMPS_FreshSmoke_MRH_20230606.S82,
AIM Version,10.3.1.0
Classifier Model,3082       ,Classifier S/N,3082021905001   ,Classifier Firmware Version,2.60
Neutralizer Model,3088,Neutralizer S/N,3088011906004
Impactor (cm),0.071,Impactor S/N,7100764
DMA Model,3081,DMA S/N,3081A1903007
DMA Inner Radius (cm),0.937
DMA Outer Radius (cm),1.961
DMA Characteristic Length (cm),44.369
HV Polarity,NEG,
Detector Model,3750,Detector S/N,3750190603,Nano Enhancer , None
Detector Sample Flow (L/min),1.00,Detector Inlet Flow (L/min),1.00
Reference Gas Viscosity (Pa*s),1.832450e-005
Reference Mean Free Path (m),6.730000e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.30
Sutherland Constant (K),110.40
Tube Length (cm),25.40
Tube Diameter (cm),0.48
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Agglomerate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023,6/6/2023
Start Time,11:31:00,11:34:00,11:37:00,11:40:00,11:43:00,11:46:00,11:49:00,11:52:00,11:55:00,11:58:00,12:01:00,12:04:00,12:07:00,12:10:00,12:13:00,12:16:00,12:19:00,12:22:00,12:25:00,12:28:00,12:31:00,12:34:00,12:37:00,12:40:00,12:43:00,12:46:00,12:49:00,12:52:00
Sample Temp (C),22.8,22.8,22.8,22.8,22.8,22.7,22.7,22.6,22.6,22.6,22.5,22.5,22.4,22.4,22.3,22.3,22.3,22.2,22.2,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.2,22.2
Sample Pressure (kPa),79.3,79.3,79.3,79.3,79.3,79.4,79.3,79.3,79.2,79.2,79.2,79.1,79.0,78.9,78.8,78.8,78.6,78.6,78.5,78.4,78.4,78.3,78.2,78.2,78.2,78.2,78.2,78.1
Relative Humidity (%),9.2,9.0,8.9,8.9,8.8,8.7,8.7,8.6,8.6,8.5,8.5,8.4,8.4,8.3,8.3,8.3,8.3,8.3,8.2,8.2,8.2,8.2,8.2,8.2,8.1,8.1,8.1,8.1
Mean Free Path (m),8.58971e-008,8.58971e-008,8.58971e-008,8.58971e-008,8.58971e-008,8.57520e-008,8.58601e-008,8.58232e-008,8.59316e-008,8.59316e-008,8.58946e-008,8.60032e-008,8.60751e-008,8.61842e-008,8.62564e-008,8.62564e-008,8.64759e-008,8.64386e-008,8.65487e-008,8.66218e-008,8.66218e-008,8.67324e-008,8.68434e-008,8.68434e-008,8.68434e-008,8.68434e-008,8.68808e-008,8.69920e-008
Gas Viscosity (Pa*s),1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83149e-005,1.83102e-005,1.83102e-005,1.83054e-005,1.83054e-005,1.83054e-005,1.83006e-005,1.83006e-005,1.82958e-005,1.82958e-005,1.82911e-005,1.82911e-005,1.82911e-005,1.82863e-005,1.82863e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82815e-005,1.82863e-005,1.82863e-005
Diameter Midpoint (nm)
 16.3,0.000,0.000,0.000,49270.529,14746.250,5755.157,3091.935,1723.832,1355.875,1074.949,896.923,854.117,602.829,608.879,680.796,543.460,513.247,602.187,557.058,580.135,516.164,514.500,472.314,480.573,364.238,325.561,345.977,361.967
 16.8,0.000,0.000,8.466,52093.178,15558.151,6046.322,2949.347,1346.116,800.591,677.800,542.715,481.353,406.999,315.701,349.897,276.739,448.989,243.399,293.308,335.477,261.602,292.102,266.595,197.247,232.305,204.920,236.835,156.175
