Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_HRH_20230328.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23,03/28/23
Start Time,14:25:00,14:28:00,14:31:00,14:34:00,14:37:00,14:40:00,14:43:00,14:46:00,14:49:00,14:52:00,14:55:00,14:58:00,15:01:00,15:04:00,15:07:00,15:10:00,15:13:00,15:16:00,15:19:00,15:22:00,15:25:00,15:28:00,15:31:00,15:34:00,15:37:00,15:40:00,15:43:00,15:46:00
Diameter Midpoint
 16.3,0,0,8195.85,3517.37,307.012,69.7975,35.0956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 16.8,0,0,61492.6,3666.84,614.459,188.339,65.6491,32.8378,0,32.8377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 17.5,0,0,155495,4917.48,580.409,193.011,61.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 18.1,0,0,164541,5656.75,552.121,289.169,86.6952,86.7271,28.8997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 18.8,0,0,115911,5648.79,1055.53,339.419,128.811,81.6188,27.1979,0,0,27.2051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 19.5,0,0,44673.9,7385.97,1386.13,450.587,136.093,102.525,0,25.6313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 20.2,0,0,9347.21,8693.15,1832.3,539.176,313.986,56.7327,72.4997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 20.9,0,0,2385.66,8889.77,2173,698.603,163.704,82.7828,90.6185,113.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 21.7,0,0,2310.15,11476.9,2024.95,1039.88,422.394,171.298,21.4064,42.8245,0,21.4114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 22.5,0,0,4521.45,13657.2,3243.1,1104.01,510.052,206.112,189.176,101.364,20.2735,20.272,40.547,20.2765,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 23.3,0,0,23579,14966.6,4074.7,1300.03,561.664,216.035,204.849,96.0525,38.4224,19.2098,19.2112,19.2139,19.205,0,0,19.2146,0,0,0,0,0,0,0,0,0,0
 24.1,0,0,44503.7,17219.3,4620.96,1990.82,898.381,632.882,217.716,90.7368,54.444,54.4401,18.148,36.301,18.1424,0,0,0,0,0,0,0,0,0,0,0,0,0
 25.0,0,0,38101.8,19674,5535.62,2282.63,968.759,545.493,372.735,153.07,86.3918,17.2772,86.3916,69.1226,51.8197,0,17.2767,14.8505,0,0,0,0,0,17.2739,0,0,0,0
 25.9,0,0,35801.4,22277,6589.51,3115.53,1015.25,647.81,452.684,118.625,49.4303,49.427,65.9069,49.4366,16.4721,32.9452,32.9505,18.7973,32.9452,16.4742,0,0,0,0,0,0,0,0
 26.9,0,0,51126.4,23750.6,7605.01,3607.24,1573.92,826.908,439.093,155.942,161.175,192.636,82.4936,78.6911,82.4714,62.9299,31.4698,15.7387,15.7325,31.4678,15.7344,0,15.7339,0,0,15.7416,15.7306,15.7359
 27.9,0,0,68416.9,28706.4,8638.41,4732.62,1897.23,1096.47,737.406,427.621,357.792,130.648,151.665,104.444,56.0465,59.6617,44.7529,14.9211,59.6617,14.9167,0,14.9124,6.08963,14.9155,0,14.9237,0,29.837
 28.9,0,0,76044.7,31321.9,10523.4,5266.54,2849.78,1516.53,845.259,696.076,306.483,257.242,108.502,179.476,114.308,122.26,14.2909,65.1285,50.8159,57.1603,0,14.2861,37.0364,0,14.2857,14.2965,0,14.2917
 30.0,0,0,78634.9,35035.5,11904.1,6596.53,3660.76,1748.11,1049.13,589.35,598.461,304.151,226.862,128.412,135.929,96.913,54.3806,33.2291,96.913,40.7831,27.1895,40.7723,27.1887,13.5933,13.5904,22.9274,13.5919,0
 31.1,0,0,65665.4,35884.3,14610.4,8000.41,3766.2,2244.31,1264.4,954.594,521.209,624.434,236.533,156.747,206.261,92.8456,75.6948,154.085,30.2191,26.1184,26.1191,52.2235,13.0592,0,13.0555,4.1048,26.1138,0
 32.2,0,0,55881.5,39324.3,16476.5,8996.95,4768.85,3148.42,1782.7,1117.9,974.899,632.564,365.412,422.837,302.539,189.516,164.419,200.708,62.795,85.0559,171.548,113.012,37.6798,50.2362,75.3394,25.1298,0,37.6837
 33.4,0,0,48468.9,40877.3,18006.3,11857.6,6081.6,3823.47,2060.68,1317.6,1098.58,724.51,636.423,458.092,371.753,336.299,131.773,146.784,107.464,169.675,123.58,47.9933,36.0033,12.0003,71.9882,46.946,47.9967,24.0046
 34.6,0,0,40062.6,42330.5,20262.2,12338.5,7305.72,4374.9,2843.75,1914.81,1415.1,1146.71,718.598,569.236,371.818,417.644,198.314,335.723,116.21,186.246,197.271,92.5983,92.589,57.8457,92.5362,58.9086,104.113,57.855
 35.9,0,0,34683.6,45111.3,22389.8,14794.6,7663.88,5584.48,3640.84,2077.79,1889.49,1245.04,1057.88,800.881,666.488,544.217,354.975,355.282,144.7,254.862,166.217,144.317,166.546,88.6723,166.231,110.886,67.107,88.6859
 37.2,0,0,36665.2,48152.7,24960.8,16488.9,10185.8,6250.52,3859.83,2549.67,2377.42,1616.19,1336.29,1199.53,749.376,600.379,396.908,310.675,396.261,268.05,235.926,149.61,279.702,149.926,107.69,149.985,95.7849,107.415
 38.5,0,0,38413,49916.2,27851.8,18043.4,11268.3,7456.83,5772.39,3123.47,2784.48,2066.04,1716.5,1376.68,1048.28,872.861,647.492,472.698,493.143,349.593,246.743,318.789,307.142,195.415,163.939,236.765,82.2732,195.206
 40.0,0,0,48266.5,51118,28895.8,20436.9,13122.8,8964.97,6243.42,4545.97,3383.53,2172.69,1864.25,1647.17,1252.84,1180.21,752.63,783.336,586.539,625.018,556.173,308.194,336.798,287.477,158.438,257.584,149.339,119.438
 41.4,0,0,41977.3,52991.4,30900,22812.6,14076.6,10509.1,7492.76,4978.41,4326.32,3364.51,2367.18,1966.51,1579.74,1291.74,1032.07,1049.86,689.204,675.783,477.075,494.21,448.72,398.128,475.443,308.008,297.075,245.844
 42.9,0,0,42135.1,51302,33791.6,25289.3,16452.6,11806.5,8546.1,5580.11,4848.31,3584.02,2883.2,2448.44,1999.23,1644.11,1222.48,1326,1003.64,807.067,722.195,517.8,506.356,307.21,419.635,421.592,379.022,387.585
 44.5,0,0,42113.9,50966,35401.1,27390.9,18605.3,13948.7,9701.7,6578.87,6136.59,4577.01,3794.52,2985.47,2400.33,1921.21,1601.69,1461.56,1366.62,1076.55,1074.61,779.895,795.931,676.279,579.189,558.76,312.145,306.733
 46.1,0,0,43670.3,50783.1,36153,30282.7,20297.1,15459.3,11291.1,8024.75,6778.16,5076.56,4499.75,3699.86,2945.09,2448.98,1906.09,1855.79,1651.2,1395.51,1199.16,928.741,958.224,757.875,841.553,695.053,503.792,617.537
 47.8,0,0,41411.1,50836.9,37737,30615.2,22312,16436.6,12337.1,9106.26,7944.38,6277.54,5253.44,4437.89,3476.97,3168.86,2703.31,2660.31,1904.88,1876.49,1567.2,1133.42,1313.53,1031.55,1053.98,816.275,827.605,724.225
 49.6,0,0,36187.5,50922.6,40115.9,32801,24152.7,19716.9,14788.4,10454.4,8833.94,7673.72,5927.74,5173.08,4352.55,3696.21,2955.28,2823.85,2646.98,1975.85,1840.4,1555.81,1516.83,1132.22,1150.27,1156.02,766.895,779.576
 51.4,0,0,32479.8,50707.2,40609.7,36469.5,26063.6,19269,16030.7,11881.6,10794.8,8702.6,6634.07,6534.81,5040.34,4788.25,3518.93,3383.25,2591.52,2555.12,2454.53,1926.12,1697.41,1687.41,1608.66,1359.6,951.267,1134.36
 53.3,0,0,29476.4,48897,39994.2,36239.2,27555.3,21867.1,19029.6,13436.6,12159,10274.5,8292.31,7735.73,6008.62,5419.64,4575.29,4537.04,3713.56,3026.84,2684.12,2099.76,2130.46,1970.69,1899.05,1669.31,1301.54,1343.33
 55.2,0,0,26548.8,48634.2,41019.1,39697.1,29316.3,24144.2,19406.6,15551.9,13006.1,10724.5,9003.22,8792.97,7054.83,5929.96,5391.96,4904.33,4160.76,3866.93,3137.32,2858.11,2678.49,2224.1,2159.84,2110.14,1557.2,1579.51
 57.3,0,0,22279.6,50208.3,41266.8,40065,31661.5,25940.7,21824,16630.1,15095.7,12805.1,10889.8,10012,7875.12,7008.22,6107.96,6107.28,4833.32,4317.02,4090.3,3597.55,3535.2,3127,3165.13,2595.37,1911.4,2138.46
 59.4,0,0,23045.3,49206.6,42295.9,42662.5,33376,28868.5,23508.8,18025.1,16697.8,14899.4,12612.4,11504.7,9282.72,8376.26,6763.54,6491.39,5988.64,5264.03,5118.36,4258.6,3797.17,3296.37,3405.24,3033.58,2487.35,2295.13
 61.5,7.04088,0,25687.5,47240.1,43454.1,44781.5,35213,29768.6,24564.1,19256.8,18377.3,16120.7,14962.9,13333.6,10607.5,9628.92,8307.21,8266.79,6868.52,6467.6,6023.39,5497,4839.53,4473.31,4122.32,3537.62,3034.44,3334.44
 63.8,0,0,30499.1,46914.2,43089.4,45024.2,37252.5,32399,27067.5,22144.3,20240.8,17529.6,16638.3,14577.3,12179.7,10955.9,9868.14,9291.9,7852.2,6859.41,6904.07,5959.37,5800.6,5142.29,4741.69,4442.84,3342.65,3409.45
 66.1,0,0,29121.6,47206.1,43899.9,47164.7,40334.9,30800.1,29515.1,23206,22713.8,20037.7,17348.3,16682.3,13650.5,12501.1,11220,10501.3,8826.25,8271.68,8268.76,6938.7,6651.75,6057.78,5884.02,5560.75,4220.56,4223.47
 68.5,0,6.61045,28999.2,46484.4,46612.5,47130.3,41344.8,37649.2,32017.9,25900.3,24266,21399.4,19779.5,18817.6,15805.6,14262.6,12483.1,12378.1,10381.8,8822.32,9231.98,8574.47,7938.9,7369.32,6381.99,6164.45,5328.05,5052.89
 71.0,0,0,28945.4,46308.7,45423.9,48525.8,42127.6,37258.2,35404.6,27959.8,27390.1,24443.3,22734.3,20629.9,17531.8,16272.1,14402,14504.3,12325.7,10925.9,10410.3,9346.7,8920.22,8290.71,8263.04,6802.85,6011.74,5883.83
 73.7,0,0,28024.1,45369.4,45892.8,49583.1,43980.2,38913.3,37159.8,29484.2,28798.4,25950.3,24654.4,22873.8,19959.1,18420.2,16035.9,15836.1,14003.4,11953.1,12425.8,10748.1,10217.7,9627.64,9863.13,8546.81,6528.01,7167.13
 76.4,0,0,30223.5,45840.7,46776,51348.1,45275,40385.5,37580.7,33348.5,31297.8,29010.6,27122.6,24982.9,21239.8,19822.8,18407.4,17242,16008.9,13529.2,14095.3,12170,12925.4,11286.6,10625.2,9949.64,8176.44,7569.47
 79.1,0,0,28176.2,46957,47078.7,52023.4,48380.5,41132,40727.2,33730.7,35206.9,31285.5,29219.8,28193.9,23765.7,21721.3,19917,20281.1,17384.5,15014.9,15639.7,14098.5,13835.5,11558.2,12139,11104.5,9424.97,9964.53
 82.0,0,0,28187.5,45238.2,49505.4,54179.5,49595.7,42769.4,43388.3,35340.6,36269.2,34762,32006,28521.6,25010.7,24471.2,21816,20918.7,18482.1,16567.2,17524.2,15467.2,15040.6,13734.4,13540.2,12565.2,10266.5,10335.3
 85.1,0,0,26936.4,44882.8,48135.5,55223.4,49874.8,43737.3,44393.3,37539.7,38143,35249.4,33817.7,32384.9,28417.4,26332.8,23971,23946.8,21614.1,18635.8,19038.5,17149.5,16969.8,15100.1,14397.3,13551,12111,11503.3
 88.2,0,0,26487,43950.1,48524.9,57204.6,50115.8,44635.6,45864.5,38772.7,41223,38463.4,37008.6,34865.8,30121.5,28304.6,26225.7,25891.3,23103.3,21911.7,21803.4,19390.1,19357,16992.6,16448.2,15130.7,13172.7,13099.3
 91.4,0,0,25016.4,44228,47788.8,54092.4,54983.9,46297.7,47623.4,40353.7,41591.5,39819.5,37394.9,38273.6,31975.4,30352,28611,27676.5,25753.9,21197.7,24803,21157.6,20778.7,18509.2,18366.9,16189.8,14427.1,15131.8
 94.7,0,0,23648.1,42915.5,47157.8,54443.6,51334.3,49507.6,49013.1,40909.4,43108.1,40716.6,39357.8,38631.8,33229,31224.4,30013.6,29465.7,25600.2,23347.4,26300.5,23957.6,21833.6,19750.1,19688.2,17262.7,15628.2,16337.3
 98.2,0,0,21830.8,43749.1,48052.6,53970.3,53449.7,45611.7,49700.2,42003.1,44114.1,43093.4,40627.6,40815.7,36842.3,34286.3,31398.1,30873.3,29131.6,24589.4,27222.6,23581.9,24512.7,21196.5,20421.6,18028.1,17417.5,16779.6
101.8,0,0,22197.9,42233.4,46121.6,55101.7,51779,45903.5,55222.9,41340.8,46094,42856,42266.2,42376.9,37093.8,37453.6,32607.6,33460.8,30016.5,25655.5,28187.8,24559.1,27047,22942.9,21770.1,18147.6,17739.2,17824.3
105.5,0,0,22347.1,41833.8,44909.9,53432.3,51724.2,45464.8,50523.4,45590,45138.4,44161.1,43025.6,43203.3,37788.7,35837.9,33700.4,34337.6,30503.6,26771.5,29442.1,27105.6,26982.4,24301.2,23037.7,19559.1,19024.7,19069.2
109.4,0,0,20309.9,44367.3,44512.6,53129.3,52593.2,45013.1,53244.2,43712.9,46812.5,46192.2,40695.1,44200.2,37565.1,37174.6,34655.1,34826.3,31646.6,28383,31169.4,27708.7,27207.5,25382.6,23883.9,20503.7,20007.2,20043.1
113.4,0,0,22162.5,41533,43316.7,54108.7,52020.5,43825.6,53140.2,43689.2,48927.9,45540.5,44130.6,44572.5,38430.9,38091.9,35603.9,35474.6,32282.7,28504.2,32217.9,28510.9,28940.9,27193.5,26716.7,20869.8,20142.7,20811.3
117.6,0,0,19774.6,40005.9,47597.6,54290.3,50415.5,43094,52518.2,43226,45828.1,47434,43437.2,44729,39125,38581.9,36277.1,35620.8,34679.2,29346.1,32897.3,29527.4,29870.6,27519.4,25820.2,22960.8,21582.9,20965.9
121.9,0,0,19391.9,38286.4,43137.6,51898.5,50876.1,43542.6,50266.1,46764.3,46555.4,45239.2,46159.5,45498.4,38878.4,38285.9,36275.9,36136.1,32405.6,31447.8,33100,30224.4,29846.7,27137.5,26415.7,21528.4,22327.5,21851.7
126.3,0,0,20852.4,40020.5,43699.8,49473.6,51061.7,41983.4,51381,43699.7,46258.6,45517.5,44074.8,47492.1,39251.6,38761,36268.8,37064.1,33039.4,29088.2,33525.2,30878.9,31081.2,28254.2,25975.5,22268,21830.1,22190
