Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_HRH_20230407_03.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Date,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23,04/07/23
Start Time,13:24:00,13:27:00,13:30:01,13:33:00,13:36:00,13:39:00,13:42:01,13:45:00,13:48:01,13:51:00,13:54:00,13:57:00,14:00:01,14:03:00,14:06:00,14:09:00,14:12:00,14:15:00,14:18:00,14:21:00,14:24:00,14:27:00,14:30:00,14:33:00,14:36:00,14:39:00
Diameter Midpoint
 16.3,118.668,34.9377,0,35.4015,70.7652,106.148,141.568,35.4225,106.233,70.8219,176.682,35.4243,35.4148,70.3844,35.43,35.4434,70.8524,12.4397,106.33,70.3996,0,0,35.4375,35.4241,70.8713,70.8215
 16.8,87.7018,33.0872,33.0906,33.1008,66.1677,99.2516,99.2768,165.598,33.1093,33.1093,66.2458,0,66.2253,0,33.1263,33.1382,88.7628,87.7377,0,0,0,66.2866,33.133,33.121,66.2627,33.1091
 17.5,62.0776,62.038,93.0661,93.0935,62.032,31.016,62.0471,62.0959,155.14,62.0237,31.051,0,62.0836,62.0867,62.1081,93.1942,103.095,31.051,31.0647,93.1483,62.0805,31.0154,0,62.0988,31.0586,31.0387
 18.1,58.2644,58.2289,58.2343,58.2507,87.3352,38.0237,58.2371,58.2808,29.1827,29.1827,29.1431,87.4253,0,8.91954,0,204.088,58.2863,67.2079,0,145.709,116.534,67.2965,29.1514,0,116.6,29.1322
 18.8,109.637,82.1801,27.3958,0,27.3909,46.3966,54.7941,54.8334,126.165,54.8187,27.4192,82.2539,27.4118,46.4341,43.9565,71.4006,0,46.4445,27.4303,82.2539,82.2318,73.9037,0,27.418,54.8508,54.8188
 19.5,103.265,129.01,77.4126,51.6216,25.7997,51.5995,0,0,36.0659,129.082,180.777,51.6482,51.6371,51.6393,61.9088,36.0922,25.8252,0,103.341,180.769,51.635,25.8386,0,25.8242,25.8308,0
 20.2,73.0264,97.317,72.9937,97.3489,72.9816,24.3272,24.3322,52.6381,48.6844,146.053,28.2923,24.3492,97.3768,97.3808,0,73.0776,52.6425,0,0,24.3492,146.06,28.3064,121.781,0,24.3553,52.6255
 20.9,0,21.4951,21.379,43.7938,6.60286,67.0874,45.1744,108.883,90.558,22.9768,39.361,43.7382,44.8998,89.8943,44.2607,0,40.9186,68.3454,9.17396,45.1138,44.572,110.363,21.0376,22.2789,0,63.502
 21.7,161.398,17.6596,83.8524,18.3298,130.635,83.5966,32.565,62.7712,60.9832,147.41,61.9394,41.8146,41.7148,0,106.953,61.9831,18.6025,34.4399,11.0743,20.67,105.379,41.9995,20.0183,63.2847,63.8411,84.7834
 22.5,39.6678,33.0891,0,115.738,82.4897,79.5682,40.8541,97.1992,37.044,99.4605,119.25,79.7476,16.4173,57.7644,38.4356,59.4348,18.1765,63.1877,17.9873,39.2651,17.9175,38.4449,37.8467,39.5481,80.242,18.1541
 23.3,29.0207,9.25128,69.6567,52.5915,72.3587,148.527,34.4785,50.3573,72.4231,0,13.7262,36.9705,74.0587,34.0743,34.8435,35.3189,36.0871,21.2129,36.0278,36.9706,54.3038,15.88,58.9947,20.2003,56.5942,16.866
 24.1,84.9864,77.2443,19.3285,113.18,103.015,81.8392,96.6443,103.057,53.9249,84.2368,66.3816,12.5927,11.6756,31.3928,48.5076,48.5489,57.7238,83.7924,49.6072,69.3317,33.0015,58.6674,28.3379,66.387,17.3462,70.0891
 25.0,26.6109,76.4307,94.8953,53.4785,96.0728,34.4553,108.512,41.0616,71.0766,42.8891,125.134,44.2391,0,27.4976,9.22964,62.1326,77.2681,25.7724,63.2261,64.248,41.7889,76.6295,47.346,29.32,0,15.0385
 25.9,92.9036,28.0517,185.844,69.9561,92.9075,140.481,88.2763,143.162,27.069,108.756,67.0432,49.1466,40.2851,25.9691,54.9727,86.0166,75.2685,59.7428,27.0433,0,70.4148,39.8752,0,28.1228,59.049,24.5956
 26.9,89.6583,89.1675,68.3317,156.205,40.8204,79.8095,114.628,174.853,110.544,30.8467,65.0105,24.5539,25.5093,46.5593,62.0777,77.096,59.7103,45.5787,21.862,46.0124,17.1796,51.7269,53.5456,49.1728,8.01906,6.22326
 27.9,69.1938,179.723,149.082,28.4302,73.8657,144.879,100.54,64.3867,68.451,100.01,42.9006,76.5163,82.6965,84.82,66.9139,36.0615,105.65,10.8562,40.2221,20.7287,72.1159,57.4914,36.9095,66.0494,0,30.8876
 28.9,72.2257,48.4188,144.315,106.314,107.986,123.177,102.936,160.621,74.5256,59.9618,260.797,71.2667,104.593,47.697,80.6282,103.853,68.499,68.3901,0,73.5388,62.9884,76.6926,24.7195,56.1943,21.1514,46.1605
 30.0,168.993,114.538,123.718,167.562,242.415,140.44,59.3155,179.694,105.116,0,224.81,173.56,82.3788,157.655,133.271,177.421,103.482,47.2629,43.0272,66.4053,107.789,69.2705,152.032,54.8717,48.5949,133.145
 31.1,268.102,263.222,156.957,215.929,266.052,173.042,235.071,125.967,250.092,240.287,181.955,84.6104,93.841,50.0412,56.2919,182.064,200.023,108.482,92.824,59.2549,162.53,76.8362,101.617,94.9777,58.0364,95.3259
 32.2,465.517,456.752,210.553,396.391,227.489,117.258,394.027,288.9,220.967,149.541,190.043,112.415,237.445,91.9778,142.442,105.786,130.009,168.584,143.986,92.3617,146.009,142.383,177.186,74.6583,84.4469,133.169
 33.4,504.461,527.081,401.485,281.192,353.807,318.674,346.324,401.141,257.114,252.852,294.236,89.0399,171.023,337.229,201.123,176.903,135.525,125.09,139.185,89.2158,193.848,181.547,77.4749,83.6829,74.9831,128.944
 34.6,573.658,642.311,793.839,681.449,581.514,432.6,491.408,301.317,322.302,217.796,305.423,263.223,303.101,237.802,292.434,291.873,147.694,239.949,242.248,172.897,158.193,103.39,275.645,202.249,39.4186,138.91
 35.9,802.954,1154.89,1114.17,697.951,821.387,727.029,534.392,445.986,407.579,372.069,581.917,317.089,481.139,304.702,336.396,301.522,156.648,380.922,265.741,218.342,429.878,181.388,198.003,228.955,203.558,88.3681
 37.2,1263.31,1233.7,1085.34,859.759,835.207,936.533,837.06,843.568,660.605,705.958,565.932,633.145,640.002,252.723,414.858,503.254,263.236,223.587,223.699,274.793,464.105,368.126,270.856,179.68,273.177,319.54
 38.5,1845.18,1382.06,1392.17,1282.35,1278.8,999.633,1055.64,852.208,666.717,691.769,1010.76,765.419,746.14,519.348,564.623,503.643,632.454,598.862,307.828,567.994,481.828,379.289,299.12,321.82,245.695,315.706
 40.0,2014.69,1812.71,1821.05,1389.53,1374.46,1511.71,1523.85,1359.89,1080.86,1026.88,961.522,832.027,644.082,1082.73,683.517,817.618,900.889,563.167,588.103,742.579,540.04,522.075,683.995,396.236,463.332,405.766
 41.4,2708.09,2162,2292.7,1808.38,1763.7,1737.43,1444.42,1509.49,1484.6,1496.49,1212.25,1260.84,1054.55,1056.22,939.299,653.626,896.574,843.425,782.113,755.449,625.139,685.559,934.002,462.645,634.808,700.516
 42.9,3707.87,2811.08,3371.46,2852.96,1926.72,1929.35,2126.55,2042.83,1765.86,1721.71,1429.27,1710.44,1298.41,1132.99,1042.75,1085.35,1274.07,1234.53,1044.78,703.837,780.99,934.923,706.479,657.21,849.409,779.422
 44.5,3838.95,4100.04,3607.44,3494.38,2961.18,2921.89,2721.89,2226.99,2316.74,2318.86,1877.1,2000.58,1879.27,1638.67,1665.71,1423.12,1529.75,1791.44,1242.9,990.746,1030.82,1215.39,912.121,1159.76,1113.81,808.881
 46.1,5057.84,5434.43,5087.98,4131.91,4032.07,4020.48,3416.97,3117.04,2838.38,2511.2,2392.7,2525.98,2444.16,2454.13,2073.53,1812.45,1995.23,1621.15,1705.78,1403.64,1613.3,1479.47,1561.7,1208.2,1097.21,938.378
 47.8,6661.89,5785.94,5540.98,5466.58,4995.6,5073.66,4501.51,3898.8,3768.06,3693.27,2997.51,2923.94,2905.87,2787.05,2534.89,2107.45,2287.44,2218.45,2442.75,1948.82,1673.4,1720.29,1804.15,1529.36,1472.51,1402.04
 49.6,8475.09,8188.22,7640.12,7083.35,5937.97,6122.54,5863.88,4799.28,5238.39,4455.06,4579.74,4120.8,3681.75,4184.3,3194.36,3084.78,3323.54,2721.18,3053.69,2841.8,2455,2304.29,2239.68,2157.43,1605.03,1840.87
 51.4,11106.6,9818.68,8591.4,8354.23,8181.59,7817.41,7688.37,6509.02,5299.49,5718.51,4841.57,4949.64,4958.73,4136.41,4134.87,3606.57,4066.07,3470.02,3444.32,3211.58,3023.54,2853.82,2758.23,2783.41,2411.84,2522.19
 53.3,13021.1,11747.1,11369.8,10799.1,9982.53,8962.06,8142.38,8401.46,7491.05,6860.97,6578.24,6268.45,5567.24,5999.47,5389.32,4651.6,4704.16,4867.68,4821.72,4188.96,3710.87,3716.05,3295.05,3722.43,2793.95,2709.8
 55.2,16999.5,15095.9,13703.2,13367.6,12122.3,11435.4,10114.3,10241.4,9453.09,8670.38,8120.7,7418.11,7554.77,7010.09,6581.35,5845.48,5753.37,5576.65,5871.88,4955.85,4442.15,4079.93,3905.26,4034.06,3733.77,3495.87
 57.3,19089.4,17962.1,16423.3,15981.9,14344.7,13405.9,12382.6,12797.2,10728.3,10939.5,8867.19,9519.5,8980.8,7988.17,8092.06,7527.68,7239.02,6753.78,6549.29,5861.53,5226.08,4953.21,5240.05,4532.17,4370.59,3987.95
 59.4,22647.7,21223,20394.8,19018.4,17829.3,15980.4,15047.6,14162.1,13437.7,11521.6,11339.1,11382.1,10506,10005.3,9456.59,8598.86,8592.81,7805.85,7771.35,6537.1,6873.52,6544.21,5813.79,5287.79,5036.38,5136.56
 61.5,26736.2,26095.7,23890,22460.6,21378.7,19967.4,18780.7,17454.8,15313.1,15657.9,14056.1,13372,11956.5,12161.4,11498,10673.4,9509.88,10450.6,8703.39,8483.36,8302.18,7664.45,6670.29,6170.68,6451.54,5667.49
 63.8,32299.2,30386.8,28495.1,25913,24569.2,23178.4,22236.6,21452.3,17952.5,17707.6,16478.9,14601.2,14538,14316.6,13594,12623.2,11954.1,10311.7,10700.4,9255.39,9256.78,8847.86,8082.63,7881.82,7213.87,6992.5
 66.1,38600.4,34989.1,31695.8,30355.9,28142.9,26717.7,24517.1,23290.3,22338.7,20407.5,19061.1,18394.6,17461.1,17099.3,15049.3,14340.3,13258.6,12924.3,11559,11407.4,10330.4,9748.81,9244.95,9136.1,8304.53,8299.2
 68.5,44819.7,40231.5,39056.9,35546.7,33889.1,31840.3,30022,27136.2,25503.1,23532.8,23480.5,21245.9,20083.7,19237.9,16375.3,17279.5,16704.1,14363.2,14133.6,12688.5,12795.8,11433.6,10821.6,10487.7,9435.97,9280.31
 71.0,47983.3,43049,42193.3,38516.8,36585.1,33501.8,31305.3,28744.2,27300,25743.3,24753.5,23207.2,21292.1,20462.8,18728.3,18484.4,17013,15267.2,14829.8,13643.9,12487.5,13169.1,11938.3,10580.9,10800.3,10271.3
 73.7,52152.9,47125.3,44586.4,42268,40566,37416.5,33911.4,32615.9,29964.8,28119.9,26740.7,25351.6,22771.5,21605.7,20539.9,18863.4,18899.3,16691.1,16278.1,15252.4,15225.5,13824.8,13203.8,11747.9,11782.5,11216.5
