Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_HRH_20230412.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Date,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23,04/12/23
Start Time,10:55:00,10:58:01,11:01:00,11:04:01,11:07:00,11:10:01,11:13:00,11:16:01,11:19:00,11:22:01,11:25:00,11:28:01,11:31:00,11:34:01,11:37:00,11:40:01,11:43:00,11:46:01,11:49:00,11:52:01,11:55:00,11:58:01,12:01:00,12:04:01,12:07:00
Diameter Midpoint
 16.3,2553.88,2593.91,5439.44,4020.45,2880.9,4348.15,5309.07,3379.23,5189.37,2527.6,1787.03,3031.51,4342.17,5100.36,3252.84,3580.89,5649.14,3870.11,3158.37,2420.11,7199.51,3247.82,6150.66,2180.75,7465.74
 16.8,4250.61,1967.73,3193.15,4034.79,6693.08,5041.8,5113.76,4644.43,2726.5,3314.71,3235.27,5824.58,2532.49,7237.24,3744.5,5067.68,5233.05,2147.73,2590.15,3361.76,5424.42,5408.28,4566.92,6168.91,5284
 17.5,2994.05,2906.64,3948.99,2438.74,2661.21,3395.08,5413.63,6182.11,3348.29,4705.73,4470.32,3518.09,2890.41,3224.47,4786.65,4146.36,5254.03,5171.43,3184.16,7814.16,6838.81,4486.87,3196.95,4722.48,4532.66
 18.1,4180.01,2325.28,4498.89,4704.94,2270.19,3221.24,6780,4417.53,5035.59,3521.29,4370.87,2276.96,2763.49,4125.02,6030.82,4235.93,5283.18,5128.91,2869.03,3298.54,5364.09,5283.94,2263.19,2500.21,2809.83
 18.8,1297.57,2437.53,2454.37,2748.06,4092.37,2114.81,3572.15,4948.12,2113.93,1961.27,2286.76,1646.05,1267.61,2688.85,3867.16,4363.42,7127.76,2166.19,3985.98,2713.99,3898.22,3417.12,3449.27,4777.03,2034.19
 19.5,2126.05,2128.62,2803.75,607.845,2571.36,2078.4,2753.72,1980.24,2754.25,2112.75,2753.63,3556.61,2694.49,1197.35,2043.68,3601.73,2640.56,3167.13,1724.79,3293,3223.37,4304.68,3024.19,3744.38,2293.74
 20.2,1849.92,2910.59,2923.26,1995.34,2455.38,5284.2,4041.75,2975.33,1280.4,2793.27,2977.14,3187.84,1490.99,902.028,1992.38,3123.4,3380.69,2350.3,3111.2,6285.96,3240.11,5067.74,2711.41,5830.9,3953.75
