Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_HRH_20230413.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,FALSE
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23,04/13/23
Start Time,15:35:00,15:38:00,15:41:00,15:44:00,15:47:00,15:50:00,15:53:00,15:56:00,15:59:00,16:02:00,16:05:00,16:08:00,16:11:00,16:14:00,16:17:00,16:20:00,16:23:00,16:26:00,16:29:00,16:32:00,16:35:00,16:38:00,16:41:00,16:44:00,16:47:00,16:50:00,16:53:00,16:56:00
Diameter Midpoint
 16.3,16.6625,0,16.6625,33.325,33.325,0,16.6625,0,0,16.6625,16.6625,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6625,33.325,0,0
 16.8,0,16.0571,0,80.2855,59.1886,32.1142,16.0571,0,0,32.1142,32.1142,0,0,0,0,0,0,0,0,0,0,16.0571,0,0,0,0,0,0
 17.5,15.4941,0,0,108.578,128.816,46.4823,61.9764,0,0,30.9882,15.6138,15.4941,15.4941,0,0,0,0,0,0,0,0,15.4941,31.1079,0,0,0,0,0
 18.1,14.9498,0,0,149.382,64.5634,29.8995,44.8493,29.8995,0,44.8493,29.784,29.8995,14.9498,0,0,0,0,0,0,0,0,0,14.8343,14.9498,0,14.9498,0,0
 18.8,0,14.4423,14.4423,158.866,76.5433,81.146,28.8847,0,28.8847,14.4423,0,0,14.4423,0,0,14.4423,0,14.4423,0,0,0,0,0,0,0,0,14.4423,0
 19.5,13.9512,0,0,205.379,115.634,33.2231,27.9024,13.9512,12.6549,41.8537,27.9024,0,0,13.9512,0,0,0,0,0,0,0,41.8537,0,40.5573,0,0,27.9024,13.9512
 20.2,0,0,13.4766,114.044,122.541,13.4766,0,67.3828,1.25224,0,0,0,0,0,0,0,0,13.4766,13.4766,0,26.9531,26.9531,0,1.25224,13.4766,0,0,13.4766
 20.9,13.0184,0,13.0184,297.032,117.165,91.1285,91.1285,13.0184,39.0551,13.0184,13.0184,13.0184,13.0184,0,0,0,0,0,0,0,13.0184,13.0184,13.0184,13.0184,13.0184,0,0,0
 21.7,0,12.5902,21.3906,298.376,138.493,100.722,75.5414,50.361,25.1805,50.361,0,12.5902,0,8.8004,0,0,0,0,0,0,25.1805,8.8004,0,0,12.5902,12.5902,0,0
 22.5,36.5681,0,3.66917,220.768,255.206,36.5681,12.1894,0,36.5681,24.3787,12.1894,36.5681,0,3.66917,0,0,0,24.3787,0,0,0,3.66917,12.1894,24.3787,0,12.1894,12.1894,0
 23.3,0,0,0,383.664,267.957,108.106,25.4992,35.4031,23.6021,35.4031,47.2042,35.4031,1.8971,0,0,0,0,11.801,0,0,0,0,0,35.4031,23.6021,11.801,0,11.801
 24.1,0,11.3801,0,414.449,395.197,184.464,43.6908,68.2803,56.9003,22.7601,56.9003,22.7601,20.9307,0,0,0,0,11.3801,0,0,0,0,11.3801,22.7601,11.3801,0,0,22.7601
 25.0,11.0514,6.23963,33.1543,525.142,305.349,141.005,172.011,99.4629,55.2571,22.1029,55.2571,11.0514,0,0,0,0,0,11.0514,0,0,22.1029,0,11.0514,11.0514,11.0514,0,11.0514,0
 25.9,10.7412,15.4179,21.4824,595.69,434.876,232.162,120.073,85.9297,53.7061,21.4824,21.4824,32.2236,10.7412,0,0,0,21.4824,0,0,0,10.7412,21.4824,10.7412,10.7412,0,0,10.7412,10.7412
 26.9,10.4479,10.4479,19.912,597.506,473.551,315.135,148.952,165.199,62.6875,20.8958,72.1516,41.7916,10.4479,0,0,0,0,0,0,0,10.4479,0,0,10.4479,0,0,0,0
 27.9,0,10.0809,0.949251,579.192,528.181,303.896,161.295,153.631,90.7285,91.7652,31.1921,10.0809,0,0,0,10.0809,10.0809,0,0,0,20.1619,10.0809,0.518309,10.0809,10.0809,10.0809,40.3238,0
 28.9,0,0,131.212,758.053,713.982,358.377,191.906,168.233,82.1012,77.5667,39.2884,98.2209,0,0,9.82209,0,0,0,0,0,9.82209,9.82209,28.9613,39.2884,0,0,19.6442,0
 30.0,18.994,0,1313.13,680.161,625.263,408.752,218.812,169.243,167.539,81.4681,104.467,85.4732,0,18.994,0,0,0,18.994,0,0,18.994,28.4911,18.994,18.994,18.994,0,0,9.49702
 31.1,18.5338,9.26688,2640.79,880.196,570.324,521.92,254.114,259.473,118.243,59.5093,129.736,129.736,0,0,9.26688,0,0,0,18.5338,0,18.5338,18.5338,0,3.5202,9.26688,18.5338,9.26688,0
 32.2,9.04759,18.0952,3828.78,918.923,837.121,475.465,287.744,199.047,232.443,108.571,108.571,94.555,0,9.04759,0,0,0,9.04759,0,0,18.0952,31.2219,27.1428,41.8011,44.3486,27.1428,9.04759,0
 33.4,13.1678,17.5419,4953.53,1050.89,835.033,592.561,339.44,298.258,175.884,114.022,127.19,70.6101,8.77094,0,0,0,4.3969,4.3969,0,0,17.5419,48.6713,43.8547,35.0838,18.4041,0,0,0
 34.6,4.27592,17.1484,5642.65,1122.42,1078.86,673.245,378.013,270.825,274.601,133.682,219.152,77.4173,0,0,0,0,4.27592,8.82383,0,0,42.8709,25.7226,51.4451,0,25.7226,25.7226,25.7226,0
 35.9,16.6505,0,6735.15,1234.31,1157.22,743.494,463.78,349.834,220.988,158.353,262.672,187.687,0,0,16.6505,0,16.6505,3.90939,8.32526,8.32526,16.6505,41.6263,41.6263,33.3011,8.32526,46.0999,16.6505,8.32526
 37.2,0,0,5609.48,1214.39,1126.41,1033.58,625.978,431.782,382.681,198.706,235.544,154.544,0,0,0,8.14773,0,0,8.14773,0,16.2955,44.9855,24.4432,40.7386,73.3295,28.2127,0,16.2955
 38.5,0,15.8451,4300.96,1252.08,1222.32,948.446,588.475,616.969,374.94,181.92,289.005,185.694,11.7346,15.8451,0,15.8451,0,0,3.81206,23.7677,15.8451,35.4832,35.5023,23.7677,39.6128,15.8451,11.7346,7.92255
