Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_MRH_20230417.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Date,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23,04/17/23
Start Time,11:50:00,11:53:01,11:56:00,11:59:00,12:02:00,12:05:00,12:08:00,12:11:00,12:14:00,12:17:00,12:20:00,12:23:00,12:26:00,12:29:00,12:32:00,12:35:00,12:38:00,12:41:00
Diameter Midpoint
 16.3,0,0,0,0,0,10037.3,2905.84,831.964,188.774,35.1028,83.5515,34.6585,35.12,70.2392,13.3063,35.1119,0,34.6721
 16.8,0,0,0,0,0,10403.9,3059.32,1016.24,282.981,393.972,20.4017,32.8314,65.6924,32.8459,20.3994,0,0,32.8439
 17.5,0,0,0,0,0,12080.4,3120.27,1274.47,743.719,248.785,156.501,92.361,30.8003,30.8001,0,0,0,0
 18.1,0,0,0,0,0,15382.9,4000.91,1624.82,708.058,443.235,200.078,81.8508,57.8312,115.662,28.9142,0,0,28.914
 18.8,0,0,27.1559,27.1701,243.378,16753.2,4751.76,1821.89,1001.26,491.349,462.626,86.1781,81.6362,54.4241,27.2108,27.2072,27.1918,0
 19.5,0,0,0,0,9254.83,18351.1,6349.17,2332.61,1352.34,757.846,282.013,206.34,180.782,155.145,102.541,0,26.9438,51.2708
 20.2,0,0,0,0,37907.2,19886.8,8332.81,3590.56,1406.5,1130.19,588.795,200.602,216.35,95.4606,72.5308,96.6964,47.0729,0
 20.9,0,0,0,0,61067.1,22772.6,7733.73,3675.24,1438.91,926.104,555.25,466.676,165.272,82.3198,24.8362,66.3645,11.5211,79.4183
 21.7,0,0,0,0,69670.1,26733.7,9734.06,4918.17,2221.26,1327.85,613.185,572.628,364.131,186.922,30.0723,60.401,23.9636,22.9888
 22.5,0,0,0,0,175049,28096,12021.5,5170.95,3140.6,1747.88,942.004,560.37,258.922,238.019,130.712,185.739,120.704,60.0456
 23.3,0,19.1824,0,0,230117,31329.8,13903.9,5886.29,3778.16,1962.82,1386.97,908.982,589.975,236.331,176.318,150.831,88.6841,102.256
 24.1,0,0,0,0,261891,33861.8,15329.9,8748.51,5193.62,2754.19,1757.93,1016.5,838.601,398.892,321.256,226.193,117.799,121.776
 25.0,0,0,0,0,302935,39150.5,18275.5,10155,5759.35,3483.07,2071.55,1120.05,717.187,706.333,256.814,292.624,384.997,167.945
 25.9,0,0,0,0,280687,43654,21054.2,10484.8,7018.35,4333.14,2948.19,1845.07,1137.17,833.096,482.39,551.594,399.791,245.283
 26.9,0,15.6261,0,0,241301,48780,25044.2,13577,7443.08,5307.73,3649,1929.57,1703.96,1226.42,933.42,747.389,457.515,389.368
 27.9,0,0,0,0,165333,53807,27755.2,16782.5,9612.88,6436.21,4337.25,2886.99,2023.05,1655.64,1118.05,924.74,624.274,488.277
 28.9,0,13.9506,0,0,118914,60793.5,33893.3,19342.7,12327.1,8039.53,5487.83,3310.05,2545.42,2391.04,1526.21,1168.89,947.898,824.855
 30.0,0,13.2775,0,0,98948.7,65670.5,36994.8,23476.6,13188.9,10445.8,6749.75,5283.42,3536.46,2435.94,1609.94,1264.96,874.484,883.012
 31.1,0,12.9913,0,0,91438.9,72387.8,42720,25844.7,16231.2,11544.6,7962.51,5955.03,3889.24,3266.1,2297.29,2226.61,1267.24,1335.55
 32.2,0,0,0,12.5522,86694.3,80520,47097.1,29792,19762,13768.7,10079.3,6818.39,5282.71,3903.98,3273.25,2192.32,2461.15,1448.58
