Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_HRH_20230608.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Date,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23,06/08/23
Start Time,09:44:00,09:47:00,09:50:00,09:53:00,09:56:00,09:59:00,10:02:00,10:05:00,10:08:00,10:11:00,10:14:00,10:17:00,10:20:00,10:23:00,10:26:00,10:29:00,10:32:00,10:35:00,10:38:00,10:41:00,10:44:00,10:47:00,10:50:00,10:53:00,10:56:00,10:59:00,11:02:00,11:05:00,11:08:00,11:11:00,11:14:00
Diameter Midpoint
 16.3,0,0,0,0,0,0,197285,84392.6,44960.4,23157.6,12594.9,7360.92,4804.43,3031,2187.98,987.614,942.936,397.392,452.621,373.27,186.635,310.664,684.328,777.645,117.44,155.529,217.741,248.452,718.606,117.44,320.82
 16.8,0,29.2112,0,0,0,15.3369,198579,87233.9,46420.5,25971.1,14638.9,8124.17,6244.47,3949.2,2384.26,1692.78,1510.91,752.174,509.706,338.122,336.66,146.056,730.28,221.278,240.247,233.689,657.983,336.66,493.61,518.485,282.574
 17.5,0,0,0,0,0,13.0611,200113,94374.1,49690.4,29701.7,17476.3,10561.4,6712.21,3894.44,3054.56,2469.3,1319.76,1169.2,1066.47,790.008,749.545,274.99,1044.96,843.824,192.493,34.6692,233.053,920.527,227.162,707.706,392.156
 18.1,25.913,0,0,0,0,0,197744,97265.2,53255.1,31006,17755.8,10921.3,8091.86,5010.25,3568.01,2341.79,1915.06,1320.45,1118.05,1234.1,600.714,517.796,285.043,483.734,206.84,174.17,414.608,542.781,122.808,770.169,278.286
 18.8,0,0,0,24.2931,24.2931,0,198443,98757,56872.6,34886.8,20332.2,12202.1,8427.6,5762.06,4170.81,2758.48,2280.47,1468.33,1526.23,893.017,729.662,698.958,988.448,909.742,179.645,308.678,485.861,268.529,211.07,454.436,211.07
 19.5,0,0,0,0,22.9342,0,199139,105054,58285,36946,22160.6,14567.4,9154.23,6716.87,5296.45,3588.15,3044.12,1882.32,1686.17,1478.1,900.77,665.2,672.235,714.182,289.498,520.397,1169.64,229.342,305.288,391.492,454.763
 20.2,0,21.6705,0,0,0,21.6705,193619,107306,64742.3,38801.3,25486.9,16520.2,11165.2,7889.8,6776.1,4830.69,3857.11,2313.4,2279.98,1455.97,1344.62,958.731,545.283,686.934,542.937,297.512,347.902,845.151,650.116,396.47,573.889
 20.9,20.4948,20.3007,0,0,0,0,190979,104392,64255.5,42167.4,27604.8,18492.9,12157.8,9067.58,6516.12,4980.72,3830.99,3019.91,2588.71,1589.42,1511.12,989.478,1139.12,1130.2,719.506,778.064,957.868,418.538,305.156,274.232,652.534
 21.7,19.4213,0,0,6.84695,19.2497,0,184978,105457,65772.4,42805.5,29168,19545.1,14074,9904.29,7245.6,6565.81,5846.76,3551.71,2997.63,1835.85,1925.82,1152.08,1390.98,867.772,724.685,415.912,957.908,843.983,806.562,422.117,699.064
 22.5,0,0,0,11.9368,18.2434,0,182888,108982,70590.5,47056.1,30915.6,20810.9,14829.7,10737.9,8691.84,7018.68,5529.17,3959.67,3471.67,2730.85,2146.08,1917.04,2107.28,951.237,1093.34,479.598,798.13,1107.74,599.524,482.481,525.726
 23.3,0,0,0,0,0,0,181414,111498,73251,48641.7,33658.8,25103,17687.1,13395.7,10453.5,8496.61,5747.99,4973.6,3816.14,3511.8,2907.31,1800.38,1575.08,1704.79,801.666,1024.7,1286.1,883.303,674.991,733.082,676.413
 24.1,0,0,16.5908,0,2.47963,0,175268,113220,74655.5,51330.5,35874,25556.6,19513.2,15387.8,11806,9615.85,7938.25,5147.82,4888.93,3595.39,3130.46,2267.76,2395.66,1455.71,1612.78,1064.15,944.825,1218.62,1089.13,548.964,615.374
 25.0,0,0,0,15.5894,44.9297,0,176473,112563,76973.6,54102,40463.3,29315.5,21477.3,16608.1,13766.6,10876.9,9156.69,6888.83,5594.32,4320.9,3788.65,2837.54,2310.61,1951.6,1724.26,1807.49,1126.31,1280.04,1376.18,1190.75,836.161
 25.9,0,30.2108,0,0,0,0,173594,117679,80334.5,57622.2,41634.6,31248.5,24328.3,19129.5,14822.9,13432.4,11077.5,7943.68,6894.97,5377.49,4279.1,3233.42,3332.2,2141.06,1966.93,1953.42,2094.14,1800.9,1287.41,1162.06,1087.82
 26.9,0,0,0,14.1921,0,118659,172443,119930,83996.7,61902,45520.3,34080.4,24960.1,21074.4,15891.6,14411.3,12482.4,9917.32,7437.42,7062.44,5406.5,4518.76,3667.8,3190.77,2856.87,1947.22,1833.5,1395.25,2037.97,1610.41,963.809
 27.9,0,13.4737,13.6674,13.1552,0,546104,176093,122798,86811.5,64959.8,48667.6,36464.7,28724.8,22956.6,18643.7,16347.4,14593.8,10378.5,8983.21,7639.39,6962.01,5306.74,4493.39,3078.92,2958.65,2212.16,2119.81,2281.12,1762.57,1456.73,1503.74
 28.9,0,49.4002,26.3892,22.3728,13.106,817734,177481,124909,93097.6,70170.8,52221.5,39758.3,30980.3,26211.8,21634.2,18449.3,15940.5,12569.9,11046.3,8981.85,7328.23,6564.33,4102.65,3791.74,3641.95,2765.91,2836.96,2406.41,2378.52,1882.74,1506.85
 30.0,0,15.6159,24.9037,2.74198,0,782087,177564,129777,97624.8,75067.5,56932.5,43967.8,34438.1,29131.1,24758.6,20484.5,18744.7,14717.3,12301.1,10546.5,9326.06,7784.69,5595.69,4574.7,4207.22,3878.58,3167.61,3302.37,3005.74,2581.34,2139.29
 31.1,0,12.1204,24.2407,0,12.0696,771756,182897,135819,102690,77714.5,63167,50113.2,38632.9,32029.9,26602.2,25394.8,21000.6,15979.5,14039.1,12866.1,10556.5,9433.53,6174.8,6126.01,4889.88,4673.73,4185.41,3830.54,3749.53,3089.98,2965.71
 32.2,0,11.678,0,0,11.727,656146,189804,142070,110803,86474.9,65886.1,52872.6,43167.5,37082.3,32027.5,27879.2,24362.4,18129.2,16993.6,14564.3,12786.3,10581.7,7969.52,6523.76,5330.46,5095.61,4940.14,4516.07,3774.04,3077.6,3374.35
 33.4,0,22.3425,10.5019,0,22.0322,537202,194554,149733,116089,89113.8,72529.5,58509.9,46985.7,40322,34339.6,32545,28551.1,20453.6,18054.3,16984.2,14371.1,11497.1,9250.15,7616.43,7424.1,5750.55,5772.03,5472.03,5055.19,4442.64,3959.92
 34.6,21.588,0,0,10.0779,10.5155,560864,203965,158250,120866,99742.5,80129.1,64731.1,51745.5,46394.6,37495.8,34706.7,30998.5,24410.6,20376.3,19288.5,16341.6,12691.2,10576.3,8865.42,8495.54,7417.97,7007.92,6065.37,5162.82,4709.08,4293.76
 35.9,0,8.92724,0,10.0061,0,563982,213070,165947,131645,105679,85655.8,70093.8,57544.9,50980.9,42842.4,38880.1,35843.7,28820,24542.6,21573.2,19218.8,15309.4,12517.7,9789.35,9629.69,8544.82,8348.95,7552.89,6600.51,5575.34,5717.22
 37.2,3.27866,0,0,19.8129,0,508735,223226,175439,141713,114440,92021.2,77560.1,62383.2,55714.7,48417.1,43596.8,41381.6,32820.8,28357.6,25207.4,23386.7,18168.8,13782.5,12452.3,11954.6,10113.4,10381.6,8568.76,7767.93,6245.27,6140.78
 38.5,6.48663,38.4409,14.2624,9.41236,14.8845,368227,238902,182240,150970,121870,101422,84868.9,70818.8,62520.4,53947.8,48353.9,45602.3,34536.3,32281.7,28558,24896.5,19365.9,16442.4,14045.1,13700.6,11937.3,10900.6,10364.3,10169.9,7832.16,7965.81
 40.0,0,9.05778,3.31298,18.1168,12.3223,294969,255849,197318,160131,134444,111801,94564.2,79789.4,70990.5,62273.5,55268.6,50720.3,40628.7,37197.8,32115.5,30166.2,23497.9,19017.6,17685.8,15435.7,14371.4,13207.4,11982.5,11335.8,9084.38,9424.18
 41.4,0,8.83427,0,26.9696,0,216145,268266,213694,172934,145361,123504,103190,89409.9,76651,67681.4,62157.1,58458.6,45593.1,41781.8,37161.4,32866.7,27077.1,20760,19241.6,17516.4,15364.6,14775.8,14476.4,13555,11218.4,10387.9
 42.9,0,0,8.46636,8.38843,25.734,160860,284539,222849,186713,156764,133224,110780,96218.5,86301.2,76291.8,70448.9,65179.1,50415,46214.8,42116.6,38205.6,31181.8,24811,22284.7,20163.8,18297.9,16547.9,16253.7,15752.1,12478,12292.2
 44.5,0,0,0,0,0,136535,297907,244096,199821,171048,144777,123977,105429,94707.8,83061,77693.3,74840.4,59144.3,53007.8,46968.3,43374.6,35188.3,28111.2,26355.7,24656.5,20807.1,19447.5,19268.1,17552.1,14759.9,13946.3
 46.1,8.21657,0,0,24.6497,7.53181,100843,316054,261479,216639,184262,157187,135554,117337,105291,94532.1,89337.6,81540.9,62531,59573.3,53384.4,48892.7,39127.9,32025.3,29283.7,27534.6,24254.3,21994.4,21253.6,20260.1,16743.9,16125
 47.8,0,0,15.0142,0,0,77321.3,340107,278028,232733,197353,171700,146694,128181,116423,104437,97460.3,91617,70496.8,67749.7,58836.6,56600.4,45364.7,35905.2,33211.8,30259.8,27272.2,25565.3,25414.2,22899.1,18779.8,18604.6
 49.6,0,1.26608,6.75303,14.9462,0,69279.8,358175,300856,250446,212620,189679,161198,141936,127728,116314,107339,104835,80986.8,75954.2,67519.7,63091.1,51606.2,42330.3,39788.1,35468.5,31939.6,30084.9,28253,26660.2,22728.3,21195.5
 51.4,0,27.0877,1.42424,6.21286,22.3244,74306,377942,319486,270047,232965,203683,177082,157548,143049,128769,120082,111771,91097.4,80583.5,78749.7,70877.6,57931.4,47294,44615.7,39373.1,36193.4,34845.2,32995.5,30816.8,25295.2,24875.8
 53.3,0,14.7193,21.3109,4.9574,0,95331.3,404883,340532,293090,253486,220435,192413,170334,155461,141752,132483,126833,100991,92325.4,85786.3,79555.6,64048.9,53298.4,47842.6,46231.2,41241,38311.3,37809.9,35116.7,29251.3,28766.4
 55.2,0,0,13.0051,0,0,202415,427290,363017,316885,271122,239605,207224,186033,168614,157635,146102,139289,111413,104042,98432.4,88742.9,73439.6,60611.1,55749.9,52265,46245.8,42637,41414.5,40033.8,33070.3,33594.9
 57.3,0,5.69832,13.2451,10.8634,13.7469,364817,449255,385682,338564,290592,255891,226849,202791,184077,169852,162560,154415,123867,114355,110199,98885.1,80386.2,68676.7,62082.2,58718.5,52104.5,49186.2,48020.1,44673.1,36831.7,35753.1
 59.4,0,0,0,1.03858,12.5943,534342,477750,412933,363344,314051,276368,245584,213667,201984,185747,176917,170390,137526,127299,117912,110787,88946.5,77241.7,68323.8,64062.3,57530.2,53373,54142.3,49553.5,40469.4,42993.3
 61.5,0,6.06005,5.28233,0,6.24422,650217,499238,437521,383073,336290,302238,261362,240126,217068,202771,193925,183399,152176,138765,132041,122314,98323.8,81144,78187.2,73528,66224,59059.7,58038.4,54387.3,44460.7,48593.5
 63.8,0,0,0,10.8019,5.30335,719621,519977,463944,406030,358657,319921,281659,254656,235090,219225,211933,201938,166437,152960,143553,134790,106727,93579.4,85131.2,79635.2,72422.8,65174.7,66869.7,64182.6,51842.4,52982.9
 66.1,0,5.84895,9.68926,0,12.5259,756213,550161,487760,436800,376694,338329,302165,269492,252075,236311,227305,217601,182293,168675,157523,145138,117701,103666,92197.1,86167.1,78370.2,71439.6,70899,68197.6,55914.1,57560.7
 68.5,0,12.5434,4.99655,0,0,783760,583312,515767,461971,407128,366198,326376,292707,271461,256419,246653,237774,194469,180294,172638,158691,130459,117105,104565,97097,87743.5,79154.8,82205.8,75991.2,62924.4,64400
 71.0,0,0,12.2607,0,4.7296,799114,594564,527491,469568,416043,375575,336141,303068,283956,263764,259509,246587,204760,186671,180451,167020,133920,120533,108427,101377,94670.3,83957.6,83644.6,81648.8,67842.3,69018.5
 73.7,0,17.0757,5.65463,9.50852,5.84385,812306,612575,536401,484689,433385,390502,347089,319139,300233,278137,272782,256193,214046,202330,190515,178392,141305,124308,112806,108726,100877,88883,92066,83976.6,69309.8,71398.7
 76.4,0,0,0,12.7323,0,860614,629022,562613,504545,450545,408438,364680,333285,314540,297958,287462,277529,230005,213321,200519,187684,151840,142386,121168,110436,106226,96767.2,96203.3,93828.1,72757.7,80653.2
 79.1,0,0,0,23.7484,0,967087,648734,579760,529071,469761,428995,383738,351184,334626,308321,303669,292664,240712,226076,213050,200875,160623,141347,128168,119321,112073,105704,101650,97454.2,80483.2,85596.7
 82.0,0,5.83164,5.67314,11.6941,5.69258,1.06584e+006,666307,592509,545297,488785,444349,398478,366319,345914,324555,319357,309725,255202,237800,225834,211389,171428,151107,138778,126745,122354,110152,114057,106263,85467.3,90113.8
 85.1,0,11.2551,5.49426,11.0646,0,1.19346e+006,681113,609486,562610,500135,459781,418496,380848,362030,338286,332530,327567,268301,249402,235772,225243,179562,157428,146346,137830,129924,117036,117784,112570,91291.7,96442
 88.2,0,4.09589,10.1627,0,10.8092,1.27338e+006,691475,625268,573854,521083,476316,432875,396476,379814,357858,347885,339865,275850,257792,248865,237881,192299,167623,155486,145461,138426,124185,125189,120023,97616.4,101150
 91.4,0,4.06066,8.64948,4.68208,0,1.26789e+006,697205,630889,578762,528594,481060,443918,405251,385182,367716,359661,352128,291395,270753,257368,245801,200860,176015,163840,150667,141672,131146,129994,123051,101175,106621
 94.7,0,0,0,16.7137,9.8066,1.24161e+006,697566,636739,590643,539990,494719,451909,419197,404547,376243,374961,361812,301845,280426,268622,257244,210161,181028,170304,158365,149601,133742,136550,128933,103576,112928
 98.2,0,4.02542,22.2843,10.9016,0,1.20175e+006,703494,642461,590881,549174,500264,461446,430623,412795,390879,385286,377272,307007,288265,277523,264557,219299,188664,176998,159946,153100,144469,140972,134045,108868,118728
101.8,0,0,4.74694,13.65,1.91796,1.15395e+006,700397,645839,595061,554838,504246,464255,432823,419607,398980,395622,382057,315076,301883,284704,273331,224758,192565,184221,168438,161483,145387,148029,140497,112911,121743
105.5,0,5.48624,0,17.9014,7.74208,1.10796e+006,695447,644048,594712,552962,507350,471013,439539,418417,404010,395423,389153,319529,306732,292211,278333,233297,198332,190370,171823,160456,151064,150263,141786,114254,120772
109.4,0,5.41523,0,9.35614,0,1.06241e+006,684027,637913,590178,547702,506419,469126,438508,420361,407589,407113,391868,327686,306943,296018,284277,236254,200780,196782,175197,166614,152521,151642,147918,122289,122718
113.4,10.859,0,9.44737,0,0,1.00737e+006,674837,626409,584367,544774,510001,468827,438196,422754,409407,407557,393845,328892,312453,294777,284962,241188,205722,203674,185754,165804,155904,154166,146154,130171,124558
117.6,0,4.37247,0,0,4.61693,951295,651007,610516,574245,540404,495967,463500,434273,418636,407062,401013,398586,331867,315855,298991,286132,245493,201013,202450,184385,168404,157567,154520,151955,128890,127130
121.9,0,0,0,0,0.323136,898431,637705,590228,561471,527140,489486,457920,428718,417087,406521,403530,395599,330572,313488,301685,289067,242721,208660,204553,187333,167200,156823,154568,151829,130814,129413
126.3,5.36175,0,0,0,0,837932,615583,573004,532560,509586,481157,451018,418992,410096,400200,396871,382500,321812,311568,302411,289706,242156,207825,199839,184874,166500,156075,156736,153869,132464,129759
131.0,5.34849,5.343,4.97321,3.64589,0,771703,590321,554614,524234,495435,469428,436818,411822,398299,390733,390017,382711,318958,308733,295371,282431,239153,203687,198936,184356,163609,154518,155057,151418,129288,127415
135.8,0,5.3286,3.91971,5.27645,4.67389,723992,555787,527890,499418,470548,445530,420804,396505,386978,379957,375839,373639,306758,298718,288886,279521,233429,201465,200191,178806,164331,153971,153800,150335,130752,125352
140.7,0,4.99349,16.0431,0,5.31234,688645,523525,501840,477132,451052,426602,403376,381286,373724,367235,366604,359978,297821,289566,283391,269473,228927,196179,190538,173459,160967,150021,150361,147670,129370,124035
145.9,0,4.86212,0,0,0,640273,488014,471105,450270,425184,405267,384243,359797,353312,350404,352497,345706,291739,278999,270530,262050,222361,187807,183428,169669,154508,145125,144611,144707,127982,122842
151.2,0,5.24442,0,0,9.09314,580114,452898,435421,421615,395159,378864,358961,339360,332785,334876,333517,327466,276418,267250,261769,248308,214665,182498,175791,165159,149840,139539,139432,138013,121125,116887
156.8,0,0,4.33493,0,0,510750,414590,400640,385048,365926,352150,334654,320097,305317,312159,312650,311154,259447,251701,246868,237146,196445,174150,168830,155891,141926,131768,133077,132006,117619,111965
162.5,0,0,0,4.35678,0,452060,371755,369675,353324,333894,323084,306948,293649,291031,288332,291730,288285,242824,234775,230825,222274,182241,164034,155504,149170,132760,123074,124254,123348,107914,104144
168.5,0,0,0,4.9207,4.80962,398712,333740,330319,318053,306178,292812,280080,265763,263607,264638,266498,268172,224776,218128,211189,206290,169212,151523,146094,137464,126736,115536,117435,115381,100253,100517
174.7,0,8.40907,5.43262,0,4.67182,342704,297728,294407,284781,275764,265935,253356,243411,242497,241972,240937,244411,205011,200896,193653,190757,159288,139309,132171,127563,115963,105517,109645,108882,94473,92303.1
181.1,0,2.14585,5.42803,3.449,0,296783,262301,259508,251901,242091,233281,224385,216230,214814,217241,221582,217524,185228,178906,175866,170997,145742,126982,121945,116076,106107,98143.3,100472,97267.5,87897.4,85040.5
187.7,0,4.03884,0,0,15.6193,255774,226718,224192,219844,210058,206132,199323,190121,187931,190771,195435,194500,164637,161679,157628,153821,128938,115330,110904,102695,95888.6,86474.7,89541.1,88138.3,78901.5,76865.4
194.6,0,0,0,4.09071,0,214459,192957,192390,189463,182871,176190,172626,166210,163206,165549,171204,167706,142125,141358,139821,135949,113154,101595,98037.4,90612.8,84600.7,76972,80186.9,79011.3,68732.2,68052.5
201.7,0,0,0,5.55289,0,181427,160767,159808,158683,153712,149947,145177,140478,141296,145908,144446,146047,123175,123617,119108,117588,100607,86856,84692.1,79004,77170.2,68896.4,69549.7,68746,60352.5,60053.9
209.1,0,0,5.11948,0,2.29958,150841,134118,135409,132875,129016,125761,125529,118790,121033,120830,123148,125795,103992,105233,103350,101299,85025.1,75000.2,74614.4,69166.6,64729.9,58792,60817.9,59424.7,53131.4,51287.2
216.7,0,0,0,0,0,123080,107889,109246,108138,106149,103328,99837.1,97413.2,98864,102085,103190,104189,90172.2,87881.7,85484.3,84303.5,71817.7,61957.8,60162.7,57555.3,52818.4,50065.8,50118.6,50523.6,45477.8,43936.3
224.7,0,2.17834,0,1.78915,0,95714.7,86500.1,88242.6,86616.3,85185.4,83658.1,82523.9,81356.3,80932.7,82289,82964,85922.1,73925.4,71448.8,70734.8,71260.1,60086.3,53468.9,50448.9,47800.1,44357.2,40329.8,42355.5,42568.8,37908.6,36042.7
232.9,0,0,0,1.96224,8.20831,73232.7,67030.2,67748.6,69347.7,67105.2,66292.4,65673.5,63914,64808.5,66078.3,67791.6,69655.7,59142.6,58835.3,58093.1,57106.9,47429.9,42775.9,42383.4,40946.8,37123.8,33535.6,37168.7,34601.6,31141.3,29832.5
241.4,5.82431,0,2.17327,0,0,57488.1,51110.9,52265.1,52539.6,52122.4,52801.5,50760.1,49533.9,50818.1,52722,53652.2,54615.6,47291.9,45536.4,46306.3,45811.5,38564.3,34881.7,32845.1,31303.2,29691.1,26560.7,30465.1,27462.4,25108.4,23988.4
250.3,0,0,2.46287,5.87704,0,42585.2,38375.1,39414.8,40039.3,40046.5,39043.1,39832,38414.3,38470.4,40251.4,41558.9,42386.2,35240.8,34751.4,35790.6,36475.2,30212.4,26584.7,26423.9,24815.8,22658.1,21500.5,23872.5,22048.1,19462.7,19224.2
259.5,0,0,0,0,0,30318.2,28694.7,29292.2,30028.3,28911.6,28749,29026.1,28091.9,29663.5,30740.7,31422,31541.4,27439.9,27529.9,26334,26563.3,23119.8,20199.6,20743.3,18959.5,18472.6,16591.5,18760.6,17360.2,15847.6,14479.6
269.0,0,0,0,0,0,22019.1,19815.7,21702.2,21662.6,20961.9,21042.2,21674.2,21461.2,21581.9,22600.9,22598,23489.4,19842.6,19783.7,20314.5,20332.7,17209,15330.3,15223.2,14072.2,13000.7,11929.7,14028.4,12682.6,11207.3,10796
278.8,0,0,0,0,0,14673.5,14510.6,14924,15237,14785,14784.8,15020.6,15036.5,15244.5,15546.7,15571.5,17007.5,14291.8,15000.3,14715.9,14843.7,12326.4,10935.4,11112.1,10905.7,9606.9,9034.32,10340.9,9062.37,8314.63,8379.59
