Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_LRH_20230323.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,FALSE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
Date,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23,03/23/23
Start Time,11:00:00,11:03:00,11:06:00,11:09:00,11:12:00,11:15:00,11:18:00,11:21:00,11:24:00,11:27:00,11:30:00,11:33:00,11:36:00,11:39:00,11:42:00,11:45:01,11:48:00,11:51:00,11:54:00,11:57:00,12:00:00,12:03:00,12:06:00,12:09:00,12:12:00,12:15:00,12:18:00,12:21:00,12:24:00,12:27:00,12:30:00,12:33:00,12:36:00,12:39:00,12:42:00,12:45:00,12:48:00,12:51:00,12:54:00,12:57:00,13:00:00
Diameter Midpoint
 16.3,0,0,16176.1,3121.37,868.813,175.24,70.2965,35.1538,0,0,35.1519,0,0,0,0,35.1519,0,0,0,0,0,35.1518,0,0,0,0,35.1612,0,0,0,0,0,0,0,35.1929,0,0,0,0,0,0
 16.8,0,0,18059.4,4139.93,1033.34,286.587,98.6172,32.8774,32.884,32.879,32.8757,0,0,32.884,0,0,0,0,0,0,0,0,0,0,32.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 17.5,0,0,20156.2,4590.53,1419.12,472.674,217.607,155.98,92.5049,1.83494,30.8276,30.8246,0,0,0,0,30.8439,0,0,0,30.8632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 18.1,0,0,24078.6,5940.07,1858.95,917.536,287.66,114.046,115.79,56.1645,28.9409,11.2131,28.9529,0,0,0,0,0,0,0,0,28.9408,0,0,0,0,0,0,0,0,28.9702,0,0,0,0,0,0,0,0,0,0
 18.8,0,0,25124.8,5937.73,2404.3,957.129,337.924,245.131,136.208,81.7139,0,71.1471,27.2464,27.2416,0,0,0,27.2464,0,0,0,27.2356,0,27.2392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 19.5,0,0,27869.8,7040.19,2449.44,925.671,528.54,282.495,102.655,51.563,25.6583,25.6562,0.242103,51.3274,25.6756,0,51.3403,0,0,0,0,0,0,0,0,0,0,0,0,25.6734,0,0,51.336,0,0,0,0,25.6788,0,0,0
 20.2,0,0,34547,9193.24,3523.52,1562.37,820.209,442.678,338.843,72.3723,128.312,0,48.1857,0,24.2138,24.1982,0,24.207,0,0,0,48.3965,7.31883,0,0,0,0,0,0,24.2118,0,24.1953,0,24.2031,0,0,0,0,0,0,0
