Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_LRH_20230530_2.S80
Classifier Model,3071
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
Date,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23,05/30/23
Start Time,13:44:00,13:47:00,13:50:00,13:53:00,13:56:00,13:59:00,14:02:00,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00,14:29:00,14:32:00,14:35:00,14:38:00,14:41:00,14:44:00,14:47:00,14:50:00,14:53:00,14:56:00,14:59:00,15:02:00,15:05:00,15:08:00,15:11:00,15:14:00,15:17:00,15:20:00,15:23:00,15:26:00,15:29:00,15:32:00,15:35:00,15:38:00,15:41:00,15:44:00,15:47:00
Diameter Midpoint
 16.3,0,0,0,0,46868.5,17890.2,7801.3,3809.7,2150.02,1143.03,463.959,332.666,152.901,186.635,336.907,152.901,121.795,248.846,217.741,155.529,217.741,177.137,88.5683,155.529,212.484,155.529,181.886,184.006,217.741,124.423,181.886,279.952,93.3174,0,124.423,212.991,124.423,124.423,124.423,217.741,181.886,88.5683
 16.8,0,0,0,0,54675.2,21451.8,9588.31,3977.4,2300.31,1847.42,1024.72,467.379,382.214,379.745,267.837,265.369,60.8906,184.909,204.478,194.694,262.901,204.478,262.901,243.331,121.781,136.271,223.905,197.162,350.534,136.271,194.694,146.056,175.267,223.905,253.116,262.901,253.116,223.905,48.6376,233.689,136.271,107.06
 17.5,0,0,0,0,59616.2,24188.2,11609.7,6954.34,2867.64,2051.78,1639.16,638.038,808.491,313.509,258.511,82.4969,302.489,238.414,148.515,295.221,93.517,313.509,192.493,238.414,439.984,295.221,267.722,212.724,329.988,185.225,201.704,137.495,164.994,174.205,146.706,54.998,75.2293,64.2092,185.225,148.515,91.7082,119.207
 18.1,0,0,0,0,72155.7,31347,15280.7,8187.59,4421.13,2750.14,1992.33,1299.9,906.062,566.029,591.942,259.13,443.685,288.207,277.822,251.909,274.659,248.746,550.501,369.11,388.695,145.094,255.073,203.247,103.652,303.735,288.207,236.381,129.565,233.217,233.217,184.555,277.822,239.545,277.822,96.4312,285.043,129.565
 18.8,0,0,0,0,81515,33139.7,17145.2,10361.2,5122.52,3823.97,2384.11,1759.63,1132.17,625.688,548.642,412.982,381.557,337.137,410.016,353.098,433.109,267.224,516.017,475.763,433.109,437.275,572.935,325.839,331.77,183.046,312.844,288.551,121.465,121.465,404.65,235.798,211.505,164.12,260.092,167.086,194.345,97.1723
 19.5,0,0,0,0,91535.7,42412,20935.3,12156.3,7382.51,4600.81,2879.75,2264.95,1664.73,1378.72,829.563,677.003,497.462,458.683,332.99,594.021,533.197,298.144,528.263,371.769,359.857,424.727,382.792,351.879,386.725,261.031,264.188,287.122,333.879,299.033,145.471,188.296,234.164,298.144,199.318,183.473,137.605,252.276
 20.2,0,0,0,47.548,102949,48556.6,24653.7,14601.7,9288.34,6183.14,4172.1,2708.71,2084.47,1448.77,1017.88,668.945,833.896,658.53,499.788,455.606,656.85,511.043,599.727,328.425,378.814,339.68,603.934,303.388,452.24,631.812,335.473,261.412,312.963,328.425,329.265,284.448,306.754,325.058,270.462,264.253,229.326,329.265
 20.9,20.4948,0,0,0,113401,54303.1,28013.9,17243.6,9746,6587.06,5009.03,2894.41,2589.28,1717.08,1398.42,1139.13,953.701,856.994,746.582,671.891,763.091,636.908,576.122,584.114,576.823,505.622,447.552,329.469,468.719,370.999,300.237,499.11,558.032,499.166,372.483,426.746,364.037,323.794,290.859,392.427,281.974,228.759
 21.7,0,0,0,18498.3,125739,61004,33060.3,22211.4,13153.7,8298.36,6118.87,4951.29,3642.9,2515.9,1692.46,1365.97,1147.38,1092.49,899.54,828.622,878.717,721.795,713.929,723.8,865.795,591.658,697.844,681.578,591.473,699.996,433.702,371.733,277.515,383.894,369.186,373.166,374.681,241.938,399.212,311.857,232.375,290.914
 22.5,0,0,0,54431.8,136768,68378.9,40483.3,25840.9,15975.2,11495.5,6834.64,5392.71,4269.6,2985.71,2332.04,1823.55,1735.71,1233.14,931.46,1057.51,1047.32,713.911,918.887,684.28,575.118,818.987,760.006,538.315,623.09,455.75,570.228,673.62,512.709,640.321,553.002,462.611,275.279,407.494,488.864,343.868,443.043,400.715
 23.3,0,0,0,159077,144622,77048.4,45545.9,30396.7,19818.9,13498.2,9802.35,6270.67,5631.26,3649.62,3348.52,2716.34,2071.58,1827.69,1346.33,1340.03,1154.64,1154.34,855.42,999.266,1087.5,706.872,1007.94,731.011,624.715,814.242,789.604,509.829,557.112,711.655,663.159,595.092,641.938,458.531,422.196,414.817,394.71,189.699
 24.1,0,0,0,467783,159446,86368.3,54013.7,34277.2,23686.2,16135.9,11462.2,8599.3,5753.84,4737.59,3826.92,3194.25,2657.07,1917.97,1871.2,1601.5,1747.53,1220.12,1462.29,1071.58,1335.86,1032.49,1063.81,745.54,1192,861.261,801.756,763.472,869.402,806.713,665.065,523.836,618.46,577.401,530.245,429.264,628.235,436.608
 25.0,0,0,0,752241,170124,98221.9,60448.9,37592.5,25767.1,19216.9,14678.3,10839.6,7567.62,5766.1,4625.09,3851.84,2965.54,2658.9,2318.41,1734.39,1727.27,1532.25,1571.7,1553.07,1348.6,1295.64,1229.64,1057.82,1251.45,1056.78,869.517,796.552,912.047,761.13,805.556,808.447,661.019,867.332,775.02,516.025,490.553,607.656
