Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_LRH_20230531_2.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
Date,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23
Start Time,13:17:00,13:20:00,13:23:00,13:26:00,13:29:00,13:32:00,13:35:00,13:38:00,13:41:00,13:44:00,13:47:00,13:50:00,13:53:00,13:56:00,13:59:00,14:02:00,14:05:00,14:08:00,14:11:00,14:14:00,14:17:00,14:20:00,14:23:00,14:26:00,14:29:00,14:32:00,14:35:00,14:38:00
Diameter Midpoint
 16.3,4365.38,31.1058,0,0,83218.3,27106.3,10893.2,4862.68,2368.42,1277.72,373.27,396.998,186.635,93.3174,124.029,31.1058,86.3342,0,62.2116,31.1058,0,31.1058,24.1226,0,0,31.1058,0,0
 16.8,4247.22,0,0,0,86761.5,29486,13222.1,5341.9,2919.55,1418.88,587.149,432.314,336.66,190.604,175.267,116.845,64.9802,0,0,58.4224,0,0,6.55785,0,0,0,0,0
 17.5,3973.01,7.17024,0,0,94903,32726.1,13745.1,6862.86,2781.62,1495.06,1049.38,754.157,535.542,178.055,227.162,54.998,164.994,27.499,54.998,82.4969,0,7.17024,7.17024,0,0,0,0,0
 18.1,3849.45,19.1563,25.913,0,99471.6,36355.1,15735.9,7767.57,3953.11,2768.79,1417.07,646.433,777.39,259.13,251.909,77.739,129.101,103.652,129.101,25.913,77.739,45.0693,19.1563,25.913,0,25.913,51.826,0
 18.8,3298.57,0,0,0,102324,38018.5,19528.6,8617.23,4709.16,2905.83,1557.65,1080.95,567.899,519.313,413.417,259.656,357.264,162.484,106.766,121.465,48.5861,138.191,24.2931,0,0,0,24.2931,0
 19.5,3064.86,0,0,22.9342,105172,44737.1,19563.8,11468,5794.13,3289.31,2031.74,1452.11,966.458,825.685,467.384,313.989,153.45,176.384,220.695,91.7367,114.671,7.14397,22.9342,8.70089,0,22.9342,45.8683,22.9342
 20.2,3429.69,0,0,309.253,109407,47390.5,22947.2,13012.9,6781.85,4006.45,2925.39,1665.09,1339.4,907.806,665.911,514.218,254.171,230.154,110.699,303.388,86.6822,86.6822,108.353,56.7901,43.3411,21.6705,0,43.3411
 20.9,2905.42,0,20.4948,22994.8,110615,49689.1,26350.4,13183.4,7665.84,4877.69,2933.63,1606.06,1423.2,822.56,675.07,562.098,557.987,166.726,229.004,134.265,187.42,96.9688,84.2482,80.9178,24.3562,48.3767,29.1261,30.8606
 21.7,2639.98,19.2442,0,183504,115799,53700,28713.3,17017.3,9653.09,5456.16,3523.98,2491.83,1720.64,1120.15,751.809,696.425,530.753,295.68,281.628,290.839,229.485,129.947,191.571,77.0325,134.427,37.1955,62.656,62.3767
 22.5,2431.85,0,18.2683,392065,117966,56157.2,30897.8,17156.1,11238.7,6994.95,4679.45,3229.05,1855.01,1759.55,929.755,874.166,510.695,607.948,518.287,486.093,257.345,114.615,108.921,126.355,99.0824,82.1536,68.3536,37.0563
 23.3,2353.58,0,17.3402,555142,123019,63080.3,35206.1,18776.8,12295.6,8718.03,5541.79,4038.61,2662.68,1976.17,1478.42,1213.07,1004.09,873.608,368.427,453.204,224.618,193.893,253.222,69.1631,144.821,134.896,88.4308,64.1754
 24.1,2223.72,16.5769,0,711552,129035,66526.5,38785.2,23101.6,15176.7,9042.67,6609,3798.67,3189.65,2282.76,1798.21,1563.83,1229.47,1046.09,801.277,616.257,338.773,145.652,169.805,226.092,72.3686,181.03,111.061,121.911
 25.0,2156.23,0,0,864681,131756,69743.5,41184,25161.7,17287.1,11149.9,7704.88,5547.24,3610.01,2762.19,2036.57,1623.37,1508.67,847.752,867.933,573.783,449.979,162.097,438.725,419.696,286.151,203.528,195.449,150.272
 25.9,2147.19,0,15.1345,1.06022e+006,134571,75147.5,44857,28165.8,19221.8,12926.4,8471.63,6991.2,4859.83,4073.76,2745.3,2320.79,1798.66,1313.96,1047.68,734.338,799.894,893.349,550.568,587.958,565.302,362.844,292.02,202.912
 26.9,1975.42,14.4499,0,1.41649e+006,139545,80523.8,50171.4,33551.4,22219.7,15510,9869.92,7897.18,6202.68,4978.7,3890.32,2815.18,2216.92,2141.2,1515.75,1259.08,1080.4,1069.42,743.838,537.886,416.943,386.812,302.905,403.384
 27.9,1819.86,0,0,1.63694e+006,146063,84089.3,55334.9,35570,25527.7,17343,12276.2,9809.37,7680.34,5096.71,4481.8,3145.86,2553.48,1910.99,1590.01,1529.36,1660.52,1010.3,933.644,956.654,465.419,541.724,467.781,257.171
 28.9,1883.89,25.5988,12.6548,1.48075e+006,151663,90230.8,58348.4,39598,28975.3,20244.8,13791.1,11787.6,7627.07,6710.53,4990.49,3958.57,3216.59,2805.85,2347.7,1884.44,1744.58,1221.62,1038.53,1074.67,721.495,569.097,564.814,471.341
 30.0,1595.01,24.5988,0,1.16336e+006,155281,97087.9,63138.1,42242.3,30674.7,22852.8,16812.3,13708.6,9554.31,7326.43,5794.35,5464.74,4146.38,3075.54,2358.35,2389.29,2584.76,1617.31,1466.55,1259.73,1338.42,1054.72,954.607,815.033
 31.1,1753.47,11.656,11.642,928532,161360,103229,66544.9,49283,36628.7,25908,19749.3,15880.5,11448.9,8766.34,7717.85,6248.1,5570.41,4173.76,3730.96,2767.63,2408.46,2611,1504.43,1764.56,1429.81,1447.84,1026.23,1050.42
