Sample File,C:\Users\vancelab\Desktop\Chamber\Raw data\Chamber_Water_SMPS_FreshSmoke_LRH_20230531_comparison_nodryer_2.S80
Classifier Model,3080
DMA Model,3081
DMA Inner Radius(cm),0.00937
DMA Outer Radius(cm),0.01961
DMA Characteristic Length(cm),0.44369
CPC Model,3788 High Flow
Reference Gas Viscosity (Pa*s),1.83245e-005
Reference Mean Free Path (m),6.73e-008
Reference Gas Temperature (K),296.15
Reference Gas Pressure (kPa),101.3
Channels/Decade,64
Multiple Charge Correction,TRUE
Nanoparticle Aggregate Mobility Analysis,FALSE
Diffusion Correction,TRUE
Gas Density,0.0012
Units,dw/dlogDp
Weight,Number
Sample #,1,2,3,4,5,6,7,8
Date,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23,05/31/23
Start Time,15:54:00,15:57:00,16:00:00,16:03:00,16:06:00,16:09:00,16:12:00,16:15:00
Diameter Midpoint
 16.3,0,0,0,0,0,0,0,0
 16.8,0,0,0,0,0,0,0,0
 17.5,0,0,0,0,0,0,0,0
 18.1,0,0,0,0,0,0,0,0
 18.8,0,0,0,0,0,24.2931,0,0
 19.5,0,0,0,0,0,0,0,0
 20.2,0,0,0,0,0,0,0,0
 20.9,0,19.5845,0,0,0,0,0,0
 21.7,0,0,16.7421,0,19.0684,0,0,0
 22.5,33.9941,35.7013,0,0,0,0,17.164,15.4486
 23.3,13.1903,0,43.5112,0,31.7595,0,14.0205,13.8203
 24.1,11.497,0,0.750365,0,27.1781,9.50236,0,0
 25.0,21.2825,3.06785,0,23.0473,0,9.56785,23.2865,41.938
 25.9,19.2153,23.9741,36.5201,3.99271,22.6663,23.2396,19.8024,0
 26.9,83.8581,29.4521,65.5871,41.5167,36.9422,1.43012,0,69.8141
 27.9,19.6211,72.1235,56.0635,0,19.6362,0,29.9706,75.6989
 28.9,99.0164,71.3264,133.741,67.5696,40.6002,103.421,95.1288,28.838
 30.0,129.401,73.2482,33.6503,143.111,0,94.5538,114.406,90.1516
 31.1,121.027,91.6418,187.386,75.1603,24.8238,51.2977,75.504,162.526
 32.2,146.196,70.2826,164.621,104.173,70.2638,136.767,76.6858,180.204
 33.4,255.689,229.939,88.0616,127.512,176.104,173.789,187.936,197.785
 34.6,238.14,136.163,299.951,237.647,285.051,339.24,208.207,108.366
 35.9,442.266,356.633,180.684,363.965,326.623,266.608,354.669,235.266
